Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1
1206,700,917,194,192,964,1779,1164
1207,700,917,194,183,973,1779,1164
1162,701,961,194,183,973,1778,1164
1159,704,961,194,183,968,1783,1055
1159,472,1193,194,183,925,1826,1055
877,754,1193,192,154,941,1841,1055
980,772,1186,198,155,904,1872,1002
1038,695,1264,161,174,903,1883,1002
961,708,1330,133,202,708,2057,962
1062,750,1330,133,202,653,2057,860
1071,748,1327,119,221,597,1690,857
1074,717,1358,119,221,380,1871,859
1159,717,1303,174,221,341,1902,854
1215,819,1297,218,224,323,1787,812
1508,822,1275,238,226,308,1792,833
1592,889,1196,317,226,303,1719,811
1614,889,1196,317,226,303,1719,811
1609,857,1238,316,227,303,1715,937
1480,963,1262,316,227,292,1654,1032
1480,960,1265,316,224,290,1464,1032
1479,954,1260,312,221,309,1311,989
1462,970,1238,252,272,341,1217,946
1281,1165,1182,318,271,343,911,729
1247,1083,1258,358,270,344,860,735
1246,1084,1214,402,253,357,852,451
1246,1084,1193,423,208,357,897,458
1178,1152,1099,517,208,283,948,457
1178,1152,1004,612,208,187,1015,467
1360,1152,926,690,208,178,1006,552
1392,1152,770,846,205,181,985,590
1390,1154,701,915,200,186,967,590
1375,1206,700,917,194,192,964,531
1374,1207,700,917,194,183,973,536
1398,1162,701,961,194,183,973,536
1399,1159,704,961,194,183,968,536
1399,1159,472,1193,194,183,925,542
1402,877,754,1193,192,154,941,598
1392,980,772,1186,198,155,904,729
1339,1038,695,1264,161,174,903,829
1340,961,708,1330,133,202,708,832
1197,1062,750,1330,133,202,653,971
1194,1071,748,1327,119,221,597,1021
1191,1074,717,1358,119,221,380,1004
1106,1159,717,1303,174,221,341,1004
906,1215,819,1297,218,224,323,997
610,1508,822,1275,238,226,308,977
459,1592,889,1196,317,226,303,980
443,1614,889,1196,317,226,303,980
438,1609,857,1238,316,227,303,854
437,1480,963,1262,316,227,292,725
437,1480,960,1265,316,224,290,710
437,1479,954,1260,312,221,309,705
445,1462,970,1238,252,272,341,700
551,1281,1165,1182,318,271,343,728
551,1247,1083,1258,358,270,344,714
604,1246,1084,1214,402,253,357,712
605,1246,1084,1193,423,208,357,718
608,1178,1152,1099,517,208,283,753
608,1178,1152,1004,612,208,187,805
426,1360,1152,926,690,208,178,861
394,1392,1152,770,846,205,181,822
395,1390,1154,701,915,200,186,822
357,1375,1206,700,917,194,192,822
421,1374,1207,700,917,194,183,817
397,1398,1162,701,961,194,183,817
396,1399,1159,704,961,194,183,817
396,1399,1159,472,1193,194,183,811
407,1402,877,754,1193,192,154,770
296,1392,980,772,1186,198,155,639
290,1339,1038,695,1264,161,174,540
287,1340,961,708,1330,133,202,579
287,1197,1062,750,1330,133,202,440
281,1194,1071,748,1327,119,221,401
281,1191,1074,717,1358,119,221,402
281,1106,1159,717,1303,174,221,656
342,906,1215,819,1297,218,224,642
383,610,1508,822,1275,238,226,651
383,459,1592,889,1196,317,226,633
390,443,1614,889,1196,317,226,633
410,438,1609,857,1238,316,227,633
454,437,1480,963,1262,316,227,676
454,437,1480,960,1265,316,224,734
454,437,1479,954,1260,312,221,753
446,445,1462,970,1238,252,272,753
315,551,1281,1165,1182,318,271,723
335,551,1247,1083,1258,358,270,723
323,604,1246,1084,1214,402,253,723
322,605,1246,1084,1193,423,208,698
349,608,1178,1152,1099,517,208,663
418,608,1178,1152,1004,612,208,599
667,426,1360,1152,926,690,208,458
728,394,1392,1152,770,846,205,458
763,395,1390,1154,701,915,200,458
763,357,1375,1206,700,917,194,458
699,421,1374,1207,700,917,194,458
706,397,1398,1162,701,961,194,458
767,396,1399,1159,704,961,194,458
962,396,1399,1159,472,1193,194,458
951,407,1402,877,754,1193,192,443
986,296,1392,980,772,1186,198,501
1014,290,1339,1038,695,1264,161,505
1034,287,1340,961,708,1330,133,478
1040,287,1197,1062,750,1330,133,500
1040,281,1194,1071,748,1327,119,490
1066,281,1191,1074,717,1358,119,490
1184,281,1106,1159,717,1303,174,237
1170,342,906,1215,819,1297,218,239
1373,383,610,1508,822,1275,238,229
1402,383,459,1592,889,1196,317,229
1397,390,443,1614,889,1196,317,229
1380,410,438,1609,857,1238,316,229
1336,454,437,1480,963,1262,316,245
1336,454,437,1480,960,1265,316,270
1336,454,437,1479,954,1260,312,251
1336,446,445,1462,970,1238,252,251
1336,315,551,1281,1165,1182,318,251
1316,335,551,1247,1083,1258,358,251
1275,323,604,1246,1084,1214,402,255
1275,322,605,1246,1084,1193,423,279
1248,349,608,1178,1152,1099,517,279
1180,418,608,1178,1152,1004,612,279
931,667,426,1360,1152,926,690,279
882,728,394,1392,1152,770,846,283
896,763,395,1390,1154,701,915,295
896,763,357,1375,1206,700,917,295
896,699,421,1374,1207,700,917,295
1043,706,397,1398,1162,701,961,299
1121,767,396,1399,1159,704,961,310
947,962,396,1399,1159,472,1193,336
977,951,407,1402,877,754,1193,369
942,986,296,1392,980,772,1186,311
927,1014,290,1339,1038,695,1264,306
907,1034,287,1340,961,708,1330,293
901,1040,287,1197,1062,750,1330,271
990,1040,281,1194,1071,748,1327,270
964,1066,281,1191,1074,717,1358,269
846,1184,281,1106,1159,717,1303,268
799,1170,342,906,1215,819,1297,266
555,1373,383,610,1508,822,1275,266
526,1402,383,459,1592,889,1196,266
518,1397,390,443,1614,889,1196,266
515,1380,410,438,1609,857,1238,266
528,1336,454,437,1480,963,1262,207
528,1336,454,437,1480,960,1265,126
528,1336,454,437,1479,954,1260,124
544,1336,446,445,1462,970,1238,124
545,1336,315,551,1281,1165,1182,124
545,1316,335,551,1247,1083,1258,124
545,1275,323,604,1246,1084,1214,120
545,1275,322,605,1246,1084,1193,96
