Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1
604,1305,1647,370,559,423,857,1246
646,1209,1745,370,559,421,858,1246
650,1194,1764,349,580,387,828,1178
702,1191,1767,300,629,373,799,1178
702,1155,1803,300,629,364,678,1360
740,1158,1603,500,626,367,661,1392
724,1170,1587,523,615,378,661,1390
645,1189,1658,527,561,432,534,1375
646,1178,1669,527,561,432,471,1374
646,1131,1649,594,561,421,248,1398
632,1145,1649,594,561,417,218,1399
509,1312,1649,594,473,408,313,1399
509,1312,1647,596,473,343,338,1402
509,1312,1647,596,473,335,346,1392
545,1312,1647,596,473,303,377,1339
633,1312,1637,606,473,283,397,1340
633,1312,1299,944,473,283,389,1197
633,1282,1296,977,473,275,395,1194
633,1247,1326,980,459,243,441,1191
633,1247,1326,900,539,208,476,1106
675,1247,1309,871,585,208,476,906
675,1246,1269,841,639,219,482,610
675,1079,1414,765,657,299,472,459
675,1079,1372,805,654,304,471,443
675,1079,1298,879,647,298,476,438
675,1079,1245,932,647,297,462,437
701,1079,1164,1012,646,299,462,437
888,1079,1164,1012,564,366,477,437
888,953,902,1400,525,404,423,445
888,316,1349,1590,499,430,423,551
587,607,1303,1646,370,559,423,551
587,604,1305,1647,370,559,423,604
574,646,1209,1745,370,559,421,605
573,650,1194,1764,349,580,387,608
523,702,1191,1767,300,629,373,608
523,702,1155,1803,300,629,364,426
482,740,1158,1603,500,626,367,394
479,724,1170,1587,523,615,378,395
464,645,1189,1658,527,561,432,357
465,646,1178,1669,527,561,432,421
465,646,1131,1649,594,561,421,397
465,632,1145,1649,594,561,417,396
421,509,1312,1649,594,473,408,396
421,509,1312,1647,596,473,343,407
421,509,1312,1647,596,473,335,296
385,545,1312,1647,596,473,303,290
345,633,1312,1637,606,473,283,287
612,633,1312,1299,944,473,283,287
722,633,1282,1296,977,473,275,281
731,633,1247,1326,980,459,243,281
908,633,1247,1326,900,539,208,281
868,675,1247,1309,871,585,208,342
873,675,1246,1269,841,639,219,383
896,675,1079,1414,765,657,299,383
905,675,1079,1372,805,654,304,390
962,675,1079,1298,879,647,298,410
1078,675,1079,1245,932,647,297,454
1090,701,1079,1164,1012,646,299,454
912,888,1079,1164,1012,564,366,454
920,888,953,902,1400,525,404,446
920,888,316,1349,1590,499,430,315
920,587,607,1303,1646,370,559,335
920,587,604,1305,1647,370,559,323
889,574,646,1209,1745,370,559,322
882,573,650,1194,1764,349,580,349
891,523,702,1191,1767,300,629,418
891,523,702,1155,1803,300,629,667
891,482,740,1158,1603,500,626,728
891,479,724,1170,1587,523,615,763
891,464,645,1189,1658,527,561,763
889,465,646,1178,1669,527,561,699
889,465,646,1131,1649,594,561,706
889,465,632,1145,1649,594,561,767
985,421,509,1312,1649,594,473,962
1082,421,509,1312,1647,596,473,951
1090,421,509,1312,1647,596,473,986
1090,385,545,1312,1647,596,473,1014
1042,345,633,1312,1637,606,473,1034
780,612,633,1312,1299,944,473,1040
716,722,633,1282,1296,977,473,1040
710,731,633,1247,1326,980,459,1066
533,908,633,1247,1326,900,539,1184
531,868,675,1247,1309,871,585,1170
839,873,675,1246,1269,841,639,1373
839,896,675,1079,1414,765,657,1402
863,905,675,1079,1372,805,654,1397
865,962,675,1079,1298,879,647,1380
749,1078,675,1079,1245,932,647,1336
715,1090,701,1079,1164,1012,646,1336
713,912,888,1079,1164,1012,564,1336
709,920,888,953,902,1400,525,1336
890,920,888,316,1349,1590,499,1336
1136,920,587,607,1303,1646,370,1316
1144,920,587,604,1305,1647,370,1275
1214,889,574,646,1209,1745,370,1275
1352,882,573,650,1194,1764,349,1248
1470,891,523,702,1191,1767,300,1180
1507,891,523,702,1155,1803,300,931
1507,891,482,740,1158,1603,500,882
1507,891,479,724,1170,1587,523,896
