Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1
1162,701,961,194,183,973,1778,97,279,663,753,1164
1159,704,961,194,183,968,1783,97,279,599,805,1055
1159,472,1193,194,183,925,1826,97,279,458,861,1055
877,754,1193,192,154,941,1841,93,283,458,822,1055
980,772,1186,198,155,904,1872,87,295,458,822,1002
1038,695,1264,161,174,903,1883,95,295,458,822,1002
961,708,1330,133,202,708,2057,116,295,458,817,962
1062,750,1330,133,202,653,2057,167,299,458,817,860
1071,748,1327,119,221,597,1690,579,310,458,817,857
1074,717,1358,119,221,380,1871,589,336,458,811,859
1159,717,1303,174,221,341,1902,564,369,443,770,854
1215,819,1297,218,224,323,1787,698,311,501,639,812
1508,822,1275,238,226,308,1792,708,306,505,540,833
1592,889,1196,317,226,303,1719,784,293,478,579,811
1614,889,1196,317,226,303,1719,784,271,500,440,811
1609,857,1238,316,227,303,1715,788,270,490,401,937
1480,963,1262,316,227,292,1654,860,269,490,402,1032
1480,960,1265,316,224,290,1464,1055,268,237,656,1032
1479,954,1260,312,221,309,1311,1208,266,239,642,989
1462,970,1238,252,272,341,1217,1302,266,229,651,946
1281,1165,1182,318,271,343,911,1608,266,229,633,729
1247,1083,1258,358,270,344,860,1659,266,229,633,735
1246,1084,1214,402,253,357,852,1671,266,229,633,451
1246,1084,1193,423,208,357,897,1669,207,245,676,458
1178,1152,1099,517,208,283,948,1690,126,270,734,457
1178,1152,1004,612,208,187,1015,1719,124,251,753,467
1360,1152,926,690,208,178,1006,1737,124,251,753,552
1392,1152,770,846,205,181,985,1758,124,251,723,590
1390,1154,701,915,200,186,967,1776,124,251,723,590
1375,1206,700,917,194,192,964,1779,120,255,723,531
1374,1207,700,917,194,183,973,1779,96,279,698,536
1398,1162,701,961,194,183,973,1778,97,279,663,536
1399,1159,704,961,194,183,968,1783,97,279,599,536
1399,1159,472,1193,194,183,925,1826,97,279,458,542
1402,877,754,1193,192,154,941,1841,93,283,458,598
1392,980,772,1186,198,155,904,1872,87,295,458,729
1339,1038,695,1264,161,174,903,1883,95,295,458,829
1340,961,708,1330,133,202,708,2057,116,295,458,832
1197,1062,750,1330,133,202,653,2057,167,299,458,971
1194,1071,748,1327,119,221,597,1690,579,310,458,1021
1191,1074,717,1358,119,221,380,1871,589,336,458,1004
