Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1
1119,1558,605,556,490,747,888,594,479,648,485,444
1106,1538,639,556,490,747,888,594,473,654,485,436
1050,1549,684,455,591,747,888,594,473,650,489,383
1049,1473,761,455,552,786,888,594,473,650,489,290
974,1367,942,381,626,786,888,594,473,631,508,169
919,1388,771,396,816,786,888,594,473,629,510,99
886,1416,740,432,819,786,888,594,473,629,510,98
802,1408,806,458,819,776,898,592,475,507,632,98
798,1425,788,476,800,743,892,650,475,439,672,85
706,1467,845,476,800,704,896,685,475,384,720,84
692,1437,797,568,800,663,933,684,476,388,713,84
691,1438,671,694,631,832,888,661,540,340,765,84
709,1438,628,740,608,855,694,711,683,326,780,84
709,1437,629,740,608,810,655,757,721,258,837,88
709,1427,639,739,389,935,750,702,776,257,838,88
774,1424,642,646,482,935,750,702,776,250,743,88
845,1262,802,648,482,935,750,543,935,247,592,81
845,1107,955,650,482,935,366,879,983,247,571,263
840,1112,955,650,482,830,471,879,983,247,551,365
833,1119,955,650,482,811,490,874,945,290,548,356
815,1143,955,650,482,793,508,874,743,492,548,354
645,1316,955,556,576,790,511,869,662,578,545,381
634,1323,959,556,573,793,498,882,662,578,477,750
602,1214,1143,558,573,735,508,889,703,578,466,750
549,1217,1155,600,573,538,705,889,703,578,466,750
549,1180,1187,605,573,516,727,889,703,578,462,750
519,1209,1189,605,556,533,727,889,703,505,534,750
535,1049,1349,605,556,533,711,905,703,492,547,750
468,1079,1453,605,556,495,749,893,709,448,571,750
417,1040,1547,605,556,495,749,892,639,471,600,750
351,1127,1547,605,556,490,754,881,648,451,622,736
357,1119,1558,605,556,490,747,888,594,479,648,736
441,1106,1538,639,556,490,747,888,594,473,654,764
604,1050,1549,684,455,591,747,888,594,473,650,771
607,1049,1473,761,455,552,786,888,594,473,650,778
644,974,1367,942,381,626,786,888,594,473,631,775
644,919,1388,771,396,816,786,888,594,473,629,775
641,886,1416,740,432,819,786,888,594,473,629,786
641,802,1408,806,458,819,776,898,592,475,507,786
628,798,1425,788,476,800,743,892,650,475,439,888
621,706,1467,845,476,800,704,896,685,475,384,1042
622,692,1437,797,568,800,663,933,684,476,388,1063
