Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1
370,559,423,858,936,518,1397,390,443,1614,889,358
370,559,423,857,937,515,1380,410,438,1609,857,402
370,559,421,858,925,528,1336,454,437,1480,963,423
349,580,387,828,989,528,1336,454,437,1480,960,517
300,629,373,799,1032,528,1336,454,437,1479,954,612
300,629,364,678,1146,544,1336,446,445,1462,970,690
500,626,367,661,1162,545,1336,315,551,1281,1165,846
523,615,378,661,1162,545,1316,335,551,1247,1083,915
527,561,432,534,1289,545,1275,323,604,1246,1084,917
527,561,432,471,1352,545,1275,322,605,1246,1084,917
594,561,421,248,1460,668,1248,349,608,1178,1152,961
594,561,417,218,1491,670,1180,418,608,1178,1152,961
594,473,408,313,1493,670,931,667,426,1360,1152,1193
596,473,343,338,1533,658,882,728,394,1392,1152,1193
596,473,335,346,1533,608,896,763,395,1390,1154,1186
596,473,303,377,1452,690,896,763,357,1375,1206,1264
606,473,283,397,1449,693,896,699,421,1374,1207,1330
944,473,283,389,1434,562,1043,706,397,1398,1162,1330
977,473,275,395,1355,504,1121,767,396,1399,1159,1327
980,459,243,441,1329,511,947,962,396,1399,1159,1358
900,539,208,476,1329,478,977,951,407,1402,877,1303
871,585,208,476,1316,491,942,986,296,1392,980,1297
841,639,219,482,1316,478,927,1014,290,1339,1038,1275
765,657,299,472,1307,497,907,1034,287,1340,961,1196
805,654,304,471,1292,513,901,1040,287,1197,1062,1196
879,647,298,476,1300,424,990,1040,281,1194,1071,1238
932,647,297,462,1315,424,964,1066,281,1191,1074,1262
1012,646,299,462,1314,425,846,1184,281,1106,1159,1265
1012,564,366,477,1166,573,799,1170,342,906,1215,1260
1400,525,404,423,1101,693,555,1373,383,610,1508,1238
1590,499,430,423,1016,778,526,1402,383,459,1592,1182
1646,370,559,423,858,936,518,1397,390,443,1614,1258
1647,370,559,423,857,937,515,1380,410,438,1609,1214
1745,370,559,421,858,925,528,1336,454,437,1480,1193
1764,349,580,387,828,989,528,1336,454,437,1480,1099
1767,300,629,373,799,1032,528,1336,454,437,1479,1004
1803,300,629,364,678,1146,544,1336,446,445,1462,926
1603,500,626,367,661,1162,545,1336,315,551,1281,770
1587,523,615,378,661,1162,545,1316,335,551,1247,701
1658,527,561,432,534,1289,545,1275,323,604,1246,700
1669,527,561,432,471,1352,545,1275,322,605,1246,700
1649,594,561,421,248,1460,668,1248,349,608,1178,701
1649,594,561,417,218,1491,670,1180,418,608,1178,704
1649,594,473,408,313,1493,670,931,667,426,1360,472
1647,596,473,343,338,1533,658,882,728,394,1392,754
1647,596,473,335,346,1533,608,896,763,395,1390,772
1647,596,473,303,377,1452,690,896,763,357,1375,695
1637,606,473,283,397,1449,693,896,699,421,1374,708
1299,944,473,283,389,1434,562,1043,706,397,1398,750
1296,977,473,275,395,1355,504,1121,767,396,1399,748
1326,980,459,243,441,1329,511,947,962,396,1399,717
1326,900,539,208,476,1329,478,977,951,407,1402,717
1309,871,585,208,476,1316,491,942,986,296,1392,819
1269,841,639,219,482,1316,478,927,1014,290,1339,822
1414,765,657,299,472,1307,497,907,1034,287,1340,889
1372,805,654,304,471,1292,513,901,1040,287,1197,889
1298,879,647,298,476,1300,424,990,1040,281,1194,857
1245,932,647,297,462,1315,424,964,1066,281,1191,963
1164,1012,646,299,462,1314,425,846,1184,281,1106,960
1164,1012,564,366,477,1166,573,799,1170,342,906,954
902,1400,525,404,423,1101,693,555,1373,383,610,970
1349,1590,499,430,423,1016,778,526,1402,383,459,1165
1303,1646,370,559,423,858,936,518,1397,390,443,1083
1305,1647,370,559,423,857,937,515,1380,410,438,1084
1209,1745,370,559,421,858,925,528,1336,454,437,1084
1194,1764,349,580,387,828,989,528,1336,454,437,1152
1191,1767,300,629,373,799,1032,528,1336,454,437,1152
1155,1803,300,629,364,678,1146,544,1336,446,445,1152
1158,1603,500,626,367,661,1162,545,1336,315,551,1152
1170,1587,523,615,378,661,1162,545,1316,335,551,1154
1189,1658,527,561,432,534,1289,545,1275,323,604,1206
1178,1669,527,561,432,471,1352,545,1275,322,605,1207
1131,1649,594,561,421,248,1460,668,1248,349,608,1162
1145,1649,594,561,417,218,1491,670,1180,418,608,1159
1312,1649,594,473,408,313,1493,670,931,667,426,1159
1312,1647,596,473,343,338,1533,658,882,728,394,877
1312,1647,596,473,335,346,1533,608,896,763,395,980
1312,1647,596,473,303,377,1452,690,896,763,357,1038
1312,1637,606,473,283,397,1449,693,896,699,421,961
1312,1299,944,473,283,389,1434,562,1043,706,397,1062
1282,1296,977,473,275,395,1355,504,1121,767,396,1071
1247,1326,980,459,243,441,1329,511,947,962,396,1074
1247,1326,900,539,208,476,1329,478,977,951,407,1159
1247,1309,871,585,208,476,1316,491,942,986,296,1215
1246,1269,841,639,219,482,1316,478,927,1014,290,1508
1079,1414,765,657,299,472,1307,497,907,1034,287,1592
1079,1372,805,654,304,471,1292,513,901,1040,287,1614
1079,1298,879,647,298,476,1300,424,990,1040,281,1609
1079,1245,932,647,297,462,1315,424,964,1066,281,1480
1079,1164,1012,646,299,462,1314,425,846,1184,281,1480
1079,1164,1012,564,366,477,1166,573,799,1170,342,1479
953,902,1400,525,404,423,1101,693,555,1373,383,1462
316,1349,1590,499,430,423,1016,778,526,1402,383,1281
607,1303,1646,370,559,423,858,936,518,1397,390,1247
604,1305,1647,370,559,423,857,937,515,1380,410,1246
646,1209,1745,370,559,421,858,925,528,1336,454,1246
650,1194,1764,349,580,387,828,989,528,1336,454,1178
702,1191,1767,300,629,373,799,1032,528,1336,454,1178
702,1155,1803,300,629,364,678,1146,544,1336,446,1360
740,1158,1603,500,626,367,661,1162,545,1336,315,1392
724,1170,1587,523,615,378,661,1162,545,1316,335,1390
645,1189,1658,527,561,432,534,1289,545,1275,323,1375
646,1178,1669,527,561,432,471,1352,545,1275,322,1374
646,1131,1649,594,561,421,248,1460,668,1248,349,1398
632,1145,1649,594,561,417,218,1491,670,1180,418,1399
509,1312,1649,594,473,408,313,1493,670,931,667,1399
509,1312,1647,596,473,343,338,1533,658,882,728,1402
509,1312,1647,596,473,335,346,1533,608,896,763,1392
545,1312,1647,596,473,303,377,1452,690,896,763,1339
633,1312,1637,606,473,283,397,1449,693,896,699,1340
633,1312,1299,944,473,283,389,1434,562,1043,706,1197
633,1282,1296,977,473,275,395,1355,504,1121,767,1194
633,1247,1326,980,459,243,441,1329,511,947,962,1191
633,1247,1326,900,539,208,476,1329,478,977,951,1106
675,1247,1309,871,585,208,476,1316,491,942,986,906
675,1246,1269,841,639,219,482,1316,478,927,1014,610
675,1079,1414,765,657,299,472,1307,497,907,1034,459
675,1079,1372,805,654,304,471,1292,513,901,1040,443
675,1079,1298,879,647,298,476,1300,424,990,1040,438
675,1079,1245,932,647,297,462,1315,424,964,1066,437
701,1079,1164,1012,646,299,462,1314,425,846,1184,437
888,1079,1164,1012,564,366,477,1166,573,799,1170,437
888,953,902,1400,525,404,423,1101,693,555,1373,445
888,316,1349,1590,499,430,423,1016,778,526,1402,551
587,607,1303,1646,370,559,423,858,936,518,1397,551
587,604,1305,1647,370,559,423,857,937,515,1380,604
574,646,1209,1745,370,559,421,858,925,528,1336,605
573,650,1194,1764,349,580,387,828,989,528,1336,608
523,702,1191,1767,300,629,373,799,1032,528,1336,608
523,702,1155,1803,300,629,364,678,1146,544,1336,426
482,740,1158,1603,500,626,367,661,1162,545,1336,394
479,724,1170,1587,523,615,378,661,1162,545,1316,395
464,645,1189,1658,527,561,432,534,1289,545,1275,357
465,646,1178,1669,527,561,432,471,1352,545,1275,421
465,646,1131,1649,594,561,421,248,1460,668,1248,397
465,632,1145,1649,594,561,417,218,1491,670,1180,396
421,509,1312,1649,594,473,408,313,1493,670,931,396
421,509,1312,1647,596,473,343,338,1533,658,882,407
421,509,1312,1647,596,473,335,346,1533,608,896,296
385,545,1312,1647,596,473,303,377,1452,690,896,290
345,633,1312,1637,606,473,283,397,1449,693,896,287
612,633,1312,1299,944,473,283,389,1434,562,1043,287
722,633,1282,1296,977,473,275,395,1355,504,1121,281
731,633,1247,1326,980,459,243,441,1329,511,947,281
908,633,1247,1326,900,539,208,476,1329,478,977,281
868,675,1247,1309,871,585,208,476,1316,491,942,342
873,675,1246,1269,841,639,219,482,1316,478,927,383
896,675,1079,1414,765,657,299,472,1307,497,907,383
905,675,1079,1372,805,654,304,471,1292,513,901,390
962,675,1079,1298,879,647,298,476,1300,424,990,410
1078,675,1079,1245,932,647,297,462,1315,424,964,454
1090,701,1079,1164,1012,646,299,462,1314,425,846,454
912,888,1079,1164,1012,564,366,477,1166,573,799,454
920,888,953,902,1400,525,404,423,1101,693,555,446
920,888,316,1349,1590,499,430,423,1016,778,526,315
920,587,607,1303,1646,370,559,423,858,936,518,335
920,587,604,1305,1647,370,559,423,857,937,515,323
889,574,646,1209,1745,370,559,421,858,925,528,322
882,573,650,1194,1764,349,580,387,828,989,528,349
891,523,702,1191,1767,300,629,373,799,1032,528,418
891,523,702,1155,1803,300,629,364,678,1146,544,667
891,482,740,1158,1603,500,626,367,661,1162,545,728
891,479,724,1170,1587,523,615,378,661,1162,545,763
891,464,645,1189,1658,527,561,432,534,1289,545,763
889,465,646,1178,1669,527,561,432,471,1352,545,699
889,465,646,1131,1649,594,561,421,248,1460,668,706
889,465,632,1145,1649,594,561,417,218,1491,670,767
985,421,509,1312,1649,594,473,408,313,1493,670,962
1082,421,509,1312,1647,596,473,343,338,1533,658,951
1090,421,509,1312,1647,596,473,335,346,1533,608,986
1090,385,545,1312,1647,596,473,303,377,1452,690,1014
1042,345,633,1312,1637,606,473,283,397,1449,693,1034
780,612,633,1312,1299,944,473,283,389,1434,562,1040
716,722,633,1282,1296,977,473,275,395,1355,504,1040
710,731,633,1247,1326,980,459,243,441,1329,511,1066
533,908,633,1247,1326,900,539,208,476,1329,478,1184
531,868,675,1247,1309,871,585,208,476,1316,491,1170
839,873,675,1246,1269,841,639,219,482,1316,478,1373
839,896,675,1079,1414,765,657,299,472,1307,497,1402
863,905,675,1079,1372,805,654,304,471,1292,513,1397
865,962,675,1079,1298,879,647,298,476,1300,424,1380
749,1078,675,1079,1245,932,647,297,462,1315,424,1336
715,1090,701,1079,1164,1012,646,299,462,1314,425,1336
713,912,888,1079,1164,1012,564,366,477,1166,573,1336
709,920,888,953,902,1400,525,404,423,1101,693,1336
890,920,888,316,1349,1590,499,430,423,1016,778,1336
1136,920,587,607,1303,1646,370,559,423,858,936,1316
1144,920,587,604,1305,1647,370,559,423,857,937,1275
1214,889,574,646,1209,1745,370,559,421,858,925,1275
1352,882,573,650,1194,1764,349,580,387,828,989,1248
1470,891,523,702,1191,1767,300,629,373,799,1032,1180
1507,891,523,702,1155,1803,300,629,364,678,1146,931
1507,891,482,740,1158,1603,500,626,367,661,1162,882
1507,891,479,724,1170,1587,523,615,378,661,1162,896
1507,891,464,645,1189,1658,527,561,432,534,1289,896
1507,889,465,646,1178,1669,527,561,432,471,1352,896
1659,889,465,646,1131,1649,594,561,421,248,1460,1043
1758,889,465,632,1145,1649,594,561,417,218,1491,1121
1805,985,421,509,1312,1649,594,473,408,313,1493,947
1768,1082,421,509,1312,1647,596,473,343,338,1533,977
1812,1090,421,509,1312,1647,596,473,335,346,1533,942
1828,1090,385,545,1312,1647,596,473,303,377,1452,927
2000,1042,345,633,1312,1637,606,473,283,397,1449,907
2010,780,612,633,1312,1299,944,473,283,389,1434,901
2055,716,722,633,1282,1296,977,473,275,395,1355,990
2052,710,731,633,1247,1326,980,459,243,441,1329,964
2060,533,908,633,1247,1326,900,539,208,476,1329,846
2065,531,868,675,1247,1309,871,585,208,476,1316,799
1789,839,873,675,1246,1269,841,639,219,482,1316,555
1767,839,896,675,1079,1414,765,657,299,472,1307,526
1734,863,905,675,1079,1372,805,654,304,471,1292,518
1675,865,962,675,1079,1298,879,647,298,476,1300,515
1675,749,1078,675,1079,1245,932,647,297,462,1315,528
1683,715,1090,701,1079,1164,1012,646,299,462,1314,528
1687,713,912,888,1079,1164,1012,564,366,477,1166,528
1719,709,920,888,953,902,1400,525,404,423,1101,544
1538,890,920,888,316,1349,1590,499,430,423,1016,545
1292,1136,920,587,607,1303,1646,370,559,423,858,545
1286,1144,920,587,604,1305,1647,370,559,423,857,545
1218,1214,889,574,646,1209,1745,370,559,421,858,545
1080,1352,882,573,650,1194,1764,349,580,387,828,668
951,1470,891,523,702,1191,1767,300,629,373,799,670
914,1507,891,523,702,1155,1803,300,629,364,678,670
928,1507,891,482,740,1158,1603,500,626,367,661,658
928,1507,891,479,724,1170,1587,523,615,378,661,608
997,1507,891,464,645,1189,1658,527,561,432,534,690
997,1507,889,465,646,1178,1669,527,561,432,471,693
845,1659,889,465,646,1131,1649,594,561,421,248,562
746,1758,889,465,632,1145,1649,594,561,417,218,504
617,1805,985,421,509,1312,1649,594,473,408,313,511
557,1768,1082,421,509,1312,1647,596,473,343,338,478
511,1812,1090,421,509,1312,1647,596,473,335,346,491
497,1828,1090,385,545,1312,1647,596,473,303,377,478
325,2000,1042,345,633,1312,1637,606,473,283,397,497
310,2010,780,612,633,1312,1299,944,473,283,389,513
219,2055,716,722,633,1282,1296,977,473,275,395,424
219,2052,710,731,633,1247,1326,980,459,243,441,424
211,2060,533,908,633,1247,1326,900,539,208,476,425
234,2065,531,868,675,1247,1309,871,585,208,476,573
197,1789,839,873,675,1246,1269,841,639,219,482,693
196,1767,839,896,675,1079,1414,765,657,299,472,778
196,1734,863,905,675,1079,1372,805,654,304,471,936
196,1675,865,962,675,1079,1298,879,647,298,476,937
279,1675,749,1078,675,1079,1245,932,647,297,462,925
267,1683,715,1090,701,1079,1164,1012,646,299,462,989
256,1687,713,912,888,1079,1164,1012,564,366,477,1032
328,1719,709,920,888,953,902,1400,525,404,423,1146
328,1538,890,920,888,316,1349,1590,499,430,423,1162
358,1292,1136,920,587,607,1303,1646,370,559,423,1162
441,1286,1144,920,587,604,1305,1647,370,559,423,1289
440,1218,1214,889,574,646,1209,1745,370,559,421,1352
443,1080,1352,882,573,650,1194,1764,349,580,387,1460
614,951,1470,891,523,702,1191,1767,300,629,373,1491
626,914,1507,891,523,702,1155,1803,300,629,364,1493
612,928,1507,891,482,740,1158,1603,500,626,367,1533
613,928,1507,891,479,724,1170,1587,523,615,378,1533
544,997,1507,891,464,645,1189,1658,527,561,432,1452
624,997,1507,889,465,646,1178,1669,527,561,432,1449
640,845,1659,889,465,646,1131,1649,594,561,421,1434
688,746,1758,889,465,632,1145,1649,594,561,417,1355
702,617,1805,985,421,509,1312,1649,594,473,408,1329
816,557,1768,1082,421,509,1312,1647,596,473,343,1329
821,511,1812,1090,421,509,1312,1647,596,473,335,1316
829,497,1828,1090,385,545,1312,1647,596,473,303,1316
906,325,2000,1042,345,633,1312,1637,606,473,283,1307
917,310,2010,780,612,633,1312,1299,944,473,283,1292
942,219,2055,716,722,633,1282,1296,977,473,275,1300
942,219,2052,710,731,633,1247,1326,980,459,243,1315
945,211,2060,533,908,633,1247,1326,900,539,208,1314
938,234,2065,531,868,675,1247,1309,871,585,208,1166
990,197,1789,839,873,675,1246,1269,841,639,219,1101
1012,196,1767,839,896,675,1079,1414,765,657,299,1016
1013,196,1734,863,905,675,1079,1372,805,654,304,858
1013,196,1675,865,962,675,1079,1298,879,647,298,857
930,279,1675,749,1078,675,1079,1245,932,647,297,858
987,267,1683,715,1090,701,1079,1164,1012,646,299,828
1003,256,1687,713,912,888,1079,1164,1012,564,366,799
895,328,1719,709,920,888,953,902,1400,525,404,678
960,328,1538,890,920,888,316,1349,1590,499,430,661
935,358,1292,1136,920,587,607,1303,1646,370,559,661
861,441,1286,1144,920,587,604,1305,1647,370,559,534
910,440,1218,1214,889,574,646,1209,1745,370,559,471
943,443,1080,1352,882,573,650,1194,1764,349,580,248
772,614,951,1470,891,523,702,1191,1767,300,629,218
760,626,914,1507,891,523,702,1155,1803,300,629,313
760,612,928,1507,891,482,740,1158,1603,500,626,338
759,613,928,1507,891,479,724,1170,1587,523,615,346
