Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
809,471,2307,647,575,1184,1363,947,389,1450
820,471,2337,437,575,1431,1363,947,564,1470
800,492,2432,363,575,1586,1363,947,600,1470
739,553,2431,232,595,1732,1363,339,695,1473
705,587,2560,233,620,1900,1363,284,770,1520
665,631,2721,276,620,1910,1363,318,820,1432
640,651,2685,283,620,1955,1363,318,890,1420
657,622,2553,292,629,2013,1363,318,890,1420
614,681,2494,319,656,2096,1363,265,900,1420
682,648,2301,465,720,2086,1363,266,925,1420
711,576,2250,756,720,2177,1363,266,956,1420
747,576,2230,941,720,2124,1293,246,956,1420
720,603,2134,1001,720,2111,1150,246,958,1378
711,609,2158,1011,720,2111,993,254,1051,1325
712,597,2120,1011,720,2101,863,251,1043,1212
709,530,2038,1006,699,2101,786,251,1023,1139
709,526,1975,1010,611,2101,639,256,1049,1104
808,529,1969,1052,501,2101,612,259,829,744
807,491,1773,1038,378,2116,594,172,829,687
823,471,1348,1022,339,2103,307,164,877,687
853,466,1256,985,224,2068,297,239,936,687
1387,466,1152,996,194,2068,174,239,1036,657
1509,356,1126,1000,172,2068,264,219,1099,654
1525,356,1057,1061,172,2068,419,209,1244,653
1816,357,1107,1068,172,2008,647,209,1445,575
1921,366,1153,1076,171,1840,657,209,1594,575
1762,546,1253,1085,162,1747,670,206,1602,575
1930,618,1253,1096,162,1737,715,206,1799,567
2053,710,1185,1126,162,1462,715,206,1892,494
2024,753,1129,1126,162,1349,715,206,1930,469
1976,801,951,1126,162,1331,715,206,1945,406
1983,809,958,1126,162,1248,715,206,2207,113
2023,820,994,1126,162,993,800,206,2105,78
2022,800,994,1126,163,838,855,206,2147,79
2035,739,968,1126,178,692,855,201,2092,76
2035,705,839,1125,172,524,855,166,2160,29
2036,665,695,1087,172,527,855,129,2123,41
2036,640,674,1031,172,482,858,129,2053,49
2008,657,677,1022,163,429,858,129,2233,52
1997,614,681,995,187,359,858,129,2343,52
1967,682,681,849,137,201,971,126,2348,145
1992,711,681,538,223,142,1018,126,2452,188
1991,747,626,325,242,142,1101,109,2515,243
2022,720,586,257,314,142,1148,132,2513,243
2019,711,531,247,314,150,1248,136,2420,339
2226,712,531,247,373,175,1453,144,2415,379
2271,709,531,244,397,175,1453,186,2380,394
2320,709,531,256,406,175,1460,181,2312,411
2221,808,531,214,406,175,1460,255,2312,414
2298,807,507,223,396,160,1460,288,2315,414
2325,823,501,236,389,160,1457,298,2267,414
2312,853,501,274,389,147,1457,223,2205,417
1778,1387,528,240,389,124,1457,223,2102,417
1715,1509,513,240,389,124,1252,241,2044,417
1732,1525,532,179,389,124,1087,251,1924,417
1464,1816,482,172,389,124,867,391,1721,417
1356,1921,423,174,389,124,1080,439,1569,445
1320,1762,320,189,389,124,1354,472,1561,603
1080,1930,351,178,389,164,1427,492,1367,608
874,2053,350,148,389,164,1452,577,1289,696
935,2024,390,148,407,284,1485,769,1231,734
978,1976,441,148,407,284,1485,831,1213,744
963,1983,434,148,407,284,1485,831,994,744
970,2023,362,148,413,284,1400,831,921,744
994,2022,266,149,417,287,1345,831,896,743
981,2035,253,149,382,287,1345,841,881,743
1003,2035,283,149,363,282,1345,978,738,743
998,2036,266,143,363,269,1345,978,725,711
998,2036,266,142,378,279,1342,978,740,695
979,2008,263,142,383,274,1342,978,570,692
974,1997,269,142,430,261,1342,981,488,692
934,1967,298,142,527,246,1239,989,491,599
878,1992,298,142,445,211,1192,989,399,556
888,1991,360,142,522,211,1109,1046,456,506
884,2022,366,142,450,211,1057,1266,543,506
1047,2019,383,152,450,206,949,1269,546,425
952,2226,426,152,391,181,719,1261,546,470
1012,2271,526,152,367,456,719,1219,549,505
969,2320,526,136,360,475,734,1219,554,488
967,2221,582,147,361,720,734,1160,669,498
890,2298,594,161,455,753,772,1160,686,518
840,2325,599,155,584,753,772,1150,764,606
823,2312,620,113,617,753,772,1170,814,651
854,1778,638,104,617,748,772,1200,1102,733
806,1715,626,107,638,748,772,1182,1130,733
834,1732,601,107,640,748,772,1172,1133,801
834,1464,614,107,650,748,769,1032,1136,948
859,1356,615,97,662,748,546,984,1154,925
859,1320,613,73,671,748,259,951,1209,775
918,1080,644,73,671,708,141,931,1206,770
910,874,743,104,671,708,116,946,1201,682
835,935,734,104,687,588,83,947,1201,644
792,978,683,104,687,588,113,923,1201,637
792,963,763,167,687,623,118,945,1133,640
734,970,785,212,681,628,118,1063,1133,643
711,994,787,225,676,625,118,1128,1080,656
711,981,788,225,676,638,118,1118,1055,749
689,1003,786,225,676,638,118,966,1055,749
689,998,921,227,676,638,118,966,1058,757
731,998,931,227,661,628,118,999,1043,779
731,979,996,283,656,628,143,1037,1033,852
731,974,992,350,559,628,151,1347,1013,943
731,934,983,355,456,628,141,1509,1000,948
731,878,983,366,463,628,151,1564,957,948
724,888,921,366,437,628,231,1504,837,943
700,884,914,366,437,628,261,1261,758,943
609,1047,897,356,465,630,264,1269,802,928
683,952,854,358,491,658,317,1269,802,843
679,1012,754,358,504,392,317,1302,799,806
719,969,754,358,502,373,295,1302,909,846
716,967,698,347,501,128,345,1394,794,833
716,890,686,317,407,148,327,1559,774,813
716,840,681,310,296,158,330,1559,696,725
716,823,723,310,263,158,330,1542,646,677
745,854,682,310,271,158,330,1572,358,603
772,806,679,301,250,158,330,1755,325,636
711,834,693,301,268,158,340,1755,297,568
687,834,680,301,282,158,335,1755,294,421
708,859,679,301,284,158,335,1755,276,416
726,859,679,315,275,428,335,1755,226,408
667,918,600,319,330,471,335,1755,244,408
666,910,499,288,330,471,335,1655,329,408
666,835,460,288,296,471,335,1462,386,503
666,792,523,288,296,476,305,1424,386,676
666,792,453,225,296,441,300,1402,386,673
666,734,482,197,296,436,300,1284,386,670
665,711,477,276,296,436,300,1219,386,657
665,711,534,298,296,423,305,1219,404,564
665,689,506,323,315,423,365,1334,514,564
665,689,371,321,317,423,435,1399,674,556
623,731,361,335,561,423,435,1471,749,534
623,731,297,601,561,423,415,1488,749,601
623,731,297,910,560,423,407,1175,731,523
623,731,329,921,552,433,407,1008,711,651
623,731,329,917,541,463,397,953,711,663
653,724,329,917,471,471,317,953,744,663
757,700,329,917,471,474,287,953,826,663
806,609,362,957,443,469,284,930,810,710
621,683,369,955,417,441,231,930,905,710
520,679,464,1044,404,432,231,897,905,697
474,719,577,1046,404,432,231,897,790,722
473,716,583,1046,404,432,181,787,790,722
473,716,698,1041,404,379,161,589,820,722
473,716,718,1041,386,369,158,589,820,722
509,716,655,1041,404,369,158,586,820,722
449,745,672,1130,557,369,158,526,1180,714
421,772,674,1193,557,369,158,343,1338,774
438,711,660,1256,537,369,148,343,1591,774
470,687,660,1256,590,369,148,343,1629,822
448,708,660,1294,576,369,148,348,1697,822
449,726,660,1280,591,99,148,348,1897,907
472,667,660,1276,540,56,148,348,2016,907
512,666,794,1365,542,56,313,348,1934,910
552,666,825,1391,561,56,458,491,1880,920
599,666,926,1391,592,51,506,496,1888,887
610,666,938,1391,677,51,521,542,1888,887
610,666,898,1374,684,142,551,590,1891,967
645,665,900,1281,684,208,721,642,1891,997
645,665,840,1259,697,228,789,667,1873,1000
645,665,840,1234,712,245,766,567,1763,1013
646,665,859,1293,724,321,696,535,1600,1013
646,623,864,1282,480,321,696,430,1568,1056
658,623,863,986,521,321,691,375,1593,1031
689,623,857,620,521,336,691,375,1593,1323
689,623,805,638,521,341,691,372,1593,1190
705,623,805,646,521,315,691,372,1593,1458
649,653,805,662,521,307,691,372,1560,1533
577,757,805,669,521,359,691,372,1470,1591
508,806,772,629,521,366,721,372,1439,1569
506,621,765,629,521,376,749,372,1344,1657
506,520,670,540,556,485,764,372,1344,1694
533,474,557,677,580,486,769,372,1344,1629
533,473,551,677,580,538,799,757,1344,1657
533,473,436,677,832,538,817,812,1314,1757
533,473,416,677,1213,565,817,812,1314,1825
497,509,416,677,1290,569,817,812,1314,1843
497,449,391,588,1129,587,817,817,954,1995
487,421,388,532,1129,634,867,892,881,1902
470,438,388,469,1129,634,867,892,633,1902
438,470,388,469,1052,634,1070,937,643,1854
408,448,388,431,1052,634,1308,945,640,1854
389,449,388,431,1048,634,1371,1000,572,1769
400,472,388,431,1072,634,1371,1028,520,1769
384,512,254,342,1070,634,1324,1028,532,1766
359,552,223,316,1091,634,1179,1058,534,1661
312,599,59,320,1182,634,1386,1096,661,1518
301,610,37,320,1191,638,1386,1050,661,1518
301,610,65,320,1184,547,1447,1002,670,1781
266,645,96,320,1184,481,1277,1138,670,1756
266,645,97,320,1171,461,1249,1150,673,1753
266,645,97,381,1258,444,1217,1135,673,1740
272,646,78,322,1268,368,1217,1102,673,1740
273,646,73,374,1378,368,1217,1102,630,1697
261,658,73,351,1337,479,1217,1102,700,1582
230,689,75,541,1339,483,1217,1102,833,1277
268,689,75,512,1339,468,1217,1102,873,1277
252,705,75,510,1344,464,1217,1102,908,1037
252,649,75,494,1348,464,1217,1102,1026,1195
