Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
444,553,989,803,721,441,521,1048,582,946
436,508,657,832,595,428,522,1354,569,939
383,561,610,757,502,433,522,1398,558,948
290,654,580,714,386,433,522,1532,514,1147
169,778,667,707,336,485,538,1532,472,1391
99,848,588,777,314,485,576,1532,472,1343
98,842,546,709,314,486,577,1532,472,1240
98,841,497,704,278,517,660,1532,472,1221
85,854,389,706,278,517,683,1532,472,1222
84,743,367,735,278,532,703,1532,472,1104
84,694,411,731,319,538,901,1532,472,1070
84,644,430,698,319,578,1050,1527,472,1056
84,636,430,704,319,578,1017,1528,472,1020
88,641,434,712,319,578,985,1521,472,898
88,641,448,712,307,578,1026,1493,507,881
88,637,534,668,247,522,1079,1489,517,868
81,637,654,746,374,515,1118,1489,517,871
263,643,683,904,374,513,1127,1489,517,851
365,642,690,959,354,506,1179,1517,563,863
356,661,694,1014,380,650,1086,1506,586,868
354,657,748,1015,387,650,1073,1500,573,954
381,630,803,1015,387,635,1073,1372,572,1036
750,567,803,1015,387,608,1050,1371,650,1124
750,557,815,1015,387,562,1072,1332,701,1188
750,541,815,1015,391,545,1080,1318,650,1172
750,541,793,1015,384,545,1102,1241,767,1200
750,541,792,1036,357,545,1026,1213,777,1205
750,541,790,1036,346,530,1016,1279,642,1197
750,541,722,1039,345,528,1017,1151,487,1182
750,541,746,914,311,530,1017,1058,487,1182
736,520,780,836,247,525,1049,1020,490,1181
736,444,991,738,230,500,1091,782,491,1051
764,436,994,709,230,516,1091,550,491,1036
771,383,978,697,230,513,1091,564,491,1092
778,290,1049,628,230,513,1091,437,495,999
775,169,1086,622,224,461,1075,438,541,839
775,99,1304,591,224,461,1042,438,546,907
786,98,1243,601,225,460,1082,443,592,956
786,98,1240,707,246,429,1059,445,607,985
888,85,1200,706,258,429,1036,445,870,987
1042,84,1199,704,270,479,1021,445,925,952
1063,84,1145,801,229,518,817,445,980,952
1083,84,1126,914,239,593,650,445,1012,1144
1086,84,1126,930,239,726,549,443,1212,1147
1077,88,1122,1066,240,745,482,443,1216,1147
1080,88,1108,1066,431,746,440,434,1181,1147
1148,88,1022,1066,444,746,387,434,1171,1157
1139,81,902,988,339,666,348,434,1171,1154
951,263,873,830,427,605,339,434,1211,1141
848,365,866,775,433,609,279,406,1275,1128
837,356,884,720,417,526,273,361,1382,1123
837,354,830,732,446,558,273,342,1380,1051
835,381,775,732,446,558,293,314,1419,980
485,750,775,777,446,555,293,312,1435,924
485,750,763,880,446,555,273,312,1402,859
485,750,776,999,442,555,292,312,1469,817
485,750,835,1016,441,568,271,286,1491,744
489,750,835,1042,464,568,271,267,1457,707
489,750,914,1206,486,567,314,198,1448,729
508,750,1079,1294,515,567,313,324,1448,769
510,750,1071,1328,522,565,313,366,1448,769
510,736,1087,1412,674,548,281,367,1445,820
632,736,920,1412,674,553,230,364,1444,897
672,764,917,1429,675,543,235,262,1444,874
720,771,917,1499,687,544,241,329,1469,823
713,778,846,1523,691,550,266,322,1479,753
765,775,704,1519,762,554,266,321,1433,727
780,775,463,1509,822,560,263,321,1428,670
837,786,513,1499,832,560,228,316,1382,668
838,786,715,1315,817,573,168,317,1367,708
743,888,786,1308,805,594,255,317,1105,758
592,1042,812,1281,793,529,251,317,1050,780
571,1063,863,1146,793,484,251,317,1091,851
551,1083,892,1031,783,369,251,317,1059,717
548,1086,1008,1008,783,236,251,317,859,723
548,1077,1018,870,782,217,251,317,855,794
545,1080,1018,920,591,216,251,317,1089,819
477,1148,1022,955,573,216,290,317,1246,815
466,1139,1055,992,591,216,362,317,1349,923
466,951,1231,992,516,187,396,317,1368,1135
462,848,1254,1207,510,190,443,317,1260,1167
534,837,1232,1211,500,129,447,317,1130,1219
547,837,1251,1219,634,106,447,317,1130,1280
571,835,1251,1224,717,106,427,402,1080,1305
600,485,1256,1179,721,162,427,438,986,1272
622,485,1327,1076,768,184,425,438,960,1285
648,485,1358,976,805,189,394,440,857,1404
654,485,1299,972,875,227,393,440,718,1400
650,489,1306,954,958,252,385,471,694,1400
650,489,1233,831,950,252,329,469,693,1378
631,508,1068,740,1056,252,329,422,693,1338
629,510,1040,706,1104,252,415,409,693,1355
629,510,989,621,977,252,417,409,693,1322
507,632,945,621,977,263,453,409,693,1341
439,672,977,604,976,265,517,410,693,1375
384,720,1094,534,964,318,526,282,668,1426
388,713,1112,510,960,340,512,282,654,1424
340,765,1112,510,889,342,529,282,654,1374
326,780,1158,475,829,336,527,282,654,1441
258,837,1108,475,818,336,523,285,654,1452
257,838,917,475,815,323,523,282,654,1384
250,743,852,475,823,302,436,282,653,1331
247,592,888,475,846,302,435,282,653,1309
247,571,930,475,856,302,435,282,585,1336
247,551,927,475,915,342,435,282,646,1330
290,548,811,475,922,383,435,282,706,1334
492,548,801,469,922,383,443,282,708,1263
578,545,803,419,922,406,472,282,530,1263
578,477,857,384,922,470,515,282,433,1267
578,466,825,347,877,476,446,282,330,1161
578,466,696,347,906,476,412,283,271,952
578,462,673,132,906,460,514,284,267,920
505,534,685,128,906,463,510,284,267,868
492,547,674,107,736,455,510,284,267,1064
448,571,674,102,653,564,510,202,267,1087
471,600,669,102,682,568,510,287,295,1117
451,622,598,102,635,545,542,299,328,1123
479,648,716,83,598,551,563,326,393,1057
473,654,724,136,528,500,569,370,405,1209
473,650,730,107,520,475,569,518,430,1209
473,650,747,66,517,475,571,525,465,1209
473,631,747,66,382,475,571,432,466,1288
473,629,747,66,327,545,523,403,498,1271
473,629,747,90,302,568,538,402,750,1253
475,507,747,92,317,559,503,402,809,1157
475,439,715,92,317,565,502,401,818,1123
475,384,598,198,317,607,694,401,818,1058
476,388,579,279,427,590,892,405,818,1021
540,340,579,370,432,584,877,413,818,1013
683,326,532,370,432,584,877,413,818,929
721,258,532,398,432,584,984,410,820,871
776,257,521,413,557,584,984,452,820,870
776,250,515,433,571,677,992,464,833,870
935,247,453,444,548,766,992,500,869,881
983,247,360,479,538,766,992,500,841,787
983,247,392,638,876,726,992,506,780,779
945,290,418,724,869,685,992,574,720,769
743,492,423,724,908,685,984,821,827,785
662,578,437,762,959,662,955,1091,771,760
662,578,379,902,1144,723,873,1091,711,750
703,578,378,903,1191,721,870,1121,711,748
703,578,331,903,1160,722,870,1158,727,745
703,578,331,903,1173,737,721,1157,739,745
703,505,326,903,1197,734,721,1247,745,745
703,492,321,951,1247,733,721,1247,756,474
709,448,330,1112,1385,624,721,1244,767,415
639,471,367,1159,1384,563,721,1123,739,385
648,451,386,1177,1384,563,689,1111,711,366
594,479,291,1183,1487,796,668,1179,646,312
594,473,354,1123,1512,796,675,1135,634,157
594,473,341,1195,1428,796,675,956,609,157
594,473,318,1443,1468,796,673,949,574,159
594,473,330,1443,1468,796,707,984,573,90
594,473,345,1443,1468,772,669,1005,559,117
594,473,345,1419,1470,749,710,1022,382,117
592,475,567,1417,1456,740,709,1046,334,117
650,475,653,1417,1456,758,640,1046,461,117
685,475,658,1311,1456,660,433,1046,461,208
684,476,658,1261,1346,649,224,1131,465,222
661,540,658,1204,1341,649,222,1123,488,222
711,683,658,1278,1341,649,295,1161,504,356
757,721,658,1250,1341,649,208,1161,517,364
702,776,746,1235,1213,649,299,1120,523,364
702,776,746,1220,1191,556,291,1108,510,364
543,935,824,1237,1288,468,291,1240,474,353
879,983,841,1290,1338,468,291,1240,476,666
879,983,836,1175,941,468,291,1234,476,678
874,945,810,1213,941,468,291,1230,476,748
874,743,805,1267,1017,468,305,983,367,733
869,662,846,1230,1114,468,326,713,367,733
882,662,848,1122,929,343,326,713,367,733
889,703,848,1173,898,339,327,683,367,733
889,703,876,1266,879,338,423,645,351,733
889,703,876,1383,866,323,423,645,339,733
889,703,869,1425,842,323,444,555,333,733
905,703,1109,1448,933,325,444,555,322,733
893,709,1100,1409,803,326,444,555,311,757
892,639,1063,1376,782,326,444,555,311,791
881,648,1044,1399,782,376,444,555,330,791
888,594,977,1401,681,334,444,458,330,791
888,594,906,1398,656,392,431,484,330,793
888,594,906,1374,642,456,484,523,340,793
888,594,1077,1320,591,505,587,549,408,791
888,594,1153,1495,591,505,568,537,492,781
888,594,1138,1529,591,493,606,611,474,754
888,594,1138,1589,608,507,548,594,415,772
898,592,916,1618,624,759,548,570,406,929
892,650,870,1618,625,772,623,570,270,937
896,685,895,1713,629,848,671,570,270,846
933,684,895,1689,629,848,695,481,274,832
888,661,900,1656,629,848,705,481,465,854
694,711,967,1583,629,848,634,443,449,721
655,757,971,1591,629,848,614,443,436,759
750,702,883,1593,629,848,523,442,524,1039
750,702,883,1588,629,848,523,442,538,1156
750,543,805,1560,532,847,523,274,541,1165
366,879,808,1472,482,847,523,281,539,848
471,879,765,1428,482,847,525,281,561,834
490,874,766,1304,482,957,661,217,561,820
508,874,832,1307,367,957,715,217,561,890
511,869,820,1382,219,1024,724,232,561,893
498,882,821,1417,219,1024,776,392,561,893
508,889,821,1369,223,1024,775,392,561,893
705,889,793,1313,223,1027,679,392,564,909
727,889,793,1197,223,1076,679,396,569,909
727,889,793,1155,223,1093,681,398,571,909
711,905,622,1084,82,1091,689,471,571,909
749,893,801,962,88,1134,689,493,571,885
749,892,854,992,124,1273,689,493,571,851
754,881,854,995,124,1657,689,493,547,851
747,888,854,987,122,1456,689,532,557,851
747,888,854,984,122,1398,689,506,598,849
747,888,869,936,134,1334,636,467,605,849
786,888,704,834,188,1285,533,441,600,853
786,888,690,659,222,1286,525,417,555,902
786,888,904,625,501,1252,506,322,593,930
786,888,904,565,482,1297,506,322,577,947
776,898,904,840,465,1045,506,322,594,856
743,892,864,881,465,1055,454,322,594,1001
704,896,879,810,461,1007,406,322,596,1002
663,933,879,899,475,1007,382,322,622,1003
832,888,874,907,531,1007,499,322,466,993
855,694,828,906,612,1019,497,322,469,992
810,655,877,903,617,1032,567,322,467,946
935,750,880,901,713,1135,654,322,373,666
935,750,880,901,831,1249,682,322,359,549
935,750,888,952,832,1249,682,322,356,540
935,366,869,1009,834,1249,863,315,356,589
830,471,865,1035,1012,1249,900,494,334,551
811,490,864,1035,1021,1139,995,623,334,525
793,508,839,1028,1044,1160,927,623,363,458
790,511,812,963,1062,1093,1010,608,371,455
793,498,809,974,1132,1093,982,448,424,455
735,508,922,1304,1113,1093,982,448,427,455
538,705,922,1268,1113,1092,983,448,464,439
