Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
1197,906,734,721,1247,745,745,523,260,430
1247,736,733,721,1247,756,474,557,260,448
1385,653,624,721,1244,767,415,590,260,454
1384,682,563,721,1123,739,385,591,259,369
1384,635,563,689,1111,711,366,607,293,460
1487,598,796,668,1179,646,312,624,293,430
1512,528,796,675,1135,634,157,756,316,431
1428,520,796,675,956,609,157,756,316,553
1468,517,796,673,949,574,159,756,250,526
1468,382,796,707,984,573,90,756,285,513
1468,327,772,669,1005,559,117,769,396,513
1470,302,749,710,1022,382,117,809,443,513
1456,317,740,709,1046,334,117,997,487,512
1456,317,758,640,1046,461,117,940,488,512
1456,317,660,433,1046,461,208,936,517,620
1346,427,649,224,1131,465,222,931,540,620
1341,432,649,222,1123,488,222,938,540,628
1341,432,649,295,1161,504,356,947,491,628
1341,432,649,208,1161,517,364,944,485,644
1213,557,649,299,1120,523,364,858,492,676
1191,571,556,291,1108,510,364,857,822,680
1288,548,468,291,1240,474,353,857,822,732
1338,538,468,291,1240,476,666,857,822,756
941,876,468,291,1234,476,678,832,822,771
941,869,468,291,1230,476,748,811,814,775
1017,908,468,305,983,367,733,789,773,776
1114,959,468,326,713,367,733,725,770,776
929,1144,343,326,713,367,733,725,779,776
898,1191,339,327,683,367,733,607,813,776
879,1160,338,423,645,351,733,603,812,776
866,1173,323,423,645,339,733,609,812,776
842,1197,323,444,555,333,733,610,812,776
933,1247,325,444,555,322,733,618,812,764
803,1385,326,444,555,311,757,585,930,749
782,1384,326,444,555,311,791,584,1024,716
782,1384,376,444,555,330,791,568,991,485
681,1487,334,444,458,330,791,551,1016,477
656,1512,392,431,484,330,793,405,1053,514
642,1428,456,484,523,340,793,486,1053,410
591,1468,505,587,549,408,791,717,1053,410
591,1468,505,568,537,492,781,717,1018,354
591,1468,493,606,611,474,754,896,907,354
608,1470,507,548,594,415,772,883,858,354
624,1456,759,548,570,406,929,667,1022,354
625,1456,772,623,570,270,937,887,1062,410
629,1456,848,671,570,270,846,920,1003,301
629,1346,848,695,481,274,832,1176,980,314
629,1341,848,705,481,465,854,1208,980,339
