Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
582,788,946,1633,512,1049,509,547,809,2307
569,801,939,1622,543,1091,488,525,820,2337
558,812,948,1600,590,1168,457,524,800,2432
514,856,1147,1671,633,1240,410,524,739,2431
472,898,1391,1671,611,1339,403,524,705,2560
472,898,1343,1691,611,1360,403,525,665,2721
472,844,1240,1641,628,1391,403,522,640,2685
472,715,1221,1668,665,1391,403,522,657,2553
472,562,1222,1615,680,1382,403,531,614,2494
472,559,1104,1602,675,1315,403,549,682,2301
472,559,1070,1451,635,1184,403,549,711,2250
472,559,1056,1158,589,1135,403,550,747,2230
472,536,1020,1037,582,1141,350,550,720,2134
472,536,898,1006,588,1142,350,550,711,2158
507,535,881,1001,592,1169,350,550,712,2120
517,535,868,1001,590,1242,350,550,709,2038
517,535,871,982,607,1123,295,550,709,1975
517,535,851,865,582,1160,315,546,808,1969
563,537,863,705,490,1229,389,546,807,1773
586,537,868,705,487,1139,321,428,823,1348
573,552,954,719,487,1021,319,357,853,1256
572,564,1036,727,486,1021,346,275,1387,1152
650,493,1124,719,486,1019,244,78,1509,1126
701,496,1188,691,486,962,248,52,1525,1057
650,547,1172,510,530,867,248,52,1816,1107
767,508,1200,341,526,823,250,73,1921,1153
777,496,1205,260,473,815,253,73,1762,1253
642,609,1197,199,536,814,253,73,1930,1253
487,763,1182,284,536,785,247,73,2053,1185
487,681,1182,293,536,785,211,68,2024,1129
490,598,1181,286,536,772,209,63,1976,951
491,582,1051,279,536,763,209,63,1983,958
491,569,1036,295,505,622,209,123,2023,994
491,558,1092,295,458,540,179,124,2022,994
495,514,999,219,438,468,185,124,2035,968
541,472,839,219,468,369,228,124,2035,839
546,472,907,220,519,348,228,123,2036,695
592,472,956,248,549,320,228,117,2036,674
607,472,985,301,514,320,228,122,2008,677
870,472,987,302,466,320,228,113,1997,681
925,472,952,389,466,320,246,121,1967,681
980,472,952,389,467,320,259,124,1992,681
1012,472,1144,411,462,320,380,297,1991,626
1212,472,1147,433,456,313,538,304,2022,586
1216,472,1147,443,437,308,627,308,2019,531
1181,507,1147,511,434,281,636,308,2226,531
1171,517,1157,582,439,208,636,353,2271,531
1171,517,1154,584,426,204,643,378,2320,531
1211,517,1141,700,457,114,790,534,2221,531
1275,563,1128,710,511,18,709,569,2298,507
1382,586,1123,710,581,11,717,723,2325,501
1380,573,1051,696,640,20,731,723,2312,501
1419,572,980,688,720,44,692,723,1778,528
1435,650,924,686,733,44,703,724,1715,513
1402,701,859,726,743,40,847,719,1732,532
1469,650,817,754,696,38,1129,719,1464,482
1491,767,744,754,611,38,1244,733,1356,423
1457,777,707,754,565,38,1244,733,1320,320
1448,642,729,844,494,59,1244,735,1080,351
1448,487,769,807,546,60,1245,751,874,350
1448,487,769,794,604,61,1245,751,935,390
1445,490,820,934,683,80,1299,751,978,441
1444,491,897,937,744,281,1321,751,963,434
1444,491,874,921,761,322,1334,691,970,362
1469,491,823,921,761,364,1334,690,994,266
1479,495,753,920,745,496,1328,697,981,253
1433,541,727,938,744,625,1268,697,1003,283
1428,546,670,916,707,625,1268,697,998,266
1382,592,668,890,694,620,1268,697,998,266
1367,607,708,797,692,625,1268,692,979,263
1105,870,758,793,691,626,1268,692,974,269
1050,925,780,706,691,628,1250,666,934,298
1091,980,851,728,690,629,1253,663,878,298
1059,1012,717,706,690,631,1133,489,888,360
859,1212,723,684,690,631,975,482,884,366
855,1216,794,675,690,631,886,478,1047,383
1089,1181,819,610,710,631,882,478,952,426
1246,1171,815,539,710,631,925,433,1012,526
1349,1171,923,537,708,632,926,423,969,526
1368,1211,1135,420,705,635,753,339,967,582
1260,1275,1167,409,692,635,748,345,890,594
1130,1382,1219,410,648,655,759,205,840,599
1130,1380,1280,485,589,646,745,205,823,620
1080,1419,1305,563,525,622,757,205,854,638
986,1435,1272,572,539,627,744,239,806,626
960,1402,1285,555,543,629,596,240,834,601
857,1469,1404,527,636,629,347,240,834,614
718,1491,1400,655,636,629,232,224,859,615
694,1457,1400,719,636,629,229,236,859,613
693,1448,1378,645,636,608,229,234,918,644
693,1448,1338,598,584,607,228,218,910,743
693,1448,1355,597,533,650,228,218,835,734
693,1445,1322,493,473,895,177,218,792,683
693,1444,1341,503,413,809,158,229,792,763
693,1444,1375,525,396,800,155,229,734,785
668,1469,1426,525,402,892,174,229,711,787
654,1479,1424,525,462,856,174,222,711,788
654,1433,1374,507,433,729,174,222,689,786
654,1428,1441,506,419,782,174,222,689,921
654,1382,1452,504,381,813,174,222,731,931
654,1367,1384,565,395,813,174,228,731,996
653,1105,1331,595,511,815,174,240,731,992
653,1050,1309,651,555,813,174,240,731,983
585,1091,1336,673,774,815,159,240,731,983
646,1059,1330,710,787,926,158,240,724,921
706,859,1334,780,787,927,158,240,700,914
708,855,1263,781,787,975,158,240,609,897
530,1089,1263,778,767,1042,153,240,683,854
433,1246,1267,781,762,1042,110,240,679,754
330,1349,1161,781,784,1119,102,225,719,754
271,1368,952,782,789,1123,102,153,716,698
267,1260,920,782,773,1123,102,112,716,686
267,1130,868,860,773,1103,83,106,716,681
267,1130,1064,785,773,1105,83,110,716,723
267,1080,1087,707,757,1114,98,110,745,682
295,986,1117,698,731,1245,195,73,772,679
328,960,1123,675,712,1385,242,72,711,693
393,857,1057,675,619,1423,220,80,687,680
405,718,1209,561,619,1423,229,61,708,679
430,694,1209,497,619,1423,229,49,726,679
465,693,1209,472,685,1450,229,53,667,600
466,693,1288,468,685,1519,229,160,666,499
498,693,1271,518,678,1475,229,183,666,460
750,693,1253,482,661,1211,227,183,666,523
809,693,1157,506,663,1097,427,172,666,453
818,693,1123,542,668,1069,517,177,666,482
818,668,1058,546,693,937,516,207,665,477
818,654,1021,551,626,841,517,207,665,534
818,654,1013,551,626,839,587,207,665,506
818,654,929,551,675,786,617,207,665,371
820,654,871,554,681,755,638,207,623,361
820,654,870,579,673,750,653,201,623,297
833,653,870,550,595,747,653,189,623,297
869,653,881,494,551,747,653,189,623,329
841,585,787,450,332,744,678,190,623,329
780,646,779,438,319,631,710,212,653,329
720,706,769,389,327,630,710,329,757,329
827,708,785,409,368,582,849,430,806,362
771,530,760,473,369,515,851,495,621,369
711,433,750,470,367,515,927,495,520,464
711,330,748,591,343,437,1054,498,474,577
727,271,745,594,311,430,1054,528,473,583
739,267,745,594,286,430,1054,531,473,698
745,267,745,523,260,430,1054,523,473,718
756,267,474,557,260,448,1054,568,509,655
767,267,415,590,260,454,1027,641,449,672
739,295,385,591,259,369,930,713,421,674
711,328,366,607,293,460,883,713,438,660
646,393,312,624,293,430,872,705,470,660
634,405,157,756,316,431,861,705,448,660
609,430,157,756,316,553,861,705,449,660
574,465,159,756,250,526,861,840,472,660
573,466,90,756,285,513,861,749,512,794
559,498,117,769,396,513,861,726,552,825
382,750,117,809,443,513,860,726,599,926
334,809,117,997,487,512,657,726,610,938
461,818,117,940,488,512,557,721,610,898
461,818,208,936,517,620,731,691,645,900
465,818,222,931,540,620,866,691,645,840
488,818,222,938,540,628,796,691,645,840
504,818,356,947,491,628,766,691,646,859
517,820,364,944,485,644,885,691,646,864
523,820,364,858,492,676,870,691,658,863
510,833,364,857,822,680,1077,691,689,857
474,869,353,857,822,732,1116,691,689,805
476,841,666,857,822,756,1090,690,705,805
476,780,678,832,822,771,1092,668,649,805
476,720,748,811,814,775,1310,551,577,805
367,827,733,789,773,776,1171,450,508,772
367,771,733,725,770,776,1178,385,506,765
367,711,733,725,779,776,1144,480,506,670
367,711,733,607,813,776,1098,484,533,557
351,727,733,603,812,776,1180,464,533,551
339,739,733,609,812,776,1410,461,533,436
333,745,733,610,812,776,1516,466,533,416
322,756,733,618,812,764,1606,417,497,416
311,767,757,585,930,749,1747,344,497,391
311,739,791,584,1024,716,1843,272,487,388
330,711,791,568,991,485,1843,273,470,388
330,646,791,551,1016,477,1871,286,438,388
330,634,793,405,1053,514,1911,295,408,388
340,609,793,486,1053,410,1921,316,389,388
408,574,791,717,1053,410,1989,251,400,388
492,573,781,717,1018,354,2059,250,384,254
474,559,754,896,907,354,2314,295,359,223
415,382,772,883,858,354,2317,366,312,59
406,334,929,667,1022,354,2322,383,301,37
270,461,937,887,1062,410,2331,395,301,65
270,461,846,920,1003,301,2139,395,266,96
274,465,832,1176,980,314,2003,419,266,97
465,488,854,1208,980,339,2003,426,266,97
449,504,721,1211,980,356,2003,426,272,78
436,517,759,1219,1190,360,1868,426,273,73
524,523,1039,1328,1177,424,1868,426,261,73
538,510,1156,1364,809,421,1766,426,230,75
541,474,1165,1402,824,391,1727,426,268,75
539,476,848,1415,824,454,1727,426,252,75
561,476,834,1415,824,543,1821,426,252,75
561,476,820,1415,824,540,1628,426,217,75
561,367,890,1415,824,539,1679,426,158,77
561,367,893,1415,824,539,1701,426,158,77
561,367,893,1415,826,539,1659,331,158,77
