Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8
901,848,1119,444,989,803,721,441,521,1048
1010,850,1106,436,657,832,595,428,522,1354
1092,849,1050,383,610,757,502,433,522,1398
1091,832,1049,290,580,714,386,433,522,1532
1086,820,974,169,667,707,336,485,538,1532
1314,821,919,99,588,777,314,485,576,1532
1335,722,886,98,546,709,314,486,577,1532
1203,754,802,98,497,704,278,517,660,1532
1293,702,798,85,389,706,278,517,683,1532
1287,612,706,84,367,735,278,532,703,1532
1306,559,692,84,411,731,319,538,901,1532
1325,410,691,84,430,698,319,578,1050,1527
1365,388,709,84,430,704,319,578,1017,1528
1364,306,709,88,434,712,319,578,985,1521
1415,302,709,88,448,712,307,578,1026,1493
1384,332,774,88,534,668,247,522,1079,1489
1369,347,845,81,654,746,374,515,1118,1489
1359,377,845,263,683,904,374,513,1127,1489
1255,480,840,365,690,959,354,506,1179,1517
1248,495,833,356,694,1014,380,650,1086,1506
1166,577,815,354,748,1015,387,650,1073,1500
1026,717,645,381,803,1015,387,635,1073,1372
919,809,634,750,803,1015,387,608,1050,1371
844,883,602,750,815,1015,387,562,1072,1332
868,884,549,750,815,1015,391,545,1080,1318
898,882,549,750,793,1015,384,545,1102,1241
896,883,519,750,792,1036,357,545,1026,1213
900,887,535,750,790,1036,346,530,1016,1279
928,889,468,750,722,1039,345,528,1017,1151
928,852,417,750,746,914,311,530,1017,1058
928,851,351,736,780,836,247,525,1049,1020
878,901,357,736,991,738,230,500,1091,782
770,1010,441,764,994,709,230,516,1091,550
708,1092,604,771,978,697,230,513,1091,564
705,1091,607,778,1049,628,230,513,1091,437
705,1086,644,775,1086,622,224,461,1075,438
476,1314,644,775,1304,591,224,461,1042,438
428,1335,641,786,1243,601,225,460,1082,443
428,1203,641,786,1240,707,246,429,1059,445
309,1293,628,888,1200,706,258,429,1036,445
311,1287,621,1042,1199,704,270,479,1021,445
309,1306,622,1063,1145,801,229,518,817,445
347,1325,622,1083,1126,914,239,593,650,445
316,1365,601,1086,1126,930,239,726,549,443
321,1364,620,1077,1122,1066,240,745,482,443
351,1415,627,1080,1108,1066,431,746,440,434
359,1384,562,1148,1022,1066,444,746,387,434
359,1369,517,1139,902,988,339,666,348,434
339,1359,556,951,873,830,427,605,339,434
339,1255,556,848,866,775,433,609,279,406
337,1248,556,837,884,720,417,526,273,361
337,1166,570,837,830,732,446,558,273,342
337,1026,574,835,775,732,446,558,293,314
337,919,708,485,775,777,446,555,293,312
367,844,708,485,763,880,446,555,273,312
342,868,749,485,776,999,442,555,292,312
391,898,778,485,835,1016,441,568,271,286
399,896,804,489,835,1042,464,568,271,267
388,900,982,489,914,1206,486,567,314,198
358,928,935,508,1079,1294,515,567,313,324
358,928,931,510,1071,1328,522,565,313,366
358,928,910,510,1087,1412,674,548,281,367
358,878,901,632,920,1412,674,553,230,364
355,770,816,672,917,1429,675,543,235,262
378,708,692,720,917,1499,687,544,241,329
378,705,689,713,846,1523,691,550,266,322
378,705,652,765,704,1519,762,554,266,321
378,476,652,780,463,1509,822,560,263,321
378,428,652,837,513,1499,832,560,228,316
370,428,652,838,715,1315,817,573,168,317
370,309,652,743,786,1308,805,594,255,317
388,311,652,592,812,1281,793,529,251,317
375,309,651,571,863,1146,793,484,251,317
312,347,651,551,892,1031,783,369,251,317
297,316,651,548,1008,1008,783,236,251,317
296,321,632,548,1018,870,782,217,251,317
215,351,625,545,1018,920,591,216,251,317
219,359,628,477,1022,955,573,216,290,317
219,359,782,466,1055,992,591,216,362,317
219,339,820,466,1231,992,516,187,396,317
219,339,824,462,1254,1207,510,190,443,317
211,337,824,534,1232,1211,500,129,447,317
211,337,804,547,1251,1219,634,106,447,317
211,337,797,571,1251,1224,717,106,427,402
211,337,790,600,1256,1179,721,162,427,438
181,367,807,622,1327,1076,768,184,425,438
181,342,784,648,1358,976,805,189,394,440
102,391,816,654,1299,972,875,227,393,440
94,399,821,650,1306,954,958,252,385,471
124,388,645,650,1233,831,950,252,329,469
154,358,628,631,1068,740,1056,252,329,422
197,358,688,629,1040,706,1104,252,415,409
259,358,697,629,989,621,977,252,417,409
330,358,736,507,945,621,977,263,453,409
330,355,739,439,977,604,976,265,517,410
297,378,700,384,1094,534,964,318,526,282
297,378,700,388,1112,510,960,340,512,282
297,378,725,340,1112,510,889,342,529,282
297,378,725,326,1158,475,829,336,527,282
297,378,725,258,1108,475,818,336,523,285
297,370,725,257,917,475,815,323,523,282
317,370,731,250,852,475,823,302,436,282
297,388,735,247,888,475,846,302,435,282
292,375,735,247,930,475,856,302,435,282
292,312,735,247,927,475,915,342,435,282
287,297,735,290,811,475,922,383,435,282
295,296,735,492,801,469,922,383,443,282
295,215,735,578,803,419,922,406,472,282
283,219,732,578,857,384,922,470,515,282
283,219,552,578,825,347,877,476,446,282
283,219,475,578,696,347,906,476,412,283
283,219,471,578,673,132,906,460,514,284
288,211,471,505,685,128,906,463,510,284
314,211,471,492,674,107,736,455,510,284
314,211,500,448,674,102,653,564,510,202
314,211,373,471,669,102,682,568,510,287
314,181,311,451,598,102,635,545,542,299
352,181,289,479,716,83,598,551,563,326
360,102,228,473,724,136,528,500,569,370
390,94,198,473,730,107,520,475,569,518
360,124,190,473,747,66,517,475,571,525
330,154,275,473,747,66,382,475,571,432
287,197,276,473,747,66,327,545,523,403
225,259,267,473,747,90,302,568,538,402
154,330,228,475,747,92,317,559,503,402
154,330,486,475,715,92,317,565,502,401
144,297,507,475,598,198,317,607,694,401
144,297,507,476,579,279,427,590,892,405
186,297,533,540,579,370,432,584,877,413
186,297,533,683,532,370,432,584,877,413
186,297,632,721,532,398,432,584,984,410
186,297,632,776,521,413,557,584,984,452
179,317,626,776,515,433,571,677,992,464
187,297,627,935,453,444,548,766,992,500
187,292,627,983,360,479,538,766,992,500
187,292,627,983,392,638,876,726,992,506
218,287,693,945,418,724,869,685,992,574
255,295,693,743,423,724,908,685,984,821
364,295,693,662,437,762,959,662,955,1091
425,283,693,662,379,902,1144,723,873,1091
425,283,693,703,378,903,1191,721,870,1121
433,283,693,703,331,903,1160,722,870,1158
433,283,693,703,331,903,1173,737,721,1157
428,288,693,703,326,903,1197,734,721,1247
402,314,765,703,321,951,1247,733,721,1247
402,314,866,709,330,1112,1385,624,721,1244
402,314,871,639,367,1159,1384,563,721,1123
402,314,893,648,386,1177,1384,563,689,1111
364,352,972,594,291,1183,1487,796,668,1179
356,360,1100,594,354,1123,1512,796,675,1135
435,390,1106,594,341,1195,1428,796,675,956
435,360,1096,594,318,1443,1468,796,673,949
435,330,1008,594,330,1443,1468,796,707,984
488,287,947,594,345,1443,1468,772,669,1005
488,225,947,594,345,1419,1470,749,710,1022
528,154,947,592,567,1417,1456,740,709,1046
630,154,940,650,653,1417,1456,758,640,1046
633,144,919,685,658,1311,1456,660,433,1046
648,144,1062,684,658,1261,1346,649,224,1131
611,186,1073,661,658,1204,1341,649,222,1123
674,186,1164,711,658,1278,1341,649,295,1161
674,186,1100,757,658,1250,1341,649,208,1161
711,186,1129,702,746,1235,1213,649,299,1120
698,179,1129,702,746,1220,1191,556,291,1108
690,187,1151,543,824,1237,1288,468,291,1240
726,187,1151,879,841,1290,1338,468,291,1240
741,187,1151,879,836,1175,941,468,291,1234
760,218,1151,874,810,1213,941,468,291,1230
754,255,1151,874,805,1267,1017,468,305,983
864,364,1158,869,846,1230,1114,468,326,713
811,425,1160,882,848,1122,929,343,326,713
1097,425,1160,889,848,1173,898,339,327,683
1101,433,1160,889,876,1266,879,338,423,645
1102,433,1160,889,876,1383,866,323,423,645
1104,428,1160,889,869,1425,842,323,444,555
1104,402,1088,905,1109,1448,933,325,444,555
1105,402,958,893,1100,1409,803,326,444,555
1105,402,953,892,1063,1376,782,326,444,555
1164,402,931,881,1044,1399,782,376,444,555
1164,364,852,888,977,1401,681,334,444,458
1164,356,724,888,906,1398,656,392,431,484
1055,435,716,888,906,1374,642,456,484,523
1055,435,716,888,1077,1320,591,505,587,549
1055,435,716,888,1153,1495,591,505,568,537
1002,488,716,888,1138,1529,591,493,606,611
1002,488,716,888,1138,1589,608,507,548,594
962,528,716,898,916,1618,624,759,548,570
860,630,462,892,870,1618,625,772,623,570
