Accum_y-0,T-1,Accum_y-1
901,848,1119
1010,850,1106
1092,849,1050
1091,832,1049
1086,820,974
1314,821,919
1335,722,886
1203,754,802
1293,702,798
1287,612,706
1306,559,692
1325,410,691
1365,388,709
1364,306,709
1415,302,709
1384,332,774
1369,347,845
1359,377,845
1255,480,840
1248,495,833
1166,577,815
1026,717,645
919,809,634
844,883,602
868,884,549
898,882,549
896,883,519
900,887,535
928,889,468
928,852,417
928,851,351
878,901,357
770,1010,441
708,1092,604
705,1091,607
705,1086,644
476,1314,644
428,1335,641
428,1203,641
309,1293,628
311,1287,621
309,1306,622
347,1325,622
316,1365,601
321,1364,620
351,1415,627
359,1384,562
359,1369,517
339,1359,556
339,1255,556
337,1248,556
337,1166,570
337,1026,574
337,919,708
367,844,708
342,868,749
391,898,778
399,896,804
388,900,982
358,928,935
358,928,931
358,928,910
358,878,901
355,770,816
378,708,692
378,705,689
378,705,652
378,476,652
378,428,652
370,428,652
370,309,652
388,311,652
375,309,651
312,347,651
297,316,651
296,321,632
215,351,625
219,359,628
219,359,782
219,339,820
219,339,824
211,337,824
211,337,804
211,337,797
211,337,790
181,367,807
181,342,784
102,391,816
94,399,821
124,388,645
154,358,628
197,358,688
259,358,697
330,358,736
330,355,739
297,378,700
297,378,700
297,378,725
297,378,725
297,378,725
297,370,725
317,370,731
297,388,735
292,375,735
292,312,735
287,297,735
295,296,735
295,215,735
283,219,732
283,219,552
283,219,475
283,219,471
288,211,471
314,211,471
314,211,500
314,211,373
314,181,311
352,181,289
360,102,228
390,94,198
360,124,190
330,154,275
287,197,276
225,259,267
154,330,228
154,330,486
144,297,507
144,297,507
186,297,533
186,297,533
186,297,632
186,297,632
179,317,626
187,297,627
187,292,627
187,292,627
218,287,693
255,295,693
364,295,693
425,283,693
425,283,693
433,283,693
433,283,693
428,288,693
402,314,765
402,314,866
402,314,871
402,314,893
364,352,972
356,360,1100
435,390,1106
435,360,1096
435,330,1008
488,287,947
488,225,947
528,154,947
630,154,940
633,144,919
648,144,1062
611,186,1073
674,186,1164
674,186,1100
711,186,1129
698,179,1129
690,187,1151
726,187,1151
741,187,1151
760,218,1151
754,255,1151
864,364,1158
811,425,1160
1097,425,1160
1101,433,1160
1102,433,1160
1104,428,1160
1104,402,1088
1105,402,958
1105,402,953
1164,402,931
1164,364,852
1164,356,724
1055,435,716
1055,435,716
1055,435,716
1002,488,716
1002,488,716
962,528,716
860,630,462
857,633,462
859,648,319
854,611,340
812,674,378
833,674,344
811,711,315
811,698,319
937,690,299
1032,726,304
1032,741,304
989,760,238
946,754,238
729,864,231
735,811,267
451,1097,272
458,1101,276
457,1102,276
467,1104,276
552,1104,317
590,1105,317
590,1105,447
531,1164,468
536,1164,468
536,1164,471
536,1055,471
542,1055,494
598,1055,494
729,1002,536
