Accum_y-0,T-1,Accum_y-1
721,499,441
595,607,428
502,619,433
386,666,433
336,671,485
314,668,485
314,668,486
278,699,517
278,699,517
278,689,532
319,689,538
319,687,578
319,677,578
319,677,578
307,689,578
247,680,522
374,667,515
374,660,513
354,680,506
380,680,650
387,680,650
387,672,635
387,672,608
387,672,562
391,634,545
384,642,545
357,645,545
346,629,530
345,606,528
311,640,530
247,704,525
230,721,500
230,595,516
230,502,513
230,386,513
224,336,461
224,314,461
225,314,460
246,278,429
258,278,429
270,278,479
229,319,518
239,319,593
239,319,726
240,319,745
431,307,746
444,247,746
339,374,666
427,374,605
433,354,609
417,380,526
446,387,558
446,387,558
446,387,555
446,387,555
442,391,555
441,384,568
464,357,568
486,346,567
515,345,567
522,311,565
674,247,548
674,230,553
675,230,543
687,230,544
691,230,550
762,224,554
822,224,560
832,225,560
817,246,573
805,258,594
793,270,529
793,229,484
783,239,369
783,239,236
782,240,217
591,431,216
573,444,216
591,339,216
516,427,187
510,433,190
500,417,129
634,446,106
717,446,106
721,446,162
768,446,184
805,442,189
875,441,227
958,464,252
950,486,252
1056,515,252
1104,522,252
977,674,252
977,674,263
976,675,265
964,687,318
960,691,340
889,762,342
829,822,336
818,832,336
815,817,323
823,805,302
846,793,302
856,793,302
915,783,342
922,783,383
922,782,383
922,591,406
922,573,470
877,591,476
906,516,476
906,510,460
906,500,463
736,634,455
653,717,564
682,721,568
635,768,545
598,805,551
528,875,500
520,958,475
517,950,475
382,1056,475
327,1104,545
302,977,568
317,977,559
317,976,565
317,964,607
427,960,590
432,889,584
432,829,584
432,818,584
557,815,584
571,823,677
548,846,766
538,856,766
876,915,726
869,922,685
908,922,685
959,922,662
1144,922,723
1191,877,721
1160,906,722
1173,906,737
1197,906,734
1247,736,733
1385,653,624
1384,682,563
1384,635,563
1487,598,796
1512,528,796
1428,520,796
1468,517,796
1468,382,796
1468,327,772
1470,302,749
1456,317,740
1456,317,758
1456,317,660
1346,427,649
1341,432,649
1341,432,649
1341,432,649
1213,557,649
1191,571,556
1288,548,468
1338,538,468
941,876,468
941,869,468
1017,908,468
1114,959,468
929,1144,343
898,1191,339
879,1160,338
866,1173,323
842,1197,323
933,1247,325
803,1385,326
782,1384,326
782,1384,376
681,1487,334
656,1512,392
642,1428,456
591,1468,505
591,1468,505
591,1468,493
608,1470,507
624,1456,759
625,1456,772
629,1456,848
629,1346,848
629,1341,848
629,1341,848
629,1341,848
629,1213,848
629,1191,848
532,1288,847
482,1338,847
482,941,847
482,941,957
367,1017,957
219,1114,1024
219,929,1024
223,898,1024
223,879,1027
223,866,1076
223,842,1093
82,933,1091
88,803,1134
124,782,1273
124,782,1657
122,681,1456
122,656,1398
134,642,1334
188,591,1285
222,591,1286
501,591,1252
482,608,1297
465,624,1045
465,625,1055
461,629,1007
475,629,1007
531,629,1007
612,629,1019
617,629,1032
713,629,1135
831,629,1249
832,532,1249
834,482,1249
1012,482,1249
1021,482,1139
1044,367,1160
1062,219,1093
1132,219,1093
1113,223,1093
1113,223,1092
1363,223,1044
1469,223,1087
1553,82,1087
1539,88,1043
1666,124,904
1748,124,470
1748,122,469
1748,122,469
1736,134,469
1682,188,469
1670,222,468
1391,501,468
1391,482,409
1391,465,409
1390,465,354
1390,461,326
1376,475,327
1320,531,658
1239,612,759
1234,617,776
1138,713,673
1020,831,560
1022,832,610
1020,834,652
867,1012,652
878,1021,652
860,1044,631
842,1062,631
772,1132,631
771,1113,631
771,1113,629
527,1363,628
434,1469,575
358,1553,575
358,1539,586
184,1666,596
118,1748,613
174,1748,652
193,1748,825
381,1736,842
630,1682,842
609,1670,842
613,1391,842
677,1391,842
682,1391,842
682,1390,842
683,1390,843
683,1376,842
683,1320,511
683,1239,398
683,1234,368
683,1138,368
683,1020,367
680,1022,317
680,1020,275
655,867,280
715,878,323
747,860,383
752,842,424
784,772,477
934,771,481
995,771,481
990,527,483
977,434,476
969,358,476
976,358,465
977,184,455
961,118,438
928,174,493
927,193,338
739,381,402
490,630,471
489,609,522
485,613,547
421,677,547
416,682,552
423,682,552
422,683,561
422,683,561
485,683,563
485,683,573
565,683,573
580,683,573
580,683,647
628,680,665
636,680,680
695,655,675
697,715,632
758,747,572
782,752,539
776,784,486
885,934,482
851,995,520
927,990,518
929,977,542
929,969,569
947,976,593
946,977,593
947,961,593
924,928,499
906,927,607
993,739,619
1105,490,666
1122,489,671
1128,485,668
1196,421,668
1279,416,699
1278,423,699
1278,422,689
1320,422,689
1292,485,687
1293,485,677
1213,565,677
1198,580,689
1242,580,680
1194,628,667
1186,636,660
1127,695,680
1045,697,680
947,758,680
918,782,672
892,776,672
633,885,672
606,851,634
529,927,642
527,929,645
527,929,629
502,947,606
627,946,640
705,947,704
803,924,721
832,906,595
757,993,502
714,1105,386
707,1122,336
777,1128,314
709,1196,314
704,1279,278
706,1278,278
735,1278,278
731,1320,319
698,1292,319
704,1293,319
712,1213,319
712,1198,307
668,1242,247
746,1194,374
904,1186,374
959,1127,354
1014,1045,380
1015,947,387
1015,918,387
1015,892,387
1015,633,387
1015,606,391
1015,529,384
1036,527,357
1036,527,346
1039,502,345
914,627,311
836,705,247
738,803,230
709,832,230
697,757,230
628,714,230
622,707,224
591,777,224
601,709,225
707,704,246
706,706,258
704,735,270
801,731,229
914,698,239
930,704,239
1066,712,240
1066,712,431
1066,668,444
988,746,339
830,904,427
775,959,433
720,1014,417
732,1015,446
732,1015,446
777,1015,446
880,1015,446
999,1015,442
1016,1015,441
1042,1036,464
1206,1036,486
1294,1039,515
1328,914,522
1412,836,674
1412,738,674
1429,709,675
1499,697,687
1523,628,691
1519,622,762
1509,591,822
1499,601,832
1315,707,817
1308,706,805
1281,704,793
1146,801,793
1031,914,783
1008,930,783
870,1066,782
920,1066,591
955,1066,573
992,988,591
992,830,516
1207,775,510
1211,720,500
1219,732,634
1224,732,717
1179,777,721
1076,880,768
976,999,805
972,1016,875
954,1042,958
831,1206,950
740,1294,1056
706,1328,1104
621,1412,977
621,1412,977
604,1429,976
534,1499,964
510,1523,960
510,1519,889
475,1509,829
475,1499,818
475,1315,815
475,1308,823
475,1281,846
475,1146,856
475,1031,915
475,1008,922
469,870,922
419,920,922
384,955,922
347,992,877
347,992,906
132,1207,906
128,1211,906
107,1219,736
102,1224,653
102,1179,682
102,1076,635
83,976,598
136,972,528
107,954,520
66,831,517
66,740,382
66,706,327
90,621,302
92,621,317
92,604,317
198,534,317
279,510,427
370,510,432
370,475,432
398,475,432
413,475,557
433,475,571
444,475,548
479,475,538
638,475,876
724,475,869
724,469,908
762,419,959
902,384,1144
903,347,1191
903,347,1160
903,132,1173
903,128,1197
951,107,1247
1112,102,1385
1159,102,1384
1177,102,1384
1183,83,1487
1123,136,1512
1195,107,1428
1443,66,1468
1443,66,1468
1443,66,1468
1419,90,1470
1417,92,1456
1417,92,1456
1311,198,1456
1261,279,1346
1204,370,1341
1278,370,1341
1250,398,1341
1235,413,1213
1220,433,1191
1237,444,1288
1290,479,1338
1175,638,941
1213,724,941
1267,724,1017
1230,762,1114
1122,902,929
1173,903,898
1266,903,879
1383,903,866
1425,903,842
1448,951,933
1409,1112,803
1376,1159,782
1399,1177,782
1401,1183,681
1398,1123,656
1374,1195,642
1320,1443,591
1495,1443,591
1529,1443,591
1589,1419,608
1618,1417,624
1618,1417,625
1713,1311,629
1689,1261,629
1656,1204,629
1583,1278,629
1591,1250,629
1593,1235,629
1588,1220,629
1560,1237,532
1472,1290,482
1428,1175,482
1304,1213,482
1307,1267,367
1382,1230,219
1417,1122,219
1369,1173,223
1313,1266,223
1197,1383,223
1155,1425,223
1084,1448,82
962,1409,88
992,1376,124
995,1399,124
987,1401,122
984,1398,122
936,1374,134
834,1320,188
659,1495,222
625,1529,501
565,1589,482
840,1618,465
881,1618,465
810,1713,461
899,1689,475
907,1656,531
906,1583,612
903,1591,617
901,1593,713
901,1588,831
952,1560,832
1009,1472,834
1035,1428,1012
1035,1304,1021
1028,1307,1044
963,1382,1062
974,1417,1132
1304,1369,1113
1268,1313,1113
1267,1197,1363
1267,1155,1469
1267,1084,1553
1267,962,1539
1223,992,1666
1179,995,1748
1179,987,1748
1179,984,1748
1179,936,1736
1087,834,1682
1196,659,1670
1202,625,1391
1207,565,1391
912,840,1391
871,881,1390
847,810,1390
751,899,1376
771,907,1320
772,906,1239
767,903,1234
767,901,1138
767,901,1020
716,952,1022
659,1009,1020
710,1035,867
729,1035,878
679,1028,860
668,963,842
590,974,772
256,1304,771
255,1268,771
312,1267,527
312,1267,434
312,1267,358
479,1267,358
489,1223,184
530,1179,118
530,1179,174
530,1179,193
544,1179,381
549,1087,630
440,1196,609
434,1202,613
429,1207,677
420,912,682
420,871,682
425,847,683
476,751,683
447,771,683
446,772,683
446,767,683
446,767,683
446,767,683
446,716,680
456,659,680
379,710,655
360,729,715
360,679,747
374,668,752
375,590,784
375,256,934
375,255,995
318,312,990
318,312,977
318,312,969
151,479,976
380,489,977
352,530,961
352,530,928
352,530,927
338,544,739
333,549,490
333,440,489
333,434,485
406,429,421
409,420,416
509,420,423
615,425,422
592,476,422
624,447,485
624,446,485
680,446,565
690,446,580
690,446,580
690,446,628
680,456,636
680,379,695
826,360,697
832,360,758
856,374,782
855,375,776
873,375,885
873,375,851
893,318,927
937,318,929
946,318,929
946,151,947
716,380,946
707,352,947
826,352,924
1158,352,906
1221,338,993
1252,333,1105
1270,333,1122
1373,333,1128
1403,406,1196
1452,409,1279
1500,509,1278
1412,615,1278
1394,592,1320
1362,624,1292
1362,624,1293
1306,680,1213
1296,690,1198
1296,690,1242
1296,690,1194
1296,680,1186
1296,680,1127
1150,826,1045
1144,832,947
1106,856,918
1106,855,892
1088,873,633
1088,873,606
1090,893,529
1047,937,527
1040,946,527
1108,946,502
1111,716,627
1108,707,705
989,826,803
657,1158,832
610,1221,757
580,1252,714
667,1270,707
588,1373,777
546,1403,709
497,1452,704
389,1500,706
367,1412,735
411,1394,731
430,1362,698
430,1362,704
434,1306,712
448,1296,712
534,1296,668
654,1296,746
683,1296,904
690,1296,959
694,1150,1014
748,1144,1015
803,1106,1015
803,1106,1015
815,1088,1015
815,1088,1015
793,1090,1015
792,1047,1036
790,1040,1036
722,1108,1039
746,1111,914
780,1108,836
991,989,738
994,657,709
978,610,697
1049,580,628
1086,667,622
1304,588,591
1243,546,601
1240,497,707
1200,389,706
1199,367,704
1145,411,801
1126,430,914
1126,430,930
1122,434,1066
1108,448,1066
1022,534,1066
902,654,988
873,683,830
866,690,775
884,694,720
830,748,732
775,803,732
775,803,777
763,815,880
776,815,999
835,793,1016
835,792,1042
914,790,1206
1079,722,1294
1071,746,1328
1087,780,1412
920,991,1412
917,994,1429
917,978,1499
846,1049,1523
704,1086,1519
463,1304,1509
513,1243,1499
715,1240,1315
786,1200,1308
812,1199,1281
863,1145,1146
892,1126,1031
1008,1126,1008
1018,1122,870
1018,1108,920
1022,1022,955
1055,902,992
1231,873,992
1254,866,1207
1232,884,1211
1251,830,1219
1251,775,1224
1256,775,1179
1327,763,1076
1358,776,976
1299,835,972
1306,835,954
1233,914,831
1068,1079,740
1040,1071,706
989,1087,621
945,920,621
977,917,604
1094,917,534
1112,846,510
1112,704,510
1158,463,475
1108,513,475
917,715,475
852,786,475
888,812,475
930,863,475
927,892,475
811,1008,475
801,1018,469
803,1018,419
857,1022,384
825,1055,347
696,1231,347
673,1254,132
685,1232,128
674,1251,107
674,1251,102
669,1256,102
598,1327,102
716,1358,83
724,1299,136
730,1306,107
747,1233,66
747,1068,66
747,1040,66
747,989,90
747,945,92
715,977,92
598,1094,198
579,1112,279
579,1112,370
532,1158,370
532,1108,398
521,917,413
515,852,433
453,888,444
360,930,479
392,927,638
418,811,724
423,801,724
437,803,762
379,857,902
378,825,903
331,696,903
331,673,903
326,685,903
321,674,951
330,674,1112
367,669,1159
386,598,1177
291,716,1183
