Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3
1164,1012,646,960,741,1151
1164,1012,564,954,760,1151
902,1400,525,970,754,1151
1349,1590,499,1165,864,1158
1303,1646,370,1083,811,1160
1305,1647,370,1084,1097,1160
1209,1745,370,1084,1101,1160
1194,1764,349,1152,1102,1160
1191,1767,300,1152,1104,1160
1155,1803,300,1152,1104,1088
1158,1603,500,1152,1105,958
1170,1587,523,1154,1105,953
1189,1658,527,1206,1164,931
1178,1669,527,1207,1164,852
1131,1649,594,1162,1164,724
1145,1649,594,1159,1055,716
1312,1649,594,1159,1055,716
1312,1647,596,877,1055,716
1312,1647,596,980,1002,716
1312,1647,596,1038,1002,716
1312,1637,606,961,962,716
1312,1299,944,1062,860,462
1282,1296,977,1071,857,462
1247,1326,980,1074,859,319
1247,1326,900,1159,854,340
1247,1309,871,1215,812,378
1246,1269,841,1508,833,344
1079,1414,765,1592,811,315
1079,1372,805,1614,811,319
1079,1298,879,1609,937,299
1079,1245,932,1480,1032,304
1079,1164,1012,1480,1032,304
1079,1164,1012,1479,989,238
953,902,1400,1462,946,238
316,1349,1590,1281,729,231
607,1303,1646,1247,735,267
604,1305,1647,1246,451,272
646,1209,1745,1246,458,276
650,1194,1764,1178,457,276
702,1191,1767,1178,467,276
702,1155,1803,1360,552,317
740,1158,1603,1392,590,317
724,1170,1587,1390,590,447
645,1189,1658,1375,531,468
646,1178,1669,1374,536,468
646,1131,1649,1398,536,471
632,1145,1649,1399,536,471
509,1312,1649,1399,542,494
509,1312,1647,1402,598,494
509,1312,1647,1392,729,536
545,1312,1647,1339,829,597
633,1312,1637,1340,832,597
633,1312,1299,1197,971,597
633,1282,1296,1194,1021,605
633,1247,1326,1191,1004,605
633,1247,1326,1106,1004,522
675,1247,1309,906,997,433
675,1246,1269,610,977,777
675,1079,1414,459,980,777
675,1079,1372,443,980,885
675,1079,1298,438,854,1024
675,1079,1245,437,725,1110
701,1079,1164,437,710,1225
888,1079,1164,437,705,1237
888,953,902,445,700,1237
888,316,1349,551,728,1237
587,607,1303,551,714,1199
587,604,1305,604,712,1196
574,646,1209,605,718,1302
573,650,1194,608,753,1326
523,702,1191,608,805,1326
523,702,1155,426,861,1474
482,740,1158,394,822,1829
479,724,1170,395,822,1722
464,645,1189,357,822,1777
465,646,1178,421,817,1787
465,646,1131,397,817,1784
465,632,1145,396,817,1784
421,509,1312,396,811,1761
421,509,1312,407,770,1761
421,509,1312,296,639,1719
385,545,1312,290,540,1658
345,633,1312,287,579,1696
612,633,1312,287,440,1877
722,633,1282,281,401,1921
731,633,1247,281,402,1922
908,633,1247,281,656,1922
868,675,1247,342,642,1882
873,675,1246,383,651,1565
896,675,1079,383,633,1565
905,675,1079,390,633,1453
962,675,1079,410,633,1379
1078,675,1079,454,676,1376
1090,701,1079,454,734,1261
912,888,1079,454,753,1249
920,888,953,446,753,1249
920,888,316,315,723,1249
920,587,607,335,723,1249
920,587,604,323,723,1247
889,574,646,322,698,1206
882,573,650,349,663,1386
891,523,702,418,599,1387
891,523,702,667,458,1212
891,482,740,728,458,858
891,479,724,763,458,839
891,464,645,763,458,763
889,465,646,699,458,812
889,465,646,706,458,825
889,465,632,767,458,959
985,421,509,962,458,959
1082,421,509,951,443,959
1090,421,509,986,501,988
1090,385,545,1014,505,989
1042,345,633,1034,478,951
780,612,633,1040,500,770
716,722,633,1040,490,718
710,731,633,1066,490,717
533,908,633,1184,237,717
531,868,675,1170,239,717
839,873,675,1373,229,689
839,896,675,1402,229,689
863,905,675,1397,229,720
865,962,675,1380,229,722
749,1078,675,1336,245,634
715,1090,701,1336,270,634
713,912,888,1336,251,727
709,920,888,1336,251,762
890,920,888,1336,251,762
1136,920,587,1316,251,762
1144,920,587,1275,255,799
1214,889,574,1275,279,730
1352,882,573,1248,279,526
1470,891,523,1180,279,525
1507,891,523,931,279,512
1507,891,482,882,283,511
1507,891,479,896,295,507
1507,891,464,896,295,523
1507,889,465,896,295,531
