Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3
2307,191,900,647,575,1184
2337,197,848,437,575,1431
2432,201,848,363,575,1586
2431,243,845,232,595,1732
2560,243,820,233,620,1900
2721,243,400,276,620,1910
2685,299,364,283,620,1955
2553,406,384,292,629,2013
2494,456,383,319,656,2096
2301,649,311,465,720,2086
2250,689,319,756,720,2177
2230,750,328,941,720,2124
2134,886,294,1001,720,2111
2158,916,231,1011,720,2111
2120,887,186,1011,720,2101
2038,926,219,1006,699,2101
1975,989,219,1010,611,2101
1969,995,219,1052,501,2101
1773,1215,219,1038,378,2116
1348,1646,219,1022,339,2103
1256,1738,219,985,224,2068
1152,1845,181,996,194,2068
1126,1900,183,1000,172,2068
1057,1975,176,1061,172,2068
1107,1975,175,1068,172,2008
1153,1988,175,1076,171,1840
1253,1993,175,1085,162,1747
1253,2009,176,1096,162,1737
1185,2080,176,1126,162,1462
1129,2144,176,1126,162,1349
951,2322,176,1126,162,1331
958,2307,191,1126,162,1248
994,2337,197,1126,162,993
994,2432,201,1126,163,838
968,2431,243,1126,178,692
839,2560,243,1125,172,524
695,2721,243,1087,172,527
674,2685,299,1031,172,482
677,2553,406,1022,163,429
681,2494,456,995,187,359
681,2301,649,849,137,201
681,2250,689,538,223,142
626,2230,750,325,242,142
586,2134,886,257,314,142
531,2158,916,247,314,150
531,2120,887,247,373,175
531,2038,926,244,397,175
531,1975,989,256,406,175
531,1969,995,214,406,175
507,1773,1215,223,396,160
501,1348,1646,236,389,160
501,1256,1738,274,389,147
528,1152,1845,240,389,124
513,1126,1900,240,389,124
532,1057,1975,179,389,124
482,1107,1975,172,389,124
423,1153,1988,174,389,124
320,1253,1993,189,389,124
351,1253,2009,178,389,164
350,1185,2080,148,389,164
390,1129,2144,148,407,284
441,951,2322,148,407,284
434,958,2307,148,407,284
362,994,2337,148,413,284
266,994,2432,149,417,287
253,968,2431,149,382,287
283,839,2560,149,363,282
266,695,2721,143,363,269
266,674,2685,142,378,279
263,677,2553,142,383,274
269,681,2494,142,430,261
298,681,2301,142,527,246
298,681,2250,142,445,211
360,626,2230,142,522,211
366,586,2134,142,450,211
383,531,2158,152,450,206
426,531,2120,152,391,181
526,531,2038,152,367,456
526,531,1975,136,360,475
582,531,1969,147,361,720
594,507,1773,161,455,753
599,501,1348,155,584,753
620,501,1256,113,617,753
638,528,1152,104,617,748
626,513,1126,107,638,748
601,532,1057,107,640,748
614,482,1107,107,650,748
615,423,1153,97,662,748
613,320,1253,73,671,748
644,351,1253,73,671,708
743,350,1185,104,671,708
734,390,1129,104,687,588
683,441,951,104,687,588
763,434,958,167,687,623
785,362,994,212,681,628
787,266,994,225,676,625
788,253,968,225,676,638
786,283,839,225,676,638
921,266,695,227,676,638
931,266,674,227,661,628
996,263,677,283,656,628
992,269,681,350,559,628
983,298,681,355,456,628
983,298,681,366,463,628
921,360,626,366,437,628
914,366,586,366,437,628
897,383,531,356,465,630
854,426,531,358,491,658
754,526,531,358,504,392
754,526,531,358,502,373
698,582,531,347,501,128
686,594,507,317,407,148
681,599,501,310,296,158
723,620,501,310,263,158
682,638,528,310,271,158
679,626,513,301,250,158
693,601,532,301,268,158
680,614,482,301,282,158
679,615,423,301,284,158
679,613,320,315,275,428
600,644,351,319,330,471
499,743,350,288,330,471
460,734,390,288,296,471
523,683,441,288,296,476
453,763,434,225,296,441
482,785,362,197,296,436
477,787,266,276,296,436
534,788,253,298,296,423
506,786,283,323,315,423
371,921,266,321,317,423
361,931,266,335,561,423
297,996,263,601,561,423
297,992,269,910,560,423
329,983,298,921,552,433
329,983,298,917,541,463
329,921,360,917,471,471
329,914,366,917,471,474
362,897,383,957,443,469
369,854,426,955,417,441
464,754,526,1044,404,432
577,754,526,1046,404,432
583,698,582,1046,404,432
698,686,594,1041,404,379
718,681,599,1041,386,369
655,723,620,1041,404,369
672,682,638,1130,557,369
674,679,626,1193,557,369
660,693,601,1256,537,369
660,680,614,1256,590,369
660,679,615,1294,576,369
