Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
401,282,818,1058,546,693,937,516,207,665,477
405,282,818,1021,551,626,841,517,207,665,534
413,282,818,1013,551,626,839,587,207,665,506
413,282,818,929,551,675,786,617,207,665,371
410,285,820,871,554,681,755,638,207,623,361
452,282,820,870,579,673,750,653,201,623,297
464,282,833,870,550,595,747,653,189,623,297
500,282,869,881,494,551,747,653,189,623,329
500,282,841,787,450,332,744,678,190,623,329
506,282,780,779,438,319,631,710,212,653,329
574,282,720,769,389,327,630,710,329,757,329
821,282,827,785,409,368,582,849,430,806,362
1091,282,771,760,473,369,515,851,495,621,369
1091,282,711,750,470,367,515,927,495,520,464
1121,282,711,748,591,343,437,1054,498,474,577
1158,283,727,745,594,311,430,1054,528,473,583
1157,284,739,745,594,286,430,1054,531,473,698
1247,284,745,745,523,260,430,1054,523,473,718
1247,284,756,474,557,260,448,1054,568,509,655
1244,202,767,415,590,260,454,1027,641,449,672
1123,287,739,385,591,259,369,930,713,421,674
1111,299,711,366,607,293,460,883,713,438,660
1179,326,646,312,624,293,430,872,705,470,660
1135,370,634,157,756,316,431,861,705,448,660
956,518,609,157,756,316,553,861,705,449,660
949,525,574,159,756,250,526,861,840,472,660
984,432,573,90,756,285,513,861,749,512,794
1005,403,559,117,769,396,513,861,726,552,825
1022,402,382,117,809,443,513,860,726,599,926
1046,402,334,117,997,487,512,657,726,610,938
1046,401,461,117,940,488,512,557,721,610,898
1046,401,461,208,936,517,620,731,691,645,900
1131,405,465,222,931,540,620,866,691,645,840
1123,413,488,222,938,540,628,796,691,645,840
1161,413,504,356,947,491,628,766,691,646,859
1161,410,517,364,944,485,644,885,691,646,864
1120,452,523,364,858,492,676,870,691,658,863
1108,464,510,364,857,822,680,1077,691,689,857
1240,500,474,353,857,822,732,1116,691,689,805
1240,500,476,666,857,822,756,1090,690,705,805
1234,506,476,678,832,822,771,1092,668,649,805
1230,574,476,748,811,814,775,1310,551,577,805
983,821,367,733,789,773,776,1171,450,508,772
713,1091,367,733,725,770,776,1178,385,506,765
713,1091,367,733,725,779,776,1144,480,506,670
683,1121,367,733,607,813,776,1098,484,533,557
645,1158,351,733,603,812,776,1180,464,533,551
645,1157,339,733,609,812,776,1410,461,533,436
555,1247,333,733,610,812,776,1516,466,533,416
555,1247,322,733,618,812,764,1606,417,497,416
555,1244,311,757,585,930,749,1747,344,497,391
555,1123,311,791,584,1024,716,1843,272,487,388
555,1111,330,791,568,991,485,1843,273,470,388
458,1179,330,791,551,1016,477,1871,286,438,388
484,1135,330,793,405,1053,514,1911,295,408,388
523,956,340,793,486,1053,410,1921,316,389,388
549,949,408,791,717,1053,410,1989,251,400,388
537,984,492,781,717,1018,354,2059,250,384,254
611,1005,474,754,896,907,354,2314,295,359,223
594,1022,415,772,883,858,354,2317,366,312,59
570,1046,406,929,667,1022,354,2322,383,301,37
570,1046,270,937,887,1062,410,2331,395,301,65
570,1046,270,846,920,1003,301,2139,395,266,96
481,1131,274,832,1176,980,314,2003,419,266,97
481,1123,465,854,1208,980,339,2003,426,266,97
443,1161,449,721,1211,980,356,2003,426,272,78
443,1161,436,759,1219,1190,360,1868,426,273,73
442,1120,524,1039,1328,1177,424,1868,426,261,73
442,1108,538,1156,1364,809,421,1766,426,230,75
274,1240,541,1165,1402,824,391,1727,426,268,75
281,1240,539,848,1415,824,454,1727,426,252,75
281,1234,561,834,1415,824,543,1821,426,252,75
217,1230,561,820,1415,824,540,1628,426,217,75
217,983,561,890,1415,824,539,1679,426,158,77
232,713,561,893,1415,824,539,1701,426,158,77
392,713,561,893,1415,826,539,1659,331,158,77
392,683,561,893,1412,792,539,1578,324,209,77
392,645,564,909,1562,792,552,1496,363,209,77
396,645,569,909,1588,792,552,1283,364,209,132
398,555,571,909,1596,792,552,1189,359,209,132
471,555,571,909,1758,792,544,1099,359,293,132
493,555,571,885,1816,674,544,959,359,350,132
493,555,571,851,1837,580,526,863,359,358,142
493,555,547,851,1971,579,587,863,364,358,142
532,458,557,851,1971,554,587,848,351,358,185
506,484,598,849,1971,494,549,866,342,358,276
467,523,605,849,1934,494,560,866,321,358,352
441,549,600,853,1703,494,603,870,247,324,352
417,537,555,902,1703,510,604,801,232,300,352
322,611,593,930,1461,523,605,546,187,285,352
322,594,577,947,1434,561,605,543,116,285,352
322,570,594,856,1425,354,605,538,131,285,352
322,570,594,1001,1209,323,545,529,129,382,406
322,570,596,1002,1205,332,544,529,129,443,395
322,481,622,1003,949,392,531,529,105,443,394
322,481,466,993,910,400,498,529,220,443,508
322,443,469,992,898,400,481,529,258,436,569
322,443,467,946,890,190,461,524,363,436,632
322,442,373,666,781,190,365,524,438,436,632
322,442,359,549,745,265,364,419,438,436,630
322,274,356,540,707,254,342,419,438,398,630
315,281,356,589,694,326,255,419,438,398,630
494,281,334,551,694,326,151,292,438,386,647
623,217,334,525,807,384,150,288,438,386,647
623,217,363,458,967,384,150,237,438,386,852
608,232,371,455,1123,384,150,206,559,386,853
448,392,424,455,1123,373,228,206,606,386,853
448,392,427,455,1123,373,258,206,607,391,853
448,392,464,439,973,373,246,207,568,472,864
444,396,542,439,941,373,326,190,622,539,809
442,398,544,439,924,406,326,178,622,539,830
369,471,663,439,820,730,326,236,660,455,832
347,493,956,439,774,731,326,263,763,440,833
356,493,967,439,754,731,326,401,804,439,829
506,493,1206,439,620,731,263,416,846,474,829
473,532,1196,454,620,731,263,473,900,474,786
473,506,1155,469,620,731,263,416,902,474,695
473,467,1138,469,678,731,236,656,902,474,619
473,441,1075,465,793,731,376,584,902,475,619
473,417,1055,527,794,715,486,583,902,581,619
473,322,1043,569,799,702,491,583,902,581,619
473,322,1043,535,799,664,534,583,902,656,630
482,322,1024,647,987,660,534,583,870,656,709
629,322,1024,519,982,645,598,586,860,620,689
629,322,1022,545,953,635,603,586,860,740,793
629,322,989,574,953,575,626,586,860,742,825
658,322,1126,568,953,567,654,586,738,780,877
658,322,1123,575,953,567,655,586,700,814,816
658,322,1123,577,963,567,1015,651,678,820,832
658,322,1123,709,963,567,1042,679,614,863,832
658,322,1123,711,963,492,1138,679,624,863,953
658,322,1123,794,966,567,1149,679,624,865,964
658,315,1123,782,1150,495,1164,679,624,953,968
479,494,1123,778,1162,546,1164,678,624,955,965
350,623,1123,745,1050,488,1164,657,624,956,1015
350,623,1094,1020,917,489,1164,657,624,956,900
350,608,1086,1022,800,532,1164,657,569,956,950
350,448,1033,1024,800,579,1086,657,526,956,951
382,448,1144,1024,802,621,1056,657,525,873,951
388,448,1112,1024,802,647,1055,656,521,792,940
388,444,1029,1024,805,648,975,656,466,801,1086
388,442,1060,1024,805,630,975,656,466,802,1067
388,369,1025,1123,723,368,991,598,428,803,1065
390,347,742,1123,713,380,1045,570,484,892,1064
400,356,731,1123,910,411,1107,432,443,885,1058
250,506,492,1158,912,554,1109,417,395,850,1058
244,473,492,1143,1092,688,1140,347,341,850,1058
285,473,492,1203,1102,705,1140,346,801,902,1058
369,473,492,1372,1062,813,1200,96,801,903,1058
399,473,493,1419,947,838,1041,96,801,1132,1071
399,473,474,1309,946,898,930,96,823,1042,1078
410,473,502,1241,993,899,924,96,838,1079,1078
481,473,515,1272,993,899,968,96,838,1006,1067
627,482,515,1114,805,899,968,276,838,1008,988
517,629,515,1096,979,933,918,355,838,947,915
517,629,515,1069,1110,946,913,372,838,766,789
