Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2
6.159095e+00,5.837730e+00,5.823046e+00,7.334982e+00,6.489205e+00,6.782192e+00,6.590301e+00,5.257495e+00,5.036953e+00
6.159095e+00,5.814131e+00,5.846439e+00,7.334982e+00,6.410175e+00,6.797940e+00,6.637258e+00,5.288267e+00,5.283204e+00
6.159095e+00,5.713733e+00,5.932245e+00,7.280697e+00,6.536692e+00,6.797940e+00,6.637258e+00,5.081404e+00,5.556828e+00
6.159095e+00,5.645447e+00,5.983936e+00,7.278629e+00,6.541030e+00,6.797940e+00,6.549651e+00,4.890349e+00,5.799093e+00
6.159095e+00,5.645447e+00,5.963579e+00,7.268223e+00,6.331502e+00,6.949856e+00,6.559615e+00,4.890349e+00,5.799093e+00
6.159095e+00,5.616771e+00,5.978886e+00,7.211557e+00,6.222576e+00,7.021976e+00,6.642487e+00,4.779123e+00,5.693732e+00
6.129050e+00,5.493061e+00,6.089045e+00,7.192182e+00,6.236370e+00,6.853299e+00,6.869014e+00,4.779123e+00,5.693732e+00
6.289716e+00,5.337538e+00,6.165418e+00,7.192182e+00,6.169611e+00,6.884487e+00,6.857514e+00,5.159055e+00,5.693732e+00
6.371612e+00,5.337538e+00,6.165418e+00,7.182352e+00,6.196444e+00,6.848005e+00,6.893656e+00,5.384495e+00,5.693732e+00
6.459904e+00,5.389072e+00,6.177944e+00,7.182352e+00,6.169611e+00,6.831954e+00,6.921658e+00,5.472271e+00,5.693732e+00
6.487684e+00,5.700444e+00,6.156979e+00,7.175490e+00,6.208590e+00,6.810142e+00,6.941190e+00,5.758902e+00,5.693732e+00
6.483107e+00,5.717028e+00,6.154858e+00,7.163947e+00,6.240276e+00,6.803505e+00,6.946976e+00,5.758902e+00,5.758902e+00
6.472346e+00,5.697093e+00,6.165418e+00,7.170120e+00,6.049733e+00,6.897705e+00,6.946976e+00,5.755742e+00,5.693732e+00
6.472346e+00,5.693732e+00,6.135565e+00,7.181592e+00,6.049733e+00,6.871091e+00,6.971669e+00,5.755742e+00,5.676754e+00
6.470800e+00,5.700444e+00,6.135565e+00,7.180831e+00,6.052089e+00,6.740519e+00,7.076654e+00,5.755742e+00,5.676754e+00
6.335054e+00,5.902633e+00,6.167516e+00,7.061334e+00,6.350886e+00,6.683361e+00,7.064759e+00,5.743003e+00,5.659482e+00
6.263398e+00,6.001415e+00,6.047372e+00,7.003974e+00,6.541030e+00,6.318968e+00,7.224753e+00,5.529429e+00,5.686975e+00
6.212606e+00,6.063785e+00,6.047372e+00,6.923629e+00,6.656727e+00,6.265301e+00,7.245655e+00,5.762051e+00,5.686975e+00
5.913503e+00,6.326149e+00,6.047372e+00,6.754604e+00,6.841615e+00,6.249975e+00,7.242082e+00,5.880533e+00,5.645447e+00
5.913503e+00,6.326149e+00,6.047372e+00,6.753438e+00,6.842683e+00,6.244167e+00,7.229839e+00,5.996452e+00,5.645447e+00
5.913503e+00,6.326149e+00,6.042633e+00,6.754604e+00,6.829794e+00,6.269096e+00,7.197435e+00,6.047372e+00,5.645447e+00
5.855072e+00,6.363028e+00,5.958425e+00,6.719013e+00,6.896694e+00,6.269096e+00,7.197435e+00,6.248043e+00,5.645447e+00
5.703782e+00,6.444131e+00,5.921578e+00,6.683361e+00,6.939254e+00,6.269096e+00,7.197435e+00,6.416732e+00,5.662960e+00
5.703782e+00,6.444131e+00,5.897154e+00,6.519147e+00,7.044033e+00,6.298949e+00,7.197435e+00,6.536692e+00,5.749393e+00
6.214608e+00,6.439350e+00,5.905362e+00,6.493754e+00,7.057898e+00,6.300786e+00,7.197435e+00,6.740519e+00,5.749393e+00
6.259581e+00,6.421622e+00,5.934894e+00,6.493754e+00,7.057898e+00,6.300786e+00,7.182352e+00,6.818924e+00,5.749393e+00
6.267201e+00,6.329721e+00,6.068426e+00,6.280396e+00,7.161622e+00,6.300786e+00,7.150701e+00,6.821107e+00,5.749393e+00
6.267201e+00,6.329721e+00,6.068426e+00,6.154858e+00,7.209340e+00,6.300786e+00,7.150701e+00,6.821107e+00,5.863631e+00
6.386879e+00,6.329721e+00,6.042633e+00,5.513429e+00,7.286192e+00,6.504288e+00,7.129298e+00,6.867974e+00,5.886104e+00
6.386879e+00,6.329721e+00,6.033086e+00,5.384495e+00,7.307202e+00,6.507278e+00,7.073270e+00,6.867974e+00,5.966147e+00
6.386879e+00,6.159095e+00,6.011267e+00,5.746203e+00,7.308543e+00,6.507278e+00,6.836259e+00,7.084226e+00,5.886104e+00
6.390241e+00,6.159095e+00,5.837730e+00,5.823046e+00,7.334982e+00,6.489205e+00,6.782192e+00,7.084226e+00,5.799093e+00
6.390241e+00,6.159095e+00,5.814131e+00,5.846439e+00,7.334982e+00,6.410175e+00,6.797940e+00,7.078342e+00,5.659482e+00
6.390241e+00,6.159095e+00,5.713733e+00,5.932245e+00,7.280697e+00,6.536692e+00,6.797940e+00,7.142037e+00,5.416100e+00
6.406880e+00,6.159095e+00,5.645447e+00,5.983936e+00,7.278629e+00,6.541030e+00,6.797940e+00,7.192934e+00,5.036953e+00
6.850126e+00,6.159095e+00,5.645447e+00,5.963579e+00,7.268223e+00,6.331502e+00,6.949856e+00,7.192934e+00,5.036953e+00
6.884487e+00,6.159095e+00,5.616771e+00,5.978886e+00,7.211557e+00,6.222576e+00,7.021976e+00,7.190676e+00,4.969813e+00
6.887553e+00,6.129050e+00,5.493061e+00,6.089045e+00,7.192182e+00,6.236370e+00,6.853299e+00,7.213768e+00,4.969813e+00
6.802395e+00,6.289716e+00,5.337538e+00,6.165418e+00,7.192182e+00,6.169611e+00,6.884487e+00,7.172425e+00,5.225747e+00
6.769642e+00,6.371612e+00,5.337538e+00,6.165418e+00,7.182352e+00,6.196444e+00,6.848005e+00,7.167809e+00,5.225747e+00
6.734592e+00,6.459904e+00,5.389072e+00,6.177944e+00,7.182352e+00,6.169611e+00,6.831954e+00,7.150701e+00,5.225747e+00
6.639876e+00,6.487684e+00,5.700444e+00,6.156979e+00,7.175490e+00,6.208590e+00,6.810142e+00,7.086738e+00,5.225747e+00
6.690842e+00,6.483107e+00,5.717028e+00,6.154858e+00,7.163947e+00,6.240276e+00,6.803505e+00,7.086738e+00,5.187386e+00
6.778785e+00,6.472346e+00,5.697093e+00,6.165418e+00,7.170120e+00,6.049733e+00,6.897705e+00,7.121252e+00,5.231109e+00
6.837333e+00,6.472346e+00,5.693732e+00,6.135565e+00,7.181592e+00,6.049733e+00,6.871091e+00,7.140453e+00,5.231109e+00
6.919684e+00,6.470800e+00,5.700444e+00,6.135565e+00,7.180831e+00,6.052089e+00,6.740519e+00,7.142827e+00,5.231109e+00
6.919684e+00,6.335054e+00,5.902633e+00,6.167516e+00,7.061334e+00,6.350886e+00,6.683361e+00,7.138867e+00,5.384495e+00
7.244228e+00,6.263398e+00,6.001415e+00,6.047372e+00,7.003974e+00,6.541030e+00,6.318968e+00,7.121252e+00,5.541264e+00
7.371489e+00,6.212606e+00,6.063785e+00,6.047372e+00,6.923629e+00,6.656727e+00,6.265301e+00,7.074963e+00,5.897154e+00
7.406103e+00,5.913503e+00,6.326149e+00,6.047372e+00,6.754604e+00,6.841615e+00,6.249975e+00,7.137278e+00,6.052089e+00
7.406711e+00,5.913503e+00,6.326149e+00,6.047372e+00,6.753438e+00,6.842683e+00,6.244167e+00,7.101676e+00,6.052089e+00
7.464510e+00,5.913503e+00,6.326149e+00,6.042633e+00,6.754604e+00,6.829794e+00,6.269096e+00,7.084226e+00,6.070738e+00
7.475339e+00,5.855072e+00,6.363028e+00,5.958425e+00,6.719013e+00,6.896694e+00,6.269096e+00,7.002156e+00,6.070738e+00
7.477038e+00,5.703782e+00,6.444131e+00,5.921578e+00,6.683361e+00,6.939254e+00,6.269096e+00,6.911747e+00,6.059123e+00
7.497207e+00,5.703782e+00,6.444131e+00,5.897154e+00,6.519147e+00,7.044033e+00,6.298949e+00,6.830874e+00,5.996452e+00
7.379632e+00,6.214608e+00,6.439350e+00,5.905362e+00,6.493754e+00,7.057898e+00,6.300786e+00,6.646391e+00,5.996452e+00
7.369601e+00,6.259581e+00,6.421622e+00,5.934894e+00,6.493754e+00,7.057898e+00,6.300786e+00,6.552508e+00,5.996452e+00
7.413367e+00,6.267201e+00,6.329721e+00,6.068426e+00,6.280396e+00,7.161622e+00,6.300786e+00,6.551080e+00,5.996452e+00
7.419980e+00,6.267201e+00,6.329721e+00,6.068426e+00,6.154858e+00,7.209340e+00,6.300786e+00,6.551080e+00,5.897154e+00
7.407924e+00,6.386879e+00,6.329721e+00,6.042633e+00,5.513429e+00,7.286192e+00,6.504288e+00,6.552508e+00,5.874931e+00
7.407924e+00,6.386879e+00,6.329721e+00,6.033086e+00,5.384495e+00,7.307202e+00,6.507278e+00,6.556778e+00,6.075346e+00
7.407924e+00,6.386879e+00,6.159095e+00,6.011267e+00,5.746203e+00,7.308543e+00,6.507278e+00,6.156979e+00,6.075346e+00
7.406711e+00,6.390241e+00,6.159095e+00,5.837730e+00,5.823046e+00,7.334982e+00,6.489205e+00,6.625392e+00,6.075346e+00
7.406711e+00,6.390241e+00,6.159095e+00,5.814131e+00,5.846439e+00,7.334982e+00,6.410175e+00,6.648985e+00,6.190315e+00
7.406711e+00,6.390241e+00,6.159095e+00,5.713733e+00,5.932245e+00,7.280697e+00,6.536692e+00,6.543912e+00,6.190315e+00
7.400621e+00,6.406880e+00,6.159095e+00,5.645447e+00,5.983936e+00,7.278629e+00,6.541030e+00,6.562444e+00,6.269096e+00
7.169350e+00,6.850126e+00,6.159095e+00,5.645447e+00,5.963579e+00,7.268223e+00,6.331502e+00,6.620073e+00,6.445720e+00
7.167038e+00,6.884487e+00,6.159095e+00,5.616771e+00,5.978886e+00,7.211557e+00,6.222576e+00,6.617403e+00,6.450470e+00
7.189922e+00,6.887553e+00,6.129050e+00,5.493061e+00,6.089045e+00,7.192182e+00,6.236370e+00,6.575076e+00,6.473891e+00
7.189922e+00,6.802395e+00,6.289716e+00,5.337538e+00,6.165418e+00,7.192182e+00,6.169611e+00,6.575076e+00,6.415097e+00
7.177019e+00,6.769642e+00,6.371612e+00,5.337538e+00,6.165418e+00,7.182352e+00,6.196444e+00,6.708084e+00,6.513230e+00
7.145984e+00,6.734592e+00,6.459904e+00,5.389072e+00,6.177944e+00,7.182352e+00,6.169611e+00,6.711740e+00,6.513230e+00
7.254178e+00,6.639876e+00,6.487684e+00,5.700444e+00,6.156979e+00,7.175490e+00,6.208590e+00,6.790097e+00,6.566672e+00
7.224025e+00,6.690842e+00,6.483107e+00,5.717028e+00,6.154858e+00,7.163947e+00,6.240276e+00,6.790097e+00,6.548219e+00
7.168580e+00,6.778785e+00,6.472346e+00,5.697093e+00,6.165418e+00,7.170120e+00,6.049733e+00,6.753438e+00,6.536692e+00
7.126891e+00,6.837333e+00,6.472346e+00,5.693732e+00,6.135565e+00,7.181592e+00,6.049733e+00,6.870053e+00,6.587550e+00
