Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
441,457,695,456,1278,689,444,668,563,394,292,521,1048,582,946,1633
428,452,713,456,1278,689,431,675,569,393,271,522,1354,569,939,1622
433,399,766,456,1278,636,484,675,569,385,271,522,1398,558,948,1600
433,326,839,456,1278,533,587,673,571,329,314,522,1532,514,1147,1671
485,317,848,456,1271,525,568,707,571,329,313,538,1532,472,1391,1671
485,317,795,509,1252,506,606,669,523,415,313,576,1532,472,1343,1691
486,275,834,512,1252,506,548,710,538,417,281,577,1532,472,1240,1641
517,275,828,518,1252,506,548,709,503,453,230,660,1532,472,1221,1668
517,274,810,537,1229,454,623,640,502,517,235,683,1532,472,1222,1615
532,228,842,551,1229,406,671,433,694,526,241,703,1532,472,1104,1602
538,218,852,551,1229,382,695,224,892,512,266,901,1532,472,1070,1451
578,218,852,420,1233,499,705,222,877,529,266,1050,1527,472,1056,1158
578,216,854,414,1239,497,634,295,877,527,263,1017,1528,472,1020,1037
578,216,843,425,1167,567,614,208,984,523,228,985,1521,472,898,1006
578,216,811,456,1081,654,523,299,984,523,168,1026,1493,507,881,1001
522,272,789,478,1053,682,523,291,992,436,255,1079,1489,517,868,1001
515,356,715,552,1056,682,523,291,992,435,251,1118,1489,517,871,982
513,440,651,624,875,863,523,291,992,435,251,1127,1489,517,851,865
506,344,742,645,836,900,525,291,992,435,251,1179,1517,563,863,705
650,344,733,618,641,995,661,291,992,435,251,1086,1506,586,868,705
650,344,594,757,641,927,715,305,984,443,251,1073,1500,573,954,719
635,346,607,746,539,1010,724,326,955,472,251,1073,1372,572,1036,727
608,365,619,743,518,982,776,326,873,515,290,1050,1371,650,1124,719
562,402,629,724,537,982,775,327,870,446,362,1072,1332,701,1188,691
545,419,592,643,654,983,679,423,870,412,396,1080,1318,650,1172,510
545,419,592,638,620,1022,679,423,721,514,443,1102,1241,767,1200,341
545,395,616,598,562,1097,681,444,721,510,447,1026,1213,777,1205,260
530,411,499,715,539,1112,689,444,721,510,447,1016,1279,642,1197,199
528,411,481,713,549,1124,689,444,721,510,427,1017,1151,487,1182,284
530,411,440,753,453,1221,689,444,721,510,427,1017,1058,487,1182,293
525,433,438,753,427,1249,689,444,689,542,425,1049,1020,490,1181,286
500,441,457,695,456,1278,689,444,668,563,394,1091,782,491,1051,279
516,428,452,713,456,1278,689,431,675,569,393,1091,550,491,1036,295
513,433,399,766,456,1278,636,484,675,569,385,1091,564,491,1092,295
513,433,326,839,456,1278,533,587,673,571,329,1091,437,495,999,219
461,485,317,848,456,1271,525,568,707,571,329,1075,438,541,839,219
461,485,317,795,509,1252,506,606,669,523,415,1042,438,546,907,220
460,486,275,834,512,1252,506,548,710,538,417,1082,443,592,956,248
429,517,275,828,518,1252,506,548,709,503,453,1059,445,607,985,301
429,517,274,810,537,1229,454,623,640,502,517,1036,445,870,987,302
479,532,228,842,551,1229,406,671,433,694,526,1021,445,925,952,389
518,538,218,852,551,1229,382,695,224,892,512,817,445,980,952,389
593,578,218,852,420,1233,499,705,222,877,529,650,445,1012,1144,411
726,578,216,854,414,1239,497,634,295,877,527,549,443,1212,1147,433
745,578,216,843,425,1167,567,614,208,984,523,482,443,1216,1147,443
746,578,216,811,456,1081,654,523,299,984,523,440,434,1181,1147,511
