Accum_y-0,T-1,T-2,T-3,Accum_y-1
946,1503,952,1092,1633
939,1409,1081,1102,1622
948,1355,1073,1062,1600
1147,1303,1128,947,1671
1391,1297,1134,946,1671
1343,1228,1205,993,1691
1240,1244,1292,993,1641
1221,1164,1391,805,1668
1222,1110,1271,979,1615
1104,1242,1161,1110,1602
1070,1276,1055,1216,1451
1056,1290,1050,1221,1158
1020,1181,1195,1221,1037
898,1251,1247,1211,1006
881,1263,1252,1211,1001
868,1249,1231,1259,1001
871,1247,1226,1263,982
851,1271,1235,1079,865
863,1272,1142,1160,705
868,1240,1159,1174,705
954,1227,1172,1147,719
1036,1157,1242,1108,727
1124,1046,1354,1108,719
1188,903,1467,1137,691
1172,962,1467,1137,510
1200,918,1550,1147,341
1205,884,1616,1147,260
1197,854,1650,1133,199
1182,869,1643,1138,284
1182,869,1642,941,293
1181,870,1483,1098,286
1051,946,1503,952,279
1036,939,1409,1081,295
1092,948,1355,1073,295
999,1147,1303,1128,219
839,1391,1297,1134,219
907,1343,1228,1205,220
956,1240,1244,1292,248
985,1221,1164,1391,301
987,1222,1110,1271,302
952,1104,1242,1161,389
952,1070,1276,1055,389
1144,1056,1290,1050,411
1147,1020,1181,1195,433
1147,898,1251,1247,443
1147,881,1263,1252,511
1157,868,1249,1231,582
1154,871,1247,1226,584
1141,851,1271,1235,700
1128,863,1272,1142,710
1123,868,1240,1159,710
1051,954,1227,1172,696
980,1036,1157,1242,688
924,1124,1046,1354,686
859,1188,903,1467,726
817,1172,962,1467,754
744,1200,918,1550,754
707,1205,884,1616,754
729,1197,854,1650,844
769,1182,869,1643,807
769,1182,869,1642,794
820,1181,870,1483,934
897,1051,946,1503,937
874,1036,939,1409,921
823,1092,948,1355,921
753,999,1147,1303,920
727,839,1391,1297,938
670,907,1343,1228,916
668,956,1240,1244,890
708,985,1221,1164,797
758,987,1222,1110,793
780,952,1104,1242,706
851,952,1070,1276,728
717,1144,1056,1290,706
723,1147,1020,1181,684
