Accum_y-0,T-1,T-2,T-3,Accum_y-1
1507,889,465,646,896
1659,889,465,646,1043
1758,889,465,632,1121
1805,985,421,509,947
1768,1082,421,509,977
1812,1090,421,509,942
1828,1090,385,545,927
2000,1042,345,633,907
2010,780,612,633,901
2055,716,722,633,990
2052,710,731,633,964
2060,533,908,633,846
2065,531,868,675,799
1789,839,873,675,555
1767,839,896,675,526
1734,863,905,675,518
1675,865,962,675,515
1675,749,1078,675,528
1683,715,1090,701,528
1687,713,912,888,528
1719,709,920,888,544
1538,890,920,888,545
1292,1136,920,587,545
1286,1144,920,587,545
1218,1214,889,574,545
1080,1352,882,573,668
951,1470,891,523,670
914,1507,891,523,670
928,1507,891,482,658
928,1507,891,479,608
997,1507,891,464,690
997,1507,889,465,693
845,1659,889,465,562
746,1758,889,465,504
617,1805,985,421,511
557,1768,1082,421,478
511,1812,1090,421,491
497,1828,1090,385,478
325,2000,1042,345,497
310,2010,780,612,513
219,2055,716,722,424
219,2052,710,731,424
211,2060,533,908,425
234,2065,531,868,573
197,1789,839,873,693
196,1767,839,896,778
196,1734,863,905,936
196,1675,865,962,937
279,1675,749,1078,925
267,1683,715,1090,989
256,1687,713,912,1032
328,1719,709,920,1146
328,1538,890,920,1162
358,1292,1136,920,1162
441,1286,1144,920,1289
440,1218,1214,889,1352
443,1080,1352,882,1460
614,951,1470,891,1491
626,914,1507,891,1493
612,928,1507,891,1533
613,928,1507,891,1533
544,997,1507,891,1452
624,997,1507,889,1449
640,845,1659,889,1434
688,746,1758,889,1355
702,617,1805,985,1329
816,557,1768,1082,1329
821,511,1812,1090,1316
829,497,1828,1090,1316
906,325,2000,1042,1307
917,310,2010,780,1292
942,219,2055,716,1300
942,219,2052,710,1315
945,211,2060,533,1314
938,234,2065,531,1166
990,197,1789,839,1101
1012,196,1767,839,1016
1013,196,1734,863,858
1013,196,1675,865,857
930,279,1675,749,858
987,267,1683,715,828
1003,256,1687,713,799
895,328,1719,709,678
960,328,1538,890,661
935,358,1292,1136,661
861,441,1286,1144,534
910,440,1218,1214,471
943,443,1080,1352,248
772,614,951,1470,218
760,626,914,1507,313
760,612,928,1507,338
759,613,928,1507,346
