Accum_y-0,T-1,T-2,T-3,Accum_y-1
803,924,928,174,721
832,906,927,193,595
757,993,739,381,502
714,1105,490,630,386
707,1122,489,609,336
777,1128,485,613,314
709,1196,421,677,314
704,1279,416,682,278
706,1278,423,682,278
735,1278,422,683,278
731,1320,422,683,319
698,1292,485,683,319
704,1293,485,683,319
712,1213,565,683,319
712,1198,580,683,307
668,1242,580,683,247
746,1194,628,680,374
904,1186,636,680,374
959,1127,695,655,354
1014,1045,697,715,380
1015,947,758,747,387
1015,918,782,752,387
1015,892,776,784,387
1015,633,885,934,387
1015,606,851,995,391
1015,529,927,990,384
1036,527,929,977,357
1036,527,929,969,346
1039,502,947,976,345
914,627,946,977,311
836,705,947,961,247
738,803,924,928,230
709,832,906,927,230
697,757,993,739,230
628,714,1105,490,230
622,707,1122,489,224
591,777,1128,485,224
601,709,1196,421,225
707,704,1279,416,246
706,706,1278,423,258
704,735,1278,422,270
801,731,1320,422,229
914,698,1292,485,239
930,704,1293,485,239
1066,712,1213,565,240
1066,712,1198,580,431
1066,668,1242,580,444
988,746,1194,628,339
830,904,1186,636,427
775,959,1127,695,433
720,1014,1045,697,417
732,1015,947,758,446
732,1015,918,782,446
777,1015,892,776,446
880,1015,633,885,446
999,1015,606,851,442
1016,1015,529,927,441
1042,1036,527,929,464
1206,1036,527,929,486
1294,1039,502,947,515
1328,914,627,946,522
1412,836,705,947,674
1412,738,803,924,674
1429,709,832,906,675
1499,697,757,993,687
1523,628,714,1105,691
1519,622,707,1122,762
1509,591,777,1128,822
1499,601,709,1196,832
1315,707,704,1279,817
1308,706,706,1278,805
1281,704,735,1278,793
1146,801,731,1320,793
1031,914,698,1292,783
1008,930,704,1293,783
870,1066,712,1213,782
920,1066,712,1198,591
955,1066,668,1242,573
992,988,746,1194,591
992,830,904,1186,516
1207,775,959,1127,510
1211,720,1014,1045,500
1219,732,1015,947,634
1224,732,1015,918,717
1179,777,1015,892,721
1076,880,1015,633,768
976,999,1015,606,805
972,1016,1015,529,875
954,1042,1036,527,958
831,1206,1036,527,950
740,1294,1039,502,1056
706,1328,914,627,1104
621,1412,836,705,977
621,1412,738,803,977
604,1429,709,832,976
534,1499,697,757,964
510,1523,628,714,960
510,1519,622,707,889
475,1509,591,777,829
475,1499,601,709,818
475,1315,707,704,815
475,1308,706,706,823
475,1281,704,735,846
475,1146,801,731,856
475,1031,914,698,915
475,1008,930,704,922
469,870,1066,712,922
419,920,1066,712,922
384,955,1066,668,922
347,992,988,746,877
347,992,830,904,906
132,1207,775,959,906
128,1211,720,1014,906
107,1219,732,1015,736
