Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
806,609,1047,362,957,443,469,284,930,810
621,683,952,369,955,417,441,231,930,905
520,679,1012,464,1044,404,432,231,897,905
474,719,969,577,1046,404,432,231,897,790
473,716,967,583,1046,404,432,181,787,790
473,716,890,698,1041,404,379,161,589,820
473,716,840,718,1041,386,369,158,589,820
509,716,823,655,1041,404,369,158,586,820
449,745,854,672,1130,557,369,158,526,1180
421,772,806,674,1193,557,369,158,343,1338
438,711,834,660,1256,537,369,148,343,1591
470,687,834,660,1256,590,369,148,343,1629
448,708,859,660,1294,576,369,148,348,1697
449,726,859,660,1280,591,99,148,348,1897
472,667,918,660,1276,540,56,148,348,2016
512,666,910,794,1365,542,56,313,348,1934
552,666,835,825,1391,561,56,458,491,1880
599,666,792,926,1391,592,51,506,496,1888
610,666,792,938,1391,677,51,521,542,1888
610,666,734,898,1374,684,142,551,590,1891
645,665,711,900,1281,684,208,721,642,1891
645,665,711,840,1259,697,228,789,667,1873
645,665,689,840,1234,712,245,766,567,1763
646,665,689,859,1293,724,321,696,535,1600
646,623,731,864,1282,480,321,696,430,1568
658,623,731,863,986,521,321,691,375,1593
689,623,731,857,620,521,336,691,375,1593
689,623,731,805,638,521,341,691,372,1593
705,623,731,805,646,521,315,691,372,1593
649,653,724,805,662,521,307,691,372,1560
577,757,700,805,669,521,359,691,372,1470
508,806,609,772,629,521,366,721,372,1439
506,621,683,765,629,521,376,749,372,1344
506,520,679,670,540,556,485,764,372,1344
533,474,719,557,677,580,486,769,372,1344
533,473,716,551,677,580,538,799,757,1344
533,473,716,436,677,832,538,817,812,1314
533,473,716,416,677,1213,565,817,812,1314
497,509,716,416,677,1290,569,817,812,1314
497,449,745,391,588,1129,587,817,817,954
487,421,772,388,532,1129,634,867,892,881
470,438,711,388,469,1129,634,867,892,633
438,470,687,388,469,1052,634,1070,937,643
408,448,708,388,431,1052,634,1308,945,640
