	MSE
Run 0	1.3093369651667077
Run 0	0.0
Run 0	0.0
Run 0	602101.3376978334
Run 0	0.0
Run 0	0.0
Run 0	0.0
Run 0	28.198498423701547
Run 0	0.0
Run 0	0.16554836051501273
Run 0	0.0
Run 0	2.0382565819052574
Run 0	0.0
Run 0	581.0363451045254
Run 0	1.864595990602784
Run 0	488.38588341307144
Run 0	0.0
Run 0	0.0
Run 0	245.86307998877533
Run 0	1749.8692469642951
Run 0	0.0
Run 0	0.0
Run 0	0.0
Run 0	0.0
Run 0	0.0
Run 0	5.610411584860758
Run 0	1309.983057277545
Run 0	0.0
Run 0	1216.9137919802358
Run 0	0.0
Run 0	875.2481314193899
Run 0	29.716370409249638
Run 0	0.0
Run 0	1.5279329150534433
Run 0	636.0882498367514
Run 0	28.439863364435304
Run 0	0.0
Run 0	454.87630441261314
Run 0	12.298489199322844
Run 0	2.8683304133934113
Run 0	1.6605086914921388
Run 0	956.8271213503236
Run 0	945.8822849608322
Run 0	0.0
Run 0	0.001492217899671964
Run 0	0.0
Run 0	910.1586273508417
Run 0	6.645792737947646
Run 0	541.0265187317361
Run 0	0.0
Run 0	210.2935346974546
Run 0	24.764833993483496
Run 0	1386.68980139138
Run 0	9605.534294937619
Run 0	3.044600947801745E8
Run 0	1445.6116145267013
Run 0	25.590305981327845
Run 0	0.552874762992832
Run 0	0.0
Run 0	0.4945944514425144
Run 0	20339.7913255943
Run 0	0.0
Run 0	1.130406643843501
Run 0	1267.9598419362273
Run 0	505110.7383447567
Run 0	516.0610825008359
Run 0	0.0
Run 0	371.13820071867775
Run 0	0.11397514494795491
Run 0	423.13702600846875
Run 0	1304.262735563179
Run 0	4210.763589709082
Run 0	10.254258527701655
Run 0	1.687956985111281
Run 0	28.427208593964192
Run 0	369876.7653508145
Run 0	23.42057131589541
Run 0	0.010992446654356065
Run 0	364.4509812185607
Run 0	6.211079285176335
Run 0	448.53879020830055
Run 0	913.6886480109551
Run 0	0.0
Run 0	1081.489185316791
Run 0	3.2901371518220968
Run 0	671.9850243245795
Run 0	473.9299635539237
Run 0	0.0
Run 0	1.8313660031923606
Run 0	22722.568008560338
Run 0	490.04482991817764
Run 0	1170.8909700194517
Run 0	19.360515046136275
Run 0	0.29881675751021697
Run 0	837.8337628485363
Run 0	1.549258222763021
Run 0	0.004175056512218303
Run 0	19.43163343945952
Run 0	1.458988420513761
Run 0	1552.3470118603016


Mean	 1552.3470118603016	 
Standard Deviation	 NaN	 
Max	 1552.3470118603016	 
Min	 1552.3470118603016	 
