Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
324,1151,758,1132,1411,742,956,571,311,767,267,1080,1448,769,807,546,60,1245,751,874,350,148
366,1058,841,1141,1412,731,967,571,311,739,295,986,1448,769,794,604,61,1245,751,935,390,148
367,1020,875,1144,1413,492,1206,547,330,711,328,960,1445,820,934,683,80,1299,751,978,441,148
364,782,1048,1209,1416,492,1196,557,330,646,393,857,1444,897,937,744,281,1321,751,963,434,148
262,550,1354,1188,1465,492,1155,598,330,634,405,718,1444,874,921,761,322,1334,691,970,362,148
329,564,1398,1005,1651,492,1138,605,340,609,430,694,1469,823,921,761,364,1334,690,994,266,149
322,437,1532,953,1702,493,1075,600,408,574,465,693,1479,753,920,745,496,1328,697,981,253,149
321,438,1532,935,1720,474,1055,555,492,573,466,693,1433,727,938,744,625,1268,697,1003,283,149
321,438,1532,935,1666,502,1043,593,474,559,498,693,1428,670,916,707,625,1268,697,998,266,143
316,443,1532,872,1716,515,1043,577,415,382,750,693,1382,668,890,694,620,1268,697,998,266,142
317,445,1532,849,1739,515,1024,594,406,334,809,693,1367,708,797,692,625,1268,692,979,263,142
317,445,1532,731,1857,515,1024,594,270,461,818,693,1105,758,793,691,626,1268,692,974,269,142
317,445,1532,702,1886,515,1022,596,270,461,818,668,1050,780,706,691,628,1250,666,934,298,142
317,445,1532,515,2073,514,989,622,274,465,818,654,1091,851,728,690,629,1253,663,878,298,142
317,445,1527,504,2089,319,1126,466,465,488,818,654,1059,717,706,690,631,1133,489,888,360,142
317,443,1528,504,2072,337,1123,469,449,504,818,654,859,723,684,690,631,975,482,884,366,142
317,443,1521,469,2111,340,1123,467,436,517,820,654,855,794,675,690,631,886,478,1047,383,152
317,434,1493,479,2138,340,1123,373,524,523,820,654,1089,819,610,710,631,882,478,952,426,152
317,434,1489,437,2154,370,1123,359,538,510,833,653,1246,815,539,710,631,925,433,1012,526,152
317,434,1489,338,2127,496,1123,356,541,474,869,653,1349,923,537,708,632,926,423,969,526,136
317,434,1489,331,2080,550,1123,356,539,476,841,585,1368,1135,420,705,635,753,339,967,582,147
317,406,1517,331,2049,581,1123,334,561,476,780,646,1260,1167,409,692,635,748,345,890,594,161
317,361,1506,387,2049,581,1123,334,561,476,720,706,1130,1219,410,648,655,759,205,840,599,155
317,342,1500,412,2034,596,1094,363,561,367,827,708,1130,1280,485,589,646,745,205,823,620,113
402,314,1372,511,1984,703,1086,371,561,367,771,530,1080,1305,563,525,622,757,205,854,638,104
438,312,1371,509,1742,950,1033,424,561,367,711,433,986,1272,572,539,627,744,239,806,626,107
438,312,1332,524,1731,871,1144,427,561,367,711,330,960,1285,555,543,629,596,240,834,601,107
440,312,1318,530,1697,905,1112,464,564,351,727,271,857,1404,527,636,629,347,240,834,614,107
