Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
473,303,377,1452,690,896,763,357,1375,1206,700,917,161,259,697,629,989,621,977,252,417,409
473,283,397,1449,693,896,699,421,1374,1207,700,917,133,330,736,507,945,621,977,263,453,409
473,283,389,1434,562,1043,706,397,1398,1162,701,961,133,330,739,439,977,604,976,265,517,410
473,275,395,1355,504,1121,767,396,1399,1159,704,961,119,297,700,384,1094,534,964,318,526,282
459,243,441,1329,511,947,962,396,1399,1159,472,1193,119,297,700,388,1112,510,960,340,512,282
539,208,476,1329,478,977,951,407,1402,877,754,1193,174,297,725,340,1112,510,889,342,529,282
585,208,476,1316,491,942,986,296,1392,980,772,1186,218,297,725,326,1158,475,829,336,527,282
639,219,482,1316,478,927,1014,290,1339,1038,695,1264,238,297,725,258,1108,475,818,336,523,285
657,299,472,1307,497,907,1034,287,1340,961,708,1330,317,297,725,257,917,475,815,323,523,282
654,304,471,1292,513,901,1040,287,1197,1062,750,1330,317,317,731,250,852,475,823,302,436,282
647,298,476,1300,424,990,1040,281,1194,1071,748,1327,316,297,735,247,888,475,846,302,435,282
647,297,462,1315,424,964,1066,281,1191,1074,717,1358,316,292,735,247,930,475,856,302,435,282
646,299,462,1314,425,846,1184,281,1106,1159,717,1303,316,292,735,247,927,475,915,342,435,282
564,366,477,1166,573,799,1170,342,906,1215,819,1297,312,287,735,290,811,475,922,383,435,282
525,404,423,1101,693,555,1373,383,610,1508,822,1275,252,295,735,492,801,469,922,383,443,282
499,430,423,1016,778,526,1402,383,459,1592,889,1196,318,295,735,578,803,419,922,406,472,282
370,559,423,858,936,518,1397,390,443,1614,889,1196,358,283,732,578,857,384,922,470,515,282
370,559,423,857,937,515,1380,410,438,1609,857,1238,402,283,552,578,825,347,877,476,446,282
370,559,421,858,925,528,1336,454,437,1480,963,1262,423,283,475,578,696,347,906,476,412,283
349,580,387,828,989,528,1336,454,437,1480,960,1265,517,283,471,578,673,132,906,460,514,284
300,629,373,799,1032,528,1336,454,437,1479,954,1260,612,288,471,505,685,128,906,463,510,284
300,629,364,678,1146,544,1336,446,445,1462,970,1238,690,314,471,492,674,107,736,455,510,284
500,626,367,661,1162,545,1336,315,551,1281,1165,1182,846,314,500,448,674,102,653,564,510,202
523,615,378,661,1162,545,1316,335,551,1247,1083,1258,915,314,373,471,669,102,682,568,510,287
527,561,432,534,1289,545,1275,323,604,1246,1084,1214,917,314,311,451,598,102,635,545,542,299
527,561,432,471,1352,545,1275,322,605,1246,1084,1193,917,352,289,479,716,83,598,551,563,326
594,561,421,248,1460,668,1248,349,608,1178,1152,1099,961,360,228,473,724,136,528,500,569,370
594,561,417,218,1491,670,1180,418,608,1178,1152,1004,961,390,198,473,730,107,520,475,569,518
594,473,408,313,1493,670,931,667,426,1360,1152,926,1193,360,190,473,747,66,517,475,571,525
596,473,343,338,1533,658,882,728,394,1392,1152,770,1193,330,275,473,747,66,382,475,571,432
596,473,335,346,1533,608,896,763,395,1390,1154,701,1186,287,276,473,747,66,327,545,523,403
596,473,303,377,1452,690,896,763,357,1375,1206,700,1264,225,267,473,747,90,302,568,538,402
606,473,283,397,1449,693,896,699,421,1374,1207,700,1330,154,228,475,747,92,317,559,503,402
944,473,283,389,1434,562,1043,706,397,1398,1162,701,1330,154,486,475,715,92,317,565,502,401
977,473,275,395,1355,504,1121,767,396,1399,1159,704,1327,144,507,475,598,198,317,607,694,401
980,459,243,441,1329,511,947,962,396,1399,1159,472,1358,144,507,476,579,279,427,590,892,405
900,539,208,476,1329,478,977,951,407,1402,877,754,1303,186,533,540,579,370,432,584,877,413
871,585,208,476,1316,491,942,986,296,1392,980,772,1297,186,533,683,532,370,432,584,877,413
841,639,219,482,1316,478,927,1014,290,1339,1038,695,1275,186,632,721,532,398,432,584,984,410
765,657,299,472,1307,497,907,1034,287,1340,961,708,1196,186,632,776,521,413,557,584,984,452
805,654,304,471,1292,513,901,1040,287,1197,1062,750,1196,179,626,776,515,433,571,677,992,464
879,647,298,476,1300,424,990,1040,281,1194,1071,748,1238,187,627,935,453,444,548,766,992,500
932,647,297,462,1315,424,964,1066,281,1191,1074,717,1262,187,627,983,360,479,538,766,992,500
1012,646,299,462,1314,425,846,1184,281,1106,1159,717,1265,187,627,983,392,638,876,726,992,506
1012,564,366,477,1166,573,799,1170,342,906,1215,819,1260,218,693,945,418,724,869,685,992,574
1400,525,404,423,1101,693,555,1373,383,610,1508,822,1238,255,693,743,423,724,908,685,984,821
1590,499,430,423,1016,778,526,1402,383,459,1592,889,1182,364,693,662,437,762,959,662,955,1091
1646,370,559,423,858,936,518,1397,390,443,1614,889,1258,425,693,662,379,902,1144,723,873,1091
1647,370,559,423,857,937,515,1380,410,438,1609,857,1214,425,693,703,378,903,1191,721,870,1121
1745,370,559,421,858,925,528,1336,454,437,1480,963,1193,433,693,703,331,903,1160,722,870,1158
1764,349,580,387,828,989,528,1336,454,437,1480,960,1099,433,693,703,331,903,1173,737,721,1157
1767,300,629,373,799,1032,528,1336,454,437,1479,954,1004,428,693,703,326,903,1197,734,721,1247
1803,300,629,364,678,1146,544,1336,446,445,1462,970,926,402,765,703,321,951,1247,733,721,1247
1603,500,626,367,661,1162,545,1336,315,551,1281,1165,770,402,866,709,330,1112,1385,624,721,1244
1587,523,615,378,661,1162,545,1316,335,551,1247,1083,701,402,871,639,367,1159,1384,563,721,1123
1658,527,561,432,534,1289,545,1275,323,604,1246,1084,700,402,893,648,386,1177,1384,563,689,1111
1669,527,561,432,471,1352,545,1275,322,605,1246,1084,700,364,972,594,291,1183,1487,796,668,1179
1649,594,561,421,248,1460,668,1248,349,608,1178,1152,701,356,1100,594,354,1123,1512,796,675,1135
1649,594,561,417,218,1491,670,1180,418,608,1178,1152,704,435,1106,594,341,1195,1428,796,675,956
1649,594,473,408,313,1493,670,931,667,426,1360,1152,472,435,1096,594,318,1443,1468,796,673,949
1647,596,473,343,338,1533,658,882,728,394,1392,1152,754,435,1008,594,330,1443,1468,796,707,984
1647,596,473,335,346,1533,608,896,763,395,1390,1154,772,488,947,594,345,1443,1468,772,669,1005
1647,596,473,303,377,1452,690,896,763,357,1375,1206,695,488,947,594,345,1419,1470,749,710,1022
1637,606,473,283,397,1449,693,896,699,421,1374,1207,708,528,947,592,567,1417,1456,740,709,1046
1299,944,473,283,389,1434,562,1043,706,397,1398,1162,750,630,940,650,653,1417,1456,758,640,1046
1296,977,473,275,395,1355,504,1121,767,396,1399,1159,748,633,919,685,658,1311,1456,660,433,1046
1326,980,459,243,441,1329,511,947,962,396,1399,1159,717,648,1062,684,658,1261,1346,649,224,1131
1326,900,539,208,476,1329,478,977,951,407,1402,877,717,611,1073,661,658,1204,1341,649,222,1123
1309,871,585,208,476,1316,491,942,986,296,1392,980,819,674,1164,711,658,1278,1341,649,295,1161
1269,841,639,219,482,1316,478,927,1014,290,1339,1038,822,674,1100,757,658,1250,1341,649,208,1161
1414,765,657,299,472,1307,497,907,1034,287,1340,961,889,711,1129,702,746,1235,1213,649,299,1120
1372,805,654,304,471,1292,513,901,1040,287,1197,1062,889,698,1129,702,746,1220,1191,556,291,1108
1298,879,647,298,476,1300,424,990,1040,281,1194,1071,857,690,1151,543,824,1237,1288,468,291,1240
1245,932,647,297,462,1315,424,964,1066,281,1191,1074,963,726,1151,879,841,1290,1338,468,291,1240
1164,1012,646,299,462,1314,425,846,1184,281,1106,1159,960,741,1151,879,836,1175,941,468,291,1234
1164,1012,564,366,477,1166,573,799,1170,342,906,1215,954,760,1151,874,810,1213,941,468,291,1230
902,1400,525,404,423,1101,693,555,1373,383,610,1508,970,754,1151,874,805,1267,1017,468,305,983
1349,1590,499,430,423,1016,778,526,1402,383,459,1592,1165,864,1158,869,846,1230,1114,468,326,713
1303,1646,370,559,423,858,936,518,1397,390,443,1614,1083,811,1160,882,848,1122,929,343,326,713
1305,1647,370,559,423,857,937,515,1380,410,438,1609,1084,1097,1160,889,848,1173,898,339,327,683
1209,1745,370,559,421,858,925,528,1336,454,437,1480,1084,1101,1160,889,876,1266,879,338,423,645
1194,1764,349,580,387,828,989,528,1336,454,437,1480,1152,1102,1160,889,876,1383,866,323,423,645
1191,1767,300,629,373,799,1032,528,1336,454,437,1479,1152,1104,1160,889,869,1425,842,323,444,555
1155,1803,300,629,364,678,1146,544,1336,446,445,1462,1152,1104,1088,905,1109,1448,933,325,444,555
1158,1603,500,626,367,661,1162,545,1336,315,551,1281,1152,1105,958,893,1100,1409,803,326,444,555
1170,1587,523,615,378,661,1162,545,1316,335,551,1247,1154,1105,953,892,1063,1376,782,326,444,555
1189,1658,527,561,432,534,1289,545,1275,323,604,1246,1206,1164,931,881,1044,1399,782,376,444,555
1178,1669,527,561,432,471,1352,545,1275,322,605,1246,1207,1164,852,888,977,1401,681,334,444,458
1131,1649,594,561,421,248,1460,668,1248,349,608,1178,1162,1164,724,888,906,1398,656,392,431,484
1145,1649,594,561,417,218,1491,670,1180,418,608,1178,1159,1055,716,888,906,1374,642,456,484,523
1312,1649,594,473,408,313,1493,670,931,667,426,1360,1159,1055,716,888,1077,1320,591,505,587,549
1312,1647,596,473,343,338,1533,658,882,728,394,1392,877,1055,716,888,1153,1495,591,505,568,537
1312,1647,596,473,335,346,1533,608,896,763,395,1390,980,1002,716,888,1138,1529,591,493,606,611
1312,1647,596,473,303,377,1452,690,896,763,357,1375,1038,1002,716,888,1138,1589,608,507,548,594
1312,1637,606,473,283,397,1449,693,896,699,421,1374,961,962,716,898,916,1618,624,759,548,570
1312,1299,944,473,283,389,1434,562,1043,706,397,1398,1062,860,462,892,870,1618,625,772,623,570
1282,1296,977,473,275,395,1355,504,1121,767,396,1399,1071,857,462,896,895,1713,629,848,671,570
1247,1326,980,459,243,441,1329,511,947,962,396,1399,1074,859,319,933,895,1689,629,848,695,481
1247,1326,900,539,208,476,1329,478,977,951,407,1402,1159,854,340,888,900,1656,629,848,705,481
1247,1309,871,585,208,476,1316,491,942,986,296,1392,1215,812,378,694,967,1583,629,848,634,443
1246,1269,841,639,219,482,1316,478,927,1014,290,1339,1508,833,344,655,971,1591,629,848,614,443
1079,1414,765,657,299,472,1307,497,907,1034,287,1340,1592,811,315,750,883,1593,629,848,523,442
1079,1372,805,654,304,471,1292,513,901,1040,287,1197,1614,811,319,750,883,1588,629,848,523,442
1079,1298,879,647,298,476,1300,424,990,1040,281,1194,1609,937,299,750,805,1560,532,847,523,274
1079,1245,932,647,297,462,1315,424,964,1066,281,1191,1480,1032,304,366,808,1472,482,847,523,281
1079,1164,1012,646,299,462,1314,425,846,1184,281,1106,1480,1032,304,471,765,1428,482,847,525,281
1079,1164,1012,564,366,477,1166,573,799,1170,342,906,1479,989,238,490,766,1304,482,957,661,217
953,902,1400,525,404,423,1101,693,555,1373,383,610,1462,946,238,508,832,1307,367,957,715,217
316,1349,1590,499,430,423,1016,778,526,1402,383,459,1281,729,231,511,820,1382,219,1024,724,232
607,1303,1646,370,559,423,858,936,518,1397,390,443,1247,735,267,498,821,1417,219,1024,776,392
604,1305,1647,370,559,423,857,937,515,1380,410,438,1246,451,272,508,821,1369,223,1024,775,392
646,1209,1745,370,559,421,858,925,528,1336,454,437,1246,458,276,705,793,1313,223,1027,679,392
650,1194,1764,349,580,387,828,989,528,1336,454,437,1178,457,276,727,793,1197,223,1076,679,396
702,1191,1767,300,629,373,799,1032,528,1336,454,437,1178,467,276,727,793,1155,223,1093,681,398
702,1155,1803,300,629,364,678,1146,544,1336,446,445,1360,552,317,711,622,1084,82,1091,689,471
740,1158,1603,500,626,367,661,1162,545,1336,315,551,1392,590,317,749,801,962,88,1134,689,493
724,1170,1587,523,615,378,661,1162,545,1316,335,551,1390,590,447,749,854,992,124,1273,689,493
645,1189,1658,527,561,432,534,1289,545,1275,323,604,1375,531,468,754,854,995,124,1657,689,493
646,1178,1669,527,561,432,471,1352,545,1275,322,605,1374,536,468,747,854,987,122,1456,689,532
646,1131,1649,594,561,421,248,1460,668,1248,349,608,1398,536,471,747,854,984,122,1398,689,506
632,1145,1649,594,561,417,218,1491,670,1180,418,608,1399,536,471,747,869,936,134,1334,636,467
509,1312,1649,594,473,408,313,1493,670,931,667,426,1399,542,494,786,704,834,188,1285,533,441
509,1312,1647,596,473,343,338,1533,658,882,728,394,1402,598,494,786,690,659,222,1286,525,417
509,1312,1647,596,473,335,346,1533,608,896,763,395,1392,729,536,786,904,625,501,1252,506,322
545,1312,1647,596,473,303,377,1452,690,896,763,357,1339,829,597,786,904,565,482,1297,506,322
633,1312,1637,606,473,283,397,1449,693,896,699,421,1340,832,597,776,904,840,465,1045,506,322
633,1312,1299,944,473,283,389,1434,562,1043,706,397,1197,971,597,743,864,881,465,1055,454,322
633,1282,1296,977,473,275,395,1355,504,1121,767,396,1194,1021,605,704,879,810,461,1007,406,322
633,1247,1326,980,459,243,441,1329,511,947,962,396,1191,1004,605,663,879,899,475,1007,382,322
633,1247,1326,900,539,208,476,1329,478,977,951,407,1106,1004,522,832,874,907,531,1007,499,322
675,1247,1309,871,585,208,476,1316,491,942,986,296,906,997,433,855,828,906,612,1019,497,322
675,1246,1269,841,639,219,482,1316,478,927,1014,290,610,977,777,810,877,903,617,1032,567,322
675,1079,1414,765,657,299,472,1307,497,907,1034,287,459,980,777,935,880,901,713,1135,654,322
675,1079,1372,805,654,304,471,1292,513,901,1040,287,443,980,885,935,880,901,831,1249,682,322
675,1079,1298,879,647,298,476,1300,424,990,1040,281,438,854,1024,935,888,952,832,1249,682,322
675,1079,1245,932,647,297,462,1315,424,964,1066,281,437,725,1110,935,869,1009,834,1249,863,315
701,1079,1164,1012,646,299,462,1314,425,846,1184,281,437,710,1225,830,865,1035,1012,1249,900,494
888,1079,1164,1012,564,366,477,1166,573,799,1170,342,437,705,1237,811,864,1035,1021,1139,995,623
888,953,902,1400,525,404,423,1101,693,555,1373,383,445,700,1237,793,839,1028,1044,1160,927,623
888,316,1349,1590,499,430,423,1016,778,526,1402,383,551,728,1237,790,812,963,1062,1093,1010,608
587,607,1303,1646,370,559,423,858,936,518,1397,390,551,714,1199,793,809,974,1132,1093,982,448
587,604,1305,1647,370,559,423,857,937,515,1380,410,604,712,1196,735,922,1304,1113,1093,982,448
574,646,1209,1745,370,559,421,858,925,528,1336,454,605,718,1302,538,922,1268,1113,1092,983,448
573,650,1194,1764,349,580,387,828,989,528,1336,454,608,753,1326,516,941,1267,1363,1044,1022,444
523,702,1191,1767,300,629,373,799,1032,528,1336,454,608,805,1326,533,943,1267,1469,1087,1097,442
523,702,1155,1803,300,629,364,678,1146,544,1336,446,426,861,1474,533,871,1267,1553,1087,1112,369
482,740,1158,1603,500,626,367,661,1162,545,1336,315,394,822,1829,495,692,1267,1539,1043,1124,347
479,724,1170,1587,523,615,378,661,1162,545,1316,335,395,822,1722,495,639,1223,1666,904,1221,356
464,645,1189,1658,527,561,432,534,1289,545,1275,323,357,822,1777,490,639,1179,1748,470,1249,506
465,646,1178,1669,527,561,432,471,1352,545,1275,322,421,817,1787,490,639,1179,1748,469,1278,473
465,646,1131,1649,594,561,421,248,1460,668,1248,349,397,817,1784,490,639,1179,1748,469,1278,473
465,632,1145,1649,594,561,417,218,1491,670,1180,418,396,817,1784,591,627,1179,1736,469,1278,473
421,509,1312,1649,594,473,408,313,1493,670,931,667,396,811,1761,552,685,1087,1682,469,1278,473
421,509,1312,1647,596,473,343,338,1533,658,882,728,407,770,1761,626,687,1196,1670,468,1271,473
421,509,1312,1647,596,473,335,346,1533,608,896,763,296,639,1719,816,473,1202,1391,468,1252,473
385,545,1312,1647,596,473,303,377,1452,690,896,763,290,540,1658,819,683,1207,1391,409,1252,473
345,633,1312,1637,606,473,283,397,1449,693,896,699,287,579,1696,819,741,912,1391,409,1252,482
612,633,1312,1299,944,473,283,389,1434,562,1043,706,287,440,1877,800,758,871,1390,354,1229,629
722,633,1282,1296,977,473,275,395,1355,504,1121,767,281,401,1921,800,713,847,1390,326,1229,629
731,633,1247,1326,980,459,243,441,1329,511,947,962,281,402,1922,800,713,751,1376,327,1229,629
908,633,1247,1326,900,539,208,476,1329,478,977,951,281,656,1922,631,713,771,1320,658,1233,658
868,675,1247,1309,871,585,208,476,1316,491,942,986,342,642,1882,608,707,772,1239,759,1239,658
873,675,1246,1269,841,639,219,482,1316,478,927,1014,383,651,1565,608,1057,767,1234,776,1167,658
896,675,1079,1414,765,657,299,472,1307,497,907,1034,383,633,1565,389,1283,767,1138,673,1081,658
905,675,1079,1372,805,654,304,471,1292,513,901,1040,390,633,1453,482,1283,767,1020,560,1053,658
962,675,1079,1298,879,647,298,476,1300,424,990,1040,410,633,1379,482,1275,716,1022,610,1056,658
1078,675,1079,1245,932,647,297,462,1315,424,964,1066,454,676,1376,482,1274,659,1020,652,875,658
