Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
270,344,860,1659,266,229,633,980,811,219,628,477,1022,955,573,216,290,317
253,357,852,1671,266,229,633,854,937,219,782,466,1055,992,591,216,362,317
208,357,897,1669,207,245,676,725,1032,219,820,466,1231,992,516,187,396,317
208,283,948,1690,126,270,734,710,1032,219,824,462,1254,1207,510,190,443,317
208,187,1015,1719,124,251,753,705,989,211,824,534,1232,1211,500,129,447,317
208,178,1006,1737,124,251,753,700,946,211,804,547,1251,1219,634,106,447,317
205,181,985,1758,124,251,723,728,729,211,797,571,1251,1224,717,106,427,402
200,186,967,1776,124,251,723,714,735,211,790,600,1256,1179,721,162,427,438
194,192,964,1779,120,255,723,712,451,181,807,622,1327,1076,768,184,425,438
194,183,973,1779,96,279,698,718,458,181,784,648,1358,976,805,189,394,440
194,183,973,1778,97,279,663,753,457,102,816,654,1299,972,875,227,393,440
194,183,968,1783,97,279,599,805,467,94,821,650,1306,954,958,252,385,471
194,183,925,1826,97,279,458,861,552,124,645,650,1233,831,950,252,329,469
192,154,941,1841,93,283,458,822,590,154,628,631,1068,740,1056,252,329,422
198,155,904,1872,87,295,458,822,590,197,688,629,1040,706,1104,252,415,409
161,174,903,1883,95,295,458,822,531,259,697,629,989,621,977,252,417,409
133,202,708,2057,116,295,458,817,536,330,736,507,945,621,977,263,453,409
133,202,653,2057,167,299,458,817,536,330,739,439,977,604,976,265,517,410
119,221,597,1690,579,310,458,817,536,297,700,384,1094,534,964,318,526,282
119,221,380,1871,589,336,458,811,542,297,700,388,1112,510,960,340,512,282
174,221,341,1902,564,369,443,770,598,297,725,340,1112,510,889,342,529,282
218,224,323,1787,698,311,501,639,729,297,725,326,1158,475,829,336,527,282
238,226,308,1792,708,306,505,540,829,297,725,258,1108,475,818,336,523,285
317,226,303,1719,784,293,478,579,832,297,725,257,917,475,815,323,523,282
317,226,303,1719,784,271,500,440,971,317,731,250,852,475,823,302,436,282
316,227,303,1715,788,270,490,401,1021,297,735,247,888,475,846,302,435,282
316,227,292,1654,860,269,490,402,1004,292,735,247,930,475,856,302,435,282
316,224,290,1464,1055,268,237,656,1004,292,735,247,927,475,915,342,435,282
312,221,309,1311,1208,266,239,642,997,287,735,290,811,475,922,383,435,282
252,272,341,1217,1302,266,229,651,977,295,735,492,801,469,922,383,443,282
318,271,343,911,1608,266,229,633,980,295,735,578,803,419,922,406,472,282
358,270,344,860,1659,266,229,633,980,283,732,578,857,384,922,470,515,282
402,253,357,852,1671,266,229,633,854,283,552,578,825,347,877,476,446,282
423,208,357,897,1669,207,245,676,725,283,475,578,696,347,906,476,412,283
517,208,283,948,1690,126,270,734,710,283,471,578,673,132,906,460,514,284
612,208,187,1015,1719,124,251,753,705,288,471,505,685,128,906,463,510,284
690,208,178,1006,1737,124,251,753,700,314,471,492,674,107,736,455,510,284
846,205,181,985,1758,124,251,723,728,314,500,448,674,102,653,564,510,202
915,200,186,967,1776,124,251,723,714,314,373,471,669,102,682,568,510,287
917,194,192,964,1779,120,255,723,712,314,311,451,598,102,635,545,542,299
917,194,183,973,1779,96,279,698,718,352,289,479,716,83,598,551,563,326
961,194,183,973,1778,97,279,663,753,360,228,473,724,136,528,500,569,370
961,194,183,968,1783,97,279,599,805,390,198,473,730,107,520,475,569,518
1193,194,183,925,1826,97,279,458,861,360,190,473,747,66,517,475,571,525
1193,192,154,941,1841,93,283,458,822,330,275,473,747,66,382,475,571,432
1186,198,155,904,1872,87,295,458,822,287,276,473,747,66,327,545,523,403
1264,161,174,903,1883,95,295,458,822,225,267,473,747,90,302,568,538,402
1330,133,202,708,2057,116,295,458,817,154,228,475,747,92,317,559,503,402
1330,133,202,653,2057,167,299,458,817,154,486,475,715,92,317,565,502,401
1327,119,221,597,1690,579,310,458,817,144,507,475,598,198,317,607,694,401
1358,119,221,380,1871,589,336,458,811,144,507,476,579,279,427,590,892,405
1303,174,221,341,1902,564,369,443,770,186,533,540,579,370,432,584,877,413
1297,218,224,323,1787,698,311,501,639,186,533,683,532,370,432,584,877,413
1275,238,226,308,1792,708,306,505,540,186,632,721,532,398,432,584,984,410
1196,317,226,303,1719,784,293,478,579,186,632,776,521,413,557,584,984,452
1196,317,226,303,1719,784,271,500,440,179,626,776,515,433,571,677,992,464
1238,316,227,303,1715,788,270,490,401,187,627,935,453,444,548,766,992,500
1262,316,227,292,1654,860,269,490,402,187,627,983,360,479,538,766,992,500
1265,316,224,290,1464,1055,268,237,656,187,627,983,392,638,876,726,992,506
1260,312,221,309,1311,1208,266,239,642,218,693,945,418,724,869,685,992,574
1238,252,272,341,1217,1302,266,229,651,255,693,743,423,724,908,685,984,821
1182,318,271,343,911,1608,266,229,633,364,693,662,437,762,959,662,955,1091
1258,358,270,344,860,1659,266,229,633,425,693,662,379,902,1144,723,873,1091
1214,402,253,357,852,1671,266,229,633,425,693,703,378,903,1191,721,870,1121
1193,423,208,357,897,1669,207,245,676,433,693,703,331,903,1160,722,870,1158
1099,517,208,283,948,1690,126,270,734,433,693,703,331,903,1173,737,721,1157
1004,612,208,187,1015,1719,124,251,753,428,693,703,326,903,1197,734,721,1247
926,690,208,178,1006,1737,124,251,753,402,765,703,321,951,1247,733,721,1247
770,846,205,181,985,1758,124,251,723,402,866,709,330,1112,1385,624,721,1244
701,915,200,186,967,1776,124,251,723,402,871,639,367,1159,1384,563,721,1123
700,917,194,192,964,1779,120,255,723,402,893,648,386,1177,1384,563,689,1111
700,917,194,183,973,1779,96,279,698,364,972,594,291,1183,1487,796,668,1179
701,961,194,183,973,1778,97,279,663,356,1100,594,354,1123,1512,796,675,1135
704,961,194,183,968,1783,97,279,599,435,1106,594,341,1195,1428,796,675,956
472,1193,194,183,925,1826,97,279,458,435,1096,594,318,1443,1468,796,673,949
754,1193,192,154,941,1841,93,283,458,435,1008,594,330,1443,1468,796,707,984
772,1186,198,155,904,1872,87,295,458,488,947,594,345,1443,1468,772,669,1005
695,1264,161,174,903,1883,95,295,458,488,947,594,345,1419,1470,749,710,1022
708,1330,133,202,708,2057,116,295,458,528,947,592,567,1417,1456,740,709,1046
750,1330,133,202,653,2057,167,299,458,630,940,650,653,1417,1456,758,640,1046
748,1327,119,221,597,1690,579,310,458,633,919,685,658,1311,1456,660,433,1046
717,1358,119,221,380,1871,589,336,458,648,1062,684,658,1261,1346,649,224,1131
717,1303,174,221,341,1902,564,369,443,611,1073,661,658,1204,1341,649,222,1123
819,1297,218,224,323,1787,698,311,501,674,1164,711,658,1278,1341,649,295,1161
822,1275,238,226,308,1792,708,306,505,674,1100,757,658,1250,1341,649,208,1161
889,1196,317,226,303,1719,784,293,478,711,1129,702,746,1235,1213,649,299,1120
889,1196,317,226,303,1719,784,271,500,698,1129,702,746,1220,1191,556,291,1108
857,1238,316,227,303,1715,788,270,490,690,1151,543,824,1237,1288,468,291,1240
963,1262,316,227,292,1654,860,269,490,726,1151,879,841,1290,1338,468,291,1240
960,1265,316,224,290,1464,1055,268,237,741,1151,879,836,1175,941,468,291,1234
954,1260,312,221,309,1311,1208,266,239,760,1151,874,810,1213,941,468,291,1230
970,1238,252,272,341,1217,1302,266,229,754,1151,874,805,1267,1017,468,305,983
1165,1182,318,271,343,911,1608,266,229,864,1158,869,846,1230,1114,468,326,713
1083,1258,358,270,344,860,1659,266,229,811,1160,882,848,1122,929,343,326,713
1084,1214,402,253,357,852,1671,266,229,1097,1160,889,848,1173,898,339,327,683
1084,1193,423,208,357,897,1669,207,245,1101,1160,889,876,1266,879,338,423,645
1152,1099,517,208,283,948,1690,126,270,1102,1160,889,876,1383,866,323,423,645
1152,1004,612,208,187,1015,1719,124,251,1104,1160,889,869,1425,842,323,444,555
1152,926,690,208,178,1006,1737,124,251,1104,1088,905,1109,1448,933,325,444,555
1152,770,846,205,181,985,1758,124,251,1105,958,893,1100,1409,803,326,444,555
1154,701,915,200,186,967,1776,124,251,1105,953,892,1063,1376,782,326,444,555
1206,700,917,194,192,964,1779,120,255,1164,931,881,1044,1399,782,376,444,555
1207,700,917,194,183,973,1779,96,279,1164,852,888,977,1401,681,334,444,458
1162,701,961,194,183,973,1778,97,279,1164,724,888,906,1398,656,392,431,484
1159,704,961,194,183,968,1783,97,279,1055,716,888,906,1374,642,456,484,523
1159,472,1193,194,183,925,1826,97,279,1055,716,888,1077,1320,591,505,587,549
877,754,1193,192,154,941,1841,93,283,1055,716,888,1153,1495,591,505,568,537
980,772,1186,198,155,904,1872,87,295,1002,716,888,1138,1529,591,493,606,611
1038,695,1264,161,174,903,1883,95,295,1002,716,888,1138,1589,608,507,548,594
961,708,1330,133,202,708,2057,116,295,962,716,898,916,1618,624,759,548,570
1062,750,1330,133,202,653,2057,167,299,860,462,892,870,1618,625,772,623,570
1071,748,1327,119,221,597,1690,579,310,857,462,896,895,1713,629,848,671,570
1074,717,1358,119,221,380,1871,589,336,859,319,933,895,1689,629,848,695,481
1159,717,1303,174,221,341,1902,564,369,854,340,888,900,1656,629,848,705,481
1215,819,1297,218,224,323,1787,698,311,812,378,694,967,1583,629,848,634,443
1508,822,1275,238,226,308,1792,708,306,833,344,655,971,1591,629,848,614,443
1592,889,1196,317,226,303,1719,784,293,811,315,750,883,1593,629,848,523,442
1614,889,1196,317,226,303,1719,784,271,811,319,750,883,1588,629,848,523,442
1609,857,1238,316,227,303,1715,788,270,937,299,750,805,1560,532,847,523,274
1480,963,1262,316,227,292,1654,860,269,1032,304,366,808,1472,482,847,523,281
1480,960,1265,316,224,290,1464,1055,268,1032,304,471,765,1428,482,847,525,281
1479,954,1260,312,221,309,1311,1208,266,989,238,490,766,1304,482,957,661,217
1462,970,1238,252,272,341,1217,1302,266,946,238,508,832,1307,367,957,715,217
1281,1165,1182,318,271,343,911,1608,266,729,231,511,820,1382,219,1024,724,232
1247,1083,1258,358,270,344,860,1659,266,735,267,498,821,1417,219,1024,776,392
