Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7
604,1429,709,832,976,265,517,410,693,1375,525
534,1499,697,757,964,318,526,282,668,1426,525
510,1523,628,714,960,340,512,282,654,1424,525
510,1519,622,707,889,342,529,282,654,1374,507
475,1509,591,777,829,336,527,282,654,1441,506
475,1499,601,709,818,336,523,285,654,1452,504
475,1315,707,704,815,323,523,282,654,1384,565
475,1308,706,706,823,302,436,282,653,1331,595
475,1281,704,735,846,302,435,282,653,1309,651
475,1146,801,731,856,302,435,282,585,1336,673
475,1031,914,698,915,342,435,282,646,1330,710
475,1008,930,704,922,383,435,282,706,1334,780
469,870,1066,712,922,383,443,282,708,1263,781
419,920,1066,712,922,406,472,282,530,1263,778
384,955,1066,668,922,470,515,282,433,1267,781
347,992,988,746,877,476,446,282,330,1161,781
347,992,830,904,906,476,412,283,271,952,782
132,1207,775,959,906,460,514,284,267,920,782
128,1211,720,1014,906,463,510,284,267,868,860
107,1219,732,1015,736,455,510,284,267,1064,785
102,1224,732,1015,653,564,510,202,267,1087,707
102,1179,777,1015,682,568,510,287,295,1117,698
102,1076,880,1015,635,545,542,299,328,1123,675
83,976,999,1015,598,551,563,326,393,1057,675
136,972,1016,1015,528,500,569,370,405,1209,561
107,954,1042,1036,520,475,569,518,430,1209,497
66,831,1206,1036,517,475,571,525,465,1209,472
66,740,1294,1039,382,475,571,432,466,1288,468
66,706,1328,914,327,545,523,403,498,1271,518
90,621,1412,836,302,568,538,402,750,1253,482
92,621,1412,738,317,559,503,402,809,1157,506
92,604,1429,709,317,565,502,401,818,1123,542
198,534,1499,697,317,607,694,401,818,1058,546
279,510,1523,628,427,590,892,405,818,1021,551
370,510,1519,622,432,584,877,413,818,1013,551
370,475,1509,591,432,584,877,413,818,929,551
398,475,1499,601,432,584,984,410,820,871,554
413,475,1315,707,557,584,984,452,820,870,579
433,475,1308,706,571,677,992,464,833,870,550
444,475,1281,704,548,766,992,500,869,881,494
479,475,1146,801,538,766,992,500,841,787,450
638,475,1031,914,876,726,992,506,780,779,438
724,475,1008,930,869,685,992,574,720,769,389
724,469,870,1066,908,685,984,821,827,785,409
762,419,920,1066,959,662,955,1091,771,760,473
902,384,955,1066,1144,723,873,1091,711,750,470
903,347,992,988,1191,721,870,1121,711,748,591
903,347,992,830,1160,722,870,1158,727,745,594
903,132,1207,775,1173,737,721,1157,739,745,594
903,128,1211,720,1197,734,721,1247,745,745,523
951,107,1219,732,1247,733,721,1247,756,474,557
1112,102,1224,732,1385,624,721,1244,767,415,590
1159,102,1179,777,1384,563,721,1123,739,385,591
1177,102,1076,880,1384,563,689,1111,711,366,607
1183,83,976,999,1487,796,668,1179,646,312,624
1123,136,972,1016,1512,796,675,1135,634,157,756
1195,107,954,1042,1428,796,675,956,609,157,756
1443,66,831,1206,1468,796,673,949,574,159,756
1443,66,740,1294,1468,796,707,984,573,90,756
1443,66,706,1328,1468,772,669,1005,559,117,769
1419,90,621,1412,1470,749,710,1022,382,117,809
