Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
1633,415,512,1049,509,547,809,2307,647,575,1184,1363
1622,414,543,1091,488,525,820,2337,437,575,1431,1363
1600,221,590,1168,457,524,800,2432,363,575,1586,1363
1671,226,633,1240,410,524,739,2431,232,595,1732,1363
1671,226,611,1339,403,524,705,2560,233,620,1900,1363
1691,200,611,1360,403,525,665,2721,276,620,1910,1363
1641,246,628,1391,403,522,640,2685,283,620,1955,1363
1668,259,665,1391,403,522,657,2553,292,629,2013,1363
1615,312,680,1382,403,531,614,2494,319,656,2096,1363
1602,291,675,1315,403,549,682,2301,465,720,2086,1363
1451,420,635,1184,403,549,711,2250,756,720,2177,1363
1158,695,589,1135,403,550,747,2230,941,720,2124,1293
1037,816,582,1141,350,550,720,2134,1001,720,2111,1150
1006,847,588,1142,350,550,711,2158,1011,720,2111,993
1001,850,592,1169,350,550,712,2120,1011,720,2101,863
1001,850,590,1242,350,550,709,2038,1006,699,2101,786
982,864,607,1123,295,550,709,1975,1010,611,2101,639
865,980,582,1160,315,546,808,1969,1052,501,2101,612
705,1141,490,1229,389,546,807,1773,1038,378,2116,594
705,1136,487,1139,321,428,823,1348,1022,339,2103,307
719,1132,487,1021,319,357,853,1256,985,224,2068,297
727,1132,486,1021,346,275,1387,1152,996,194,2068,174
719,1139,486,1019,244,78,1509,1126,1000,172,2068,264
691,1158,486,962,248,52,1525,1057,1061,172,2068,419
510,1317,530,867,248,52,1816,1107,1068,172,2008,647
341,1478,526,823,250,73,1921,1153,1076,171,1840,657
260,1559,473,815,253,73,1762,1253,1085,162,1747,670
199,1617,536,814,253,73,1930,1253,1096,162,1737,715
284,1620,536,785,247,73,2053,1185,1126,162,1462,715
293,1625,536,785,211,68,2024,1129,1126,162,1349,715
286,1632,536,772,209,63,1976,951,1126,162,1331,715
279,1633,536,763,209,63,1983,958,1126,162,1248,715
295,1622,505,622,209,123,2023,994,1126,162,993,800
295,1600,458,540,179,124,2022,994,1126,163,838,855
219,1671,438,468,185,124,2035,968,1126,178,692,855
219,1671,468,369,228,124,2035,839,1125,172,524,855
220,1691,519,348,228,123,2036,695,1087,172,527,855
248,1641,549,320,228,117,2036,674,1031,172,482,858
301,1668,514,320,228,122,2008,677,1022,163,429,858
302,1615,466,320,228,113,1997,681,995,187,359,858
389,1602,466,320,246,121,1967,681,849,137,201,971
389,1451,467,320,259,124,1992,681,538,223,142,1018
411,1158,462,320,380,297,1991,626,325,242,142,1101
433,1037,456,313,538,304,2022,586,257,314,142,1148
443,1006,437,308,627,308,2019,531,247,314,150,1248
511,1001,434,281,636,308,2226,531,247,373,175,1453
582,1001,439,208,636,353,2271,531,244,397,175,1453
584,982,426,204,643,378,2320,531,256,406,175,1460
700,865,457,114,790,534,2221,531,214,406,175,1460
710,705,511,18,709,569,2298,507,223,396,160,1460
710,705,581,11,717,723,2325,501,236,389,160,1457
696,719,640,20,731,723,2312,501,274,389,147,1457
688,727,720,44,692,723,1778,528,240,389,124,1457
686,719,733,44,703,724,1715,513,240,389,124,1252
726,691,743,40,847,719,1732,532,179,389,124,1087
754,510,696,38,1129,719,1464,482,172,389,124,867
754,341,611,38,1244,733,1356,423,174,389,124,1080
754,260,565,38,1244,733,1320,320,189,389,124,1354
844,199,494,59,1244,735,1080,351,178,389,164,1427
807,284,546,60,1245,751,874,350,148,389,164,1452
794,293,604,61,1245,751,935,390,148,407,284,1485
934,286,683,80,1299,751,978,441,148,407,284,1485
937,279,744,281,1321,751,963,434,148,407,284,1485
921,295,761,322,1334,691,970,362,148,413,284,1400
921,295,761,364,1334,690,994,266,149,417,287,1345
920,219,745,496,1328,697,981,253,149,382,287,1345
938,219,744,625,1268,697,1003,283,149,363,282,1345
916,220,707,625,1268,697,998,266,143,363,269,1345
890,248,694,620,1268,697,998,266,142,378,279,1342
797,301,692,625,1268,692,979,263,142,383,274,1342
793,302,691,626,1268,692,974,269,142,430,261,1342
706,389,691,628,1250,666,934,298,142,527,246,1239
728,389,690,629,1253,663,878,298,142,445,211,1192
706,411,690,631,1133,489,888,360,142,522,211,1109
684,433,690,631,975,482,884,366,142,450,211,1057
675,443,690,631,886,478,1047,383,152,450,206,949
610,511,710,631,882,478,952,426,152,391,181,719
539,582,710,631,925,433,1012,526,152,367,456,719
537,584,708,632,926,423,969,526,136,360,475,734
420,700,705,635,753,339,967,582,147,361,720,734
409,710,692,635,748,345,890,594,161,455,753,772
410,710,648,655,759,205,840,599,155,584,753,772
485,696,589,646,745,205,823,620,113,617,753,772
563,688,525,622,757,205,854,638,104,617,748,772
572,686,539,627,744,239,806,626,107,638,748,772
555,726,543,629,596,240,834,601,107,640,748,772
527,754,636,629,347,240,834,614,107,650,748,769
655,754,636,629,232,224,859,615,97,662,748,546
719,754,636,629,229,236,859,613,73,671,748,259
645,844,636,608,229,234,918,644,73,671,708,141
598,807,584,607,228,218,910,743,104,671,708,116
597,794,533,650,228,218,835,734,104,687,588,83
493,934,473,895,177,218,792,683,104,687,588,113
503,937,413,809,158,229,792,763,167,687,623,118
525,921,396,800,155,229,734,785,212,681,628,118
525,921,402,892,174,229,711,787,225,676,625,118
