Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
1119,1558,444,989,803,721,441,521,1048,582,946,1633
1106,1538,436,657,832,595,428,522,1354,569,939,1622
1050,1549,383,610,757,502,433,522,1398,558,948,1600
1049,1473,290,580,714,386,433,522,1532,514,1147,1671
974,1367,169,667,707,336,485,538,1532,472,1391,1671
919,1388,99,588,777,314,485,576,1532,472,1343,1691
886,1416,98,546,709,314,486,577,1532,472,1240,1641
802,1408,98,497,704,278,517,660,1532,472,1221,1668
798,1425,85,389,706,278,517,683,1532,472,1222,1615
706,1467,84,367,735,278,532,703,1532,472,1104,1602
692,1437,84,411,731,319,538,901,1532,472,1070,1451
691,1438,84,430,698,319,578,1050,1527,472,1056,1158
709,1438,84,430,704,319,578,1017,1528,472,1020,1037
709,1437,88,434,712,319,578,985,1521,472,898,1006
709,1427,88,448,712,307,578,1026,1493,507,881,1001
774,1424,88,534,668,247,522,1079,1489,517,868,1001
845,1262,81,654,746,374,515,1118,1489,517,871,982
845,1107,263,683,904,374,513,1127,1489,517,851,865
840,1112,365,690,959,354,506,1179,1517,563,863,705
833,1119,356,694,1014,380,650,1086,1506,586,868,705
815,1143,354,748,1015,387,650,1073,1500,573,954,719
645,1316,381,803,1015,387,635,1073,1372,572,1036,727
634,1323,750,803,1015,387,608,1050,1371,650,1124,719
602,1214,750,815,1015,387,562,1072,1332,701,1188,691
549,1217,750,815,1015,391,545,1080,1318,650,1172,510
549,1180,750,793,1015,384,545,1102,1241,767,1200,341
519,1209,750,792,1036,357,545,1026,1213,777,1205,260
535,1049,750,790,1036,346,530,1016,1279,642,1197,199
468,1079,750,722,1039,345,528,1017,1151,487,1182,284
417,1040,750,746,914,311,530,1017,1058,487,1182,293
351,1127,736,780,836,247,525,1049,1020,490,1181,286
357,1119,736,991,738,230,500,1091,782,491,1051,279
441,1106,764,994,709,230,516,1091,550,491,1036,295
604,1050,771,978,697,230,513,1091,564,491,1092,295
607,1049,778,1049,628,230,513,1091,437,495,999,219
644,974,775,1086,622,224,461,1075,438,541,839,219
644,919,775,1304,591,224,461,1042,438,546,907,220
641,886,786,1243,601,225,460,1082,443,592,956,248
641,802,786,1240,707,246,429,1059,445,607,985,301
628,798,888,1200,706,258,429,1036,445,870,987,302
621,706,1042,1199,704,270,479,1021,445,925,952,389
622,692,1063,1145,801,229,518,817,445,980,952,389
622,691,1083,1126,914,239,593,650,445,1012,1144,411
601,709,1086,1126,930,239,726,549,443,1212,1147,433
620,709,1077,1122,1066,240,745,482,443,1216,1147,443
627,709,1080,1108,1066,431,746,440,434,1181,1147,511
562,774,1148,1022,1066,444,746,387,434,1171,1157,582
517,845,1139,902,988,339,666,348,434,1171,1154,584
556,845,951,873,830,427,605,339,434,1211,1141,700
556,840,848,866,775,433,609,279,406,1275,1128,710
556,833,837,884,720,417,526,273,361,1382,1123,710
570,815,837,830,732,446,558,273,342,1380,1051,696
574,645,835,775,732,446,558,293,314,1419,980,688
708,634,485,775,777,446,555,293,312,1435,924,686
708,602,485,763,880,446,555,273,312,1402,859,726
749,549,485,776,999,442,555,292,312,1469,817,754
778,549,485,835,1016,441,568,271,286,1491,744,754
804,519,489,835,1042,464,568,271,267,1457,707,754
982,535,489,914,1206,486,567,314,198,1448,729,844
935,468,508,1079,1294,515,567,313,324,1448,769,807
931,417,510,1071,1328,522,565,313,366,1448,769,794
910,351,510,1087,1412,674,548,281,367,1445,820,934
901,357,632,920,1412,674,553,230,364,1444,897,937
816,441,672,917,1429,675,543,235,262,1444,874,921
692,604,720,917,1499,687,544,241,329,1469,823,921
689,607,713,846,1523,691,550,266,322,1479,753,920
652,644,765,704,1519,762,554,266,321,1433,727,938
652,644,780,463,1509,822,560,263,321,1428,670,916
652,641,837,513,1499,832,560,228,316,1382,668,890
652,641,838,715,1315,817,573,168,317,1367,708,797
652,628,743,786,1308,805,594,255,317,1105,758,793
652,621,592,812,1281,793,529,251,317,1050,780,706
651,622,571,863,1146,793,484,251,317,1091,851,728
651,622,551,892,1031,783,369,251,317,1059,717,706
651,601,548,1008,1008,783,236,251,317,859,723,684
632,620,548,1018,870,782,217,251,317,855,794,675
625,627,545,1018,920,591,216,251,317,1089,819,610
628,562,477,1022,955,573,216,290,317,1246,815,539
782,517,466,1055,992,591,216,362,317,1349,923,537
820,556,466,1231,992,516,187,396,317,1368,1135,420
824,556,462,1254,1207,510,190,443,317,1260,1167,409
824,556,534,1232,1211,500,129,447,317,1130,1219,410
804,570,547,1251,1219,634,106,447,317,1130,1280,485
797,574,571,1251,1224,717,106,427,402,1080,1305,563
790,708,600,1256,1179,721,162,427,438,986,1272,572
807,708,622,1327,1076,768,184,425,438,960,1285,555
784,749,648,1358,976,805,189,394,440,857,1404,527
816,778,654,1299,972,875,227,393,440,718,1400,655
821,804,650,1306,954,958,252,385,471,694,1400,719
645,982,650,1233,831,950,252,329,469,693,1378,645
628,935,631,1068,740,1056,252,329,422,693,1338,598
688,931,629,1040,706,1104,252,415,409,693,1355,597
697,910,629,989,621,977,252,417,409,693,1322,493
736,901,507,945,621,977,263,453,409,693,1341,503
739,816,439,977,604,976,265,517,410,693,1375,525
700,692,384,1094,534,964,318,526,282,668,1426,525
700,689,388,1112,510,960,340,512,282,654,1424,525
725,652,340,1112,510,889,342,529,282,654,1374,507
725,652,326,1158,475,829,336,527,282,654,1441,506
725,652,258,1108,475,818,336,523,285,654,1452,504
725,652,257,917,475,815,323,523,282,654,1384,565
731,652,250,852,475,823,302,436,282,653,1331,595
735,652,247,888,475,846,302,435,282,653,1309,651
735,651,247,930,475,856,302,435,282,585,1336,673
735,651,247,927,475,915,342,435,282,646,1330,710
735,651,290,811,475,922,383,435,282,706,1334,780
735,632,492,801,469,922,383,443,282,708,1263,781
735,625,578,803,419,922,406,472,282,530,1263,778
732,628,578,857,384,922,470,515,282,433,1267,781
552,782,578,825,347,877,476,446,282,330,1161,781
475,820,578,696,347,906,476,412,283,271,952,782
471,824,578,673,132,906,460,514,284,267,920,782
471,824,505,685,128,906,463,510,284,267,868,860
471,804,492,674,107,736,455,510,284,267,1064,785
500,797,448,674,102,653,564,510,202,267,1087,707
373,790,471,669,102,682,568,510,287,295,1117,698
311,807,451,598,102,635,545,542,299,328,1123,675
289,784,479,716,83,598,551,563,326,393,1057,675
228,816,473,724,136,528,500,569,370,405,1209,561
198,821,473,730,107,520,475,569,518,430,1209,497
190,645,473,747,66,517,475,571,525,465,1209,472
275,628,473,747,66,382,475,571,432,466,1288,468
276,688,473,747,66,327,545,523,403,498,1271,518
267,697,473,747,90,302,568,538,402,750,1253,482
228,736,475,747,92,317,559,503,402,809,1157,506
486,739,475,715,92,317,565,502,401,818,1123,542
507,700,475,598,198,317,607,694,401,818,1058,546
507,700,476,579,279,427,590,892,405,818,1021,551
533,725,540,579,370,432,584,877,413,818,1013,551
533,725,683,532,370,432,584,877,413,818,929,551
632,725,721,532,398,432,584,984,410,820,871,554
632,725,776,521,413,557,584,984,452,820,870,579
626,731,776,515,433,571,677,992,464,833,870,550
627,735,935,453,444,548,766,992,500,869,881,494
627,735,983,360,479,538,766,992,500,841,787,450
627,735,983,392,638,876,726,992,506,780,779,438
693,735,945,418,724,869,685,992,574,720,769,389
693,735,743,423,724,908,685,984,821,827,785,409
693,735,662,437,762,959,662,955,1091,771,760,473
693,732,662,379,902,1144,723,873,1091,711,750,470
693,552,703,378,903,1191,721,870,1121,711,748,591
693,475,703,331,903,1160,722,870,1158,727,745,594
693,471,703,331,903,1173,737,721,1157,739,745,594
693,471,703,326,903,1197,734,721,1247,745,745,523
765,471,703,321,951,1247,733,721,1247,756,474,557
866,500,709,330,1112,1385,624,721,1244,767,415,590
871,373,639,367,1159,1384,563,721,1123,739,385,591
893,311,648,386,1177,1384,563,689,1111,711,366,607
972,289,594,291,1183,1487,796,668,1179,646,312,624
1100,228,594,354,1123,1512,796,675,1135,634,157,756
1106,198,594,341,1195,1428,796,675,956,609,157,756
1096,190,594,318,1443,1468,796,673,949,574,159,756
1008,275,594,330,1443,1468,796,707,984,573,90,756
947,276,594,345,1443,1468,772,669,1005,559,117,769
947,267,594,345,1419,1470,749,710,1022,382,117,809
947,228,592,567,1417,1456,740,709,1046,334,117,997
940,486,650,653,1417,1456,758,640,1046,461,117,940
919,507,685,658,1311,1456,660,433,1046,461,208,936
1062,507,684,658,1261,1346,649,224,1131,465,222,931
1073,533,661,658,1204,1341,649,222,1123,488,222,938
1164,533,711,658,1278,1341,649,295,1161,504,356,947
1100,632,757,658,1250,1341,649,208,1161,517,364,944
1129,632,702,746,1235,1213,649,299,1120,523,364,858
1129,626,702,746,1220,1191,556,291,1108,510,364,857
1151,627,543,824,1237,1288,468,291,1240,474,353,857
1151,627,879,841,1290,1338,468,291,1240,476,666,857
1151,627,879,836,1175,941,468,291,1234,476,678,832
1151,693,874,810,1213,941,468,291,1230,476,748,811
1151,693,874,805,1267,1017,468,305,983,367,733,789
