Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
961,194,360,228,473,724,136,528,500,569,370,405
961,194,390,198,473,730,107,520,475,569,518,430
1193,194,360,190,473,747,66,517,475,571,525,465
1193,192,330,275,473,747,66,382,475,571,432,466
1186,198,287,276,473,747,66,327,545,523,403,498
1264,161,225,267,473,747,90,302,568,538,402,750
1330,133,154,228,475,747,92,317,559,503,402,809
1330,133,154,486,475,715,92,317,565,502,401,818
1327,119,144,507,475,598,198,317,607,694,401,818
1358,119,144,507,476,579,279,427,590,892,405,818
1303,174,186,533,540,579,370,432,584,877,413,818
1297,218,186,533,683,532,370,432,584,877,413,818
1275,238,186,632,721,532,398,432,584,984,410,820
1196,317,186,632,776,521,413,557,584,984,452,820
1196,317,179,626,776,515,433,571,677,992,464,833
1238,316,187,627,935,453,444,548,766,992,500,869
1262,316,187,627,983,360,479,538,766,992,500,841
1265,316,187,627,983,392,638,876,726,992,506,780
1260,312,218,693,945,418,724,869,685,992,574,720
1238,252,255,693,743,423,724,908,685,984,821,827
1182,318,364,693,662,437,762,959,662,955,1091,771
1258,358,425,693,662,379,902,1144,723,873,1091,711
1214,402,425,693,703,378,903,1191,721,870,1121,711
1193,423,433,693,703,331,903,1160,722,870,1158,727
1099,517,433,693,703,331,903,1173,737,721,1157,739
1004,612,428,693,703,326,903,1197,734,721,1247,745
926,690,402,765,703,321,951,1247,733,721,1247,756
770,846,402,866,709,330,1112,1385,624,721,1244,767
701,915,402,871,639,367,1159,1384,563,721,1123,739
700,917,402,893,648,386,1177,1384,563,689,1111,711
700,917,364,972,594,291,1183,1487,796,668,1179,646
701,961,356,1100,594,354,1123,1512,796,675,1135,634
704,961,435,1106,594,341,1195,1428,796,675,956,609
472,1193,435,1096,594,318,1443,1468,796,673,949,574
754,1193,435,1008,594,330,1443,1468,796,707,984,573
772,1186,488,947,594,345,1443,1468,772,669,1005,559
695,1264,488,947,594,345,1419,1470,749,710,1022,382
708,1330,528,947,592,567,1417,1456,740,709,1046,334
750,1330,630,940,650,653,1417,1456,758,640,1046,461
748,1327,633,919,685,658,1311,1456,660,433,1046,461
717,1358,648,1062,684,658,1261,1346,649,224,1131,465
717,1303,611,1073,661,658,1204,1341,649,222,1123,488
819,1297,674,1164,711,658,1278,1341,649,295,1161,504
822,1275,674,1100,757,658,1250,1341,649,208,1161,517
889,1196,711,1129,702,746,1235,1213,649,299,1120,523
889,1196,698,1129,702,746,1220,1191,556,291,1108,510
857,1238,690,1151,543,824,1237,1288,468,291,1240,474
963,1262,726,1151,879,841,1290,1338,468,291,1240,476
960,1265,741,1151,879,836,1175,941,468,291,1234,476
954,1260,760,1151,874,810,1213,941,468,291,1230,476
970,1238,754,1151,874,805,1267,1017,468,305,983,367
1165,1182,864,1158,869,846,1230,1114,468,326,713,367
1083,1258,811,1160,882,848,1122,929,343,326,713,367
1084,1214,1097,1160,889,848,1173,898,339,327,683,367
1084,1193,1101,1160,889,876,1266,879,338,423,645,351
1152,1099,1102,1160,889,876,1383,866,323,423,645,339
1152,1004,1104,1160,889,869,1425,842,323,444,555,333
1152,926,1104,1088,905,1109,1448,933,325,444,555,322
1152,770,1105,958,893,1100,1409,803,326,444,555,311
1154,701,1105,953,892,1063,1376,782,326,444,555,311
1206,700,1164,931,881,1044,1399,782,376,444,555,330
1207,700,1164,852,888,977,1401,681,334,444,458,330
1162,701,1164,724,888,906,1398,656,392,431,484,330
1159,704,1055,716,888,906,1374,642,456,484,523,340
1159,472,1055,716,888,1077,1320,591,505,587,549,408
877,754,1055,716,888,1153,1495,591,505,568,537,492
980,772,1002,716,888,1138,1529,591,493,606,611,474
1038,695,1002,716,888,1138,1589,608,507,548,594,415
961,708,962,716,898,916,1618,624,759,548,570,406
1062,750,860,462,892,870,1618,625,772,623,570,270
1071,748,857,462,896,895,1713,629,848,671,570,270
1074,717,859,319,933,895,1689,629,848,695,481,274
1159,717,854,340,888,900,1656,629,848,705,481,465
1215,819,812,378,694,967,1583,629,848,634,443,449
1508,822,833,344,655,971,1591,629,848,614,443,436
1592,889,811,315,750,883,1593,629,848,523,442,524
1614,889,811,319,750,883,1588,629,848,523,442,538
1609,857,937,299,750,805,1560,532,847,523,274,541
1480,963,1032,304,366,808,1472,482,847,523,281,539
1480,960,1032,304,471,765,1428,482,847,525,281,561
1479,954,989,238,490,766,1304,482,957,661,217,561
1462,970,946,238,508,832,1307,367,957,715,217,561
1281,1165,729,231,511,820,1382,219,1024,724,232,561
1247,1083,735,267,498,821,1417,219,1024,776,392,561
1246,1084,451,272,508,821,1369,223,1024,775,392,561
1246,1084,458,276,705,793,1313,223,1027,679,392,564
1178,1152,457,276,727,793,1197,223,1076,679,396,569
1178,1152,467,276,727,793,1155,223,1093,681,398,571
1360,1152,552,317,711,622,1084,82,1091,689,471,571
1392,1152,590,317,749,801,962,88,1134,689,493,571
1390,1154,590,447,749,854,992,124,1273,689,493,571
1375,1206,531,468,754,854,995,124,1657,689,493,547
1374,1207,536,468,747,854,987,122,1456,689,532,557
1398,1162,536,471,747,854,984,122,1398,689,506,598
1399,1159,536,471,747,869,936,134,1334,636,467,605
1399,1159,542,494,786,704,834,188,1285,533,441,600
1402,877,598,494,786,690,659,222,1286,525,417,555
1392,980,729,536,786,904,625,501,1252,506,322,593
1339,1038,829,597,786,904,565,482,1297,506,322,577
