Accum_y-0,T-1,T-2,T-3,T-4,T-5,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
591,698,572,686,719,1139,259,369,930,713
607,675,555,726,691,1158,293,460,883,713
624,675,527,754,510,1317,293,430,872,705
756,561,655,754,341,1478,316,431,861,705
756,497,719,754,260,1559,316,553,861,705
756,472,645,844,199,1617,250,526,861,840
756,468,598,807,284,1620,285,513,861,749
769,518,597,794,293,1625,396,513,861,726
809,482,493,934,286,1632,443,513,860,726
997,506,503,937,279,1633,487,512,657,726
940,542,525,921,295,1622,488,512,557,721
936,546,525,921,295,1600,517,620,731,691
931,551,525,920,219,1671,540,620,866,691
938,551,507,938,219,1671,540,628,796,691
947,551,506,916,220,1691,491,628,766,691
944,554,504,890,248,1641,485,644,885,691
858,579,565,797,301,1668,492,676,870,691
857,550,595,793,302,1615,822,680,1077,691
857,494,651,706,389,1602,822,732,1116,691
857,450,673,728,389,1451,822,756,1090,690
832,438,710,706,411,1158,822,771,1092,668
811,389,780,684,433,1037,814,775,1310,551
789,409,781,675,443,1006,773,776,1171,450
725,473,778,610,511,1001,770,776,1178,385
725,470,781,539,582,1001,779,776,1144,480
607,591,781,537,584,982,813,776,1098,484
603,594,782,420,700,865,812,776,1180,464
609,594,782,409,710,705,812,776,1410,461
610,523,860,410,710,705,812,776,1516,466
618,557,785,485,696,719,812,764,1606,417
585,590,707,563,688,727,930,749,1747,344
584,591,698,572,686,719,1024,716,1843,272
568,607,675,555,726,691,991,485,1843,273
551,624,675,527,754,510,1016,477,1871,286
405,756,561,655,754,341,1053,514,1911,295
486,756,497,719,754,260,1053,410,1921,316
717,756,472,645,844,199,1053,410,1989,251
717,756,468,598,807,284,1018,354,2059,250
896,769,518,597,794,293,907,354,2314,295
883,809,482,493,934,286,858,354,2317,366
667,997,506,503,937,279,1022,354,2322,383
887,940,542,525,921,295,1062,410,2331,395
920,936,546,525,921,295,1003,301,2139,395
1176,931,551,525,920,219,980,314,2003,419
1208,938,551,507,938,219,980,339,2003,426
1211,947,551,506,916,220,980,356,2003,426
1219,944,554,504,890,248,1190,360,1868,426
1328,858,579,565,797,301,1177,424,1868,426
1364,857,550,595,793,302,809,421,1766,426
1402,857,494,651,706,389,824,391,1727,426
1415,857,450,673,728,389,824,454,1727,426
1415,832,438,710,706,411,824,543,1821,426
1415,811,389,780,684,433,824,540,1628,426
1415,789,409,781,675,443,824,539,1679,426
1415,725,473,778,610,511,824,539,1701,426
1415,725,470,781,539,582,826,539,1659,331
1412,607,591,781,537,584,792,539,1578,324
1562,603,594,782,420,700,792,552,1496,363
1588,609,594,782,409,710,792,552,1283,364
1596,610,523,860,410,710,792,552,1189,359
1758,618,557,785,485,696,792,544,1099,359
1816,585,590,707,563,688,674,544,959,359
1837,584,591,698,572,686,580,526,863,359
1971,568,607,675,555,726,579,587,863,364
1971,551,624,675,527,754,554,587,848,351
1971,405,756,561,655,754,494,549,866,342
1934,486,756,497,719,754,494,560,866,321
1703,717,756,472,645,844,494,603,870,247
1703,717,756,468,598,807,510,604,801,232
1461,896,769,518,597,794,523,605,546,187
1434,883,809,482,493,934,561,605,543,116
1425,667,997,506,503,937,354,605,538,131
1209,887,940,542,525,921,323,545,529,129
1205,920,936,546,525,921,332,544,529,129
949,1176,931,551,525,920,392,531,529,105
910,1208,938,551,507,938,400,498,529,220
898,1211,947,551,506,916,400,481,529,258
890,1219,944,554,504,890,190,461,524,363
781,1328,858,579,565,797,190,365,524,438
745,1364,857,550,595,793,265,364,419,438
707,1402,857,494,651,706,254,342,419,438
694,1415,857,450,673,728,326,255,419,438
694,1415,832,438,710,706,326,151,292,438
807,1415,811,389,780,684,384,150,288,438
967,1415,789,409,781,675,384,150,237,438
1123,1415,725,473,778,610,384,150,206,559
1123,1415,725,470,781,539,373,228,206,606
1123,1412,607,591,781,537,373,258,206,607
973,1562,603,594,782,420,373,246,207,568
