377,1452,2142,3038,903,928,1
397,1449,2142,3038,708,878,2
389,1434,1996,3039,653,770,3
395,1355,1859,2980,597,708,4
441,1329,1840,2787,380,705,5
476,1329,1807,2784,341,705,6
476,1316,1807,2749,323,476,7
482,1316,1794,2721,308,428,8
472,1307,1804,2711,303,428,9
471,1292,1805,2706,303,309,10
476,1300,1724,2714,303,311,11
462,1315,1739,2703,292,309,12
462,1314,1739,2585,290,347,13
477,1166,1739,2538,309,316,14
423,1101,1794,2349,341,321,15
423,1016,1794,2320,343,351,16
423,858,1794,2312,344,359,17
423,857,1794,2309,357,359,18
421,858,1783,2311,357,339,19
387,828,1817,2345,283,339,20
373,799,1831,2359,187,337,21
364,678,1824,2368,178,337,22
367,661,1823,2368,181,337,23
378,661,1823,2368,186,337,24
432,534,1823,2368,192,367,25
432,471,1823,2368,183,342,26
421,248,1708,2376,183,391,27
417,218,1709,2379,183,399,28
408,313,1806,2476,183,388,29
343,338,1871,2529,154,358,30
335,346,1879,2487,155,358,31
303,377,1829,2519,174,358,32
283,397,1846,2539,202,358,33
283,389,1823,2385,202,355,34
275,395,1750,2254,221,378,35
243,441,1770,2281,221,378,36
208,476,1805,2283,221,378,37
208,476,1792,2283,224,378,38
219,482,1798,2276,226,378,39
299,472,1779,2276,226,370,40
304,471,1763,2276,226,370,41
298,476,1776,2200,227,388,42
297,462,1777,2201,227,375,43
299,462,1776,2201,224,312,44
366,477,1643,2216,221,297,45
404,423,1524,2217,272,296,46
430,423,1439,2217,271,215,47
559,423,1281,2217,270,219,48
559,423,1280,2217,253,219,49
559,421,1279,2204,208,219,50
580,387,1215,2204,208,219,51
629,373,1172,2204,208,211,52
629,364,1042,2188,208,211,53
626,367,1028,2190,205,211,54
615,378,1039,2201,200,211,55
561,432,966,2255,194,181,56
561,432,903,2255,194,181,57
561,421,669,2129,194,102,58
561,417,635,2126,194,94,59
473,408,721,2214,194,124,60
473,343,681,2214,192,154,61
473,335,681,2214,198,197,62
473,303,680,2132,161,259,63
473,283,680,2129,133,330,64
473,283,672,2106,133,330,65
473,275,670,2025,119,297,66
459,243,684,2013,119,297,67
539,208,684,2013,174,297,68
585,208,684,2000,218,297,69
639,219,701,2017,238,297,70
657,299,771,2078,317,297,71
654,304,775,2067,317,317,72
647,298,774,2074,316,297,73
647,297,759,2074,316,292,74
646,299,761,2075,316,292,75
564,366,843,2009,312,287,76
525,404,827,1928,252,295,77
499,430,853,1869,318,295,78
370,559,982,1840,358,283,79
370,559,982,1839,402,283,80
370,559,980,1838,423,283,81
349,580,967,1795,517,283,82
300,629,1002,1801,612,288,83
300,629,993,1671,690,314,84
500,626,993,1654,846,314,85
523,615,993,1654,915,314,86
527,561,993,1527,917,314,87
527,561,993,1464,917,352,88
594,561,982,1230,961,360,89
594,561,978,1196,961,390,90
