Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2
539,208,476,1329,478,977,951,407,1402,877,754,1193,174,297
585,208,476,1316,491,942,986,296,1392,980,772,1186,218,297
639,219,482,1316,478,927,1014,290,1339,1038,695,1264,238,297
657,299,472,1307,497,907,1034,287,1340,961,708,1330,317,297
654,304,471,1292,513,901,1040,287,1197,1062,750,1330,317,317
647,298,476,1300,424,990,1040,281,1194,1071,748,1327,316,297
647,297,462,1315,424,964,1066,281,1191,1074,717,1358,316,292
646,299,462,1314,425,846,1184,281,1106,1159,717,1303,316,292
564,366,477,1166,573,799,1170,342,906,1215,819,1297,312,287
525,404,423,1101,693,555,1373,383,610,1508,822,1275,252,295
499,430,423,1016,778,526,1402,383,459,1592,889,1196,318,295
370,559,423,858,936,518,1397,390,443,1614,889,1196,358,283
370,559,423,857,937,515,1380,410,438,1609,857,1238,402,283
370,559,421,858,925,528,1336,454,437,1480,963,1262,423,283
349,580,387,828,989,528,1336,454,437,1480,960,1265,517,283
300,629,373,799,1032,528,1336,454,437,1479,954,1260,612,288
300,629,364,678,1146,544,1336,446,445,1462,970,1238,690,314
500,626,367,661,1162,545,1336,315,551,1281,1165,1182,846,314
523,615,378,661,1162,545,1316,335,551,1247,1083,1258,915,314
527,561,432,534,1289,545,1275,323,604,1246,1084,1214,917,314
527,561,432,471,1352,545,1275,322,605,1246,1084,1193,917,352
594,561,421,248,1460,668,1248,349,608,1178,1152,1099,961,360
594,561,417,218,1491,670,1180,418,608,1178,1152,1004,961,390
594,473,408,313,1493,670,931,667,426,1360,1152,926,1193,360
596,473,343,338,1533,658,882,728,394,1392,1152,770,1193,330
596,473,335,346,1533,608,896,763,395,1390,1154,701,1186,287
596,473,303,377,1452,690,896,763,357,1375,1206,700,1264,225
606,473,283,397,1449,693,896,699,421,1374,1207,700,1330,154
944,473,283,389,1434,562,1043,706,397,1398,1162,701,1330,154
977,473,275,395,1355,504,1121,767,396,1399,1159,704,1327,144
980,459,243,441,1329,511,947,962,396,1399,1159,472,1358,144
900,539,208,476,1329,478,977,951,407,1402,877,754,1303,186
871,585,208,476,1316,491,942,986,296,1392,980,772,1297,186
841,639,219,482,1316,478,927,1014,290,1339,1038,695,1275,186
765,657,299,472,1307,497,907,1034,287,1340,961,708,1196,186
805,654,304,471,1292,513,901,1040,287,1197,1062,750,1196,179
879,647,298,476,1300,424,990,1040,281,1194,1071,748,1238,187
932,647,297,462,1315,424,964,1066,281,1191,1074,717,1262,187
1012,646,299,462,1314,425,846,1184,281,1106,1159,717,1265,187
1012,564,366,477,1166,573,799,1170,342,906,1215,819,1260,218
1400,525,404,423,1101,693,555,1373,383,610,1508,822,1238,255
1590,499,430,423,1016,778,526,1402,383,459,1592,889,1182,364
1646,370,559,423,858,936,518,1397,390,443,1614,889,1258,425
1647,370,559,423,857,937,515,1380,410,438,1609,857,1214,425
1745,370,559,421,858,925,528,1336,454,437,1480,963,1193,433
1764,349,580,387,828,989,528,1336,454,437,1480,960,1099,433
1767,300,629,373,799,1032,528,1336,454,437,1479,954,1004,428
