Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1,Accum_y-2,Accum_y-3
1048,1209,1416,492,1196,557,330,646,393,857,582,946,1633
1354,1188,1465,492,1155,598,330,634,405,718,569,939,1622
1398,1005,1651,492,1138,605,340,609,430,694,558,948,1600
1532,953,1702,493,1075,600,408,574,465,693,514,1147,1671
1532,935,1720,474,1055,555,492,573,466,693,472,1391,1671
1532,935,1666,502,1043,593,474,559,498,693,472,1343,1691
1532,872,1716,515,1043,577,415,382,750,693,472,1240,1641
1532,849,1739,515,1024,594,406,334,809,693,472,1221,1668
1532,731,1857,515,1024,594,270,461,818,693,472,1222,1615
1532,702,1886,515,1022,596,270,461,818,668,472,1104,1602
1532,515,2073,514,989,622,274,465,818,654,472,1070,1451
1527,504,2089,319,1126,466,465,488,818,654,472,1056,1158
1528,504,2072,337,1123,469,449,504,818,654,472,1020,1037
1521,469,2111,340,1123,467,436,517,820,654,472,898,1006
1493,479,2138,340,1123,373,524,523,820,654,507,881,1001
1489,437,2154,370,1123,359,538,510,833,653,517,868,1001
1489,338,2127,496,1123,356,541,474,869,653,517,871,982
1489,331,2080,550,1123,356,539,476,841,585,517,851,865
1517,331,2049,581,1123,334,561,476,780,646,563,863,705
1506,387,2049,581,1123,334,561,476,720,706,586,868,705
1500,412,2034,596,1094,363,561,367,827,708,573,954,719
1372,511,1984,703,1086,371,561,367,771,530,572,1036,727
1371,509,1742,950,1033,424,561,367,711,433,650,1124,719
1332,524,1731,871,1144,427,561,367,711,330,701,1188,691
1318,530,1697,905,1112,464,564,351,727,271,650,1172,510
1241,572,1406,1257,1029,542,569,339,739,267,767,1200,341
1213,619,1228,1400,1060,544,571,333,745,267,777,1205,260
1279,624,1123,1421,1025,663,571,322,756,267,642,1197,199
1151,758,1132,1411,742,956,571,311,767,267,487,1182,284
1058,841,1141,1412,731,967,571,311,739,295,487,1182,293
1020,875,1144,1413,492,1206,547,330,711,328,490,1181,286
782,1048,1209,1416,492,1196,557,330,646,393,491,1051,279
550,1354,1188,1465,492,1155,598,330,634,405,491,1036,295
564,1398,1005,1651,492,1138,605,340,609,430,491,1092,295
437,1532,953,1702,493,1075,600,408,574,465,495,999,219
438,1532,935,1720,474,1055,555,492,573,466,541,839,219
438,1532,935,1666,502,1043,593,474,559,498,546,907,220
443,1532,872,1716,515,1043,577,415,382,750,592,956,248
445,1532,849,1739,515,1024,594,406,334,809,607,985,301
445,1532,731,1857,515,1024,594,270,461,818,870,987,302
445,1532,702,1886,515,1022,596,270,461,818,925,952,389
445,1532,515,2073,514,989,622,274,465,818,980,952,389
445,1527,504,2089,319,1126,466,465,488,818,1012,1144,411
443,1528,504,2072,337,1123,469,449,504,818,1212,1147,433
443,1521,469,2111,340,1123,467,436,517,820,1216,1147,443
434,1493,479,2138,340,1123,373,524,523,820,1181,1147,511
434,1489,437,2154,370,1123,359,538,510,833,1171,1157,582
434,1489,338,2127,496,1123,356,541,474,869,1171,1154,584
434,1489,331,2080,550,1123,356,539,476,841,1211,1141,700
406,1517,331,2049,581,1123,334,561,476,780,1275,1128,710
361,1506,387,2049,581,1123,334,561,476,720,1382,1123,710
342,1500,412,2034,596,1094,363,561,367,827,1380,1051,696
314,1372,511,1984,703,1086,371,561,367,771,1419,980,688
312,1371,509,1742,950,1033,424,561,367,711,1435,924,686
312,1332,524,1731,871,1144,427,561,367,711,1402,859,726
312,1318,530,1697,905,1112,464,564,351,727,1469,817,754
286,1241,572,1406,1257,1029,542,569,339,739,1491,744,754
267,1213,619,1228,1400,1060,544,571,333,745,1457,707,754
198,1279,624,1123,1421,1025,663,571,322,756,1448,729,844
324,1151,758,1132,1411,742,956,571,311,767,1448,769,807
366,1058,841,1141,1412,731,967,571,311,739,1448,769,794
367,1020,875,1144,1413,492,1206,547,330,711,1445,820,934
364,782,1048,1209,1416,492,1196,557,330,646,1444,897,937
262,550,1354,1188,1465,492,1155,598,330,634,1444,874,921
329,564,1398,1005,1651,492,1138,605,340,609,1469,823,921
322,437,1532,953,1702,493,1075,600,408,574,1479,753,920
321,438,1532,935,1720,474,1055,555,492,573,1433,727,938
321,438,1532,935,1666,502,1043,593,474,559,1428,670,916
316,443,1532,872,1716,515,1043,577,415,382,1382,668,890
317,445,1532,849,1739,515,1024,594,406,334,1367,708,797
317,445,1532,731,1857,515,1024,594,270,461,1105,758,793
317,445,1532,702,1886,515,1022,596,270,461,1050,780,706
317,445,1532,515,2073,514,989,622,274,465,1091,851,728
317,445,1527,504,2089,319,1126,466,465,488,1059,717,706
317,443,1528,504,2072,337,1123,469,449,504,859,723,684
317,443,1521,469,2111,340,1123,467,436,517,855,794,675
317,434,1493,479,2138,340,1123,373,524,523,1089,819,610
317,434,1489,437,2154,370,1123,359,538,510,1246,815,539
317,434,1489,338,2127,496,1123,356,541,474,1349,923,537
317,434,1489,331,2080,550,1123,356,539,476,1368,1135,420
317,406,1517,331,2049,581,1123,334,561,476,1260,1167,409
317,361,1506,387,2049,581,1123,334,561,476,1130,1219,410
317,342,1500,412,2034,596,1094,363,561,367,1130,1280,485
402,314,1372,511,1984,703,1086,371,561,367,1080,1305,563
438,312,1371,509,1742,950,1033,424,561,367,986,1272,572
438,312,1332,524,1731,871,1144,427,561,367,960,1285,555
440,312,1318,530,1697,905,1112,464,564,351,857,1404,527
440,286,1241,572,1406,1257,1029,542,569,339,718,1400,655
471,267,1213,619,1228,1400,1060,544,571,333,694,1400,719
469,198,1279,624,1123,1421,1025,663,571,322,693,1378,645
422,324,1151,758,1132,1411,742,956,571,311,693,1338,598
409,366,1058,841,1141,1412,731,967,571,311,693,1355,597
409,367,1020,875,1144,1413,492,1206,547,330,693,1322,493
409,364,782,1048,1209,1416,492,1196,557,330,693,1341,503
410,262,550,1354,1188,1465,492,1155,598,330,693,1375,525
282,329,564,1398,1005,1651,492,1138,605,340,668,1426,525
282,322,437,1532,953,1702,493,1075,600,408,654,1424,525
282,321,438,1532,935,1720,474,1055,555,492,654,1374,507
282,321,438,1532,935,1666,502,1043,593,474,654,1441,506
285,316,443,1532,872,1716,515,1043,577,415,654,1452,504
282,317,445,1532,849,1739,515,1024,594,406,654,1384,565
282,317,445,1532,731,1857,515,1024,594,270,653,1331,595
282,317,445,1532,702,1886,515,1022,596,270,653,1309,651
282,317,445,1532,515,2073,514,989,622,274,585,1336,673
282,317,445,1527,504,2089,319,1126,466,465,646,1330,710
282,317,443,1528,504,2072,337,1123,469,449,706,1334,780
282,317,443,1521,469,2111,340,1123,467,436,708,1263,781
282,317,434,1493,479,2138,340,1123,373,524,530,1263,778
282,317,434,1489,437,2154,370,1123,359,538,433,1267,781
282,317,434,1489,338,2127,496,1123,356,541,330,1161,781
283,317,434,1489,331,2080,550,1123,356,539,271,952,782
284,317,406,1517,331,2049,581,1123,334,561,267,920,782
284,317,361,1506,387,2049,581,1123,334,561,267,868,860
284,317,342,1500,412,2034,596,1094,363,561,267,1064,785
202,402,314,1372,511,1984,703,1086,371,561,267,1087,707
287,438,312,1371,509,1742,950,1033,424,561,295,1117,698
299,438,312,1332,524,1731,871,1144,427,561,328,1123,675
326,440,312,1318,530,1697,905,1112,464,564,393,1057,675
370,440,286,1241,572,1406,1257,1029,542,569,405,1209,561
518,471,267,1213,619,1228,1400,1060,544,571,430,1209,497
525,469,198,1279,624,1123,1421,1025,663,571,465,1209,472
432,422,324,1151,758,1132,1411,742,956,571,466,1288,468
403,409,366,1058,841,1141,1412,731,967,571,498,1271,518
402,409,367,1020,875,1144,1413,492,1206,547,750,1253,482
402,409,364,782,1048,1209,1416,492,1196,557,809,1157,506
401,410,262,550,1354,1188,1465,492,1155,598,818,1123,542
401,282,329,564,1398,1005,1651,492,1138,605,818,1058,546
405,282,322,437,1532,953,1702,493,1075,600,818,1021,551
413,282,321,438,1532,935,1720,474,1055,555,818,1013,551
413,282,321,438,1532,935,1666,502,1043,593,818,929,551
410,285,316,443,1532,872,1716,515,1043,577,820,871,554
452,282,317,445,1532,849,1739,515,1024,594,820,870,579
464,282,317,445,1532,731,1857,515,1024,594,833,870,550
500,282,317,445,1532,702,1886,515,1022,596,869,881,494
500,282,317,445,1532,515,2073,514,989,622,841,787,450
506,282,317,445,1527,504,2089,319,1126,466,780,779,438
574,282,317,443,1528,504,2072,337,1123,469,720,769,389
821,282,317,443,1521,469,2111,340,1123,467,827,785,409
1091,282,317,434,1493,479,2138,340,1123,373,771,760,473
1091,282,317,434,1489,437,2154,370,1123,359,711,750,470
1121,282,317,434,1489,338,2127,496,1123,356,711,748,591
1158,283,317,434,1489,331,2080,550,1123,356,727,745,594
1157,284,317,406,1517,331,2049,581,1123,334,739,745,594
1247,284,317,361,1506,387,2049,581,1123,334,745,745,523
1247,284,317,342,1500,412,2034,596,1094,363,756,474,557
1244,202,402,314,1372,511,1984,703,1086,371,767,415,590
1123,287,438,312,1371,509,1742,950,1033,424,739,385,591
1111,299,438,312,1332,524,1731,871,1144,427,711,366,607
1179,326,440,312,1318,530,1697,905,1112,464,646,312,624
1135,370,440,286,1241,572,1406,1257,1029,542,634,157,756
956,518,471,267,1213,619,1228,1400,1060,544,609,157,756
949,525,469,198,1279,624,1123,1421,1025,663,574,159,756
984,432,422,324,1151,758,1132,1411,742,956,573,90,756
1005,403,409,366,1058,841,1141,1412,731,967,559,117,769
1022,402,409,367,1020,875,1144,1413,492,1206,382,117,809
1046,402,409,364,782,1048,1209,1416,492,1196,334,117,997
1046,401,410,262,550,1354,1188,1465,492,1155,461,117,940
1046,401,282,329,564,1398,1005,1651,492,1138,461,208,936
1131,405,282,322,437,1532,953,1702,493,1075,465,222,931
1123,413,282,321,438,1532,935,1720,474,1055,488,222,938
1161,413,282,321,438,1532,935,1666,502,1043,504,356,947
1161,410,285,316,443,1532,872,1716,515,1043,517,364,944
1120,452,282,317,445,1532,849,1739,515,1024,523,364,858
1108,464,282,317,445,1532,731,1857,515,1024,510,364,857
1240,500,282,317,445,1532,702,1886,515,1022,474,353,857
1240,500,282,317,445,1532,515,2073,514,989,476,666,857
1234,506,282,317,445,1527,504,2089,319,1126,476,678,832
1230,574,282,317,443,1528,504,2072,337,1123,476,748,811
983,821,282,317,443,1521,469,2111,340,1123,367,733,789
713,1091,282,317,434,1493,479,2138,340,1123,367,733,725
713,1091,282,317,434,1489,437,2154,370,1123,367,733,725
683,1121,282,317,434,1489,338,2127,496,1123,367,733,607
645,1158,283,317,434,1489,331,2080,550,1123,351,733,603
645,1157,284,317,406,1517,331,2049,581,1123,339,733,609
555,1247,284,317,361,1506,387,2049,581,1123,333,733,610
555,1247,284,317,342,1500,412,2034,596,1094,322,733,618
555,1244,202,402,314,1372,511,1984,703,1086,311,757,585
555,1123,287,438,312,1371,509,1742,950,1033,311,791,584
555,1111,299,438,312,1332,524,1731,871,1144,330,791,568
458,1179,326,440,312,1318,530,1697,905,1112,330,791,551
484,1135,370,440,286,1241,572,1406,1257,1029,330,793,405
523,956,518,471,267,1213,619,1228,1400,1060,340,793,486
