Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
803,924,928,721,441,521,1048,582
832,906,927,595,428,522,1354,569
757,993,739,502,433,522,1398,558
714,1105,490,386,433,522,1532,514
707,1122,489,336,485,538,1532,472
777,1128,485,314,485,576,1532,472
709,1196,421,314,486,577,1532,472
704,1279,416,278,517,660,1532,472
706,1278,423,278,517,683,1532,472
735,1278,422,278,532,703,1532,472
731,1320,422,319,538,901,1532,472
698,1292,485,319,578,1050,1527,472
704,1293,485,319,578,1017,1528,472
712,1213,565,319,578,985,1521,472
712,1198,580,307,578,1026,1493,507
668,1242,580,247,522,1079,1489,517
746,1194,628,374,515,1118,1489,517
904,1186,636,374,513,1127,1489,517
959,1127,695,354,506,1179,1517,563
1014,1045,697,380,650,1086,1506,586
1015,947,758,387,650,1073,1500,573
1015,918,782,387,635,1073,1372,572
1015,892,776,387,608,1050,1371,650
1015,633,885,387,562,1072,1332,701
1015,606,851,391,545,1080,1318,650
1015,529,927,384,545,1102,1241,767
1036,527,929,357,545,1026,1213,777
1036,527,929,346,530,1016,1279,642
1039,502,947,345,528,1017,1151,487
914,627,946,311,530,1017,1058,487
836,705,947,247,525,1049,1020,490
738,803,924,230,500,1091,782,491
709,832,906,230,516,1091,550,491
697,757,993,230,513,1091,564,491
628,714,1105,230,513,1091,437,495
622,707,1122,224,461,1075,438,541
591,777,1128,224,461,1042,438,546
601,709,1196,225,460,1082,443,592
707,704,1279,246,429,1059,445,607
706,706,1278,258,429,1036,445,870
704,735,1278,270,479,1021,445,925
801,731,1320,229,518,817,445,980
914,698,1292,239,593,650,445,1012
930,704,1293,239,726,549,443,1212
1066,712,1213,240,745,482,443,1216
1066,712,1198,431,746,440,434,1181
1066,668,1242,444,746,387,434,1171
988,746,1194,339,666,348,434,1171
830,904,1186,427,605,339,434,1211
775,959,1127,433,609,279,406,1275
720,1014,1045,417,526,273,361,1382
732,1015,947,446,558,273,342,1380
732,1015,918,446,558,293,314,1419
777,1015,892,446,555,293,312,1435
880,1015,633,446,555,273,312,1402
999,1015,606,442,555,292,312,1469
1016,1015,529,441,568,271,286,1491
1042,1036,527,464,568,271,267,1457
1206,1036,527,486,567,314,198,1448
1294,1039,502,515,567,313,324,1448
