Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
946,1503,952,1633,512,1049,509,547
939,1409,1081,1622,543,1091,488,525
948,1355,1073,1600,590,1168,457,524
1147,1303,1128,1671,633,1240,410,524
1391,1297,1134,1671,611,1339,403,524
1343,1228,1205,1691,611,1360,403,525
1240,1244,1292,1641,628,1391,403,522
1221,1164,1391,1668,665,1391,403,522
1222,1110,1271,1615,680,1382,403,531
1104,1242,1161,1602,675,1315,403,549
1070,1276,1055,1451,635,1184,403,549
1056,1290,1050,1158,589,1135,403,550
1020,1181,1195,1037,582,1141,350,550
898,1251,1247,1006,588,1142,350,550
881,1263,1252,1001,592,1169,350,550
868,1249,1231,1001,590,1242,350,550
871,1247,1226,982,607,1123,295,550
851,1271,1235,865,582,1160,315,546
863,1272,1142,705,490,1229,389,546
868,1240,1159,705,487,1139,321,428
954,1227,1172,719,487,1021,319,357
1036,1157,1242,727,486,1021,346,275
1124,1046,1354,719,486,1019,244,78
1188,903,1467,691,486,962,248,52
1172,962,1467,510,530,867,248,52
1200,918,1550,341,526,823,250,73
1205,884,1616,260,473,815,253,73
1197,854,1650,199,536,814,253,73
1182,869,1643,284,536,785,247,73
1182,869,1642,293,536,785,211,68
1181,870,1483,286,536,772,209,63
1051,946,1503,279,536,763,209,63
1036,939,1409,295,505,622,209,123
1092,948,1355,295,458,540,179,124
999,1147,1303,219,438,468,185,124
839,1391,1297,219,468,369,228,124
907,1343,1228,220,519,348,228,123
956,1240,1244,248,549,320,228,117
985,1221,1164,301,514,320,228,122
987,1222,1110,302,466,320,228,113
952,1104,1242,389,466,320,246,121
952,1070,1276,389,467,320,259,124
1144,1056,1290,411,462,320,380,297
1147,1020,1181,433,456,313,538,304
1147,898,1251,443,437,308,627,308
1147,881,1263,511,434,281,636,308
1157,868,1249,582,439,208,636,353
1154,871,1247,584,426,204,643,378
1141,851,1271,700,457,114,790,534
1128,863,1272,710,511,18,709,569
1123,868,1240,710,581,11,717,723
1051,954,1227,696,640,20,731,723
980,1036,1157,688,720,44,692,723
924,1124,1046,686,733,44,703,724
859,1188,903,726,743,40,847,719
817,1172,962,754,696,38,1129,719
744,1200,918,754,611,38,1244,733
707,1205,884,754,565,38,1244,733
729,1197,854,844,494,59,1244,735
769,1182,869,807,546,60,1245,751
769,1182,869,794,604,61,1245,751
820,1181,870,934,683,80,1299,751
897,1051,946,937,744,281,1321,751
874,1036,939,921,761,322,1334,691
823,1092,948,921,761,364,1334,690
753,999,1147,920,745,496,1328,697
727,839,1391,938,744,625,1268,697
670,907,1343,916,707,625,1268,697
668,956,1240,890,694,620,1268,697
708,985,1221,797,692,625,1268,692
758,987,1222,793,691,626,1268,692
780,952,1104,706,691,628,1250,666
851,952,1070,728,690,629,1253,663
717,1144,1056,706,690,631,1133,489
723,1147,1020,684,690,631,975,482
794,1147,898,675,690,631,886,478
819,1147,881,610,710,631,882,478
815,1157,868,539,710,631,925,433
923,1154,871,537,708,632,926,423
1135,1141,851,420,705,635,753,339
1167,1128,863,409,692,635,748,345
1219,1123,868,410,648,655,759,205
1280,1051,954,485,589,646,745,205
1305,980,1036,563,525,622,757,205
1272,924,1124,572,539,627,744,239
1285,859,1188,555,543,629,596,240
1404,817,1172,527,636,629,347,240
1400,744,1200,655,636,629,232,224
1400,707,1205,719,636,629,229,236
1378,729,1197,645,636,608,229,234
1338,769,1182,598,584,607,228,218
1355,769,1182,597,533,650,228,218
1322,820,1181,493,473,895,177,218
1341,897,1051,503,413,809,158,229
1375,874,1036,525,396,800,155,229
1426,823,1092,525,402,892,174,229
1424,753,999,525,462,856,174,222
1374,727,839,507,433,729,174,222
1441,670,907,506,419,782,174,222
1452,668,956,504,381,813,174,222
1384,708,985,565,395,813,174,228
1331,758,987,595,511,815,174,240
1309,780,952,651,555,813,174,240
1336,851,952,673,774,815,159,240
1330,717,1144,710,787,926,158,240
1334,723,1147,780,787,927,158,240
1263,794,1147,781,787,975,158,240
1263,819,1147,778,767,1042,153,240
1267,815,1157,781,762,1042,110,240
1161,923,1154,781,784,1119,102,225
952,1135,1141,782,789,1123,102,153
920,1167,1128,782,773,1123,102,112
868,1219,1123,860,773,1103,83,106
1064,1280,1051,785,773,1105,83,110
1087,1305,980,707,757,1114,98,110
1117,1272,924,698,731,1245,195,73
1123,1285,859,675,712,1385,242,72
1057,1404,817,675,619,1423,220,80
1209,1400,744,561,619,1423,229,61
1209,1400,707,497,619,1423,229,49
1209,1378,729,472,685,1450,229,53
1288,1338,769,468,685,1519,229,160
1271,1355,769,518,678,1475,229,183
1253,1322,820,482,661,1211,227,183
1157,1341,897,506,663,1097,427,172
1123,1375,874,542,668,1069,517,177
1058,1426,823,546,693,937,516,207
1021,1424,753,551,626,841,517,207
1013,1374,727,551,626,839,587,207
929,1441,670,551,675,786,617,207
871,1452,668,554,681,755,638,207
870,1384,708,579,673,750,653,201
870,1331,758,550,595,747,653,189
881,1309,780,494,551,747,653,189
787,1336,851,450,332,744,678,190
779,1330,717,438,319,631,710,212
769,1334,723,389,327,630,710,329
785,1263,794,409,368,582,849,430
760,1263,819,473,369,515,851,495
750,1267,815,470,367,515,927,495
748,1161,923,591,343,437,1054,498
745,952,1135,594,311,430,1054,528
745,920,1167,594,286,430,1054,531
745,868,1219,523,260,430,1054,523
474,1064,1280,557,260,448,1054,568
415,1087,1305,590,260,454,1027,641
385,1117,1272,591,259,369,930,713
366,1123,1285,607,293,460,883,713
312,1057,1404,624,293,430,872,705
157,1209,1400,756,316,431,861,705
157,1209,1400,756,316,553,861,705
159,1209,1378,756,250,526,861,840
90,1288,1338,756,285,513,861,749
117,1271,1355,769,396,513,861,726
117,1253,1322,809,443,513,860,726
117,1157,1341,997,487,512,657,726
117,1123,1375,940,488,512,557,721
208,1058,1426,936,517,620,731,691
222,1021,1424,931,540,620,866,691
222,1013,1374,938,540,628,796,691
356,929,1441,947,491,628,766,691
364,871,1452,944,485,644,885,691
364,870,1384,858,492,676,870,691
364,870,1331,857,822,680,1077,691
353,881,1309,857,822,732,1116,691
666,787,1336,857,822,756,1090,690
678,779,1330,832,822,771,1092,668
748,769,1334,811,814,775,1310,551
733,785,1263,789,773,776,1171,450
733,760,1263,725,770,776,1178,385
733,750,1267,725,779,776,1144,480
733,748,1161,607,813,776,1098,484
733,745,952,603,812,776,1180,464
733,745,920,609,812,776,1410,461
733,745,868,610,812,776,1516,466
733,474,1064,618,812,764,1606,417
757,415,1087,585,930,749,1747,344
791,385,1117,584,1024,716,1843,272
791,366,1123,568,991,485,1843,273
791,312,1057,551,1016,477,1871,286
793,157,1209,405,1053,514,1911,295
793,157,1209,486,1053,410,1921,316
791,159,1209,717,1053,410,1989,251
781,90,1288,717,1018,354,2059,250
754,117,1271,896,907,354,2314,295
772,117,1253,883,858,354,2317,366
929,117,1157,667,1022,354,2322,383
937,117,1123,887,1062,410,2331,395
846,208,1058,920,1003,301,2139,395
832,222,1021,1176,980,314,2003,419
854,222,1013,1208,980,339,2003,426
721,356,929,1211,980,356,2003,426
759,364,871,1219,1190,360,1868,426
1039,364,870,1328,1177,424,1868,426
1156,364,870,1364,809,421,1766,426
1165,353,881,1402,824,391,1727,426
848,666,787,1415,824,454,1727,426
834,678,779,1415,824,543,1821,426
820,748,769,1415,824,540,1628,426
890,733,785,1415,824,539,1679,426
893,733,760,1415,824,539,1701,426
893,733,750,1415,826,539,1659,331
893,733,748,1412,792,539,1578,324
909,733,745,1562,792,552,1496,363
909,733,745,1588,792,552,1283,364
909,733,745,1596,792,552,1189,359
909,733,474,1758,792,544,1099,359
885,757,415,1816,674,544,959,359
851,791,385,1837,580,526,863,359
851,791,366,1971,579,587,863,364
851,791,312,1971,554,587,848,351
849,793,157,1971,494,549,866,342
849,793,157,1934,494,560,866,321
853,791,159,1703,494,603,870,247
902,781,90,1703,510,604,801,232
930,754,117,1461,523,605,546,187
947,772,117,1434,561,605,543,116
856,929,117,1425,354,605,538,131
1001,937,117,1209,323,545,529,129
1002,846,208,1205,332,544,529,129
1003,832,222,949,392,531,529,105
993,854,222,910,400,498,529,220
992,721,356,898,400,481,529,258
946,759,364,890,190,461,524,363
666,1039,364,781,190,365,524,438
549,1156,364,745,265,364,419,438
540,1165,353,707,254,342,419,438
589,848,666,694,326,255,419,438
551,834,678,694,326,151,292,438
525,820,748,807,384,150,288,438
458,890,733,967,384,150,237,438
455,893,733,1123,384,150,206,559
455,893,733,1123,373,228,206,606
455,893,733,1123,373,258,206,607
439,909,733,973,373,246,207,568
439,909,733,941,373,326,190,622
439,909,733,924,406,326,178,622
439,909,733,820,730,326,236,660
439,885,757,774,731,326,263,763
439,851,791,754,731,326,401,804
439,851,791,620,731,263,416,846
454,851,791,620,731,263,473,900
469,849,793,620,731,263,416,902
469,849,793,678,731,236,656,902
465,853,791,793,731,376,584,902
527,902,781,794,715,486,583,902
569,930,754,799,702,491,583,902
535,947,772,799,664,534,583,902
647,856,929,987,660,534,583,870
519,1001,937,982,645,598,586,860
545,1002,846,953,635,603,586,860
574,1003,832,953,575,626,586,860
568,993,854,953,567,654,586,738
575,992,721,953,567,655,586,700
577,946,759,963,567,1015,651,678
709,666,1039,963,567,1042,679,614
711,549,1156,963,492,1138,679,624
794,540,1165,966,567,1149,679,624
782,589,848,1150,495,1164,679,624
778,551,834,1162,546,1164,678,624
745,525,820,1050,488,1164,657,624
1020,458,890,917,489,1164,657,624
1022,455,893,800,532,1164,657,569
1024,455,893,800,579,1086,657,526
1024,455,893,802,621,1056,657,525
1024,439,909,802,647,1055,656,521
1024,439,909,805,648,975,656,466
1024,439,909,805,630,975,656,466
1123,439,909,723,368,991,598,428
1123,439,885,713,380,1045,570,484
1123,439,851,910,411,1107,432,443
1158,439,851,912,554,1109,417,395
1143,454,851,1092,688,1140,347,341
1203,469,849,1102,705,1140,346,801
