Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
1040,287,500,770,476,1065
1040,281,490,718,476,1065
1066,281,490,717,568,1065
1184,281,237,717,694,1065
1170,342,239,717,740,1052
1373,383,229,689,740,649
1402,383,229,689,739,420
1397,390,229,720,646,428
1380,410,229,722,648,491
1336,454,245,634,650,491
1336,454,270,634,650,491
1336,454,251,727,650,491
1336,446,251,762,650,491
1336,315,251,762,556,510
1316,335,251,762,556,510
1275,323,255,799,558,511
1275,322,279,730,600,515
1248,349,279,526,605,515
1180,418,279,525,605,515
931,667,279,512,605,679
882,728,283,511,605,682
896,763,295,507,605,702
896,763,295,523,605,760
896,699,295,531,605,734
1043,706,299,518,639,689
1121,767,310,385,684,637
947,962,336,406,761,611
977,951,369,423,942,609
942,986,311,394,771,542
927,1014,306,519,740,505
907,1034,293,627,806,506
901,1040,271,708,788,457
990,1040,270,804,845,569
964,1066,269,858,797,618
846,1184,268,1013,671,668
799,1170,266,1046,628,674
555,1373,266,1134,629,674
526,1402,266,1138,639,674
518,1397,266,1108,642,670
515,1380,266,1034,802,634
528,1336,207,1034,955,634
528,1336,126,1035,955,640
528,1336,124,944,955,642
544,1336,124,909,955,648
545,1336,124,909,955,657
545,1316,124,924,959,720
545,1275,120,888,1143,729
545,1275,96,888,1155,737
668,1248,97,890,1187,737
670,1180,97,891,1189,737
670,931,97,893,1349,573
658,882,93,893,1453,570
608,896,87,930,1547,550
690,896,95,915,1547,527
693,896,116,848,1558,553
562,1043,167,850,1538,508
504,1121,579,849,1549,561
511,947,589,832,1473,654
478,977,564,820,1367,778
491,942,698,821,1388,848
478,927,708,722,1416,842
497,907,784,754,1408,841
513,901,784,702,1425,854
424,990,788,612,1467,743
424,964,860,559,1437,694
425,846,1055,410,1438,644
573,799,1208,388,1438,636
693,555,1302,306,1437,641
778,526,1608,302,1427,641
936,518,1659,332,1424,637
937,515,1671,347,1262,637
925,528,1669,377,1107,643
989,528,1690,480,1112,642
1032,528,1719,495,1119,661
1146,544,1737,577,1143,657
1162,545,1758,717,1316,630
1162,545,1776,809,1323,567
1289,545,1779,883,1214,557
1352,545,1779,884,1217,541
1460,668,1778,882,1180,541
1491,670,1783,883,1209,541
1493,670,1826,887,1049,541
1533,658,1841,889,1079,541
1533,608,1872,852,1040,541
1452,690,1883,851,1127,520
