Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
444,553,989,803,721,441
436,508,657,832,595,428
383,561,610,757,502,433
290,654,580,714,386,433
169,778,667,707,336,485
99,848,588,777,314,485
98,842,546,709,314,486
98,841,497,704,278,517
85,854,389,706,278,517
84,743,367,735,278,532
84,694,411,731,319,538
84,644,430,698,319,578
84,636,430,704,319,578
88,641,434,712,319,578
88,641,448,712,307,578
88,637,534,668,247,522
81,637,654,746,374,515
263,643,683,904,374,513
365,642,690,959,354,506
356,661,694,1014,380,650
354,657,748,1015,387,650
381,630,803,1015,387,635
750,567,803,1015,387,608
750,557,815,1015,387,562
750,541,815,1015,391,545
750,541,793,1015,384,545
750,541,792,1036,357,545
750,541,790,1036,346,530
750,541,722,1039,345,528
750,541,746,914,311,530
736,520,780,836,247,525
736,444,991,738,230,500
764,436,994,709,230,516
771,383,978,697,230,513
778,290,1049,628,230,513
775,169,1086,622,224,461
775,99,1304,591,224,461
786,98,1243,601,225,460
786,98,1240,707,246,429
888,85,1200,706,258,429
1042,84,1199,704,270,479
1063,84,1145,801,229,518
1083,84,1126,914,239,593
1086,84,1126,930,239,726
1077,88,1122,1066,240,745
1080,88,1108,1066,431,746
1148,88,1022,1066,444,746
1139,81,902,988,339,666
951,263,873,830,427,605
848,365,866,775,433,609
837,356,884,720,417,526
837,354,830,732,446,558
835,381,775,732,446,558
485,750,775,777,446,555
485,750,763,880,446,555
485,750,776,999,442,555
485,750,835,1016,441,568
489,750,835,1042,464,568
489,750,914,1206,486,567
508,750,1079,1294,515,567
510,750,1071,1328,522,565
510,736,1087,1412,674,548
632,736,920,1412,674,553
672,764,917,1429,675,543
720,771,917,1499,687,544
713,778,846,1523,691,550
765,775,704,1519,762,554
780,775,463,1509,822,560
837,786,513,1499,832,560
838,786,715,1315,817,573
743,888,786,1308,805,594
592,1042,812,1281,793,529
571,1063,863,1146,793,484
551,1083,892,1031,783,369
548,1086,1008,1008,783,236
548,1077,1018,870,782,217
545,1080,1018,920,591,216
477,1148,1022,955,573,216
466,1139,1055,992,591,216
466,951,1231,992,516,187
462,848,1254,1207,510,190
534,837,1232,1211,500,129
547,837,1251,1219,634,106
571,835,1251,1224,717,106
600,485,1256,1179,721,162
622,485,1327,1076,768,184
648,485,1358,976,805,189
654,485,1299,972,875,227
650,489,1306,954,958,252
650,489,1233,831,950,252
631,508,1068,740,1056,252
629,510,1040,706,1104,252
629,510,989,621,977,252
507,632,945,621,977,263
439,672,977,604,976,265
384,720,1094,534,964,318
388,713,1112,510,960,340
340,765,1112,510,889,342
326,780,1158,475,829,336
258,837,1108,475,818,336
257,838,917,475,815,323
250,743,852,475,823,302
247,592,888,475,846,302
247,571,930,475,856,302
247,551,927,475,915,342
290,548,811,475,922,383
492,548,801,469,922,383
578,545,803,419,922,406
578,477,857,384,922,470
578,466,825,347,877,476
578,466,696,347,906,476
578,462,673,132,906,460
505,534,685,128,906,463
492,547,674,107,736,455
448,571,674,102,653,564
471,600,669,102,682,568
451,622,598,102,635,545
479,648,716,83,598,551
473,654,724,136,528,500
473,650,730,107,520,475
473,650,747,66,517,475
473,631,747,66,382,475
473,629,747,66,327,545
473,629,747,90,302,568
475,507,747,92,317,559
475,439,715,92,317,565
475,384,598,198,317,607
476,388,579,279,427,590
540,340,579,370,432,584
683,326,532,370,432,584
721,258,532,398,432,584
776,257,521,413,557,584
776,250,515,433,571,677
935,247,453,444,548,766
983,247,360,479,538,766
983,247,392,638,876,726
945,290,418,724,869,685
743,492,423,724,908,685
662,578,437,762,959,662
662,578,379,902,1144,723
703,578,378,903,1191,721
703,578,331,903,1160,722
703,578,331,903,1173,737
703,505,326,903,1197,734
703,492,321,951,1247,733
709,448,330,1112,1385,624
639,471,367,1159,1384,563
648,451,386,1177,1384,563
594,479,291,1183,1487,796
594,473,354,1123,1512,796
594,473,341,1195,1428,796
594,473,318,1443,1468,796
594,473,330,1443,1468,796
594,473,345,1443,1468,772
594,473,345,1419,1470,749
592,475,567,1417,1456,740
650,475,653,1417,1456,758
685,475,658,1311,1456,660
684,476,658,1261,1346,649
661,540,658,1204,1341,649
711,683,658,1278,1341,649
757,721,658,1250,1341,649
702,776,746,1235,1213,649
702,776,746,1220,1191,556
543,935,824,1237,1288,468
879,983,841,1290,1338,468
879,983,836,1175,941,468
874,945,810,1213,941,468
874,743,805,1267,1017,468
869,662,846,1230,1114,468
882,662,848,1122,929,343
889,703,848,1173,898,339
889,703,876,1266,879,338
889,703,876,1383,866,323
889,703,869,1425,842,323
905,703,1109,1448,933,325
893,709,1100,1409,803,326
892,639,1063,1376,782,326
881,648,1044,1399,782,376
888,594,977,1401,681,334
888,594,906,1398,656,392
888,594,906,1374,642,456
888,594,1077,1320,591,505
888,594,1153,1495,591,505
888,594,1138,1529,591,493
888,594,1138,1589,608,507
898,592,916,1618,624,759
