Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
721,499,441,521,1048,582
595,607,428,522,1354,569
502,619,433,522,1398,558
386,666,433,522,1532,514
336,671,485,538,1532,472
314,668,485,576,1532,472
314,668,486,577,1532,472
278,699,517,660,1532,472
278,699,517,683,1532,472
278,689,532,703,1532,472
319,689,538,901,1532,472
319,687,578,1050,1527,472
319,677,578,1017,1528,472
319,677,578,985,1521,472
307,689,578,1026,1493,507
247,680,522,1079,1489,517
374,667,515,1118,1489,517
374,660,513,1127,1489,517
354,680,506,1179,1517,563
380,680,650,1086,1506,586
387,680,650,1073,1500,573
387,672,635,1073,1372,572
387,672,608,1050,1371,650
387,672,562,1072,1332,701
391,634,545,1080,1318,650
384,642,545,1102,1241,767
357,645,545,1026,1213,777
346,629,530,1016,1279,642
345,606,528,1017,1151,487
311,640,530,1017,1058,487
247,704,525,1049,1020,490
230,721,500,1091,782,491
230,595,516,1091,550,491
230,502,513,1091,564,491
230,386,513,1091,437,495
224,336,461,1075,438,541
224,314,461,1042,438,546
225,314,460,1082,443,592
246,278,429,1059,445,607
258,278,429,1036,445,870
270,278,479,1021,445,925
229,319,518,817,445,980
239,319,593,650,445,1012
239,319,726,549,443,1212
240,319,745,482,443,1216
431,307,746,440,434,1181
444,247,746,387,434,1171
339,374,666,348,434,1171
427,374,605,339,434,1211
433,354,609,279,406,1275
417,380,526,273,361,1382
446,387,558,273,342,1380
446,387,558,293,314,1419
446,387,555,293,312,1435
446,387,555,273,312,1402
442,391,555,292,312,1469
441,384,568,271,286,1491
464,357,568,271,267,1457
486,346,567,314,198,1448
515,345,567,313,324,1448
522,311,565,313,366,1448
674,247,548,281,367,1445
674,230,553,230,364,1444
675,230,543,235,262,1444
687,230,544,241,329,1469
691,230,550,266,322,1479
762,224,554,266,321,1433
822,224,560,263,321,1428
832,225,560,228,316,1382
817,246,573,168,317,1367
805,258,594,255,317,1105
793,270,529,251,317,1050
793,229,484,251,317,1091
783,239,369,251,317,1059
783,239,236,251,317,859
782,240,217,251,317,855
591,431,216,251,317,1089
573,444,216,290,317,1246
591,339,216,362,317,1349
516,427,187,396,317,1368
510,433,190,443,317,1260
500,417,129,447,317,1130
634,446,106,447,317,1130
717,446,106,427,402,1080
721,446,162,427,438,986
768,446,184,425,438,960
805,442,189,394,440,857
875,441,227,393,440,718
958,464,252,385,471,694
950,486,252,329,469,693
1056,515,252,329,422,693
1104,522,252,415,409,693
977,674,252,417,409,693
977,674,263,453,409,693
976,675,265,517,410,693
964,687,318,526,282,668
960,691,340,512,282,654
889,762,342,529,282,654
829,822,336,527,282,654
818,832,336,523,285,654
815,817,323,523,282,654
823,805,302,436,282,653
846,793,302,435,282,653
856,793,302,435,282,585
915,783,342,435,282,646
922,783,383,435,282,706
922,782,383,443,282,708
922,591,406,472,282,530
922,573,470,515,282,433
877,591,476,446,282,330
906,516,476,412,283,271
906,510,460,514,284,267
906,500,463,510,284,267
736,634,455,510,284,267
653,717,564,510,202,267
682,721,568,510,287,295
635,768,545,542,299,328
598,805,551,563,326,393
528,875,500,569,370,405
520,958,475,569,518,430
517,950,475,571,525,465
382,1056,475,571,432,466
327,1104,545,523,403,498
302,977,568,538,402,750
317,977,559,503,402,809
317,976,565,502,401,818
317,964,607,694,401,818
427,960,590,892,405,818
432,889,584,877,413,818
432,829,584,877,413,818
432,818,584,984,410,820
