Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
901,848,1119,444,989,803
1010,850,1106,436,657,832
1092,849,1050,383,610,757
1091,832,1049,290,580,714
1086,820,974,169,667,707
1314,821,919,99,588,777
1335,722,886,98,546,709
1203,754,802,98,497,704
1293,702,798,85,389,706
1287,612,706,84,367,735
1306,559,692,84,411,731
1325,410,691,84,430,698
1365,388,709,84,430,704
1364,306,709,88,434,712
1415,302,709,88,448,712
1384,332,774,88,534,668
1369,347,845,81,654,746
1359,377,845,263,683,904
1255,480,840,365,690,959
1248,495,833,356,694,1014
1166,577,815,354,748,1015
1026,717,645,381,803,1015
919,809,634,750,803,1015
844,883,602,750,815,1015
868,884,549,750,815,1015
898,882,549,750,793,1015
896,883,519,750,792,1036
900,887,535,750,790,1036
928,889,468,750,722,1039
928,852,417,750,746,914
928,851,351,736,780,836
878,901,357,736,991,738
770,1010,441,764,994,709
708,1092,604,771,978,697
705,1091,607,778,1049,628
705,1086,644,775,1086,622
476,1314,644,775,1304,591
428,1335,641,786,1243,601
428,1203,641,786,1240,707
309,1293,628,888,1200,706
311,1287,621,1042,1199,704
309,1306,622,1063,1145,801
347,1325,622,1083,1126,914
316,1365,601,1086,1126,930
321,1364,620,1077,1122,1066
351,1415,627,1080,1108,1066
359,1384,562,1148,1022,1066
359,1369,517,1139,902,988
339,1359,556,951,873,830
339,1255,556,848,866,775
337,1248,556,837,884,720
337,1166,570,837,830,732
337,1026,574,835,775,732
337,919,708,485,775,777
367,844,708,485,763,880
342,868,749,485,776,999
391,898,778,485,835,1016
399,896,804,489,835,1042
388,900,982,489,914,1206
358,928,935,508,1079,1294
358,928,931,510,1071,1328
358,928,910,510,1087,1412
358,878,901,632,920,1412
355,770,816,672,917,1429
378,708,692,720,917,1499
378,705,689,713,846,1523
378,705,652,765,704,1519
378,476,652,780,463,1509
378,428,652,837,513,1499
370,428,652,838,715,1315
370,309,652,743,786,1308
388,311,652,592,812,1281
375,309,651,571,863,1146
312,347,651,551,892,1031
297,316,651,548,1008,1008
296,321,632,548,1018,870
215,351,625,545,1018,920
219,359,628,477,1022,955
219,359,782,466,1055,992
219,339,820,466,1231,992
219,339,824,462,1254,1207
211,337,824,534,1232,1211
211,337,804,547,1251,1219
211,337,797,571,1251,1224
211,337,790,600,1256,1179
181,367,807,622,1327,1076
181,342,784,648,1358,976
102,391,816,654,1299,972
94,399,821,650,1306,954
124,388,645,650,1233,831
154,358,628,631,1068,740
197,358,688,629,1040,706
259,358,697,629,989,621
330,358,736,507,945,621
330,355,739,439,977,604
297,378,700,384,1094,534
297,378,700,388,1112,510
297,378,725,340,1112,510
297,378,725,326,1158,475
297,378,725,258,1108,475
297,370,725,257,917,475
317,370,731,250,852,475
297,388,735,247,888,475
292,375,735,247,930,475
292,312,735,247,927,475
287,297,735,290,811,475
295,296,735,492,801,469
295,215,735,578,803,419
283,219,732,578,857,384
283,219,552,578,825,347
283,219,475,578,696,347
283,219,471,578,673,132
288,211,471,505,685,128
314,211,471,492,674,107
314,211,500,448,674,102
314,211,373,471,669,102
314,181,311,451,598,102
352,181,289,479,716,83
360,102,228,473,724,136
390,94,198,473,730,107
360,124,190,473,747,66
330,154,275,473,747,66
287,197,276,473,747,66
225,259,267,473,747,90
154,330,228,475,747,92
154,330,486,475,715,92
144,297,507,475,598,198
144,297,507,476,579,279
186,297,533,540,579,370
186,297,533,683,532,370
186,297,632,721,532,398
186,297,632,776,521,413
179,317,626,776,515,433
187,297,627,935,453,444
187,292,627,983,360,479
187,292,627,983,392,638
218,287,693,945,418,724
255,295,693,743,423,724
364,295,693,662,437,762
425,283,693,662,379,902
425,283,693,703,378,903
433,283,693,703,331,903
433,283,693,703,331,903
428,288,693,703,326,903
402,314,765,703,321,951
402,314,866,709,330,1112
402,314,871,639,367,1159
402,314,893,648,386,1177
364,352,972,594,291,1183
356,360,1100,594,354,1123
435,390,1106,594,341,1195
435,360,1096,594,318,1443
435,330,1008,594,330,1443
488,287,947,594,345,1443
488,225,947,594,345,1419
528,154,947,592,567,1417
630,154,940,650,653,1417
633,144,919,685,658,1311
648,144,1062,684,658,1261
611,186,1073,661,658,1204
674,186,1164,711,658,1278
674,186,1100,757,658,1250
711,186,1129,702,746,1235
698,179,1129,702,746,1220
690,187,1151,543,824,1237
726,187,1151,879,841,1290
741,187,1151,879,836,1175
760,218,1151,874,810,1213
754,255,1151,874,805,1267
864,364,1158,869,846,1230
811,425,1160,882,848,1122
1097,425,1160,889,848,1173
1101,433,1160,889,876,1266
1102,433,1160,889,876,1383
1104,428,1160,889,869,1425
1104,402,1088,905,1109,1448
1105,402,958,893,1100,1409
1105,402,953,892,1063,1376
1164,402,931,881,1044,1399
1164,364,852,888,977,1401
1164,356,724,888,906,1398
1055,435,716,888,906,1374
1055,435,716,888,1077,1320
1055,435,716,888,1153,1495
1002,488,716,888,1138,1529
1002,488,716,888,1138,1589
962,528,716,898,916,1618
860,630,462,892,870,1618
857,633,462,896,895,1713
859,648,319,933,895,1689
854,611,340,888,900,1656
812,674,378,694,967,1583
833,674,344,655,971,1591
811,711,315,750,883,1593
811,698,319,750,883,1588
937,690,299,750,805,1560
1032,726,304,366,808,1472
1032,741,304,471,765,1428
989,760,238,490,766,1304
946,754,238,508,832,1307
729,864,231,511,820,1382
735,811,267,498,821,1417
451,1097,272,508,821,1369
458,1101,276,705,793,1313
457,1102,276,727,793,1197
467,1104,276,727,793,1155
552,1104,317,711,622,1084
590,1105,317,749,801,962
590,1105,447,749,854,992
531,1164,468,754,854,995
536,1164,468,747,854,987
