Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
512,415,1049,509,547,809
543,316,1091,488,525,820
590,296,1168,457,524,800
633,274,1240,410,524,739
611,293,1339,403,524,705
611,293,1360,403,525,665
628,291,1391,403,522,640
665,291,1391,403,522,657
680,281,1382,403,531,614
675,255,1315,403,549,682
635,279,1184,403,549,711
589,330,1135,403,550,747
582,343,1141,350,550,720
588,355,1142,350,550,711
592,311,1169,350,550,712
590,295,1242,350,550,709
607,265,1123,295,550,709
582,290,1160,315,546,808
490,382,1229,389,546,807
487,384,1139,321,428,823
487,384,1021,319,357,853
486,385,1021,346,275,1387
486,385,1019,244,78,1509
486,390,962,248,52,1525
530,393,867,248,52,1816
526,482,823,250,73,1921
473,516,815,253,73,1762
536,523,814,253,73,1930
536,523,785,247,73,2053
536,513,785,211,68,2024
536,512,772,209,63,1976
536,512,763,209,63,1983
505,543,622,209,123,2023
458,590,540,179,124,2022
438,633,468,185,124,2035
468,611,369,228,124,2035
519,611,348,228,123,2036
549,628,320,228,117,2036
514,665,320,228,122,2008
466,680,320,228,113,1997
466,675,320,246,121,1967
467,635,320,259,124,1992
462,589,320,380,297,1991
456,582,313,538,304,2022
437,588,308,627,308,2019
434,592,281,636,308,2226
439,590,208,636,353,2271
426,607,204,643,378,2320
457,582,114,790,534,2221
511,490,18,709,569,2298
581,487,11,717,723,2325
640,487,20,731,723,2312
720,486,44,692,723,1778
733,486,44,703,724,1715
743,486,40,847,719,1732
696,530,38,1129,719,1464
611,526,38,1244,733,1356
565,473,38,1244,733,1320
494,536,59,1244,735,1080
546,536,60,1245,751,874
604,536,61,1245,751,935
683,536,80,1299,751,978
744,536,281,1321,751,963
761,505,322,1334,691,970
761,458,364,1334,690,994
745,438,496,1328,697,981
744,468,625,1268,697,1003
707,519,625,1268,697,998
694,549,620,1268,697,998
692,514,625,1268,692,979
691,466,626,1268,692,974
691,466,628,1250,666,934
690,467,629,1253,663,878
690,462,631,1133,489,888
690,456,631,975,482,884
690,437,631,886,478,1047
710,434,631,882,478,952
710,439,631,925,433,1012
708,426,632,926,423,969
705,457,635,753,339,967
692,511,635,748,345,890
648,581,655,759,205,840
589,640,646,745,205,823
525,720,622,757,205,854
539,733,627,744,239,806
543,743,629,596,240,834
636,696,629,347,240,834
636,611,629,232,224,859
636,565,629,229,236,859
636,494,608,229,234,918
584,546,607,228,218,910
533,604,650,228,218,835
473,683,895,177,218,792
413,744,809,158,229,792
396,761,800,155,229,734
402,761,892,174,229,711
462,745,856,174,222,711
433,744,729,174,222,689
419,707,782,174,222,689
381,694,813,174,222,731
395,692,813,174,228,731
511,691,815,174,240,731
555,691,813,174,240,731
774,690,815,159,240,731
787,690,926,158,240,724
787,690,927,158,240,700
787,690,975,158,240,609
767,710,1042,153,240,683
762,710,1042,110,240,679
784,708,1119,102,225,719
789,705,1123,102,153,716
773,692,1123,102,112,716
773,648,1103,83,106,716
773,589,1105,83,110,716
757,525,1114,98,110,745
731,539,1245,195,73,772
712,543,1385,242,72,711
619,636,1423,220,80,687
619,636,1423,229,61,708
619,636,1423,229,49,726
685,636,1450,229,53,667
685,584,1519,229,160,666
678,533,1475,229,183,666
661,473,1211,227,183,666
663,413,1097,427,172,666
668,396,1069,517,177,666
693,402,937,516,207,665
626,462,841,517,207,665
626,433,839,587,207,665
675,419,786,617,207,665
681,381,755,638,207,623
673,395,750,653,201,623
595,511,747,653,189,623
551,555,747,653,189,623
332,774,744,678,190,623
319,787,631,710,212,653
327,787,630,710,329,757
368,787,582,849,430,806
369,767,515,851,495,621
367,762,515,927,495,520
343,784,437,1054,498,474
311,789,430,1054,528,473
286,773,430,1054,531,473
260,773,430,1054,523,473
260,773,448,1054,568,509
260,757,454,1027,641,449
259,731,369,930,713,421
293,712,460,883,713,438
293,619,430,872,705,470
316,619,431,861,705,448
316,619,553,861,705,449
250,685,526,861,840,472
285,685,513,861,749,512
396,678,513,861,726,552
443,661,513,860,726,599
487,663,512,657,726,610
488,668,512,557,721,610
517,693,620,731,691,645
540,626,620,866,691,645
540,626,628,796,691,645
491,675,628,766,691,646
485,681,644,885,691,646
492,673,676,870,691,658
822,595,680,1077,691,689
822,551,732,1116,691,689
822,332,756,1090,690,705
822,319,771,1092,668,649
814,327,775,1310,551,577
773,368,776,1171,450,508
770,369,776,1178,385,506
779,367,776,1144,480,506
813,343,776,1098,484,533
812,311,776,1180,464,533
812,286,776,1410,461,533
812,260,776,1516,466,533
812,260,764,1606,417,497
930,260,749,1747,344,497
1024,259,716,1843,272,487
991,293,485,1843,273,470
1016,293,477,1871,286,438
1053,316,514,1911,295,408
1053,316,410,1921,316,389
1053,250,410,1989,251,400
1018,285,354,2059,250,384
907,396,354,2314,295,359
858,443,354,2317,366,312
1022,487,354,2322,383,301
1062,488,410,2331,395,301
1003,517,301,2139,395,266
980,540,314,2003,419,266
980,540,339,2003,426,266
980,491,356,2003,426,272
1190,485,360,1868,426,273
1177,492,424,1868,426,261
809,822,421,1766,426,230
824,822,391,1727,426,268
824,822,454,1727,426,252
824,822,543,1821,426,252
824,814,540,1628,426,217
824,773,539,1679,426,158
824,770,539,1701,426,158
826,779,539,1659,331,158
792,813,539,1578,324,209
792,812,552,1496,363,209
792,812,552,1283,364,209
792,812,552,1189,359,209
792,812,544,1099,359,293
674,930,544,959,359,350
580,1024,526,863,359,358
579,991,587,863,364,358
554,1016,587,848,351,358
494,1053,549,866,342,358
494,1053,560,866,321,358
494,1053,603,870,247,324
510,1018,604,801,232,300
523,907,605,546,187,285
561,858,605,543,116,285
354,1022,605,538,131,285
323,1062,545,529,129,382
332,1003,544,529,129,443
392,980,531,529,105,443
400,980,498,529,220,443
400,980,481,529,258,436
190,1190,461,524,363,436
190,1177,365,524,438,436
265,809,364,419,438,436
254,824,342,419,438,398
326,824,255,419,438,398
326,824,151,292,438,386
384,824,150,288,438,386
384,824,150,237,438,386
384,824,150,206,559,386
373,826,228,206,606,386
373,792,258,206,607,391
373,792,246,207,568,472
373,792,326,190,622,539
406,792,326,178,622,539
730,792,326,236,660,455
731,674,326,263,763,440
731,580,326,401,804,439
731,579,263,416,846,474
731,554,263,473,900,474
731,494,263,416,902,474
731,494,236,656,902,474
731,494,376,584,902,475
715,510,486,583,902,581
702,523,491,583,902,581
664,561,534,583,902,656
660,354,534,583,870,656
645,323,598,586,860,620
635,332,603,586,860,740
575,392,626,586,860,742
567,400,654,586,738,780
567,400,655,586,700,814
567,190,1015,651,678,820
567,190,1042,679,614,863
492,265,1138,679,624,863
567,254,1149,679,624,865
495,326,1164,679,624,953
546,326,1164,678,624,955
488,384,1164,657,624,956
489,384,1164,657,624,956
532,384,1164,657,569,956
579,373,1086,657,526,956
621,373,1056,657,525,873
647,373,1055,656,521,792
648,373,975,656,466,801
630,406,975,656,466,802
368,730,991,598,428,803
380,731,1045,570,484,892
411,731,1107,432,443,885
554,731,1109,417,395,850
688,731,1140,347,341,850
705,731,1140,346,801,902
813,731,1200,96,801,903
838,731,1041,96,801,1132
898,715,930,96,823,1042
899,702,924,96,838,1079
899,664,968,96,838,1006
899,660,968,276,838,1008
933,645,918,355,838,947
946,635,913,372,838,766
948,575,958,443,838,764
952,567,976,558,838,726
952,567,981,646,838,692
952,567,621,601,755,685
952,567,665,597,744,642
952,492,573,684,743,642
873,567,562,689,763,640
873,495,578,689,807,552
822,546,594,689,810,569
822,488,594,689,834,568
834,489,594,689,926,568
791,532,595,689,884,568
829,579,651,689,880,568
