Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
700,689,607,1049,1473,761,455,552,786,888,594,388,1112,510,960
725,652,644,974,1367,942,381,626,786,888,594,340,1112,510,889
725,652,644,919,1388,771,396,816,786,888,594,326,1158,475,829
725,652,641,886,1416,740,432,819,786,888,594,258,1108,475,818
725,652,641,802,1408,806,458,819,776,898,592,257,917,475,815
731,652,628,798,1425,788,476,800,743,892,650,250,852,475,823
735,652,621,706,1467,845,476,800,704,896,685,247,888,475,846
735,651,622,692,1437,797,568,800,663,933,684,247,930,475,856
735,651,622,691,1438,671,694,631,832,888,661,247,927,475,915
735,651,601,709,1438,628,740,608,855,694,711,290,811,475,922
735,632,620,709,1437,629,740,608,810,655,757,492,801,469,922
735,625,627,709,1427,639,739,389,935,750,702,578,803,419,922
732,628,562,774,1424,642,646,482,935,750,702,578,857,384,922
552,782,517,845,1262,802,648,482,935,750,543,578,825,347,877
475,820,556,845,1107,955,650,482,935,366,879,578,696,347,906
471,824,556,840,1112,955,650,482,830,471,879,578,673,132,906
471,824,556,833,1119,955,650,482,811,490,874,505,685,128,906
471,804,570,815,1143,955,650,482,793,508,874,492,674,107,736
500,797,574,645,1316,955,556,576,790,511,869,448,674,102,653
373,790,708,634,1323,959,556,573,793,498,882,471,669,102,682
311,807,708,602,1214,1143,558,573,735,508,889,451,598,102,635
289,784,749,549,1217,1155,600,573,538,705,889,479,716,83,598
228,816,778,549,1180,1187,605,573,516,727,889,473,724,136,528
198,821,804,519,1209,1189,605,556,533,727,889,473,730,107,520
190,645,982,535,1049,1349,605,556,533,711,905,473,747,66,517
275,628,935,468,1079,1453,605,556,495,749,893,473,747,66,382
276,688,931,417,1040,1547,605,556,495,749,892,473,747,66,327
267,697,910,351,1127,1547,605,556,490,754,881,473,747,90,302
228,736,901,357,1119,1558,605,556,490,747,888,475,747,92,317
486,739,816,441,1106,1538,639,556,490,747,888,475,715,92,317
507,700,692,604,1050,1549,684,455,591,747,888,475,598,198,317
507,700,689,607,1049,1473,761,455,552,786,888,476,579,279,427
533,725,652,644,974,1367,942,381,626,786,888,540,579,370,432
533,725,652,644,919,1388,771,396,816,786,888,683,532,370,432
632,725,652,641,886,1416,740,432,819,786,888,721,532,398,432
632,725,652,641,802,1408,806,458,819,776,898,776,521,413,557
626,731,652,628,798,1425,788,476,800,743,892,776,515,433,571
627,735,652,621,706,1467,845,476,800,704,896,935,453,444,548
627,735,651,622,692,1437,797,568,800,663,933,983,360,479,538
627,735,651,622,691,1438,671,694,631,832,888,983,392,638,876
693,735,651,601,709,1438,628,740,608,855,694,945,418,724,869
693,735,632,620,709,1437,629,740,608,810,655,743,423,724,908
693,735,625,627,709,1427,639,739,389,935,750,662,437,762,959
693,732,628,562,774,1424,642,646,482,935,750,662,379,902,1144
693,552,782,517,845,1262,802,648,482,935,750,703,378,903,1191
693,475,820,556,845,1107,955,650,482,935,366,703,331,903,1160
693,471,824,556,840,1112,955,650,482,830,471,703,331,903,1173
693,471,824,556,833,1119,955,650,482,811,490,703,326,903,1197
765,471,804,570,815,1143,955,650,482,793,508,703,321,951,1247
866,500,797,574,645,1316,955,556,576,790,511,709,330,1112,1385
871,373,790,708,634,1323,959,556,573,793,498,639,367,1159,1384
893,311,807,708,602,1214,1143,558,573,735,508,648,386,1177,1384
972,289,784,749,549,1217,1155,600,573,538,705,594,291,1183,1487
1100,228,816,778,549,1180,1187,605,573,516,727,594,354,1123,1512
1106,198,821,804,519,1209,1189,605,556,533,727,594,341,1195,1428
1096,190,645,982,535,1049,1349,605,556,533,711,594,318,1443,1468
1008,275,628,935,468,1079,1453,605,556,495,749,594,330,1443,1468
947,276,688,931,417,1040,1547,605,556,495,749,594,345,1443,1468
947,267,697,910,351,1127,1547,605,556,490,754,594,345,1419,1470
947,228,736,901,357,1119,1558,605,556,490,747,592,567,1417,1456
940,486,739,816,441,1106,1538,639,556,490,747,650,653,1417,1456
919,507,700,692,604,1050,1549,684,455,591,747,685,658,1311,1456
1062,507,700,689,607,1049,1473,761,455,552,786,684,658,1261,1346
1073,533,725,652,644,974,1367,942,381,626,786,661,658,1204,1341
1164,533,725,652,644,919,1388,771,396,816,786,711,658,1278,1341
1100,632,725,652,641,886,1416,740,432,819,786,757,658,1250,1341
1129,632,725,652,641,802,1408,806,458,819,776,702,746,1235,1213
1129,626,731,652,628,798,1425,788,476,800,743,702,746,1220,1191
1151,627,735,652,621,706,1467,845,476,800,704,543,824,1237,1288
1151,627,735,651,622,692,1437,797,568,800,663,879,841,1290,1338
1151,627,735,651,622,691,1438,671,694,631,832,879,836,1175,941
1151,693,735,651,601,709,1438,628,740,608,855,874,810,1213,941
1151,693,735,632,620,709,1437,629,740,608,810,874,805,1267,1017
1158,693,735,625,627,709,1427,639,739,389,935,869,846,1230,1114
1160,693,732,628,562,774,1424,642,646,482,935,882,848,1122,929
1160,693,552,782,517,845,1262,802,648,482,935,889,848,1173,898
1160,693,475,820,556,845,1107,955,650,482,935,889,876,1266,879
1160,693,471,824,556,840,1112,955,650,482,830,889,876,1383,866
1160,693,471,824,556,833,1119,955,650,482,811,889,869,1425,842
1088,765,471,804,570,815,1143,955,650,482,793,905,1109,1448,933
