Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
1040,1071,746,1111,716,380,489,706,1104,252,415,409,693
989,1087,780,1108,707,352,530,621,977,252,417,409,693
945,920,991,989,826,352,530,621,977,263,453,409,693
977,917,994,657,1158,352,530,604,976,265,517,410,693
1094,917,978,610,1221,338,544,534,964,318,526,282,668
1112,846,1049,580,1252,333,549,510,960,340,512,282,654
1112,704,1086,667,1270,333,440,510,889,342,529,282,654
1158,463,1304,588,1373,333,434,475,829,336,527,282,654
1108,513,1243,546,1403,406,429,475,818,336,523,285,654
917,715,1240,497,1452,409,420,475,815,323,523,282,654
852,786,1200,389,1500,509,420,475,823,302,436,282,653
888,812,1199,367,1412,615,425,475,846,302,435,282,653
930,863,1145,411,1394,592,476,475,856,302,435,282,585
927,892,1126,430,1362,624,447,475,915,342,435,282,646
811,1008,1126,430,1362,624,446,475,922,383,435,282,706
801,1018,1122,434,1306,680,446,469,922,383,443,282,708
803,1018,1108,448,1296,690,446,419,922,406,472,282,530
857,1022,1022,534,1296,690,446,384,922,470,515,282,433
825,1055,902,654,1296,690,446,347,877,476,446,282,330
696,1231,873,683,1296,680,456,347,906,476,412,283,271
673,1254,866,690,1296,680,379,132,906,460,514,284,267
685,1232,884,694,1150,826,360,128,906,463,510,284,267
674,1251,830,748,1144,832,360,107,736,455,510,284,267
674,1251,775,803,1106,856,374,102,653,564,510,202,267
669,1256,775,803,1106,855,375,102,682,568,510,287,295
598,1327,763,815,1088,873,375,102,635,545,542,299,328
716,1358,776,815,1088,873,375,83,598,551,563,326,393
724,1299,835,793,1090,893,318,136,528,500,569,370,405
730,1306,835,792,1047,937,318,107,520,475,569,518,430
747,1233,914,790,1040,946,318,66,517,475,571,525,465
747,1068,1079,722,1108,946,151,66,382,475,571,432,466
747,1040,1071,746,1111,716,380,66,327,545,523,403,498
747,989,1087,780,1108,707,352,90,302,568,538,402,750
747,945,920,991,989,826,352,92,317,559,503,402,809
715,977,917,994,657,1158,352,92,317,565,502,401,818
598,1094,917,978,610,1221,338,198,317,607,694,401,818
579,1112,846,1049,580,1252,333,279,427,590,892,405,818
579,1112,704,1086,667,1270,333,370,432,584,877,413,818
532,1158,463,1304,588,1373,333,370,432,584,877,413,818
532,1108,513,1243,546,1403,406,398,432,584,984,410,820
521,917,715,1240,497,1452,409,413,557,584,984,452,820
515,852,786,1200,389,1500,509,433,571,677,992,464,833
453,888,812,1199,367,1412,615,444,548,766,992,500,869
360,930,863,1145,411,1394,592,479,538,766,992,500,841
392,927,892,1126,430,1362,624,638,876,726,992,506,780
418,811,1008,1126,430,1362,624,724,869,685,992,574,720
423,801,1018,1122,434,1306,680,724,908,685,984,821,827
437,803,1018,1108,448,1296,690,762,959,662,955,1091,771
379,857,1022,1022,534,1296,690,902,1144,723,873,1091,711
378,825,1055,902,654,1296,690,903,1191,721,870,1121,711
331,696,1231,873,683,1296,680,903,1160,722,870,1158,727
331,673,1254,866,690,1296,680,903,1173,737,721,1157,739
326,685,1232,884,694,1150,826,903,1197,734,721,1247,745
321,674,1251,830,748,1144,832,951,1247,733,721,1247,756
330,674,1251,775,803,1106,856,1112,1385,624,721,1244,767
367,669,1256,775,803,1106,855,1159,1384,563,721,1123,739
386,598,1327,763,815,1088,873,1177,1384,563,689,1111,711
291,716,1358,776,815,1088,873,1183,1487,796,668,1179,646
354,724,1299,835,793,1090,893,1123,1512,796,675,1135,634
341,730,1306,835,792,1047,937,1195,1428,796,675,956,609
318,747,1233,914,790,1040,946,1443,1468,796,673,949,574
330,747,1068,1079,722,1108,946,1443,1468,796,707,984,573
345,747,1040,1071,746,1111,716,1443,1468,772,669,1005,559
345,747,989,1087,780,1108,707,1419,1470,749,710,1022,382
567,747,945,920,991,989,826,1417,1456,740,709,1046,334
653,715,977,917,994,657,1158,1417,1456,758,640,1046,461
658,598,1094,917,978,610,1221,1311,1456,660,433,1046,461
658,579,1112,846,1049,580,1252,1261,1346,649,224,1131,465
658,579,1112,704,1086,667,1270,1204,1341,649,222,1123,488
658,532,1158,463,1304,588,1373,1278,1341,649,295,1161,504
658,532,1108,513,1243,546,1403,1250,1341,649,208,1161,517
746,521,917,715,1240,497,1452,1235,1213,649,299,1120,523
746,515,852,786,1200,389,1500,1220,1191,556,291,1108,510
824,453,888,812,1199,367,1412,1237,1288,468,291,1240,474
841,360,930,863,1145,411,1394,1290,1338,468,291,1240,476
836,392,927,892,1126,430,1362,1175,941,468,291,1234,476
810,418,811,1008,1126,430,1362,1213,941,468,291,1230,476
805,423,801,1018,1122,434,1306,1267,1017,468,305,983,367
846,437,803,1018,1108,448,1296,1230,1114,468,326,713,367
848,379,857,1022,1022,534,1296,1122,929,343,326,713,367
848,378,825,1055,902,654,1296,1173,898,339,327,683,367
876,331,696,1231,873,683,1296,1266,879,338,423,645,351
876,331,673,1254,866,690,1296,1383,866,323,423,645,339
869,326,685,1232,884,694,1150,1425,842,323,444,555,333
1109,321,674,1251,830,748,1144,1448,933,325,444,555,322
1100,330,674,1251,775,803,1106,1409,803,326,444,555,311
1063,367,669,1256,775,803,1106,1376,782,326,444,555,311
1044,386,598,1327,763,815,1088,1399,782,376,444,555,330
977,291,716,1358,776,815,1088,1401,681,334,444,458,330
906,354,724,1299,835,793,1090,1398,656,392,431,484,330
906,341,730,1306,835,792,1047,1374,642,456,484,523,340
1077,318,747,1233,914,790,1040,1320,591,505,587,549,408
1153,330,747,1068,1079,722,1108,1495,591,505,568,537,492
1138,345,747,1040,1071,746,1111,1529,591,493,606,611,474
1138,345,747,989,1087,780,1108,1589,608,507,548,594,415
916,567,747,945,920,991,989,1618,624,759,548,570,406
870,653,715,977,917,994,657,1618,625,772,623,570,270
895,658,598,1094,917,978,610,1713,629,848,671,570,270
895,658,579,1112,846,1049,580,1689,629,848,695,481,274
900,658,579,1112,704,1086,667,1656,629,848,705,481,465
967,658,532,1158,463,1304,588,1583,629,848,634,443,449
971,658,532,1108,513,1243,546,1591,629,848,614,443,436
883,746,521,917,715,1240,497,1593,629,848,523,442,524
883,746,515,852,786,1200,389,1588,629,848,523,442,538
805,824,453,888,812,1199,367,1560,532,847,523,274,541
808,841,360,930,863,1145,411,1472,482,847,523,281,539
765,836,392,927,892,1126,430,1428,482,847,525,281,561
766,810,418,811,1008,1126,430,1304,482,957,661,217,561
832,805,423,801,1018,1122,434,1307,367,957,715,217,561
820,846,437,803,1018,1108,448,1382,219,1024,724,232,561
821,848,379,857,1022,1022,534,1417,219,1024,776,392,561
821,848,378,825,1055,902,654,1369,223,1024,775,392,561
793,876,331,696,1231,873,683,1313,223,1027,679,392,564
793,876,331,673,1254,866,690,1197,223,1076,679,396,569
793,869,326,685,1232,884,694,1155,223,1093,681,398,571
622,1109,321,674,1251,830,748,1084,82,1091,689,471,571
801,1100,330,674,1251,775,803,962,88,1134,689,493,571
854,1063,367,669,1256,775,803,992,124,1273,689,493,571
854,1044,386,598,1327,763,815,995,124,1657,689,493,547
854,977,291,716,1358,776,815,987,122,1456,689,532,557
854,906,354,724,1299,835,793,984,122,1398,689,506,598
869,906,341,730,1306,835,792,936,134,1334,636,467,605
704,1077,318,747,1233,914,790,834,188,1285,533,441,600
690,1153,330,747,1068,1079,722,659,222,1286,525,417,555
904,1138,345,747,1040,1071,746,625,501,1252,506,322,593
904,1138,345,747,989,1087,780,565,482,1297,506,322,577
904,916,567,747,945,920,991,840,465,1045,506,322,594
864,870,653,715,977,917,994,881,465,1055,454,322,594
879,895,658,598,1094,917,978,810,461,1007,406,322,596
879,895,658,579,1112,846,1049,899,475,1007,382,322,622
874,900,658,579,1112,704,1086,907,531,1007,499,322,466
828,967,658,532,1158,463,1304,906,612,1019,497,322,469
877,971,658,532,1108,513,1243,903,617,1032,567,322,467
880,883,746,521,917,715,1240,901,713,1135,654,322,373
880,883,746,515,852,786,1200,901,831,1249,682,322,359
888,805,824,453,888,812,1199,952,832,1249,682,322,356
869,808,841,360,930,863,1145,1009,834,1249,863,315,356
865,765,836,392,927,892,1126,1035,1012,1249,900,494,334
864,766,810,418,811,1008,1126,1035,1021,1139,995,623,334
839,832,805,423,801,1018,1122,1028,1044,1160,927,623,363
812,820,846,437,803,1018,1108,963,1062,1093,1010,608,371
809,821,848,379,857,1022,1022,974,1132,1093,982,448,424
922,821,848,378,825,1055,902,1304,1113,1093,982,448,427
922,793,876,331,696,1231,873,1268,1113,1092,983,448,464
941,793,876,331,673,1254,866,1267,1363,1044,1022,444,542
943,793,869,326,685,1232,884,1267,1469,1087,1097,442,544
871,622,1109,321,674,1251,830,1267,1553,1087,1112,369,663
692,801,1100,330,674,1251,775,1267,1539,1043,1124,347,956
639,854,1063,367,669,1256,775,1223,1666,904,1221,356,967
639,854,1044,386,598,1327,763,1179,1748,470,1249,506,1206
639,854,977,291,716,1358,776,1179,1748,469,1278,473,1196
639,854,906,354,724,1299,835,1179,1748,469,1278,473,1155
627,869,906,341,730,1306,835,1179,1736,469,1278,473,1138
685,704,1077,318,747,1233,914,1087,1682,469,1278,473,1075
687,690,1153,330,747,1068,1079,1196,1670,468,1271,473,1055
473,904,1138,345,747,1040,1071,1202,1391,468,1252,473,1043
683,904,1138,345,747,989,1087,1207,1391,409,1252,473,1043
741,904,916,567,747,945,920,912,1391,409,1252,482,1024
758,864,870,653,715,977,917,871,1390,354,1229,629,1024
713,879,895,658,598,1094,917,847,1390,326,1229,629,1022
713,879,895,658,579,1112,846,751,1376,327,1229,629,989
713,874,900,658,579,1112,704,771,1320,658,1233,658,1126
707,828,967,658,532,1158,463,772,1239,759,1239,658,1123
1057,877,971,658,532,1108,513,767,1234,776,1167,658,1123
1283,880,883,746,521,917,715,767,1138,673,1081,658,1123
1283,880,883,746,515,852,786,767,1020,560,1053,658,1123
1275,888,805,824,453,888,812,716,1022,610,1056,658,1123
1274,869,808,841,360,930,863,659,1020,652,875,658,1123
1268,865,765,836,392,927,892,710,867,652,836,479,1123
1268,864,766,810,418,811,1008,729,878,652,641,350,1123
1227,839,832,805,423,801,1018,679,860,631,641,350,1094
1209,812,820,846,437,803,1018,668,842,631,539,350,1086
1209,809,821,848,379,857,1022,590,772,631,518,350,1033
1096,922,821,848,378,825,1055,256,771,631,537,382,1144
1100,922,793,876,331,696,1231,255,771,629,654,388,1112
1081,941,793,876,331,673,1254,312,527,628,620,388,1029
1079,943,793,869,326,685,1232,312,434,575,562,388,1060
1079,871,622,1109,321,674,1251,312,358,575,539,388,1025
1079,692,801,1100,330,674,1251,479,358,586,549,390,742
1079,639,854,1063,367,669,1256,489,184,596,453,400,731
1079,639,854,1044,386,598,1327,530,118,613,427,250,492
1155,639,854,977,291,716,1358,530,174,652,456,244,492
1253,639,854,906,354,724,1299,530,193,825,456,285,492
1302,627,869,906,341,730,1306,544,381,842,456,369,492
1264,685,704,1077,318,747,1233,549,630,842,456,399,493
1190,687,690,1153,330,747,1068,440,609,842,456,399,474
1257,473,904,1138,345,747,1040,434,613,842,509,410,502
1091,683,904,1138,345,747,989,429,677,842,512,481,515
1033,741,904,916,567,747,945,420,682,842,518,627,515
1065,758,864,870,653,715,977,420,682,842,537,517,515
1065,713,879,895,658,598,1094,425,683,843,551,517,515
1065,713,879,895,658,579,1112,476,683,842,551,518,514
1065,713,874,900,658,579,1112,447,683,511,420,491,319
1052,707,828,967,658,532,1158,446,683,398,414,491,337
649,1057,877,971,658,532,1108,446,683,368,425,491,340
420,1283,880,883,746,521,917,446,683,368,456,491,340
428,1283,880,883,746,515,852,446,683,367,478,491,370
491,1275,888,805,824,453,888,446,680,317,552,491,496
491,1274,869,808,841,360,930,456,680,275,624,491,550
491,1268,865,765,836,392,927,379,655,280,645,491,581
491,1268,864,766,810,418,811,360,715,323,618,491,581
491,1227,839,832,805,423,801,360,747,383,757,491,596
510,1209,812,820,846,437,803,374,752,424,746,491,703
510,1209,809,821,848,379,857,375,784,477,743,491,950
511,1096,922,821,848,378,825,375,934,481,724,459,871
515,1100,922,793,876,331,696,375,995,481,643,453,905
515,1081,941,793,876,331,673,318,990,483,638,453,1257
515,1079,943,793,869,326,685,318,977,476,598,453,1400
679,1079,871,622,1109,321,674,318,969,476,715,453,1421
682,1079,692,801,1100,330,674,151,976,465,713,473,1411
702,1079,639,854,1063,367,669,380,977,455,753,471,1412
760,1079,639,854,1044,386,598,352,961,438,753,517,1413
734,1155,639,854,977,291,716,352,928,493,695,703,1416
689,1253,639,854,906,354,724,352,927,338,713,671,1465
637,1302,627,869,906,341,730,338,739,402,766,647,1651
611,1264,685,704,1077,318,747,333,490,471,839,640,1702
609,1190,687,690,1153,330,747,333,489,522,848,640,1720
542,1257,473,904,1138,345,747,333,485,547,795,629,1666
505,1091,683,904,1138,345,747,406,421,547,834,558,1716
506,1033,741,904,916,567,747,409,416,552,828,403,1739
457,1065,758,864,870,653,715,509,423,552,810,366,1857
569,1065,713,879,895,658,598,615,422,561,842,366,1886
618,1065,713,879,895,658,579,592,422,561,852,365,2073
668,1065,713,874,900,658,579,624,485,563,852,363,2089
674,1052,707,828,967,658,532,624,485,573,854,381,2072
674,649,1057,877,971,658,532,680,565,573,843,381,2111
674,420,1283,880,883,746,521,690,580,573,811,418,2138
670,428,1283,880,883,746,515,690,580,647,789,418,2154
634,491,1275,888,805,824,453,690,628,665,715,496,2127
634,491,1274,869,808,841,360,680,636,680,651,555,2080
640,491,1268,865,765,836,392,680,695,675,742,561,2049
642,491,1268,864,766,810,418,826,697,632,733,563,2049
648,491,1227,839,832,805,423,832,758,572,594,563,2034
657,510,1209,812,820,846,437,856,782,539,607,563,1984
720,510,1209,809,821,848,379,855,776,486,619,565,1742
729,511,1096,922,821,848,378,873,885,482,629,592,1731
737,515,1100,922,793,876,331,873,851,520,592,592,1697
737,515,1081,941,793,876,331,893,927,518,592,624,1406
737,515,1079,943,793,869,326,937,929,542,616,673,1228
573,679,1079,871,622,1109,321,946,929,569,499,717,1123
570,682,1079,692,801,1100,330,946,947,593,481,695,1132
550,702,1079,639,854,1063,367,716,946,593,440,680,1141
527,760,1079,639,854,1044,386,707,947,593,438,678,1144
553,734,1155,639,854,977,291,826,924,499,457,501,1209
508,689,1253,639,854,906,354,1158,906,607,452,492,1188
561,637,1302,627,869,906,341,1221,993,619,399,432,1005
