Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2
989,826,352,530,803,721
657,1158,352,530,832,595
610,1221,338,544,757,502
580,1252,333,549,714,386
667,1270,333,440,707,336
588,1373,333,434,777,314
546,1403,406,429,709,314
497,1452,409,420,704,278
389,1500,509,420,706,278
367,1412,615,425,735,278
411,1394,592,476,731,319
430,1362,624,447,698,319
430,1362,624,446,704,319
434,1306,680,446,712,319
448,1296,690,446,712,307
534,1296,690,446,668,247
654,1296,690,446,746,374
683,1296,680,456,904,374
690,1296,680,379,959,354
694,1150,826,360,1014,380
748,1144,832,360,1015,387
803,1106,856,374,1015,387
803,1106,855,375,1015,387
815,1088,873,375,1015,387
815,1088,873,375,1015,391
793,1090,893,318,1015,384
792,1047,937,318,1036,357
790,1040,946,318,1036,346
722,1108,946,151,1039,345
746,1111,716,380,914,311
780,1108,707,352,836,247
991,989,826,352,738,230
994,657,1158,352,709,230
978,610,1221,338,697,230
1049,580,1252,333,628,230
1086,667,1270,333,622,224
1304,588,1373,333,591,224
1243,546,1403,406,601,225
1240,497,1452,409,707,246
1200,389,1500,509,706,258
1199,367,1412,615,704,270
1145,411,1394,592,801,229
1126,430,1362,624,914,239
1126,430,1362,624,930,239
1122,434,1306,680,1066,240
1108,448,1296,690,1066,431
1022,534,1296,690,1066,444
902,654,1296,690,988,339
873,683,1296,680,830,427
866,690,1296,680,775,433
884,694,1150,826,720,417
830,748,1144,832,732,446
775,803,1106,856,732,446
775,803,1106,855,777,446
763,815,1088,873,880,446
776,815,1088,873,999,442
835,793,1090,893,1016,441
835,792,1047,937,1042,464
914,790,1040,946,1206,486
1079,722,1108,946,1294,515
1071,746,1111,716,1328,522
1087,780,1108,707,1412,674
920,991,989,826,1412,674
917,994,657,1158,1429,675
917,978,610,1221,1499,687
846,1049,580,1252,1523,691
704,1086,667,1270,1519,762
463,1304,588,1373,1509,822
513,1243,546,1403,1499,832
715,1240,497,1452,1315,817
786,1200,389,1500,1308,805
812,1199,367,1412,1281,793
863,1145,411,1394,1146,793
892,1126,430,1362,1031,783
1008,1126,430,1362,1008,783
1018,1122,434,1306,870,782
1018,1108,448,1296,920,591
1022,1022,534,1296,955,573
1055,902,654,1296,992,591
1231,873,683,1296,992,516
1254,866,690,1296,1207,510
1232,884,694,1150,1211,500
1251,830,748,1144,1219,634
1251,775,803,1106,1224,717
1256,775,803,1106,1179,721
1327,763,815,1088,1076,768
1358,776,815,1088,976,805
1299,835,793,1090,972,875
1306,835,792,1047,954,958
1233,914,790,1040,831,950
1068,1079,722,1108,740,1056
1040,1071,746,1111,706,1104
989,1087,780,1108,621,977
945,920,991,989,621,977
977,917,994,657,604,976
1094,917,978,610,534,964
1112,846,1049,580,510,960
1112,704,1086,667,510,889
1158,463,1304,588,475,829
1108,513,1243,546,475,818
917,715,1240,497,475,815
852,786,1200,389,475,823
888,812,1199,367,475,846
930,863,1145,411,475,856
927,892,1126,430,475,915
811,1008,1126,430,475,922
801,1018,1122,434,469,922
803,1018,1108,448,419,922
857,1022,1022,534,384,922
825,1055,902,654,347,877
696,1231,873,683,347,906
673,1254,866,690,132,906
685,1232,884,694,128,906
674,1251,830,748,107,736
674,1251,775,803,102,653
669,1256,775,803,102,682
598,1327,763,815,102,635
716,1358,776,815,83,598
724,1299,835,793,136,528
730,1306,835,792,107,520
747,1233,914,790,66,517
747,1068,1079,722,66,382
747,1040,1071,746,66,327
747,989,1087,780,90,302
747,945,920,991,92,317
715,977,917,994,92,317
598,1094,917,978,198,317
579,1112,846,1049,279,427
579,1112,704,1086,370,432
532,1158,463,1304,370,432
532,1108,513,1243,398,432
521,917,715,1240,413,557
515,852,786,1200,433,571
453,888,812,1199,444,548
360,930,863,1145,479,538
392,927,892,1126,638,876
418,811,1008,1126,724,869
423,801,1018,1122,724,908
