Accum_y-0,T-1,T-2,T-3,Accum_y-1,Accum_y-2
888,316,1349,1590,551,728
587,607,1303,1646,551,714
587,604,1305,1647,604,712
574,646,1209,1745,605,718
573,650,1194,1764,608,753
523,702,1191,1767,608,805
523,702,1155,1803,426,861
482,740,1158,1603,394,822
479,724,1170,1587,395,822
464,645,1189,1658,357,822
465,646,1178,1669,421,817
465,646,1131,1649,397,817
465,632,1145,1649,396,817
421,509,1312,1649,396,811
421,509,1312,1647,407,770
421,509,1312,1647,296,639
385,545,1312,1647,290,540
345,633,1312,1637,287,579
612,633,1312,1299,287,440
722,633,1282,1296,281,401
731,633,1247,1326,281,402
908,633,1247,1326,281,656
868,675,1247,1309,342,642
873,675,1246,1269,383,651
896,675,1079,1414,383,633
905,675,1079,1372,390,633
962,675,1079,1298,410,633
1078,675,1079,1245,454,676
1090,701,1079,1164,454,734
912,888,1079,1164,454,753
920,888,953,902,446,753
920,888,316,1349,315,723
920,587,607,1303,335,723
920,587,604,1305,323,723
889,574,646,1209,322,698
882,573,650,1194,349,663
891,523,702,1191,418,599
891,523,702,1155,667,458
891,482,740,1158,728,458
891,479,724,1170,763,458
891,464,645,1189,763,458
889,465,646,1178,699,458
889,465,646,1131,706,458
889,465,632,1145,767,458
985,421,509,1312,962,458
1082,421,509,1312,951,443
1090,421,509,1312,986,501
1090,385,545,1312,1014,505
1042,345,633,1312,1034,478
780,612,633,1312,1040,500
716,722,633,1282,1040,490
710,731,633,1247,1066,490
533,908,633,1247,1184,237
531,868,675,1247,1170,239
839,873,675,1246,1373,229
839,896,675,1079,1402,229
863,905,675,1079,1397,229
865,962,675,1079,1380,229
749,1078,675,1079,1336,245
715,1090,701,1079,1336,270
713,912,888,1079,1336,251
709,920,888,953,1336,251
890,920,888,316,1336,251
1136,920,587,607,1316,251
1144,920,587,604,1275,255
1214,889,574,646,1275,279
1352,882,573,650,1248,279
1470,891,523,702,1180,279
1507,891,523,702,931,279
1507,891,482,740,882,283
1507,891,479,724,896,295
1507,891,464,645,896,295
1507,889,465,646,896,295
1659,889,465,646,1043,299
1758,889,465,632,1121,310
1805,985,421,509,947,336
1768,1082,421,509,977,369
1812,1090,421,509,942,311
1828,1090,385,545,927,306
2000,1042,345,633,907,293
2010,780,612,633,901,271
2055,716,722,633,990,270
2052,710,731,633,964,269
2060,533,908,633,846,268
2065,531,868,675,799,266
1789,839,873,675,555,266
1767,839,896,675,526,266
1734,863,905,675,518,266
1675,865,962,675,515,266
1675,749,1078,675,528,207
1683,715,1090,701,528,126
1687,713,912,888,528,124
1719,709,920,888,544,124
1538,890,920,888,545,124
1292,1136,920,587,545,124
1286,1144,920,587,545,120
1218,1214,889,574,545,96
1080,1352,882,573,668,97
951,1470,891,523,670,97
914,1507,891,523,670,97
928,1507,891,482,658,93
928,1507,891,479,608,87
997,1507,891,464,690,95
997,1507,889,465,693,116
845,1659,889,465,562,167
746,1758,889,465,504,579
617,1805,985,421,511,589
557,1768,1082,421,478,564
511,1812,1090,421,491,698
497,1828,1090,385,478,708
325,2000,1042,345,497,784
310,2010,780,612,513,784
219,2055,716,722,424,788
219,2052,710,731,424,860
211,2060,533,908,425,1055
234,2065,531,868,573,1208
197,1789,839,873,693,1302
196,1767,839,896,778,1608
196,1734,863,905,936,1659
196,1675,865,962,937,1671
279,1675,749,1078,925,1669
267,1683,715,1090,989,1690
256,1687,713,912,1032,1719
328,1719,709,920,1146,1737
328,1538,890,920,1162,1758
358,1292,1136,920,1162,1776
441,1286,1144,920,1289,1779
440,1218,1214,889,1352,1779
443,1080,1352,882,1460,1778
614,951,1470,891,1491,1783
626,914,1507,891,1493,1826
612,928,1507,891,1533,1841
613,928,1507,891,1533,1872
544,997,1507,891,1452,1883
624,997,1507,889,1449,2057
640,845,1659,889,1434,2057
688,746,1758,889,1355,1690
702,617,1805,985,1329,1871
816,557,1768,1082,1329,1902
821,511,1812,1090,1316,1787
829,497,1828,1090,1316,1792
906,325,2000,1042,1307,1719
917,310,2010,780,1292,1719
942,219,2055,716,1300,1715
942,219,2052,710,1315,1654
945,211,2060,533,1314,1464
938,234,2065,531,1166,1311
990,197,1789,839,1101,1217
1012,196,1767,839,1016,911
