Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
2057,116,901,1119,444,989,803
2057,167,1010,1106,436,657,832
1690,579,1092,1050,383,610,757
1871,589,1091,1049,290,580,714
1902,564,1086,974,169,667,707
1787,698,1314,919,99,588,777
1792,708,1335,886,98,546,709
1719,784,1203,802,98,497,704
1719,784,1293,798,85,389,706
1715,788,1287,706,84,367,735
1654,860,1306,692,84,411,731
1464,1055,1325,691,84,430,698
1311,1208,1365,709,84,430,704
1217,1302,1364,709,88,434,712
911,1608,1415,709,88,448,712
860,1659,1384,774,88,534,668
852,1671,1369,845,81,654,746
897,1669,1359,845,263,683,904
948,1690,1255,840,365,690,959
1015,1719,1248,833,356,694,1014
1006,1737,1166,815,354,748,1015
985,1758,1026,645,381,803,1015
967,1776,919,634,750,803,1015
964,1779,844,602,750,815,1015
973,1779,868,549,750,815,1015
973,1778,898,549,750,793,1015
968,1783,896,519,750,792,1036
925,1826,900,535,750,790,1036
941,1841,928,468,750,722,1039
904,1872,928,417,750,746,914
903,1883,928,351,736,780,836
708,2057,878,357,736,991,738
653,2057,770,441,764,994,709
597,1690,708,604,771,978,697
380,1871,705,607,778,1049,628
341,1902,705,644,775,1086,622
323,1787,476,644,775,1304,591
308,1792,428,641,786,1243,601
303,1719,428,641,786,1240,707
303,1719,309,628,888,1200,706
303,1715,311,621,1042,1199,704
292,1654,309,622,1063,1145,801
290,1464,347,622,1083,1126,914
309,1311,316,601,1086,1126,930
341,1217,321,620,1077,1122,1066
343,911,351,627,1080,1108,1066
344,860,359,562,1148,1022,1066
357,852,359,517,1139,902,988
357,897,339,556,951,873,830
283,948,339,556,848,866,775
187,1015,337,556,837,884,720
178,1006,337,570,837,830,732
181,985,337,574,835,775,732
186,967,337,708,485,775,777
192,964,367,708,485,763,880
183,973,342,749,485,776,999
183,973,391,778,485,835,1016
183,968,399,804,489,835,1042
183,925,388,982,489,914,1206
154,941,358,935,508,1079,1294
155,904,358,931,510,1071,1328
174,903,358,910,510,1087,1412
202,708,358,901,632,920,1412
202,653,355,816,672,917,1429
221,597,378,692,720,917,1499
221,380,378,689,713,846,1523
221,341,378,652,765,704,1519
224,323,378,652,780,463,1509
226,308,378,652,837,513,1499
226,303,370,652,838,715,1315
226,303,370,652,743,786,1308
227,303,388,652,592,812,1281
227,292,375,651,571,863,1146
224,290,312,651,551,892,1031
221,309,297,651,548,1008,1008
272,341,296,632,548,1018,870
271,343,215,625,545,1018,920
270,344,219,628,477,1022,955
253,357,219,782,466,1055,992
208,357,219,820,466,1231,992
208,283,219,824,462,1254,1207
208,187,211,824,534,1232,1211
208,178,211,804,547,1251,1219
205,181,211,797,571,1251,1224
200,186,211,790,600,1256,1179
194,192,181,807,622,1327,1076
194,183,181,784,648,1358,976
194,183,102,816,654,1299,972
194,183,94,821,650,1306,954
194,183,124,645,650,1233,831
192,154,154,628,631,1068,740
198,155,197,688,629,1040,706
161,174,259,697,629,989,621
133,202,330,736,507,945,621
133,202,330,739,439,977,604
119,221,297,700,384,1094,534
119,221,297,700,388,1112,510
174,221,297,725,340,1112,510
218,224,297,725,326,1158,475
238,226,297,725,258,1108,475
317,226,297,725,257,917,475
317,226,317,731,250,852,475
316,227,297,735,247,888,475
316,227,292,735,247,930,475
316,224,292,735,247,927,475
312,221,287,735,290,811,475
252,272,295,735,492,801,469
318,271,295,735,578,803,419
358,270,283,732,578,857,384
402,253,283,552,578,825,347
423,208,283,475,578,696,347
517,208,283,471,578,673,132
612,208,288,471,505,685,128
690,208,314,471,492,674,107
846,205,314,500,448,674,102
915,200,314,373,471,669,102
917,194,314,311,451,598,102
917,194,352,289,479,716,83
961,194,360,228,473,724,136
961,194,390,198,473,730,107
1193,194,360,190,473,747,66
1193,192,330,275,473,747,66
1186,198,287,276,473,747,66
1264,161,225,267,473,747,90
1330,133,154,228,475,747,92
1330,133,154,486,475,715,92
1327,119,144,507,475,598,198
1358,119,144,507,476,579,279
1303,174,186,533,540,579,370
1297,218,186,533,683,532,370
1275,238,186,632,721,532,398
1196,317,186,632,776,521,413
1196,317,179,626,776,515,433
1238,316,187,627,935,453,444
1262,316,187,627,983,360,479
1265,316,187,627,983,392,638
1260,312,218,693,945,418,724
1238,252,255,693,743,423,724
