Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
901,848,1119,444,989,803,721
1010,850,1106,436,657,832,595
1092,849,1050,383,610,757,502
1091,832,1049,290,580,714,386
1086,820,974,169,667,707,336
1314,821,919,99,588,777,314
1335,722,886,98,546,709,314
1203,754,802,98,497,704,278
1293,702,798,85,389,706,278
1287,612,706,84,367,735,278
1306,559,692,84,411,731,319
1325,410,691,84,430,698,319
1365,388,709,84,430,704,319
1364,306,709,88,434,712,319
1415,302,709,88,448,712,307
1384,332,774,88,534,668,247
1369,347,845,81,654,746,374
1359,377,845,263,683,904,374
1255,480,840,365,690,959,354
1248,495,833,356,694,1014,380
1166,577,815,354,748,1015,387
1026,717,645,381,803,1015,387
919,809,634,750,803,1015,387
844,883,602,750,815,1015,387
868,884,549,750,815,1015,391
898,882,549,750,793,1015,384
896,883,519,750,792,1036,357
900,887,535,750,790,1036,346
928,889,468,750,722,1039,345
928,852,417,750,746,914,311
928,851,351,736,780,836,247
878,901,357,736,991,738,230
770,1010,441,764,994,709,230
708,1092,604,771,978,697,230
705,1091,607,778,1049,628,230
705,1086,644,775,1086,622,224
476,1314,644,775,1304,591,224
428,1335,641,786,1243,601,225
428,1203,641,786,1240,707,246
309,1293,628,888,1200,706,258
311,1287,621,1042,1199,704,270
309,1306,622,1063,1145,801,229
347,1325,622,1083,1126,914,239
316,1365,601,1086,1126,930,239
321,1364,620,1077,1122,1066,240
351,1415,627,1080,1108,1066,431
359,1384,562,1148,1022,1066,444
359,1369,517,1139,902,988,339
339,1359,556,951,873,830,427
339,1255,556,848,866,775,433
337,1248,556,837,884,720,417
337,1166,570,837,830,732,446
337,1026,574,835,775,732,446
337,919,708,485,775,777,446
367,844,708,485,763,880,446
342,868,749,485,776,999,442
391,898,778,485,835,1016,441
399,896,804,489,835,1042,464
388,900,982,489,914,1206,486
358,928,935,508,1079,1294,515
358,928,931,510,1071,1328,522
358,928,910,510,1087,1412,674
358,878,901,632,920,1412,674
355,770,816,672,917,1429,675
378,708,692,720,917,1499,687
378,705,689,713,846,1523,691
378,705,652,765,704,1519,762
378,476,652,780,463,1509,822
378,428,652,837,513,1499,832
370,428,652,838,715,1315,817
370,309,652,743,786,1308,805
388,311,652,592,812,1281,793
375,309,651,571,863,1146,793
312,347,651,551,892,1031,783
297,316,651,548,1008,1008,783
296,321,632,548,1018,870,782
215,351,625,545,1018,920,591
219,359,628,477,1022,955,573
219,359,782,466,1055,992,591
219,339,820,466,1231,992,516
219,339,824,462,1254,1207,510
211,337,824,534,1232,1211,500
211,337,804,547,1251,1219,634
211,337,797,571,1251,1224,717
211,337,790,600,1256,1179,721
181,367,807,622,1327,1076,768
181,342,784,648,1358,976,805
102,391,816,654,1299,972,875
94,399,821,650,1306,954,958
124,388,645,650,1233,831,950
154,358,628,631,1068,740,1056
197,358,688,629,1040,706,1104
259,358,697,629,989,621,977
330,358,736,507,945,621,977
330,355,739,439,977,604,976
297,378,700,384,1094,534,964
297,378,700,388,1112,510,960
297,378,725,340,1112,510,889
297,378,725,326,1158,475,829
297,378,725,258,1108,475,818
297,370,725,257,917,475,815
317,370,731,250,852,475,823
297,388,735,247,888,475,846
292,375,735,247,930,475,856
292,312,735,247,927,475,915
287,297,735,290,811,475,922
295,296,735,492,801,469,922
295,215,735,578,803,419,922
283,219,732,578,857,384,922
283,219,552,578,825,347,877
283,219,475,578,696,347,906
283,219,471,578,673,132,906
288,211,471,505,685,128,906
314,211,471,492,674,107,736
314,211,500,448,674,102,653
314,211,373,471,669,102,682
314,181,311,451,598,102,635
352,181,289,479,716,83,598
360,102,228,473,724,136,528
390,94,198,473,730,107,520
