Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
561,367,893,1412,792,539,1578
564,351,909,1562,792,552,1496
569,339,909,1588,792,552,1283
571,333,909,1596,792,552,1189
571,322,909,1758,792,544,1099
571,311,885,1816,674,544,959
571,311,851,1837,580,526,863
547,330,851,1971,579,587,863
557,330,851,1971,554,587,848
598,330,849,1971,494,549,866
605,340,849,1934,494,560,866
600,408,853,1703,494,603,870
555,492,902,1703,510,604,801
593,474,930,1461,523,605,546
577,415,947,1434,561,605,543
594,406,856,1425,354,605,538
594,270,1001,1209,323,545,529
596,270,1002,1205,332,544,529
622,274,1003,949,392,531,529
466,465,993,910,400,498,529
469,449,992,898,400,481,529
467,436,946,890,190,461,524
373,524,666,781,190,365,524
359,538,549,745,265,364,419
356,541,540,707,254,342,419
356,539,589,694,326,255,419
334,561,551,694,326,151,292
334,561,525,807,384,150,288
363,561,458,967,384,150,237
371,561,455,1123,384,150,206
424,561,455,1123,373,228,206
427,561,455,1123,373,258,206
464,564,439,973,373,246,207
542,569,439,941,373,326,190
544,571,439,924,406,326,178
663,571,439,820,730,326,236
956,571,439,774,731,326,263
967,571,439,754,731,326,401
1206,547,439,620,731,263,416
1196,557,454,620,731,263,473
1155,598,469,620,731,263,416
1138,605,469,678,731,236,656
1075,600,465,793,731,376,584
1055,555,527,794,715,486,583
1043,593,569,799,702,491,583
1043,577,535,799,664,534,583
1024,594,647,987,660,534,583
1024,594,519,982,645,598,586
1022,596,545,953,635,603,586
989,622,574,953,575,626,586
1126,466,568,953,567,654,586
1123,469,575,953,567,655,586
1123,467,577,963,567,1015,651
1123,373,709,963,567,1042,679
1123,359,711,963,492,1138,679
1123,356,794,966,567,1149,679
1123,356,782,1150,495,1164,679
1123,334,778,1162,546,1164,678
1123,334,745,1050,488,1164,657
1094,363,1020,917,489,1164,657
1086,371,1022,800,532,1164,657
1033,424,1024,800,579,1086,657
1144,427,1024,802,621,1056,657
1112,464,1024,802,647,1055,656
1029,542,1024,805,648,975,656
1060,544,1024,805,630,975,656
1025,663,1123,723,368,991,598
742,956,1123,713,380,1045,570
731,967,1123,910,411,1107,432
492,1206,1158,912,554,1109,417
492,1196,1143,1092,688,1140,347
492,1155,1203,1102,705,1140,346
492,1138,1372,1062,813,1200,96
493,1075,1419,947,838,1041,96
474,1055,1309,946,898,930,96
502,1043,1241,993,899,924,96
515,1043,1272,993,899,968,96
515,1024,1114,805,899,968,276
515,1024,1096,979,933,918,355
515,1022,1069,1110,946,913,372
514,989,1039,1216,948,958,443
319,1126,1034,1221,952,976,558
337,1123,1027,1221,952,981,646
340,1123,1025,1211,952,621,601
340,1123,901,1211,952,665,597
370,1123,904,1259,952,573,684
496,1123,821,1263,873,562,689
550,1123,784,1079,873,578,689
581,1123,819,1160,822,594,689
581,1123,819,1174,822,594,689
596,1094,541,1147,834,594,689
703,1086,553,1108,791,595,689
950,1033,552,1108,829,651,689
871,1144,598,1137,796,873,689
905,1112,616,1137,936,1187,689
1257,1029,616,1147,944,1353,689
1400,1060,616,1147,929,1417,689
1421,1025,529,1133,867,1445,689
1411,742,530,1138,854,1765,689
1412,731,530,941,823,1795,689
1413,492,495,1098,748,1853,689
1416,492,519,952,618,2031,689
1465,492,444,1081,613,2130,689
1651,492,275,1073,720,2088,689
1702,493,228,1128,696,2086,689
1720,474,227,1134,636,2089,718
1666,502,225,1205,663,2089,822
1716,515,247,1292,667,2008,1028
1739,515,356,1391,667,2008,849
1857,515,502,1271,636,2038,779
1886,515,505,1161,657,2069,899
2073,514,505,1055,677,2017,844
2089,319,504,1050,691,1971,750
2072,337,527,1195,691,1965,735
2111,340,527,1247,691,1966,717
2138,340,520,1252,693,1940,693
2154,370,515,1231,693,1956,611
2127,496,515,1226,698,1986,615
2080,550,515,1235,700,1955,615
2049,581,480,1142,700,1939,615
2049,581,480,1159,705,1940,630
2034,596,479,1172,696,1940,673
1984,703,465,1242,696,1939,675
1742,950,535,1354,614,1883,675
1731,871,494,1467,614,1661,675
1697,905,512,1467,470,1347,675
1406,1257,551,1550,469,1181,675
1228,1400,611,1616,469,1182,675
1123,1421,631,1650,481,1139,694
1132,1411,631,1643,481,765,743
1141,1412,713,1642,481,683,847
1144,1413,796,1483,413,624,877
1209,1416,788,1503,415,415,878
1188,1465,801,1409,414,316,977
1005,1651,812,1355,221,296,982
953,1702,856,1303,226,274,982
935,1720,898,1297,226,293,953
935,1666,898,1228,200,293,849
872,1716,844,1244,246,291,645
849,1739,715,1164,259,291,644
731,1857,562,1110,312,281,641
