Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
547,337,809,2307,647,575,1184
525,295,820,2337,437,575,1431
524,296,800,2432,363,575,1586
524,238,739,2431,232,595,1732
524,238,705,2560,233,620,1900
525,238,665,2721,276,620,1910
522,247,640,2685,283,620,1955
522,247,657,2553,292,629,2013
531,235,614,2494,319,656,2096
549,235,682,2301,465,720,2086
549,235,711,2250,756,720,2177
550,235,747,2230,941,720,2124
550,235,720,2134,1001,720,2111
550,235,711,2158,1011,720,2111
550,220,712,2120,1011,720,2101
550,150,709,2038,1006,699,2101
550,117,709,1975,1010,611,2101
546,86,808,1969,1052,501,2101
546,86,807,1773,1038,378,2116
428,191,823,1348,1022,339,2103
357,249,853,1256,985,224,2068
275,331,1387,1152,996,194,2068
78,530,1509,1126,1000,172,2068
52,561,1525,1057,1061,172,2068
52,561,1816,1107,1068,172,2008
73,561,1921,1153,1076,171,1840
73,559,1762,1253,1085,162,1747
73,537,1930,1253,1096,162,1737
73,537,2053,1185,1126,162,1462
68,542,2024,1129,1126,162,1349
63,547,1976,951,1126,162,1331
63,547,1983,958,1126,162,1248
123,525,2023,994,1126,162,993
124,524,2022,994,1126,163,838
124,524,2035,968,1126,178,692
124,524,2035,839,1125,172,524
123,525,2036,695,1087,172,527
117,522,2036,674,1031,172,482
122,522,2008,677,1022,163,429
113,531,1997,681,995,187,359
121,549,1967,681,849,137,201
124,549,1992,681,538,223,142
297,550,1991,626,325,242,142
304,550,2022,586,257,314,142
308,550,2019,531,247,314,150
308,550,2226,531,247,373,175
353,550,2271,531,244,397,175
378,550,2320,531,256,406,175
534,546,2221,531,214,406,175
569,546,2298,507,223,396,160
723,428,2325,501,236,389,160
723,357,2312,501,274,389,147
723,275,1778,528,240,389,124
724,78,1715,513,240,389,124
719,52,1732,532,179,389,124
719,52,1464,482,172,389,124
733,73,1356,423,174,389,124
733,73,1320,320,189,389,124
735,73,1080,351,178,389,164
751,73,874,350,148,389,164
751,68,935,390,148,407,284
751,63,978,441,148,407,284
751,63,963,434,148,407,284
691,123,970,362,148,413,284
690,124,994,266,149,417,287
697,124,981,253,149,382,287
697,124,1003,283,149,363,282
697,123,998,266,143,363,269
697,117,998,266,142,378,279
692,122,979,263,142,383,274
692,113,974,269,142,430,261
666,121,934,298,142,527,246
663,124,878,298,142,445,211
489,297,888,360,142,522,211
482,304,884,366,142,450,211
478,308,1047,383,152,450,206
478,308,952,426,152,391,181
433,353,1012,526,152,367,456
423,378,969,526,136,360,475
339,534,967,582,147,361,720
345,569,890,594,161,455,753
205,723,840,599,155,584,753
205,723,823,620,113,617,753
205,723,854,638,104,617,748
239,724,806,626,107,638,748
240,719,834,601,107,640,748
240,719,834,614,107,650,748
