Accum_y-0,T-1,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5
721,499,441,521,1048,582,946
595,607,428,522,1354,569,939
502,619,433,522,1398,558,948
386,666,433,522,1532,514,1147
336,671,485,538,1532,472,1391
314,668,485,576,1532,472,1343
314,668,486,577,1532,472,1240
278,699,517,660,1532,472,1221
278,699,517,683,1532,472,1222
278,689,532,703,1532,472,1104
319,689,538,901,1532,472,1070
319,687,578,1050,1527,472,1056
319,677,578,1017,1528,472,1020
319,677,578,985,1521,472,898
307,689,578,1026,1493,507,881
247,680,522,1079,1489,517,868
374,667,515,1118,1489,517,871
374,660,513,1127,1489,517,851
354,680,506,1179,1517,563,863
380,680,650,1086,1506,586,868
387,680,650,1073,1500,573,954
387,672,635,1073,1372,572,1036
387,672,608,1050,1371,650,1124
387,672,562,1072,1332,701,1188
391,634,545,1080,1318,650,1172
384,642,545,1102,1241,767,1200
357,645,545,1026,1213,777,1205
346,629,530,1016,1279,642,1197
345,606,528,1017,1151,487,1182
311,640,530,1017,1058,487,1182
247,704,525,1049,1020,490,1181
230,721,500,1091,782,491,1051
230,595,516,1091,550,491,1036
230,502,513,1091,564,491,1092
230,386,513,1091,437,495,999
224,336,461,1075,438,541,839
224,314,461,1042,438,546,907
225,314,460,1082,443,592,956
246,278,429,1059,445,607,985
258,278,429,1036,445,870,987
270,278,479,1021,445,925,952
229,319,518,817,445,980,952
239,319,593,650,445,1012,1144
239,319,726,549,443,1212,1147
240,319,745,482,443,1216,1147
431,307,746,440,434,1181,1147
444,247,746,387,434,1171,1157
339,374,666,348,434,1171,1154
427,374,605,339,434,1211,1141
433,354,609,279,406,1275,1128
417,380,526,273,361,1382,1123
446,387,558,273,342,1380,1051
446,387,558,293,314,1419,980
446,387,555,293,312,1435,924
446,387,555,273,312,1402,859
442,391,555,292,312,1469,817
441,384,568,271,286,1491,744
464,357,568,271,267,1457,707
486,346,567,314,198,1448,729
515,345,567,313,324,1448,769
522,311,565,313,366,1448,769
674,247,548,281,367,1445,820
674,230,553,230,364,1444,897
675,230,543,235,262,1444,874
687,230,544,241,329,1469,823
691,230,550,266,322,1479,753
762,224,554,266,321,1433,727
822,224,560,263,321,1428,670
832,225,560,228,316,1382,668
817,246,573,168,317,1367,708
805,258,594,255,317,1105,758
793,270,529,251,317,1050,780
793,229,484,251,317,1091,851
783,239,369,251,317,1059,717
783,239,236,251,317,859,723
782,240,217,251,317,855,794
591,431,216,251,317,1089,819
573,444,216,290,317,1246,815
591,339,216,362,317,1349,923
516,427,187,396,317,1368,1135
510,433,190,443,317,1260,1167
500,417,129,447,317,1130,1219
634,446,106,447,317,1130,1280
717,446,106,427,402,1080,1305
721,446,162,427,438,986,1272
768,446,184,425,438,960,1285
805,442,189,394,440,857,1404
875,441,227,393,440,718,1400
958,464,252,385,471,694,1400
950,486,252,329,469,693,1378
1056,515,252,329,422,693,1338
1104,522,252,415,409,693,1355
977,674,252,417,409,693,1322
977,674,263,453,409,693,1341
976,675,265,517,410,693,1375
964,687,318,526,282,668,1426
960,691,340,512,282,654,1424
889,762,342,529,282,654,1374
829,822,336,527,282,654,1441
818,832,336,523,285,654,1452
815,817,323,523,282,654,1384
823,805,302,436,282,653,1331
846,793,302,435,282,653,1309
856,793,302,435,282,585,1336
915,783,342,435,282,646,1330
922,783,383,435,282,706,1334
922,782,383,443,282,708,1263
922,591,406,472,282,530,1263
922,573,470,515,282,433,1267
877,591,476,446,282,330,1161
906,516,476,412,283,271,952
906,510,460,514,284,267,920
906,500,463,510,284,267,868
736,634,455,510,284,267,1064
653,717,564,510,202,267,1087
682,721,568,510,287,295,1117
635,768,545,542,299,328,1123
598,805,551,563,326,393,1057
528,875,500,569,370,405,1209
520,958,475,569,518,430,1209
517,950,475,571,525,465,1209
382,1056,475,571,432,466,1288
327,1104,545,523,403,498,1271
302,977,568,538,402,750,1253
317,977,559,503,402,809,1157
317,976,565,502,401,818,1123
317,964,607,694,401,818,1058
427,960,590,892,405,818,1021
432,889,584,877,413,818,1013
432,829,584,877,413,818,929
432,818,584,984,410,820,871
557,815,584,984,452,820,870
571,823,677,992,464,833,870
548,846,766,992,500,869,881
538,856,766,992,500,841,787
876,915,726,992,506,780,779
869,922,685,992,574,720,769
908,922,685,984,821,827,785
959,922,662,955,1091,771,760
1144,922,723,873,1091,711,750
1191,877,721,870,1121,711,748
1160,906,722,870,1158,727,745
1173,906,737,721,1157,739,745
1197,906,734,721,1247,745,745
1247,736,733,721,1247,756,474
1385,653,624,721,1244,767,415
1384,682,563,721,1123,739,385
1384,635,563,689,1111,711,366
1487,598,796,668,1179,646,312
1512,528,796,675,1135,634,157
1428,520,796,675,956,609,157
1468,517,796,673,949,574,159
1468,382,796,707,984,573,90
1468,327,772,669,1005,559,117
1470,302,749,710,1022,382,117
1456,317,740,709,1046,334,117
1456,317,758,640,1046,461,117
1456,317,660,433,1046,461,208
1346,427,649,224,1131,465,222
1341,432,649,222,1123,488,222
1341,432,649,295,1161,504,356
1341,432,649,208,1161,517,364
1213,557,649,299,1120,523,364
1191,571,556,291,1108,510,364
1288,548,468,291,1240,474,353
1338,538,468,291,1240,476,666
941,876,468,291,1234,476,678
941,869,468,291,1230,476,748
1017,908,468,305,983,367,733
1114,959,468,326,713,367,733
929,1144,343,326,713,367,733
898,1191,339,327,683,367,733
879,1160,338,423,645,351,733
866,1173,323,423,645,339,733
842,1197,323,444,555,333,733
933,1247,325,444,555,322,733
803,1385,326,444,555,311,757
782,1384,326,444,555,311,791
782,1384,376,444,555,330,791
681,1487,334,444,458,330,791
656,1512,392,431,484,330,793
642,1428,456,484,523,340,793
591,1468,505,587,549,408,791
591,1468,505,568,537,492,781
591,1468,493,606,611,474,754
608,1470,507,548,594,415,772
624,1456,759,548,570,406,929
625,1456,772,623,570,270,937
629,1456,848,671,570,270,846
629,1346,848,695,481,274,832
629,1341,848,705,481,465,854
629,1341,848,634,443,449,721
629,1341,848,614,443,436,759
629,1213,848,523,442,524,1039
629,1191,848,523,442,538,1156
532,1288,847,523,274,541,1165
482,1338,847,523,281,539,848
482,941,847,525,281,561,834
482,941,957,661,217,561,820
367,1017,957,715,217,561,890
219,1114,1024,724,232,561,893
219,929,1024,776,392,561,893
223,898,1024,775,392,561,893
223,879,1027,679,392,564,909
223,866,1076,679,396,569,909
223,842,1093,681,398,571,909
82,933,1091,689,471,571,909
88,803,1134,689,493,571,885
124,782,1273,689,493,571,851
124,782,1657,689,493,547,851
122,681,1456,689,532,557,851
122,656,1398,689,506,598,849
134,642,1334,636,467,605,849
188,591,1285,533,441,600,853
222,591,1286,525,417,555,902
501,591,1252,506,322,593,930
482,608,1297,506,322,577,947
465,624,1045,506,322,594,856
465,625,1055,454,322,594,1001
461,629,1007,406,322,596,1002
475,629,1007,382,322,622,1003
531,629,1007,499,322,466,993
612,629,1019,497,322,469,992
617,629,1032,567,322,467,946
713,629,1135,654,322,373,666
831,629,1249,682,322,359,549
832,532,1249,682,322,356,540
834,482,1249,863,315,356,589
1012,482,1249,900,494,334,551
1021,482,1139,995,623,334,525
1044,367,1160,927,623,363,458
1062,219,1093,1010,608,371,455
1132,219,1093,982,448,424,455
1113,223,1093,982,448,427,455
1113,223,1092,983,448,464,439
1363,223,1044,1022,444,542,439
1469,223,1087,1097,442,544,439
1553,82,1087,1112,369,663,439
1539,88,1043,1124,347,956,439
1666,124,904,1221,356,967,439
1748,124,470,1249,506,1206,439
1748,122,469,1278,473,1196,454
1748,122,469,1278,473,1155,469
1736,134,469,1278,473,1138,469
1682,188,469,1278,473,1075,465
1670,222,468,1271,473,1055,527
1391,501,468,1252,473,1043,569
1391,482,409,1252,473,1043,535
1391,465,409,1252,482,1024,647
1390,465,354,1229,629,1024,519
1390,461,326,1229,629,1022,545
1376,475,327,1229,629,989,574
1320,531,658,1233,658,1126,568
1239,612,759,1239,658,1123,575
1234,617,776,1167,658,1123,577
1138,713,673,1081,658,1123,709
1020,831,560,1053,658,1123,711
1022,832,610,1056,658,1123,794
1020,834,652,875,658,1123,782
867,1012,652,836,479,1123,778
878,1021,652,641,350,1123,745
860,1044,631,641,350,1094,1020
842,1062,631,539,350,1086,1022
772,1132,631,518,350,1033,1024
771,1113,631,537,382,1144,1024
771,1113,629,654,388,1112,1024
527,1363,628,620,388,1029,1024
434,1469,575,562,388,1060,1024
358,1553,575,539,388,1025,1123
358,1539,586,549,390,742,1123
184,1666,596,453,400,731,1123
118,1748,613,427,250,492,1158
174,1748,652,456,244,492,1143
193,1748,825,456,285,492,1203
381,1736,842,456,369,492,1372
630,1682,842,456,399,493,1419
609,1670,842,456,399,474,1309
613,1391,842,509,410,502,1241
677,1391,842,512,481,515,1272
682,1391,842,518,627,515,1114
682,1390,842,537,517,515,1096
683,1390,843,551,517,515,1069
683,1376,842,551,518,514,1039
683,1320,511,420,491,319,1034
683,1239,398,414,491,337,1027
683,1234,368,425,491,340,1025
683,1138,368,456,491,340,901
683,1020,367,478,491,370,904
680,1022,317,552,491,496,821
680,1020,275,624,491,550,784
655,867,280,645,491,581,819
715,878,323,618,491,581,819
747,860,383,757,491,596,541
752,842,424,746,491,703,553
784,772,477,743,491,950,552
934,771,481,724,459,871,598
995,771,481,643,453,905,616
990,527,483,638,453,1257,616
977,434,476,598,453,1400,616
969,358,476,715,453,1421,529
976,358,465,713,473,1411,530
977,184,455,753,471,1412,530
961,118,438,753,517,1413,495
928,174,493,695,703,1416,519
927,193,338,713,671,1465,444
739,381,402,766,647,1651,275
490,630,471,839,640,1702,228
489,609,522,848,640,1720,227
485,613,547,795,629,1666,225
421,677,547,834,558,1716,247
416,682,552,828,403,1739,356
423,682,552,810,366,1857,502
422,683,561,842,366,1886,505
422,683,561,852,365,2073,505
485,683,563,852,363,2089,504
485,683,573,854,381,2072,527
565,683,573,843,381,2111,527
580,683,573,811,418,2138,520
580,683,647,789,418,2154,515
628,680,665,715,496,2127,515
636,680,680,651,555,2080,515
695,655,675,742,561,2049,480
697,715,632,733,563,2049,480
758,747,572,594,563,2034,479
782,752,539,607,563,1984,465
776,784,486,619,565,1742,535
885,934,482,629,592,1731,494
851,995,520,592,592,1697,512
927,990,518,592,624,1406,551
929,977,542,616,673,1228,611
929,969,569,499,717,1123,631
947,976,593,481,695,1132,631
946,977,593,440,680,1141,713
947,961,593,438,678,1144,796
924,928,499,457,501,1209,788
906,927,607,452,492,1188,801
993,739,619,399,432,1005,812
1105,490,666,326,409,953,856
1122,489,671,317,409,935,898
1128,485,668,317,409,935,898
1196,421,668,275,409,872,844
1279,416,699,275,409,849,715
1278,423,699,274,409,731,562
1278,422,689,228,409,702,559
1320,422,689,218,415,515,559
1292,485,687,218,433,504,559
1293,485,677,216,549,504,536
1213,565,677,216,648,469,536
1198,580,689,216,612,479,535
1242,580,680,272,612,437,535
1194,628,667,356,534,338,535
1186,636,660,440,475,331,535
1127,695,680,344,477,331,537
1045,697,680,344,574,387,537
947,758,680,344,587,412,552
918,782,672,346,587,511,564
892,776,672,365,608,509,493
633,885,672,402,581,524,496
606,851,634,419,585,530,547
529,927,642,419,553,572,508
527,929,645,395,588,619,496
527,929,629,411,567,624,609
502,947,606,411,567,758,763
627,946,640,411,565,841,681
705,947,704,433,521,875,598
803,924,721,441,521,1048,582
832,906,595,428,522,1354,569
757,993,502,433,522,1398,558
714,1105,386,433,522,1532,514
707,1122,336,485,538,1532,472
777,1128,314,485,576,1532,472
709,1196,314,486,577,1532,472
704,1279,278,517,660,1532,472
706,1278,278,517,683,1532,472
735,1278,278,532,703,1532,472
731,1320,319,538,901,1532,472
698,1292,319,578,1050,1527,472
704,1293,319,578,1017,1528,472
712,1213,319,578,985,1521,472
712,1198,307,578,1026,1493,507
668,1242,247,522,1079,1489,517
746,1194,374,515,1118,1489,517
904,1186,374,513,1127,1489,517
959,1127,354,506,1179,1517,563
