Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
515,852,786,1200,389,1500,509,420,871,881,433,571,677,992
453,888,812,1199,367,1412,615,425,847,810,444,548,766,992
360,930,863,1145,411,1394,592,476,751,899,479,538,766,992
392,927,892,1126,430,1362,624,447,771,907,638,876,726,992
418,811,1008,1126,430,1362,624,446,772,906,724,869,685,992
423,801,1018,1122,434,1306,680,446,767,903,724,908,685,984
437,803,1018,1108,448,1296,690,446,767,901,762,959,662,955
379,857,1022,1022,534,1296,690,446,767,901,902,1144,723,873
378,825,1055,902,654,1296,690,446,716,952,903,1191,721,870
331,696,1231,873,683,1296,680,456,659,1009,903,1160,722,870
331,673,1254,866,690,1296,680,379,710,1035,903,1173,737,721
326,685,1232,884,694,1150,826,360,729,1035,903,1197,734,721
321,674,1251,830,748,1144,832,360,679,1028,951,1247,733,721
330,674,1251,775,803,1106,856,374,668,963,1112,1385,624,721
367,669,1256,775,803,1106,855,375,590,974,1159,1384,563,721
386,598,1327,763,815,1088,873,375,256,1304,1177,1384,563,689
291,716,1358,776,815,1088,873,375,255,1268,1183,1487,796,668
354,724,1299,835,793,1090,893,318,312,1267,1123,1512,796,675
341,730,1306,835,792,1047,937,318,312,1267,1195,1428,796,675
318,747,1233,914,790,1040,946,318,312,1267,1443,1468,796,673
330,747,1068,1079,722,1108,946,151,479,1267,1443,1468,796,707
345,747,1040,1071,746,1111,716,380,489,1223,1443,1468,772,669
345,747,989,1087,780,1108,707,352,530,1179,1419,1470,749,710
567,747,945,920,991,989,826,352,530,1179,1417,1456,740,709
653,715,977,917,994,657,1158,352,530,1179,1417,1456,758,640
658,598,1094,917,978,610,1221,338,544,1179,1311,1456,660,433
658,579,1112,846,1049,580,1252,333,549,1087,1261,1346,649,224
658,579,1112,704,1086,667,1270,333,440,1196,1204,1341,649,222
658,532,1158,463,1304,588,1373,333,434,1202,1278,1341,649,295
658,532,1108,513,1243,546,1403,406,429,1207,1250,1341,649,208
746,521,917,715,1240,497,1452,409,420,912,1235,1213,649,299
746,515,852,786,1200,389,1500,509,420,871,1220,1191,556,291
824,453,888,812,1199,367,1412,615,425,847,1237,1288,468,291
841,360,930,863,1145,411,1394,592,476,751,1290,1338,468,291
836,392,927,892,1126,430,1362,624,447,771,1175,941,468,291
810,418,811,1008,1126,430,1362,624,446,772,1213,941,468,291
805,423,801,1018,1122,434,1306,680,446,767,1267,1017,468,305
846,437,803,1018,1108,448,1296,690,446,767,1230,1114,468,326
848,379,857,1022,1022,534,1296,690,446,767,1122,929,343,326
848,378,825,1055,902,654,1296,690,446,716,1173,898,339,327
876,331,696,1231,873,683,1296,680,456,659,1266,879,338,423
876,331,673,1254,866,690,1296,680,379,710,1383,866,323,423
869,326,685,1232,884,694,1150,826,360,729,1425,842,323,444
1109,321,674,1251,830,748,1144,832,360,679,1448,933,325,444
1100,330,674,1251,775,803,1106,856,374,668,1409,803,326,444
1063,367,669,1256,775,803,1106,855,375,590,1376,782,326,444
1044,386,598,1327,763,815,1088,873,375,256,1399,782,376,444
977,291,716,1358,776,815,1088,873,375,255,1401,681,334,444
906,354,724,1299,835,793,1090,893,318,312,1398,656,392,431
906,341,730,1306,835,792,1047,937,318,312,1374,642,456,484
1077,318,747,1233,914,790,1040,946,318,312,1320,591,505,587
1153,330,747,1068,1079,722,1108,946,151,479,1495,591,505,568
1138,345,747,1040,1071,746,1111,716,380,489,1529,591,493,606
1138,345,747,989,1087,780,1108,707,352,530,1589,608,507,548
916,567,747,945,920,991,989,826,352,530,1618,624,759,548
870,653,715,977,917,994,657,1158,352,530,1618,625,772,623
