Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2
955,358,152,247,1011,1164,1020,201,417,441
1044,358,152,244,1006,1081,1049,218,404,432
1046,358,136,256,1010,1014,1116,206,404,432
1046,347,147,214,1052,995,1135,206,404,432
1041,317,161,223,1038,990,1166,206,404,379
1041,310,155,236,1022,989,1183,205,386,369
1041,310,113,274,985,1025,1158,235,404,369
1130,310,104,240,996,1024,1138,288,557,369
1193,301,107,240,1000,989,1174,289,557,369
1256,301,107,179,1061,989,1123,332,537,369
1256,301,107,172,1068,989,972,483,590,369
1294,301,97,174,1076,878,968,598,576,369
1280,315,73,189,1085,852,971,621,591,99
1276,319,73,178,1096,839,948,657,540,56
1365,288,104,148,1126,800,876,768,542,56
1391,288,104,148,1126,663,1000,774,561,56
1391,288,104,148,1126,660,1003,774,592,51
1391,225,167,148,1126,647,1016,774,677,51
1374,197,212,148,1126,437,1226,760,684,142
1281,276,225,149,1126,363,1238,822,684,208
1259,298,225,149,1126,232,1330,855,697,228
1234,323,225,149,1125,233,1330,855,712,245
1293,321,227,143,1087,276,1331,855,724,321
1282,335,227,142,1031,283,1381,758,480,321
986,601,283,142,1022,292,1381,751,521,321
620,910,350,142,995,319,1363,769,521,336
638,921,355,142,849,465,1362,770,521,341
646,917,366,142,538,756,1291,861,521,315
662,917,366,142,325,941,1187,989,521,307
669,917,366,142,257,1001,1168,1016,521,359
629,957,356,152,247,1011,1164,1020,521,366
629,955,358,152,247,1011,1164,1020,521,376
540,1044,358,152,244,1006,1081,1049,556,485
677,1046,358,136,256,1010,1014,1116,580,486
677,1046,347,147,214,1052,995,1135,580,538
677,1041,317,161,223,1038,990,1166,832,538
677,1041,310,155,236,1022,989,1183,1213,565
677,1041,310,113,274,985,1025,1158,1290,569
588,1130,310,104,240,996,1024,1138,1129,587
532,1193,301,107,240,1000,989,1174,1129,634
469,1256,301,107,179,1061,989,1123,1129,634
469,1256,301,107,172,1068,989,972,1052,634
431,1294,301,97,174,1076,878,968,1052,634
431,1280,315,73,189,1085,852,971,1048,634
431,1276,319,73,178,1096,839,948,1072,634
342,1365,288,104,148,1126,800,876,1070,634
316,1391,288,104,148,1126,663,1000,1091,634
320,1391,288,104,148,1126,660,1003,1182,634
320,1391,225,167,148,1126,647,1016,1191,638
320,1374,197,212,148,1126,437,1226,1184,547
320,1281,276,225,149,1126,363,1238,1184,481
320,1259,298,225,149,1126,232,1330,1171,461
381,1234,323,225,149,1125,233,1330,1258,444
322,1293,321,227,143,1087,276,1331,1268,368
374,1282,335,227,142,1031,283,1381,1378,368
351,986,601,283,142,1022,292,1381,1337,479
541,620,910,350,142,995,319,1363,1339,483
512,638,921,355,142,849,465,1362,1339,468
510,646,917,366,142,538,756,1291,1344,464
494,662,917,366,142,325,941,1187,1348,464
488,669,917,366,142,257,1001,1168,1349,428
640,629,957,356,152,247,1011,1164,1349,421
682,629,955,358,152,247,1011,1164,1349,411
707,540,1044,358,152,244,1006,1081,1344,302
568,677,1046,358,136,256,1010,1014,1320,301
568,677,1046,347,147,214,1052,995,1320,249
568,677,1041,317,161,223,1038,990,1129,251
608,677,1041,310,155,236,1022,989,748,372
626,677,1041,310,113,274,985,1025,653,449
763,588,1130,310,104,240,996,1024,653,432
900,532,1193,301,107,240,1000,989,653,385
900,469,1256,301,107,179,1061,989,653,385
1112,469,1256,301,107,172,1068,989,653,612
1139,431,1294,301,97,174,1076,878,663,612
1139,431,1280,315,73,189,1085,852,807,612
1139,431,1276,319,73,178,1096,839,779,612
1139,342,1365,288,104,148,1126,800,779,612
1139,316,1391,288,104,148,1126,663,739,612
1135,320,1391,288,104,148,1126,660,617,612
1135,320,1391,225,167,148,1126,647,523,608
1135,320,1374,197,212,148,1126,437,523,616
1135,320,1281,276,225,149,1126,363,523,728
1190,320,1259,298,225,149,1126,232,525,728
1140,381,1234,323,225,149,1125,233,464,728
1140,322,1293,321,227,143,1087,276,667,728
1086,374,1282,335,227,142,1031,283,573,728
1083,351,986,601,283,142,1022,292,638,617
955,541,620,910,350,142,995,319,792,598
1028,512,638,921,355,142,849,465,792,598
1015,510,646,917,366,142,538,756,787,598
1015,494,662,917,366,142,325,941,783,598
1014,488,669,917,366,142,257,1001,789,579
862,640,629,957,356,152,247,1011,849,579
820,682,629,955,358,152,247,1011,879,579
795,707,540,1044,358,152,244,1006,849,579
795,568,677,1046,358,136,256,1010,863,596
796,568,677,1046,347,147,214,1052,903,596
796,568,677,1041,317,161,223,1038,846,594
756,608,677,1041,310,155,236,1022,846,446
738,626,677,1041,310,113,274,985,846,365
601,763,588,1130,310,104,240,996,846,364
457,900,532,1193,301,107,240,1000,846,364
457,900,469,1256,301,107,179,1061,916,364
245,1112,469,1256,301,107,172,1068,921,137
218,1139,431,1294,301,97,174,1076,1049,137
218,1139,431,1280,315,73,189,1085,952,141
218,1139,431,1276,319,73,178,1096,1108,141
242,1139,342,1365,288,104,148,1126,1121,141
242,1139,316,1391,288,104,148,1126,1159,141
245,1135,320,1391,288,104,148,1126,1159,141
245,1135,320,1391,225,167,148,1126,1159,141
269,1135,320,1374,197,212,148,1126,1161,133
376,1135,320,1281,276,225,149,1126,1161,21
330,1190,320,1259,298,225,149,1126,1159,21
418,1140,381,1234,323,225,149,1125,1099,21
535,1140,322,1293,321,227,143,1087,887,47
546,1086,374,1282,335,227,142,1031,871,47
787,1083,351,986,601,283,142,1022,806,47
801,955,541,620,910,350,142,995,695,47
996,1028,512,638,921,355,142,849,707,47
1001,1015,510,646,917,366,142,538,707,52
1001,1015,494,662,917,366,142,325,707,52
1001,1014,488,669,917,366,142,257,701,52
1001,862,640,629,957,356,152,247,641,52
1001,820,682,629,955,358,152,247,611,52
1040,795,707,540,1044,358,152,244,611,52
1204,795,568,677,1046,358,136,256,605,58
1288,796,568,677,1046,347,147,214,565,58
1378,796,568,677,1041,317,161,223,561,70
1442,756,608,677,1041,310,155,236,561,190
1442,738,626,677,1041,310,113,274,561,263
1442,601,763,588,1130,310,104,240,561,291
1442,457,900,532,1193,301,107,240,568,338
1442,457,900,469,1256,301,107,179,498,480
1457,245,1112,469,1256,301,107,172,493,507
1509,218,1139,431,1294,301,97,174,369,520
1509,218,1139,431,1280,315,73,189,311,516
1512,218,1139,431,1276,319,73,178,161,516
1513,242,1139,342,1365,288,104,148,148,516
1933,242,1139,316,1391,288,104,148,110,615
1967,245,1135,320,1391,288,104,148,207,712
1972,245,1135,320,1391,225,167,148,214,712
1958,269,1135,320,1374,197,212,148,212,712
1923,376,1135,320,1281,276,225,149,212,712
1917,330,1190,320,1259,298,225,149,212,712
1823,418,1140,381,1234,323,225,149,216,712
1741,535,1140,322,1293,321,227,143,201,778
1793,546,1086,374,1282,335,227,142,201,778
1664,787,1083,351,986,601,283,142,201,778
1588,801,955,541,620,910,350,142,218,778
1315,996,1028,512,638,921,355,142,206,780
1310,1001,1015,510,646,917,366,142,206,868
1310,1001,1015,494,662,917,366,142,206,947
1310,1001,1014,488,669,917,366,142,205,953
1310,1001,862,640,629,957,356,152,235,961
1349,1001,820,682,629,955,358,152,288,961
1310,1040,795,707,540,1044,358,152,289,961
1153,1204,795,568,677,1046,358,136,332,938
1069,1288,796,568,677,1046,347,147,483,938
979,1378,796,568,677,1041,317,161,598,926
915,1442,756,608,677,1041,310,155,621,806
915,1442,738,626,677,1041,310,113,657,733
915,1442,601,763,588,1130,310,104,768,705
915,1442,457,900,532,1193,301,107,774,658
915,1442,457,900,469,1256,301,107,774,530
900,1457,245,1112,469,1256,301,107,774,503
848,1509,218,1139,431,1294,301,97,760,490
848,1509,218,1139,431,1280,315,73,822,585
845,1512,218,1139,431,1276,319,73,855,614
820,1513,242,1139,342,1365,288,104,855,660
400,1933,242,1139,316,1391,288,104,855,583
364,1967,245,1135,320,1391,288,104,758,486
384,1972,245,1135,320,1391,225,167,751,558
383,1958,269,1135,320,1374,197,212,769,625
311,1923,376,1135,320,1281,276,225,770,630
319,1917,330,1190,320,1259,298,225,861,630
328,1823,418,1140,381,1234,323,225,989,717
294,1741,535,1140,322,1293,321,227,1016,635
231,1793,546,1086,374,1282,335,227,1020,792
186,1664,787,1083,351,986,601,283,1020,869
219,1588,801,955,541,620,910,350,1049,914
219,1315,996,1028,512,638,921,355,1116,912
219,1310,1001,1015,510,646,917,366,1135,819
219,1310,1001,1015,494,662,917,366,1166,806
219,1310,1001,1014,488,669,917,366,1183,906
219,1310,1001,862,640,629,957,356,1158,904
181,1349,1001,820,682,629,955,358,1138,904
183,1310,1040,795,707,540,1044,358,1174,904
176,1153,1204,795,568,677,1046,358,1123,904
175,1069,1288,796,568,677,1046,347,972,904
175,979,1378,796,568,677,1041,317,968,904
175,915,1442,756,608,677,1041,310,971,904
176,915,1442,738,626,677,1041,310,948,904
176,915,1442,601,763,588,1130,310,876,904
176,915,1442,457,900,532,1193,301,1000,904
176,915,1442,457,900,469,1256,301,1003,890
191,900,1457,245,1112,469,1256,301,1016,890
197,848,1509,218,1139,431,1294,301,1226,890
201,848,1509,218,1139,431,1280,315,1238,795
243,845,1512,218,1139,431,1276,319,1330,766
243,820,1513,242,1139,342,1365,288,1330,720
243,400,1933,242,1139,316,1391,288,1331,698
299,364,1967,245,1135,320,1391,288,1381,698
406,384,1972,245,1135,320,1391,225,1381,626
456,383,1958,269,1135,320,1374,197,1363,559
649,311,1923,376,1135,320,1281,276,1362,554
689,319,1917,330,1190,320,1259,298,1291,554
750,328,1823,418,1140,381,1234,323,1187,467
886,294,1741,535,1140,322,1293,321,1168,457
916,231,1793,546,1086,374,1282,335,1164,300
887,186,1664,787,1083,351,986,601,1164,223
926,219,1588,801,955,541,620,910,1081,199
989,219,1315,996,1028,512,638,921,1014,287
995,219,1310,1001,1015,510,646,917,995,397
1215,219,1310,1001,1015,494,662,917,990,464
1646,219,1310,1001,1014,488,669,917,989,404
1738,219,1310,1001,862,640,629,957,1025,513
1845,181,1349,1001,820,682,629,955,1024,543
1900,183,1310,1040,795,707,540,1044,989,565
1975,176,1153,1204,795,568,677,1046,989,565
1975,175,1069,1288,796,568,677,1046,989,565
1988,175,979,1378,796,568,677,1041,878,566
1993,175,915,1442,756,608,677,1041,852,575
2009,176,915,1442,738,626,677,1041,839,575
2080,176,915,1442,601,763,588,1130,800,575
2144,176,915,1442,457,900,532,1193,663,575
2322,176,915,1442,457,900,469,1256,660,575
2307,191,900,1457,245,1112,469,1256,647,575
2337,197,848,1509,218,1139,431,1294,437,575
2432,201,848,1509,218,1139,431,1280,363,575
2431,243,845,1512,218,1139,431,1276,232,595
2560,243,820,1513,242,1139,342,1365,233,620
2721,243,400,1933,242,1139,316,1391,276,620
2685,299,364,1967,245,1135,320,1391,283,620
2553,406,384,1972,245,1135,320,1391,292,629
2494,456,383,1958,269,1135,320,1374,319,656
2301,649,311,1923,376,1135,320,1281,465,720
2250,689,319,1917,330,1190,320,1259,756,720
2230,750,328,1823,418,1140,381,1234,941,720
2134,886,294,1741,535,1140,322,1293,1001,720
2158,916,231,1793,546,1086,374,1282,1011,720
2120,887,186,1664,787,1083,351,986,1011,720
2038,926,219,1588,801,955,541,620,1006,699
1975,989,219,1315,996,1028,512,638,1010,611
1969,995,219,1310,1001,1015,510,646,1052,501
1773,1215,219,1310,1001,1015,494,662,1038,378
1348,1646,219,1310,1001,1014,488,669,1022,339
1256,1738,219,1310,1001,862,640,629,985,224
1152,1845,181,1349,1001,820,682,629,996,194
1126,1900,183,1310,1040,795,707,540,1000,172
1057,1975,176,1153,1204,795,568,677,1061,172
1107,1975,175,1069,1288,796,568,677,1068,172
1153,1988,175,979,1378,796,568,677,1076,171
1253,1993,175,915,1442,756,608,677,1085,162
1253,2009,176,915,1442,738,626,677,1096,162
1185,2080,176,915,1442,601,763,588,1126,162
1129,2144,176,915,1442,457,900,532,1126,162
951,2322,176,915,1442,457,900,469,1126,162
