Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1,Accum_y-2
989,826,352,530,1179,987,1401,1183,803,721
657,1158,352,530,1179,984,1398,1123,832,595
610,1221,338,544,1179,936,1374,1195,757,502
580,1252,333,549,1087,834,1320,1443,714,386
667,1270,333,440,1196,659,1495,1443,707,336
588,1373,333,434,1202,625,1529,1443,777,314
546,1403,406,429,1207,565,1589,1419,709,314
497,1452,409,420,912,840,1618,1417,704,278
389,1500,509,420,871,881,1618,1417,706,278
367,1412,615,425,847,810,1713,1311,735,278
411,1394,592,476,751,899,1689,1261,731,319
430,1362,624,447,771,907,1656,1204,698,319
430,1362,624,446,772,906,1583,1278,704,319
434,1306,680,446,767,903,1591,1250,712,319
448,1296,690,446,767,901,1593,1235,712,307
534,1296,690,446,767,901,1588,1220,668,247
654,1296,690,446,716,952,1560,1237,746,374
683,1296,680,456,659,1009,1472,1290,904,374
690,1296,680,379,710,1035,1428,1175,959,354
694,1150,826,360,729,1035,1304,1213,1014,380
748,1144,832,360,679,1028,1307,1267,1015,387
803,1106,856,374,668,963,1382,1230,1015,387
803,1106,855,375,590,974,1417,1122,1015,387
815,1088,873,375,256,1304,1369,1173,1015,387
815,1088,873,375,255,1268,1313,1266,1015,391
793,1090,893,318,312,1267,1197,1383,1015,384
792,1047,937,318,312,1267,1155,1425,1036,357
790,1040,946,318,312,1267,1084,1448,1036,346
722,1108,946,151,479,1267,962,1409,1039,345
746,1111,716,380,489,1223,992,1376,914,311
780,1108,707,352,530,1179,995,1399,836,247
991,989,826,352,530,1179,987,1401,738,230
994,657,1158,352,530,1179,984,1398,709,230
978,610,1221,338,544,1179,936,1374,697,230
1049,580,1252,333,549,1087,834,1320,628,230
1086,667,1270,333,440,1196,659,1495,622,224
1304,588,1373,333,434,1202,625,1529,591,224
1243,546,1403,406,429,1207,565,1589,601,225
1240,497,1452,409,420,912,840,1618,707,246
1200,389,1500,509,420,871,881,1618,706,258
1199,367,1412,615,425,847,810,1713,704,270
1145,411,1394,592,476,751,899,1689,801,229
1126,430,1362,624,447,771,907,1656,914,239
1126,430,1362,624,446,772,906,1583,930,239
1122,434,1306,680,446,767,903,1591,1066,240
1108,448,1296,690,446,767,901,1593,1066,431
1022,534,1296,690,446,767,901,1588,1066,444
902,654,1296,690,446,716,952,1560,988,339
873,683,1296,680,456,659,1009,1472,830,427
866,690,1296,680,379,710,1035,1428,775,433
884,694,1150,826,360,729,1035,1304,720,417
