Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
239,319,677,573,398,759,1019,726,549,443,1212,1147,433,456,313,538,304
240,319,677,573,368,776,1032,745,482,443,1216,1147,443,437,308,627,308
431,307,689,573,368,673,1135,746,440,434,1181,1147,511,434,281,636,308
444,247,680,647,367,560,1249,746,387,434,1171,1157,582,439,208,636,353
339,374,667,665,317,610,1249,666,348,434,1171,1154,584,426,204,643,378
427,374,660,680,275,652,1249,605,339,434,1211,1141,700,457,114,790,534
433,354,680,675,280,652,1249,609,279,406,1275,1128,710,511,18,709,569
417,380,680,632,323,652,1139,526,273,361,1382,1123,710,581,11,717,723
446,387,680,572,383,631,1160,558,273,342,1380,1051,696,640,20,731,723
446,387,672,539,424,631,1093,558,293,314,1419,980,688,720,44,692,723
446,387,672,486,477,631,1093,555,293,312,1435,924,686,733,44,703,724
446,387,672,482,481,631,1093,555,273,312,1402,859,726,743,40,847,719
442,391,634,520,481,629,1092,555,292,312,1469,817,754,696,38,1129,719
441,384,642,518,483,628,1044,568,271,286,1491,744,754,611,38,1244,733
464,357,645,542,476,575,1087,568,271,267,1457,707,754,565,38,1244,733
486,346,629,569,476,575,1087,567,314,198,1448,729,844,494,59,1244,735
515,345,606,593,465,586,1043,567,313,324,1448,769,807,546,60,1245,751
522,311,640,593,455,596,904,565,313,366,1448,769,794,604,61,1245,751
674,247,704,593,438,613,470,548,281,367,1445,820,934,683,80,1299,751
674,230,721,499,493,652,469,553,230,364,1444,897,937,744,281,1321,751
675,230,595,607,338,825,469,543,235,262,1444,874,921,761,322,1334,691
687,230,502,619,402,842,469,544,241,329,1469,823,921,761,364,1334,690
691,230,386,666,471,842,469,550,266,322,1479,753,920,745,496,1328,697
762,224,336,671,522,842,468,554,266,321,1433,727,938,744,625,1268,697
822,224,314,668,547,842,468,560,263,321,1428,670,916,707,625,1268,697
832,225,314,668,547,842,409,560,228,316,1382,668,890,694,620,1268,697
817,246,278,699,552,842,409,573,168,317,1367,708,797,692,625,1268,692
805,258,278,699,552,842,354,594,255,317,1105,758,793,691,626,1268,692
793,270,278,689,561,843,326,529,251,317,1050,780,706,691,628,1250,666
793,229,319,689,561,842,327,484,251,317,1091,851,728,690,629,1253,663
783,239,319,687,563,511,658,369,251,317,1059,717,706,690,631,1133,489
783,239,319,677,573,398,759,236,251,317,859,723,684,690,631,975,482
782,240,319,677,573,368,776,217,251,317,855,794,675,690,631,886,478
591,431,307,689,573,368,673,216,251,317,1089,819,610,710,631,882,478
573,444,247,680,647,367,560,216,290,317,1246,815,539,710,631,925,433
591,339,374,667,665,317,610,216,362,317,1349,923,537,708,632,926,423
516,427,374,660,680,275,652,187,396,317,1368,1135,420,705,635,753,339
510,433,354,680,675,280,652,190,443,317,1260,1167,409,692,635,748,345
500,417,380,680,632,323,652,129,447,317,1130,1219,410,648,655,759,205
634,446,387,680,572,383,631,106,447,317,1130,1280,485,589,646,745,205
717,446,387,672,539,424,631,106,427,402,1080,1305,563,525,622,757,205
721,446,387,672,486,477,631,162,427,438,986,1272,572,539,627,744,239
768,446,387,672,482,481,631,184,425,438,960,1285,555,543,629,596,240
805,442,391,634,520,481,629,189,394,440,857,1404,527,636,629,347,240
875,441,384,642,518,483,628,227,393,440,718,1400,655,636,629,232,224
958,464,357,645,542,476,575,252,385,471,694,1400,719,636,629,229,236
950,486,346,629,569,476,575,252,329,469,693,1378,645,636,608,229,234
1056,515,345,606,593,465,586,252,329,422,693,1338,598,584,607,228,218
1104,522,311,640,593,455,596,252,415,409,693,1355,597,533,650,228,218
977,674,247,704,593,438,613,252,417,409,693,1322,493,473,895,177,218
977,674,230,721,499,493,652,263,453,409,693,1341,503,413,809,158,229
976,675,230,595,607,338,825,265,517,410,693,1375,525,396,800,155,229
964,687,230,502,619,402,842,318,526,282,668,1426,525,402,892,174,229
960,691,230,386,666,471,842,340,512,282,654,1424,525,462,856,174,222
889,762,224,336,671,522,842,342,529,282,654,1374,507,433,729,174,222
829,822,224,314,668,547,842,336,527,282,654,1441,506,419,782,174,222
818,832,225,314,668,547,842,336,523,285,654,1452,504,381,813,174,222
815,817,246,278,699,552,842,323,523,282,654,1384,565,395,813,174,228
823,805,258,278,699,552,842,302,436,282,653,1331,595,511,815,174,240
846,793,270,278,689,561,843,302,435,282,653,1309,651,555,813,174,240
856,793,229,319,689,561,842,302,435,282,585,1336,673,774,815,159,240
915,783,239,319,687,563,511,342,435,282,646,1330,710,787,926,158,240
922,783,239,319,677,573,398,383,435,282,706,1334,780,787,927,158,240
922,782,240,319,677,573,368,383,443,282,708,1263,781,787,975,158,240
922,591,431,307,689,573,368,406,472,282,530,1263,778,767,1042,153,240
922,573,444,247,680,647,367,470,515,282,433,1267,781,762,1042,110,240
877,591,339,374,667,665,317,476,446,282,330,1161,781,784,1119,102,225
906,516,427,374,660,680,275,476,412,283,271,952,782,789,1123,102,153
906,510,433,354,680,675,280,460,514,284,267,920,782,773,1123,102,112
906,500,417,380,680,632,323,463,510,284,267,868,860,773,1103,83,106
736,634,446,387,680,572,383,455,510,284,267,1064,785,773,1105,83,110
653,717,446,387,672,539,424,564,510,202,267,1087,707,757,1114,98,110
682,721,446,387,672,486,477,568,510,287,295,1117,698,731,1245,195,73
635,768,446,387,672,482,481,545,542,299,328,1123,675,712,1385,242,72
598,805,442,391,634,520,481,551,563,326,393,1057,675,619,1423,220,80
528,875,441,384,642,518,483,500,569,370,405,1209,561,619,1423,229,61
520,958,464,357,645,542,476,475,569,518,430,1209,497,619,1423,229,49
517,950,486,346,629,569,476,475,571,525,465,1209,472,685,1450,229,53
382,1056,515,345,606,593,465,475,571,432,466,1288,468,685,1519,229,160
327,1104,522,311,640,593,455,545,523,403,498,1271,518,678,1475,229,183
302,977,674,247,704,593,438,568,538,402,750,1253,482,661,1211,227,183
317,977,674,230,721,499,493,559,503,402,809,1157,506,663,1097,427,172
317,976,675,230,595,607,338,565,502,401,818,1123,542,668,1069,517,177
317,964,687,230,502,619,402,607,694,401,818,1058,546,693,937,516,207
427,960,691,230,386,666,471,590,892,405,818,1021,551,626,841,517,207
432,889,762,224,336,671,522,584,877,413,818,1013,551,626,839,587,207
432,829,822,224,314,668,547,584,877,413,818,929,551,675,786,617,207
432,818,832,225,314,668,547,584,984,410,820,871,554,681,755,638,207
557,815,817,246,278,699,552,584,984,452,820,870,579,673,750,653,201
571,823,805,258,278,699,552,677,992,464,833,870,550,595,747,653,189
548,846,793,270,278,689,561,766,992,500,869,881,494,551,747,653,189
538,856,793,229,319,689,561,766,992,500,841,787,450,332,744,678,190
876,915,783,239,319,687,563,726,992,506,780,779,438,319,631,710,212
869,922,783,239,319,677,573,685,992,574,720,769,389,327,630,710,329
908,922,782,240,319,677,573,685,984,821,827,785,409,368,582,849,430
959,922,591,431,307,689,573,662,955,1091,771,760,473,369,515,851,495
1144,922,573,444,247,680,647,723,873,1091,711,750,470,367,515,927,495
1191,877,591,339,374,667,665,721,870,1121,711,748,591,343,437,1054,498
1160,906,516,427,374,660,680,722,870,1158,727,745,594,311,430,1054,528
1173,906,510,433,354,680,675,737,721,1157,739,745,594,286,430,1054,531
1197,906,500,417,380,680,632,734,721,1247,745,745,523,260,430,1054,523
1247,736,634,446,387,680,572,733,721,1247,756,474,557,260,448,1054,568
1385,653,717,446,387,672,539,624,721,1244,767,415,590,260,454,1027,641
1384,682,721,446,387,672,486,563,721,1123,739,385,591,259,369,930,713
1384,635,768,446,387,672,482,563,689,1111,711,366,607,293,460,883,713
1487,598,805,442,391,634,520,796,668,1179,646,312,624,293,430,872,705
1512,528,875,441,384,642,518,796,675,1135,634,157,756,316,431,861,705
1428,520,958,464,357,645,542,796,675,956,609,157,756,316,553,861,705
1468,517,950,486,346,629,569,796,673,949,574,159,756,250,526,861,840
1468,382,1056,515,345,606,593,796,707,984,573,90,756,285,513,861,749
1468,327,1104,522,311,640,593,772,669,1005,559,117,769,396,513,861,726
1470,302,977,674,247,704,593,749,710,1022,382,117,809,443,513,860,726
1456,317,977,674,230,721,499,740,709,1046,334,117,997,487,512,657,726
1456,317,976,675,230,595,607,758,640,1046,461,117,940,488,512,557,721
1456,317,964,687,230,502,619,660,433,1046,461,208,936,517,620,731,691
1346,427,960,691,230,386,666,649,224,1131,465,222,931,540,620,866,691
1341,432,889,762,224,336,671,649,222,1123,488,222,938,540,628,796,691
1341,432,829,822,224,314,668,649,295,1161,504,356,947,491,628,766,691
1341,432,818,832,225,314,668,649,208,1161,517,364,944,485,644,885,691
1213,557,815,817,246,278,699,649,299,1120,523,364,858,492,676,870,691
1191,571,823,805,258,278,699,556,291,1108,510,364,857,822,680,1077,691
1288,548,846,793,270,278,689,468,291,1240,474,353,857,822,732,1116,691
1338,538,856,793,229,319,689,468,291,1240,476,666,857,822,756,1090,690
941,876,915,783,239,319,687,468,291,1234,476,678,832,822,771,1092,668
941,869,922,783,239,319,677,468,291,1230,476,748,811,814,775,1310,551
1017,908,922,782,240,319,677,468,305,983,367,733,789,773,776,1171,450
1114,959,922,591,431,307,689,468,326,713,367,733,725,770,776,1178,385
929,1144,922,573,444,247,680,343,326,713,367,733,725,779,776,1144,480
898,1191,877,591,339,374,667,339,327,683,367,733,607,813,776,1098,484
879,1160,906,516,427,374,660,338,423,645,351,733,603,812,776,1180,464
866,1173,906,510,433,354,680,323,423,645,339,733,609,812,776,1410,461
842,1197,906,500,417,380,680,323,444,555,333,733,610,812,776,1516,466
933,1247,736,634,446,387,680,325,444,555,322,733,618,812,764,1606,417
803,1385,653,717,446,387,672,326,444,555,311,757,585,930,749,1747,344
782,1384,682,721,446,387,672,326,444,555,311,791,584,1024,716,1843,272
782,1384,635,768,446,387,672,376,444,555,330,791,568,991,485,1843,273
681,1487,598,805,442,391,634,334,444,458,330,791,551,1016,477,1871,286
656,1512,528,875,441,384,642,392,431,484,330,793,405,1053,514,1911,295
642,1428,520,958,464,357,645,456,484,523,340,793,486,1053,410,1921,316
591,1468,517,950,486,346,629,505,587,549,408,791,717,1053,410,1989,251
591,1468,382,1056,515,345,606,505,568,537,492,781,717,1018,354,2059,250
591,1468,327,1104,522,311,640,493,606,611,474,754,896,907,354,2314,295
608,1470,302,977,674,247,704,507,548,594,415,772,883,858,354,2317,366
624,1456,317,977,674,230,721,759,548,570,406,929,667,1022,354,2322,383
625,1456,317,976,675,230,595,772,623,570,270,937,887,1062,410,2331,395
629,1456,317,964,687,230,502,848,671,570,270,846,920,1003,301,2139,395
629,1346,427,960,691,230,386,848,695,481,274,832,1176,980,314,2003,419
629,1341,432,889,762,224,336,848,705,481,465,854,1208,980,339,2003,426
629,1341,432,829,822,224,314,848,634,443,449,721,1211,980,356,2003,426
629,1341,432,818,832,225,314,848,614,443,436,759,1219,1190,360,1868,426
629,1213,557,815,817,246,278,848,523,442,524,1039,1328,1177,424,1868,426
629,1191,571,823,805,258,278,848,523,442,538,1156,1364,809,421,1766,426
532,1288,548,846,793,270,278,847,523,274,541,1165,1402,824,391,1727,426
482,1338,538,856,793,229,319,847,523,281,539,848,1415,824,454,1727,426
482,941,876,915,783,239,319,847,525,281,561,834,1415,824,543,1821,426
482,941,869,922,783,239,319,957,661,217,561,820,1415,824,540,1628,426
367,1017,908,922,782,240,319,957,715,217,561,890,1415,824,539,1679,426
219,1114,959,922,591,431,307,1024,724,232,561,893,1415,824,539,1701,426
219,929,1144,922,573,444,247,1024,776,392,561,893,1415,826,539,1659,331
223,898,1191,877,591,339,374,1024,775,392,561,893,1412,792,539,1578,324
223,879,1160,906,516,427,374,1027,679,392,564,909,1562,792,552,1496,363
223,866,1173,906,510,433,354,1076,679,396,569,909,1588,792,552,1283,364
