Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6
118,1748,124,613,427,250,492,1158,912
174,1748,122,652,456,244,492,1143,1092
193,1748,122,825,456,285,492,1203,1102
381,1736,134,842,456,369,492,1372,1062
630,1682,188,842,456,399,493,1419,947
609,1670,222,842,456,399,474,1309,946
613,1391,501,842,509,410,502,1241,993
677,1391,482,842,512,481,515,1272,993
682,1391,465,842,518,627,515,1114,805
682,1390,465,842,537,517,515,1096,979
683,1390,461,843,551,517,515,1069,1110
683,1376,475,842,551,518,514,1039,1216
683,1320,531,511,420,491,319,1034,1221
683,1239,612,398,414,491,337,1027,1221
683,1234,617,368,425,491,340,1025,1211
683,1138,713,368,456,491,340,901,1211
683,1020,831,367,478,491,370,904,1259
680,1022,832,317,552,491,496,821,1263
680,1020,834,275,624,491,550,784,1079
655,867,1012,280,645,491,581,819,1160
715,878,1021,323,618,491,581,819,1174
747,860,1044,383,757,491,596,541,1147
752,842,1062,424,746,491,703,553,1108
784,772,1132,477,743,491,950,552,1108
934,771,1113,481,724,459,871,598,1137
995,771,1113,481,643,453,905,616,1137
990,527,1363,483,638,453,1257,616,1147
977,434,1469,476,598,453,1400,616,1147
969,358,1553,476,715,453,1421,529,1133
976,358,1539,465,713,473,1411,530,1138
977,184,1666,455,753,471,1412,530,941
961,118,1748,438,753,517,1413,495,1098
928,174,1748,493,695,703,1416,519,952
927,193,1748,338,713,671,1465,444,1081
739,381,1736,402,766,647,1651,275,1073
490,630,1682,471,839,640,1702,228,1128
489,609,1670,522,848,640,1720,227,1134
485,613,1391,547,795,629,1666,225,1205
421,677,1391,547,834,558,1716,247,1292
416,682,1391,552,828,403,1739,356,1391
423,682,1390,552,810,366,1857,502,1271
422,683,1390,561,842,366,1886,505,1161
422,683,1376,561,852,365,2073,505,1055
485,683,1320,563,852,363,2089,504,1050
485,683,1239,573,854,381,2072,527,1195
565,683,1234,573,843,381,2111,527,1247
580,683,1138,573,811,418,2138,520,1252
580,683,1020,647,789,418,2154,515,1231
