Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3
1633,415,618,688,731,512,1049,509
1622,414,613,705,731,543,1091,488
1600,221,720,813,731,590,1168,457
1671,226,696,838,731,633,1240,410
1671,226,636,898,715,611,1339,403
1691,200,663,899,702,611,1360,403
1641,246,667,899,664,628,1391,403
1668,259,667,899,660,665,1391,403
1615,312,636,933,645,680,1382,403
1602,291,657,946,635,675,1315,403
1451,420,677,948,575,635,1184,403
1158,695,691,952,567,589,1135,403
1037,816,691,952,567,582,1141,350
1006,847,691,952,567,588,1142,350
1001,850,693,952,567,592,1169,350
1001,850,693,952,492,590,1242,350
982,864,698,873,567,607,1123,295
865,980,700,873,495,582,1160,315
705,1141,700,822,546,490,1229,389
705,1136,705,822,488,487,1139,321
719,1132,696,834,489,487,1021,319
727,1132,696,791,532,486,1021,346
719,1139,614,829,579,486,1019,244
691,1158,614,796,621,486,962,248
510,1317,470,936,647,530,867,248
341,1478,469,944,648,526,823,250
260,1559,469,929,630,473,815,253
199,1617,481,867,368,536,814,253
284,1620,481,854,380,536,785,247
293,1625,481,823,411,536,785,211
286,1632,413,748,554,536,772,209
279,1633,415,618,688,536,763,209
295,1622,414,613,705,505,622,209
295,1600,221,720,813,458,540,179
219,1671,226,696,838,438,468,185
219,1671,226,636,898,468,369,228
220,1691,200,663,899,519,348,228
248,1641,246,667,899,549,320,228
301,1668,259,667,899,514,320,228
302,1615,312,636,933,466,320,228
389,1602,291,657,946,466,320,246
389,1451,420,677,948,467,320,259
411,1158,695,691,952,462,320,380
433,1037,816,691,952,456,313,538
443,1006,847,691,952,437,308,627
511,1001,850,693,952,434,281,636
582,1001,850,693,952,439,208,636
584,982,864,698,873,426,204,643
700,865,980,700,873,457,114,790
710,705,1141,700,822,511,18,709
710,705,1136,705,822,581,11,717
696,719,1132,696,834,640,20,731
688,727,1132,696,791,720,44,692
686,719,1139,614,829,733,44,703
726,691,1158,614,796,743,40,847
754,510,1317,470,936,696,38,1129
754,341,1478,469,944,611,38,1244
754,260,1559,469,929,565,38,1244
844,199,1617,481,867,494,59,1244
807,284,1620,481,854,546,60,1245
794,293,1625,481,823,604,61,1245
934,286,1632,413,748,683,80,1299
937,279,1633,415,618,744,281,1321
921,295,1622,414,613,761,322,1334
921,295,1600,221,720,761,364,1334
920,219,1671,226,696,745,496,1328
938,219,1671,226,636,744,625,1268
916,220,1691,200,663,707,625,1268
890,248,1641,246,667,694,620,1268
797,301,1668,259,667,692,625,1268
793,302,1615,312,636,691,626,1268
706,389,1602,291,657,691,628,1250
728,389,1451,420,677,690,629,1253
706,411,1158,695,691,690,631,1133
684,433,1037,816,691,690,631,975
675,443,1006,847,691,690,631,886
610,511,1001,850,693,710,631,882
539,582,1001,850,693,710,631,925
537,584,982,864,698,708,632,926
420,700,865,980,700,705,635,753
409,710,705,1141,700,692,635,748
410,710,705,1136,705,648,655,759
485,696,719,1132,696,589,646,745
563,688,727,1132,696,525,622,757
572,686,719,1139,614,539,627,744
555,726,691,1158,614,543,629,596
527,754,510,1317,470,636,629,347
655,754,341,1478,469,636,629,232
719,754,260,1559,469,636,629,229
645,844,199,1617,481,636,608,229
598,807,284,1620,481,584,607,228
597,794,293,1625,481,533,650,228
493,934,286,1632,413,473,895,177
503,937,279,1633,415,413,809,158
525,921,295,1622,414,396,800,155
525,921,295,1600,221,402,892,174
525,920,219,1671,226,462,856,174
507,938,219,1671,226,433,729,174
506,916,220,1691,200,419,782,174
504,890,248,1641,246,381,813,174
565,797,301,1668,259,395,813,174
595,793,302,1615,312,511,815,174
651,706,389,1602,291,555,813,174
673,728,389,1451,420,774,815,159
710,706,411,1158,695,787,926,158
780,684,433,1037,816,787,927,158
781,675,443,1006,847,787,975,158
778,610,511,1001,850,767,1042,153
781,539,582,1001,850,762,1042,110
781,537,584,982,864,784,1119,102
782,420,700,865,980,789,1123,102
782,409,710,705,1141,773,1123,102
860,410,710,705,1136,773,1103,83
785,485,696,719,1132,773,1105,83
707,563,688,727,1132,757,1114,98
698,572,686,719,1139,731,1245,195
675,555,726,691,1158,712,1385,242
675,527,754,510,1317,619,1423,220
561,655,754,341,1478,619,1423,229
497,719,754,260,1559,619,1423,229
472,645,844,199,1617,685,1450,229
468,598,807,284,1620,685,1519,229
518,597,794,293,1625,678,1475,229
482,493,934,286,1632,661,1211,227
506,503,937,279,1633,663,1097,427
542,525,921,295,1622,668,1069,517
546,525,921,295,1600,693,937,516
551,525,920,219,1671,626,841,517
551,507,938,219,1671,626,839,587
551,506,916,220,1691,675,786,617
554,504,890,248,1641,681,755,638
579,565,797,301,1668,673,750,653
550,595,793,302,1615,595,747,653
494,651,706,389,1602,551,747,653
450,673,728,389,1451,332,744,678
438,710,706,411,1158,319,631,710
389,780,684,433,1037,327,630,710
409,781,675,443,1006,368,582,849
473,778,610,511,1001,369,515,851
470,781,539,582,1001,367,515,927
591,781,537,584,982,343,437,1054
594,782,420,700,865,311,430,1054
594,782,409,710,705,286,430,1054
523,860,410,710,705,260,430,1054
557,785,485,696,719,260,448,1054
590,707,563,688,727,260,454,1027
591,698,572,686,719,259,369,930
607,675,555,726,691,293,460,883
624,675,527,754,510,293,430,872
756,561,655,754,341,316,431,861
756,497,719,754,260,316,553,861
