Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3
377,1452,690,896,763,903,928,351
397,1449,693,896,699,708,878,357
389,1434,562,1043,706,653,770,441
395,1355,504,1121,767,597,708,604
441,1329,511,947,962,380,705,607
476,1329,478,977,951,341,705,644
476,1316,491,942,986,323,476,644
482,1316,478,927,1014,308,428,641
472,1307,497,907,1034,303,428,641
471,1292,513,901,1040,303,309,628
476,1300,424,990,1040,303,311,621
462,1315,424,964,1066,292,309,622
462,1314,425,846,1184,290,347,622
477,1166,573,799,1170,309,316,601
423,1101,693,555,1373,341,321,620
423,1016,778,526,1402,343,351,627
423,858,936,518,1397,344,359,562
423,857,937,515,1380,357,359,517
421,858,925,528,1336,357,339,556
387,828,989,528,1336,283,339,556
373,799,1032,528,1336,187,337,556
364,678,1146,544,1336,178,337,570
367,661,1162,545,1336,181,337,574
378,661,1162,545,1316,186,337,708
432,534,1289,545,1275,192,367,708
432,471,1352,545,1275,183,342,749
421,248,1460,668,1248,183,391,778
417,218,1491,670,1180,183,399,804
408,313,1493,670,931,183,388,982
343,338,1533,658,882,154,358,935
335,346,1533,608,896,155,358,931
303,377,1452,690,896,174,358,910
283,397,1449,693,896,202,358,901
283,389,1434,562,1043,202,355,816
275,395,1355,504,1121,221,378,692
243,441,1329,511,947,221,378,689
208,476,1329,478,977,221,378,652
208,476,1316,491,942,224,378,652
219,482,1316,478,927,226,378,652
299,472,1307,497,907,226,370,652
304,471,1292,513,901,226,370,652
298,476,1300,424,990,227,388,652
297,462,1315,424,964,227,375,651
299,462,1314,425,846,224,312,651
366,477,1166,573,799,221,297,651
404,423,1101,693,555,272,296,632
430,423,1016,778,526,271,215,625
559,423,858,936,518,270,219,628
559,423,857,937,515,253,219,782
559,421,858,925,528,208,219,820
580,387,828,989,528,208,219,824
629,373,799,1032,528,208,211,824
629,364,678,1146,544,208,211,804
626,367,661,1162,545,205,211,797
615,378,661,1162,545,200,211,790
561,432,534,1289,545,194,181,807
561,432,471,1352,545,194,181,784
561,421,248,1460,668,194,102,816
561,417,218,1491,670,194,94,821
473,408,313,1493,670,194,124,645
473,343,338,1533,658,192,154,628
473,335,346,1533,608,198,197,688
473,303,377,1452,690,161,259,697
473,283,397,1449,693,133,330,736
473,283,389,1434,562,133,330,739
473,275,395,1355,504,119,297,700
459,243,441,1329,511,119,297,700
539,208,476,1329,478,174,297,725
585,208,476,1316,491,218,297,725
639,219,482,1316,478,238,297,725
657,299,472,1307,497,317,297,725
654,304,471,1292,513,317,317,731
647,298,476,1300,424,316,297,735
647,297,462,1315,424,316,292,735
646,299,462,1314,425,316,292,735
564,366,477,1166,573,312,287,735
525,404,423,1101,693,252,295,735
499,430,423,1016,778,318,295,735
370,559,423,858,936,358,283,732
370,559,423,857,937,402,283,552
370,559,421,858,925,423,283,475
349,580,387,828,989,517,283,471
300,629,373,799,1032,612,288,471
300,629,364,678,1146,690,314,471
500,626,367,661,1162,846,314,500
523,615,378,661,1162,915,314,373
527,561,432,534,1289,917,314,311
527,561,432,471,1352,917,352,289
594,561,421,248,1460,961,360,228
594,561,417,218,1491,961,390,198
594,473,408,313,1493,1193,360,190
596,473,343,338,1533,1193,330,275
596,473,335,346,1533,1186,287,276
596,473,303,377,1452,1264,225,267
606,473,283,397,1449,1330,154,228
944,473,283,389,1434,1330,154,486
977,473,275,395,1355,1327,144,507
980,459,243,441,1329,1358,144,507
900,539,208,476,1329,1303,186,533
871,585,208,476,1316,1297,186,533
841,639,219,482,1316,1275,186,632
765,657,299,472,1307,1196,186,632
805,654,304,471,1292,1196,179,626
879,647,298,476,1300,1238,187,627
932,647,297,462,1315,1262,187,627
1012,646,299,462,1314,1265,187,627
1012,564,366,477,1166,1260,218,693
1400,525,404,423,1101,1238,255,693
1590,499,430,423,1016,1182,364,693
1646,370,559,423,858,1258,425,693
1647,370,559,423,857,1214,425,693
1745,370,559,421,858,1193,433,693
1764,349,580,387,828,1099,433,693
1767,300,629,373,799,1004,428,693
1803,300,629,364,678,926,402,765
1603,500,626,367,661,770,402,866
1587,523,615,378,661,701,402,871
1658,527,561,432,534,700,402,893
1669,527,561,432,471,700,364,972
1649,594,561,421,248,701,356,1100
1649,594,561,417,218,704,435,1106
1649,594,473,408,313,472,435,1096
1647,596,473,343,338,754,435,1008
1647,596,473,335,346,772,488,947
1647,596,473,303,377,695,488,947
1637,606,473,283,397,708,528,947
1299,944,473,283,389,750,630,940
1296,977,473,275,395,748,633,919
1326,980,459,243,441,717,648,1062
1326,900,539,208,476,717,611,1073
1309,871,585,208,476,819,674,1164
1269,841,639,219,482,822,674,1100
1414,765,657,299,472,889,711,1129
1372,805,654,304,471,889,698,1129
1298,879,647,298,476,857,690,1151
1245,932,647,297,462,963,726,1151
1164,1012,646,299,462,960,741,1151
1164,1012,564,366,477,954,760,1151
902,1400,525,404,423,970,754,1151
1349,1590,499,430,423,1165,864,1158
1303,1646,370,559,423,1083,811,1160
1305,1647,370,559,423,1084,1097,1160
1209,1745,370,559,421,1084,1101,1160
1194,1764,349,580,387,1152,1102,1160
1191,1767,300,629,373,1152,1104,1160
1155,1803,300,629,364,1152,1104,1088
1158,1603,500,626,367,1152,1105,958
1170,1587,523,615,378,1154,1105,953
1189,1658,527,561,432,1206,1164,931
1178,1669,527,561,432,1207,1164,852
1131,1649,594,561,421,1162,1164,724
1145,1649,594,561,417,1159,1055,716
1312,1649,594,473,408,1159,1055,716
1312,1647,596,473,343,877,1055,716
1312,1647,596,473,335,980,1002,716
1312,1647,596,473,303,1038,1002,716
1312,1637,606,473,283,961,962,716
1312,1299,944,473,283,1062,860,462
1282,1296,977,473,275,1071,857,462
1247,1326,980,459,243,1074,859,319
1247,1326,900,539,208,1159,854,340
1247,1309,871,585,208,1215,812,378
1246,1269,841,639,219,1508,833,344
1079,1414,765,657,299,1592,811,315
1079,1372,805,654,304,1614,811,319
1079,1298,879,647,298,1609,937,299
1079,1245,932,647,297,1480,1032,304
1079,1164,1012,646,299,1480,1032,304
1079,1164,1012,564,366,1479,989,238
953,902,1400,525,404,1462,946,238
316,1349,1590,499,430,1281,729,231
607,1303,1646,370,559,1247,735,267
604,1305,1647,370,559,1246,451,272
646,1209,1745,370,559,1246,458,276
650,1194,1764,349,580,1178,457,276
702,1191,1767,300,629,1178,467,276
702,1155,1803,300,629,1360,552,317
740,1158,1603,500,626,1392,590,317
724,1170,1587,523,615,1390,590,447
645,1189,1658,527,561,1375,531,468
646,1178,1669,527,561,1374,536,468
646,1131,1649,594,561,1398,536,471
632,1145,1649,594,561,1399,536,471
509,1312,1649,594,473,1399,542,494
509,1312,1647,596,473,1402,598,494
509,1312,1647,596,473,1392,729,536
545,1312,1647,596,473,1339,829,597
633,1312,1637,606,473,1340,832,597
633,1312,1299,944,473,1197,971,597
633,1282,1296,977,473,1194,1021,605
633,1247,1326,980,459,1191,1004,605
633,1247,1326,900,539,1106,1004,522
675,1247,1309,871,585,906,997,433
675,1246,1269,841,639,610,977,777
675,1079,1414,765,657,459,980,777
675,1079,1372,805,654,443,980,885
675,1079,1298,879,647,438,854,1024
675,1079,1245,932,647,437,725,1110
701,1079,1164,1012,646,437,710,1225
888,1079,1164,1012,564,437,705,1237
888,953,902,1400,525,445,700,1237
888,316,1349,1590,499,551,728,1237
587,607,1303,1646,370,551,714,1199
587,604,1305,1647,370,604,712,1196
574,646,1209,1745,370,605,718,1302
573,650,1194,1764,349,608,753,1326
523,702,1191,1767,300,608,805,1326
523,702,1155,1803,300,426,861,1474
482,740,1158,1603,500,394,822,1829
479,724,1170,1587,523,395,822,1722
464,645,1189,1658,527,357,822,1777
465,646,1178,1669,527,421,817,1787
465,646,1131,1649,594,397,817,1784
465,632,1145,1649,594,396,817,1784
421,509,1312,1649,594,396,811,1761
421,509,1312,1647,596,407,770,1761
421,509,1312,1647,596,296,639,1719
385,545,1312,1647,596,290,540,1658
345,633,1312,1637,606,287,579,1696
612,633,1312,1299,944,287,440,1877
722,633,1282,1296,977,281,401,1921
731,633,1247,1326,980,281,402,1922
908,633,1247,1326,900,281,656,1922
868,675,1247,1309,871,342,642,1882
873,675,1246,1269,841,383,651,1565
896,675,1079,1414,765,383,633,1565
905,675,1079,1372,805,390,633,1453
962,675,1079,1298,879,410,633,1379
1078,675,1079,1245,932,454,676,1376
1090,701,1079,1164,1012,454,734,1261
912,888,1079,1164,1012,454,753,1249
920,888,953,902,1400,446,753,1249
920,888,316,1349,1590,315,723,1249
920,587,607,1303,1646,335,723,1249
920,587,604,1305,1647,323,723,1247
889,574,646,1209,1745,322,698,1206
882,573,650,1194,1764,349,663,1386
891,523,702,1191,1767,418,599,1387
891,523,702,1155,1803,667,458,1212
891,482,740,1158,1603,728,458,858
891,479,724,1170,1587,763,458,839
891,464,645,1189,1658,763,458,763
889,465,646,1178,1669,699,458,812
889,465,646,1131,1649,706,458,825
889,465,632,1145,1649,767,458,959
985,421,509,1312,1649,962,458,959
1082,421,509,1312,1647,951,443,959
1090,421,509,1312,1647,986,501,988
1090,385,545,1312,1647,1014,505,989
1042,345,633,1312,1637,1034,478,951
780,612,633,1312,1299,1040,500,770
716,722,633,1282,1296,1040,490,718
710,731,633,1247,1326,1066,490,717
533,908,633,1247,1326,1184,237,717
531,868,675,1247,1309,1170,239,717
839,873,675,1246,1269,1373,229,689
839,896,675,1079,1414,1402,229,689
863,905,675,1079,1372,1397,229,720
865,962,675,1079,1298,1380,229,722
749,1078,675,1079,1245,1336,245,634
715,1090,701,1079,1164,1336,270,634
713,912,888,1079,1164,1336,251,727
709,920,888,953,902,1336,251,762
890,920,888,316,1349,1336,251,762
1136,920,587,607,1303,1316,251,762
1144,920,587,604,1305,1275,255,799
1214,889,574,646,1209,1275,279,730
1352,882,573,650,1194,1248,279,526
1470,891,523,702,1191,1180,279,525
1507,891,523,702,1155,931,279,512
1507,891,482,740,1158,882,283,511
1507,891,479,724,1170,896,295,507
1507,891,464,645,1189,896,295,523
1507,889,465,646,1178,896,295,531
1659,889,465,646,1131,1043,299,518
1758,889,465,632,1145,1121,310,385
1805,985,421,509,1312,947,336,406
1768,1082,421,509,1312,977,369,423
1812,1090,421,509,1312,942,311,394
1828,1090,385,545,1312,927,306,519
2000,1042,345,633,1312,907,293,627
2010,780,612,633,1312,901,271,708
2055,716,722,633,1282,990,270,804
2052,710,731,633,1247,964,269,858
2060,533,908,633,1247,846,268,1013
2065,531,868,675,1247,799,266,1046
1789,839,873,675,1246,555,266,1134
1767,839,896,675,1079,526,266,1138
1734,863,905,675,1079,518,266,1108
1675,865,962,675,1079,515,266,1034
1675,749,1078,675,1079,528,207,1034
1683,715,1090,701,1079,528,126,1035
1687,713,912,888,1079,528,124,944
1719,709,920,888,953,544,124,909
1538,890,920,888,316,545,124,909
1292,1136,920,587,607,545,124,924
1286,1144,920,587,604,545,120,888
1218,1214,889,574,646,545,96,888
1080,1352,882,573,650,668,97,890
951,1470,891,523,702,670,97,891
914,1507,891,523,702,670,97,893
928,1507,891,482,740,658,93,893
928,1507,891,479,724,608,87,930
997,1507,891,464,645,690,95,915
997,1507,889,465,646,693,116,848
845,1659,889,465,646,562,167,850
746,1758,889,465,632,504,579,849
617,1805,985,421,509,511,589,832
557,1768,1082,421,509,478,564,820
511,1812,1090,421,509,491,698,821
497,1828,1090,385,545,478,708,722
325,2000,1042,345,633,497,784,754
310,2010,780,612,633,513,784,702
219,2055,716,722,633,424,788,612
219,2052,710,731,633,424,860,559
211,2060,533,908,633,425,1055,410
234,2065,531,868,675,573,1208,388
197,1789,839,873,675,693,1302,306
196,1767,839,896,675,778,1608,302
196,1734,863,905,675,936,1659,332
196,1675,865,962,675,937,1671,347
279,1675,749,1078,675,925,1669,377
267,1683,715,1090,701,989,1690,480
256,1687,713,912,888,1032,1719,495
328,1719,709,920,888,1146,1737,577
328,1538,890,920,888,1162,1758,717
358,1292,1136,920,587,1162,1776,809
441,1286,1144,920,587,1289,1779,883
440,1218,1214,889,574,1352,1779,884
443,1080,1352,882,573,1460,1778,882
614,951,1470,891,523,1491,1783,883
626,914,1507,891,523,1493,1826,887
612,928,1507,891,482,1533,1841,889
613,928,1507,891,479,1533,1872,852
544,997,1507,891,464,1452,1883,851
624,997,1507,889,465,1449,2057,901
640,845,1659,889,465,1434,2057,1010
688,746,1758,889,465,1355,1690,1092
702,617,1805,985,421,1329,1871,1091
816,557,1768,1082,421,1329,1902,1086
821,511,1812,1090,421,1316,1787,1314
829,497,1828,1090,385,1316,1792,1335
906,325,2000,1042,345,1307,1719,1203
917,310,2010,780,612,1292,1719,1293
942,219,2055,716,722,1300,1715,1287
942,219,2052,710,731,1315,1654,1306
945,211,2060,533,908,1314,1464,1325
938,234,2065,531,868,1166,1311,1365
990,197,1789,839,873,1101,1217,1364
1012,196,1767,839,896,1016,911,1415
1013,196,1734,863,905,858,860,1384
1013,196,1675,865,962,857,852,1369
930,279,1675,749,1078,858,897,1359
987,267,1683,715,1090,828,948,1255
1003,256,1687,713,912,799,1015,1248
895,328,1719,709,920,678,1006,1166
