Accum_y-0,T-1,T-2,T-3,T-4,Accum_y-1,Accum_y-2,Accum_y-3
1207,700,917,194,183,1164,852,888
1162,701,961,194,183,1164,724,888
1159,704,961,194,183,1055,716,888
1159,472,1193,194,183,1055,716,888
877,754,1193,192,154,1055,716,888
980,772,1186,198,155,1002,716,888
1038,695,1264,161,174,1002,716,888
961,708,1330,133,202,962,716,898
1062,750,1330,133,202,860,462,892
1071,748,1327,119,221,857,462,896
1074,717,1358,119,221,859,319,933
1159,717,1303,174,221,854,340,888
1215,819,1297,218,224,812,378,694
1508,822,1275,238,226,833,344,655
1592,889,1196,317,226,811,315,750
1614,889,1196,317,226,811,319,750
1609,857,1238,316,227,937,299,750
1480,963,1262,316,227,1032,304,366
1480,960,1265,316,224,1032,304,471
1479,954,1260,312,221,989,238,490
1462,970,1238,252,272,946,238,508
1281,1165,1182,318,271,729,231,511
1247,1083,1258,358,270,735,267,498
1246,1084,1214,402,253,451,272,508
1246,1084,1193,423,208,458,276,705
1178,1152,1099,517,208,457,276,727
1178,1152,1004,612,208,467,276,727
1360,1152,926,690,208,552,317,711
1392,1152,770,846,205,590,317,749
1390,1154,701,915,200,590,447,749
1375,1206,700,917,194,531,468,754
1374,1207,700,917,194,536,468,747
1398,1162,701,961,194,536,471,747
1399,1159,704,961,194,536,471,747
1399,1159,472,1193,194,542,494,786
1402,877,754,1193,192,598,494,786
1392,980,772,1186,198,729,536,786
1339,1038,695,1264,161,829,597,786
1340,961,708,1330,133,832,597,776
1197,1062,750,1330,133,971,597,743
1194,1071,748,1327,119,1021,605,704
1191,1074,717,1358,119,1004,605,663
1106,1159,717,1303,174,1004,522,832
906,1215,819,1297,218,997,433,855
610,1508,822,1275,238,977,777,810
459,1592,889,1196,317,980,777,935
443,1614,889,1196,317,980,885,935
438,1609,857,1238,316,854,1024,935
437,1480,963,1262,316,725,1110,935
437,1480,960,1265,316,710,1225,830
437,1479,954,1260,312,705,1237,811
445,1462,970,1238,252,700,1237,793
551,1281,1165,1182,318,728,1237,790
551,1247,1083,1258,358,714,1199,793
604,1246,1084,1214,402,712,1196,735
605,1246,1084,1193,423,718,1302,538
608,1178,1152,1099,517,753,1326,516
608,1178,1152,1004,612,805,1326,533
426,1360,1152,926,690,861,1474,533
394,1392,1152,770,846,822,1829,495
395,1390,1154,701,915,822,1722,495
357,1375,1206,700,917,822,1777,490
421,1374,1207,700,917,817,1787,490
397,1398,1162,701,961,817,1784,490
396,1399,1159,704,961,817,1784,591
396,1399,1159,472,1193,811,1761,552
407,1402,877,754,1193,770,1761,626
296,1392,980,772,1186,639,1719,816
290,1339,1038,695,1264,540,1658,819
287,1340,961,708,1330,579,1696,819
287,1197,1062,750,1330,440,1877,800
281,1194,1071,748,1327,401,1921,800
281,1191,1074,717,1358,402,1922,800
281,1106,1159,717,1303,656,1922,631
342,906,1215,819,1297,642,1882,608
