Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
901,848,531,812,1787,468,852,1119,444,989,803
1010,850,518,825,1784,471,724,1106,436,657,832
1092,849,385,959,1784,471,716,1050,383,610,757
1091,832,406,959,1761,494,716,1049,290,580,714
1086,820,423,959,1761,494,716,974,169,667,707
1314,821,394,988,1719,536,716,919,99,588,777
1335,722,519,989,1658,597,716,886,98,546,709
1203,754,627,951,1696,597,716,802,98,497,704
1293,702,708,770,1877,597,462,798,85,389,706
1287,612,804,718,1921,605,462,706,84,367,735
1306,559,858,717,1922,605,319,692,84,411,731
1325,410,1013,717,1922,522,340,691,84,430,698
1365,388,1046,717,1882,433,378,709,84,430,704
1364,306,1134,689,1565,777,344,709,88,434,712
1415,302,1138,689,1565,777,315,709,88,448,712
1384,332,1108,720,1453,885,319,774,88,534,668
1369,347,1034,722,1379,1024,299,845,81,654,746
1359,377,1034,634,1376,1110,304,845,263,683,904
1255,480,1035,634,1261,1225,304,840,365,690,959
1248,495,944,727,1249,1237,238,833,356,694,1014
1166,577,909,762,1249,1237,238,815,354,748,1015
1026,717,909,762,1249,1237,231,645,381,803,1015
919,809,924,762,1249,1199,267,634,750,803,1015
844,883,888,799,1247,1196,272,602,750,815,1015
868,884,888,730,1206,1302,276,549,750,815,1015
898,882,890,526,1386,1326,276,549,750,793,1015
896,883,891,525,1387,1326,276,519,750,792,1036
900,887,893,512,1212,1474,317,535,750,790,1036
928,889,893,511,858,1829,317,468,750,722,1039
928,852,930,507,839,1722,447,417,750,746,914
928,851,915,523,763,1777,468,351,736,780,836
878,901,848,531,812,1787,468,357,736,991,738
770,1010,850,518,825,1784,471,441,764,994,709
708,1092,849,385,959,1784,471,604,771,978,697
705,1091,832,406,959,1761,494,607,778,1049,628
705,1086,820,423,959,1761,494,644,775,1086,622
476,1314,821,394,988,1719,536,644,775,1304,591
428,1335,722,519,989,1658,597,641,786,1243,601
428,1203,754,627,951,1696,597,641,786,1240,707
309,1293,702,708,770,1877,597,628,888,1200,706
311,1287,612,804,718,1921,605,621,1042,1199,704
309,1306,559,858,717,1922,605,622,1063,1145,801
347,1325,410,1013,717,1922,522,622,1083,1126,914
316,1365,388,1046,717,1882,433,601,1086,1126,930
321,1364,306,1134,689,1565,777,620,1077,1122,1066
351,1415,302,1138,689,1565,777,627,1080,1108,1066
359,1384,332,1108,720,1453,885,562,1148,1022,1066
359,1369,347,1034,722,1379,1024,517,1139,902,988
339,1359,377,1034,634,1376,1110,556,951,873,830
339,1255,480,1035,634,1261,1225,556,848,866,775
337,1248,495,944,727,1249,1237,556,837,884,720
337,1166,577,909,762,1249,1237,570,837,830,732
337,1026,717,909,762,1249,1237,574,835,775,732
337,919,809,924,762,1249,1199,708,485,775,777
367,844,883,888,799,1247,1196,708,485,763,880
342,868,884,888,730,1206,1302,749,485,776,999
391,898,882,890,526,1386,1326,778,485,835,1016
399,896,883,891,525,1387,1326,804,489,835,1042
388,900,887,893,512,1212,1474,982,489,914,1206
358,928,889,893,511,858,1829,935,508,1079,1294
358,928,852,930,507,839,1722,931,510,1071,1328
358,928,851,915,523,763,1777,910,510,1087,1412
358,878,901,848,531,812,1787,901,632,920,1412
355,770,1010,850,518,825,1784,816,672,917,1429
378,708,1092,849,385,959,1784,692,720,917,1499
378,705,1091,832,406,959,1761,689,713,846,1523
378,705,1086,820,423,959,1761,652,765,704,1519
378,476,1314,821,394,988,1719,652,780,463,1509
378,428,1335,722,519,989,1658,652,837,513,1499
370,428,1203,754,627,951,1696,652,838,715,1315
370,309,1293,702,708,770,1877,652,743,786,1308
388,311,1287,612,804,718,1921,652,592,812,1281
375,309,1306,559,858,717,1922,651,571,863,1146
312,347,1325,410,1013,717,1922,651,551,892,1031
297,316,1365,388,1046,717,1882,651,548,1008,1008
296,321,1364,306,1134,689,1565,632,548,1018,870
215,351,1415,302,1138,689,1565,625,545,1018,920
219,359,1384,332,1108,720,1453,628,477,1022,955
219,359,1369,347,1034,722,1379,782,466,1055,992
219,339,1359,377,1034,634,1376,820,466,1231,992
219,339,1255,480,1035,634,1261,824,462,1254,1207
211,337,1248,495,944,727,1249,824,534,1232,1211
211,337,1166,577,909,762,1249,804,547,1251,1219
211,337,1026,717,909,762,1249,797,571,1251,1224
211,337,919,809,924,762,1249,790,600,1256,1179
181,367,844,883,888,799,1247,807,622,1327,1076
181,342,868,884,888,730,1206,784,648,1358,976
102,391,898,882,890,526,1386,816,654,1299,972
94,399,896,883,891,525,1387,821,650,1306,954
124,388,900,887,893,512,1212,645,650,1233,831
154,358,928,889,893,511,858,628,631,1068,740
