Accum_y-0,T-1,T-2,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
721,499,493,441,521,1048,582,946,1633,512,1049,509,547
595,607,338,428,522,1354,569,939,1622,543,1091,488,525
502,619,402,433,522,1398,558,948,1600,590,1168,457,524
386,666,471,433,522,1532,514,1147,1671,633,1240,410,524
336,671,522,485,538,1532,472,1391,1671,611,1339,403,524
314,668,547,485,576,1532,472,1343,1691,611,1360,403,525
314,668,547,486,577,1532,472,1240,1641,628,1391,403,522
278,699,552,517,660,1532,472,1221,1668,665,1391,403,522
278,699,552,517,683,1532,472,1222,1615,680,1382,403,531
278,689,561,532,703,1532,472,1104,1602,675,1315,403,549
319,689,561,538,901,1532,472,1070,1451,635,1184,403,549
319,687,563,578,1050,1527,472,1056,1158,589,1135,403,550
319,677,573,578,1017,1528,472,1020,1037,582,1141,350,550
319,677,573,578,985,1521,472,898,1006,588,1142,350,550
307,689,573,578,1026,1493,507,881,1001,592,1169,350,550
247,680,647,522,1079,1489,517,868,1001,590,1242,350,550
374,667,665,515,1118,1489,517,871,982,607,1123,295,550
374,660,680,513,1127,1489,517,851,865,582,1160,315,546
354,680,675,506,1179,1517,563,863,705,490,1229,389,546
380,680,632,650,1086,1506,586,868,705,487,1139,321,428
387,680,572,650,1073,1500,573,954,719,487,1021,319,357
387,672,539,635,1073,1372,572,1036,727,486,1021,346,275
387,672,486,608,1050,1371,650,1124,719,486,1019,244,78
387,672,482,562,1072,1332,701,1188,691,486,962,248,52
391,634,520,545,1080,1318,650,1172,510,530,867,248,52
384,642,518,545,1102,1241,767,1200,341,526,823,250,73
357,645,542,545,1026,1213,777,1205,260,473,815,253,73
346,629,569,530,1016,1279,642,1197,199,536,814,253,73
345,606,593,528,1017,1151,487,1182,284,536,785,247,73
311,640,593,530,1017,1058,487,1182,293,536,785,211,68
247,704,593,525,1049,1020,490,1181,286,536,772,209,63
230,721,499,500,1091,782,491,1051,279,536,763,209,63
230,595,607,516,1091,550,491,1036,295,505,622,209,123
230,502,619,513,1091,564,491,1092,295,458,540,179,124
