Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1
1312,1647,596,473,343,338,1533,658,877
1312,1647,596,473,335,346,1533,608,980
1312,1647,596,473,303,377,1452,690,1038
1312,1637,606,473,283,397,1449,693,961
1312,1299,944,473,283,389,1434,562,1062
1282,1296,977,473,275,395,1355,504,1071
1247,1326,980,459,243,441,1329,511,1074
1247,1326,900,539,208,476,1329,478,1159
1247,1309,871,585,208,476,1316,491,1215
1246,1269,841,639,219,482,1316,478,1508
1079,1414,765,657,299,472,1307,497,1592
1079,1372,805,654,304,471,1292,513,1614
1079,1298,879,647,298,476,1300,424,1609
1079,1245,932,647,297,462,1315,424,1480
1079,1164,1012,646,299,462,1314,425,1480
1079,1164,1012,564,366,477,1166,573,1479
953,902,1400,525,404,423,1101,693,1462
316,1349,1590,499,430,423,1016,778,1281
607,1303,1646,370,559,423,858,936,1247
604,1305,1647,370,559,423,857,937,1246
646,1209,1745,370,559,421,858,925,1246
650,1194,1764,349,580,387,828,989,1178
702,1191,1767,300,629,373,799,1032,1178
702,1155,1803,300,629,364,678,1146,1360
740,1158,1603,500,626,367,661,1162,1392
724,1170,1587,523,615,378,661,1162,1390
645,1189,1658,527,561,432,534,1289,1375
646,1178,1669,527,561,432,471,1352,1374
646,1131,1649,594,561,421,248,1460,1398
632,1145,1649,594,561,417,218,1491,1399
509,1312,1649,594,473,408,313,1493,1399
509,1312,1647,596,473,343,338,1533,1402
509,1312,1647,596,473,335,346,1533,1392
545,1312,1647,596,473,303,377,1452,1339
633,1312,1637,606,473,283,397,1449,1340
633,1312,1299,944,473,283,389,1434,1197
633,1282,1296,977,473,275,395,1355,1194
633,1247,1326,980,459,243,441,1329,1191
633,1247,1326,900,539,208,476,1329,1106
675,1247,1309,871,585,208,476,1316,906
675,1246,1269,841,639,219,482,1316,610
675,1079,1414,765,657,299,472,1307,459
675,1079,1372,805,654,304,471,1292,443
675,1079,1298,879,647,298,476,1300,438
675,1079,1245,932,647,297,462,1315,437
