Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1
803,924,928,174,1748,122,681,1487,721
832,906,927,193,1748,122,656,1512,595
757,993,739,381,1736,134,642,1428,502
714,1105,490,630,1682,188,591,1468,386
707,1122,489,609,1670,222,591,1468,336
777,1128,485,613,1391,501,591,1468,314
709,1196,421,677,1391,482,608,1470,314
704,1279,416,682,1391,465,624,1456,278
706,1278,423,682,1390,465,625,1456,278
735,1278,422,683,1390,461,629,1456,278
731,1320,422,683,1376,475,629,1346,319
698,1292,485,683,1320,531,629,1341,319
704,1293,485,683,1239,612,629,1341,319
712,1213,565,683,1234,617,629,1341,319
712,1198,580,683,1138,713,629,1213,307
668,1242,580,683,1020,831,629,1191,247
746,1194,628,680,1022,832,532,1288,374
904,1186,636,680,1020,834,482,1338,374
959,1127,695,655,867,1012,482,941,354
1014,1045,697,715,878,1021,482,941,380
1015,947,758,747,860,1044,367,1017,387
1015,918,782,752,842,1062,219,1114,387
1015,892,776,784,772,1132,219,929,387
1015,633,885,934,771,1113,223,898,387
1015,606,851,995,771,1113,223,879,391
1015,529,927,990,527,1363,223,866,384
1036,527,929,977,434,1469,223,842,357
1036,527,929,969,358,1553,82,933,346
1039,502,947,976,358,1539,88,803,345
914,627,946,977,184,1666,124,782,311
836,705,947,961,118,1748,124,782,247
738,803,924,928,174,1748,122,681,230
709,832,906,927,193,1748,122,656,230
697,757,993,739,381,1736,134,642,230
628,714,1105,490,630,1682,188,591,230
622,707,1122,489,609,1670,222,591,224
591,777,1128,485,613,1391,501,591,224
601,709,1196,421,677,1391,482,608,225
707,704,1279,416,682,1391,465,624,246
706,706,1278,423,682,1390,465,625,258
704,735,1278,422,683,1390,461,629,270
801,731,1320,422,683,1376,475,629,229
914,698,1292,485,683,1320,531,629,239
930,704,1293,485,683,1239,612,629,239
1066,712,1213,565,683,1234,617,629,240
1066,712,1198,580,683,1138,713,629,431
1066,668,1242,580,683,1020,831,629,444
988,746,1194,628,680,1022,832,532,339
830,904,1186,636,680,1020,834,482,427
775,959,1127,695,655,867,1012,482,433
720,1014,1045,697,715,878,1021,482,417
732,1015,947,758,747,860,1044,367,446
732,1015,918,782,752,842,1062,219,446
777,1015,892,776,784,772,1132,219,446
880,1015,633,885,934,771,1113,223,446
999,1015,606,851,995,771,1113,223,442
1016,1015,529,927,990,527,1363,223,441
1042,1036,527,929,977,434,1469,223,464
1206,1036,527,929,969,358,1553,82,486
1294,1039,502,947,976,358,1539,88,515
1328,914,627,946,977,184,1666,124,522
1412,836,705,947,961,118,1748,124,674
1412,738,803,924,928,174,1748,122,674
1429,709,832,906,927,193,1748,122,675
1499,697,757,993,739,381,1736,134,687
1523,628,714,1105,490,630,1682,188,691
1519,622,707,1122,489,609,1670,222,762
1509,591,777,1128,485,613,1391,501,822
1499,601,709,1196,421,677,1391,482,832
1315,707,704,1279,416,682,1391,465,817
1308,706,706,1278,423,682,1390,465,805
1281,704,735,1278,422,683,1390,461,793
1146,801,731,1320,422,683,1376,475,793
1031,914,698,1292,485,683,1320,531,783
1008,930,704,1293,485,683,1239,612,783
870,1066,712,1213,565,683,1234,617,782
920,1066,712,1198,580,683,1138,713,591
955,1066,668,1242,580,683,1020,831,573
992,988,746,1194,628,680,1022,832,591
992,830,904,1186,636,680,1020,834,516
1207,775,959,1127,695,655,867,1012,510
1211,720,1014,1045,697,715,878,1021,500
1219,732,1015,947,758,747,860,1044,634
1224,732,1015,918,782,752,842,1062,717
1179,777,1015,892,776,784,772,1132,721
1076,880,1015,633,885,934,771,1113,768
976,999,1015,606,851,995,771,1113,805
972,1016,1015,529,927,990,527,1363,875
954,1042,1036,527,929,977,434,1469,958
831,1206,1036,527,929,969,358,1553,950
740,1294,1039,502,947,976,358,1539,1056
706,1328,914,627,946,977,184,1666,1104
621,1412,836,705,947,961,118,1748,977
621,1412,738,803,924,928,174,1748,977
604,1429,709,832,906,927,193,1748,976
534,1499,697,757,993,739,381,1736,964
510,1523,628,714,1105,490,630,1682,960
510,1519,622,707,1122,489,609,1670,889
475,1509,591,777,1128,485,613,1391,829
475,1499,601,709,1196,421,677,1391,818
475,1315,707,704,1279,416,682,1391,815
475,1308,706,706,1278,423,682,1390,823
475,1281,704,735,1278,422,683,1390,846
475,1146,801,731,1320,422,683,1376,856
475,1031,914,698,1292,485,683,1320,915
475,1008,930,704,1293,485,683,1239,922
469,870,1066,712,1213,565,683,1234,922
419,920,1066,712,1198,580,683,1138,922
384,955,1066,668,1242,580,683,1020,922
347,992,988,746,1194,628,680,1022,877
347,992,830,904,1186,636,680,1020,906
132,1207,775,959,1127,695,655,867,906
128,1211,720,1014,1045,697,715,878,906
107,1219,732,1015,947,758,747,860,736
102,1224,732,1015,918,782,752,842,653
102,1179,777,1015,892,776,784,772,682
102,1076,880,1015,633,885,934,771,635
83,976,999,1015,606,851,995,771,598
136,972,1016,1015,529,927,990,527,528
107,954,1042,1036,527,929,977,434,520
66,831,1206,1036,527,929,969,358,517
66,740,1294,1039,502,947,976,358,382
66,706,1328,914,627,946,977,184,327
90,621,1412,836,705,947,961,118,302
92,621,1412,738,803,924,928,174,317
92,604,1429,709,832,906,927,193,317
198,534,1499,697,757,993,739,381,317
279,510,1523,628,714,1105,490,630,427
370,510,1519,622,707,1122,489,609,432
370,475,1509,591,777,1128,485,613,432
398,475,1499,601,709,1196,421,677,432
413,475,1315,707,704,1279,416,682,557
433,475,1308,706,706,1278,423,682,571
444,475,1281,704,735,1278,422,683,548
479,475,1146,801,731,1320,422,683,538
638,475,1031,914,698,1292,485,683,876
724,475,1008,930,704,1293,485,683,869
724,469,870,1066,712,1213,565,683,908
762,419,920,1066,712,1198,580,683,959
902,384,955,1066,668,1242,580,683,1144
903,347,992,988,746,1194,628,680,1191
903,347,992,830,904,1186,636,680,1160
903,132,1207,775,959,1127,695,655,1173
903,128,1211,720,1014,1045,697,715,1197
951,107,1219,732,1015,947,758,747,1247
1112,102,1224,732,1015,918,782,752,1385
1159,102,1179,777,1015,892,776,784,1384
1177,102,1076,880,1015,633,885,934,1384
1183,83,976,999,1015,606,851,995,1487
1123,136,972,1016,1015,529,927,990,1512
1195,107,954,1042,1036,527,929,977,1428
1443,66,831,1206,1036,527,929,969,1468
1443,66,740,1294,1039,502,947,976,1468
1443,66,706,1328,914,627,946,977,1468
1419,90,621,1412,836,705,947,961,1470
1417,92,621,1412,738,803,924,928,1456
1417,92,604,1429,709,832,906,927,1456
1311,198,534,1499,697,757,993,739,1456
1261,279,510,1523,628,714,1105,490,1346
1204,370,510,1519,622,707,1122,489,1341
1278,370,475,1509,591,777,1128,485,1341
1250,398,475,1499,601,709,1196,421,1341
1235,413,475,1315,707,704,1279,416,1213
1220,433,475,1308,706,706,1278,423,1191
1237,444,475,1281,704,735,1278,422,1288
1290,479,475,1146,801,731,1320,422,1338
1175,638,475,1031,914,698,1292,485,941
1213,724,475,1008,930,704,1293,485,941
1267,724,469,870,1066,712,1213,565,1017
1230,762,419,920,1066,712,1198,580,1114
1122,902,384,955,1066,668,1242,580,929
1173,903,347,992,988,746,1194,628,898
1266,903,347,992,830,904,1186,636,879
1383,903,132,1207,775,959,1127,695,866
1425,903,128,1211,720,1014,1045,697,842
1448,951,107,1219,732,1015,947,758,933
1409,1112,102,1224,732,1015,918,782,803
1376,1159,102,1179,777,1015,892,776,782
1399,1177,102,1076,880,1015,633,885,782
1401,1183,83,976,999,1015,606,851,681
1398,1123,136,972,1016,1015,529,927,656
1374,1195,107,954,1042,1036,527,929,642
1320,1443,66,831,1206,1036,527,929,591
1495,1443,66,740,1294,1039,502,947,591
1529,1443,66,706,1328,914,627,946,591
1589,1419,90,621,1412,836,705,947,608
1618,1417,92,621,1412,738,803,924,624
1618,1417,92,604,1429,709,832,906,625
1713,1311,198,534,1499,697,757,993,629
1689,1261,279,510,1523,628,714,1105,629
1656,1204,370,510,1519,622,707,1122,629
1583,1278,370,475,1509,591,777,1128,629
1591,1250,398,475,1499,601,709,1196,629
1593,1235,413,475,1315,707,704,1279,629
1588,1220,433,475,1308,706,706,1278,629
1560,1237,444,475,1281,704,735,1278,532
1472,1290,479,475,1146,801,731,1320,482
1428,1175,638,475,1031,914,698,1292,482
1304,1213,724,475,1008,930,704,1293,482
1307,1267,724,469,870,1066,712,1213,367
1382,1230,762,419,920,1066,712,1198,219
1417,1122,902,384,955,1066,668,1242,219
1369,1173,903,347,992,988,746,1194,223
1313,1266,903,347,992,830,904,1186,223
1197,1383,903,132,1207,775,959,1127,223
1155,1425,903,128,1211,720,1014,1045,223
1084,1448,951,107,1219,732,1015,947,82
962,1409,1112,102,1224,732,1015,918,88
992,1376,1159,102,1179,777,1015,892,124
995,1399,1177,102,1076,880,1015,633,124
987,1401,1183,83,976,999,1015,606,122
984,1398,1123,136,972,1016,1015,529,122
936,1374,1195,107,954,1042,1036,527,134
834,1320,1443,66,831,1206,1036,527,188
659,1495,1443,66,740,1294,1039,502,222
625,1529,1443,66,706,1328,914,627,501
565,1589,1419,90,621,1412,836,705,482
840,1618,1417,92,621,1412,738,803,465
881,1618,1417,92,604,1429,709,832,465
810,1713,1311,198,534,1499,697,757,461
899,1689,1261,279,510,1523,628,714,475
907,1656,1204,370,510,1519,622,707,531
906,1583,1278,370,475,1509,591,777,612
903,1591,1250,398,475,1499,601,709,617
901,1593,1235,413,475,1315,707,704,713
901,1588,1220,433,475,1308,706,706,831
952,1560,1237,444,475,1281,704,735,832
1009,1472,1290,479,475,1146,801,731,834
1035,1428,1175,638,475,1031,914,698,1012
1035,1304,1213,724,475,1008,930,704,1021
