Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1
1049,878,689,347,473,848,1871,872,509
1091,977,689,346,416,866,1911,861,488
1168,982,689,96,656,866,1921,861,457
1240,982,689,96,584,870,1989,861,410
1339,953,718,96,583,801,2059,861,403
1360,849,822,96,583,546,2314,861,403
1391,645,1028,96,583,543,2317,860,403
1391,644,849,276,583,538,2322,657,403
1382,641,779,355,586,529,2331,557,403
1315,571,899,372,586,529,2139,731,403
1184,686,844,443,586,529,2003,866,403
1135,714,750,558,586,529,2003,796,403
1141,642,735,646,586,529,2003,766,350
1142,644,717,601,651,524,1868,885,350
1169,644,693,597,679,524,1868,870,350
1242,639,611,684,679,419,1766,1077,350
1123,753,615,689,679,419,1727,1116,295
1160,806,615,689,679,419,1727,1090,315
1229,833,615,689,678,292,1821,1092,389
1139,915,630,689,657,288,1628,1310,321
1021,990,673,689,657,237,1679,1171,319
1021,988,675,689,657,206,1701,1178,346
1019,990,675,689,657,206,1659,1144,244
962,1051,675,689,657,206,1578,1098,248
867,1148,675,689,656,207,1496,1180,248
823,1192,675,689,656,190,1283,1410,250
815,1200,675,689,656,178,1189,1516,253
814,1182,694,689,598,236,1099,1606,253
785,1162,743,689,570,263,959,1747,247
785,1058,847,689,432,401,863,1843,211
772,1041,877,689,417,416,863,1843,209
763,1049,878,689,347,473,848,1871,209
622,1091,977,689,346,416,866,1911,209
540,1168,982,689,96,656,866,1921,179
468,1240,982,689,96,584,870,1989,185
369,1339,953,718,96,583,801,2059,228
348,1360,849,822,96,583,546,2314,228
320,1391,645,1028,96,583,543,2317,228
320,1391,644,849,276,583,538,2322,228
320,1382,641,779,355,586,529,2331,228
320,1315,571,899,372,586,529,2139,246
320,1184,686,844,443,586,529,2003,259
320,1135,714,750,558,586,529,2003,380
313,1141,642,735,646,586,529,2003,538
308,1142,644,717,601,651,524,1868,627
281,1169,644,693,597,679,524,1868,636
208,1242,639,611,684,679,419,1766,636
204,1123,753,615,689,679,419,1727,643
114,1160,806,615,689,679,419,1727,790
18,1229,833,615,689,678,292,1821,709
11,1139,915,630,689,657,288,1628,717
20,1021,990,673,689,657,237,1679,731
44,1021,988,675,689,657,206,1701,692
44,1019,990,675,689,657,206,1659,703
40,962,1051,675,689,657,206,1578,847
38,867,1148,675,689,656,207,1496,1129
38,823,1192,675,689,656,190,1283,1244
38,815,1200,675,689,656,178,1189,1244
59,814,1182,694,689,598,236,1099,1244
60,785,1162,743,689,570,263,959,1245
61,785,1058,847,689,432,401,863,1245
80,772,1041,877,689,417,416,863,1299
281,763,1049,878,689,347,473,848,1321
322,622,1091,977,689,346,416,866,1334
364,540,1168,982,689,96,656,866,1334
496,468,1240,982,689,96,584,870,1328
625,369,1339,953,718,96,583,801,1268
625,348,1360,849,822,96,583,546,1268
620,320,1391,645,1028,96,583,543,1268
625,320,1391,644,849,276,583,538,1268
626,320,1382,641,779,355,586,529,1268
628,320,1315,571,899,372,586,529,1250
629,320,1184,686,844,443,586,529,1253
631,320,1135,714,750,558,586,529,1133
631,313,1141,642,735,646,586,529,975
631,308,1142,644,717,601,651,524,886
631,281,1169,644,693,597,679,524,882
631,208,1242,639,611,684,679,419,925
632,204,1123,753,615,689,679,419,926
635,114,1160,806,615,689,679,419,753
635,18,1229,833,615,689,678,292,748
655,11,1139,915,630,689,657,288,759
646,20,1021,990,673,689,657,237,745
622,44,1021,988,675,689,657,206,757
627,44,1019,990,675,689,657,206,744
629,40,962,1051,675,689,657,206,596
629,38,867,1148,675,689,656,207,347
629,38,823,1192,675,689,656,190,232
629,38,815,1200,675,689,656,178,229
608,59,814,1182,694,689,598,236,229
607,60,785,1162,743,689,570,263,228
650,61,785,1058,847,689,432,401,228
895,80,772,1041,877,689,417,416,177
809,281,763,1049,878,689,347,473,158
800,322,622,1091,977,689,346,416,155
892,364,540,1168,982,689,96,656,174
856,496,468,1240,982,689,96,584,174
729,625,369,1339,953,718,96,583,174
782,625,348,1360,849,822,96,583,174
813,620,320,1391,645,1028,96,583,174
813,625,320,1391,644,849,276,583,174
815,626,320,1382,641,779,355,586,174
813,628,320,1315,571,899,372,586,174
815,629,320,1184,686,844,443,586,159
926,631,320,1135,714,750,558,586,158
927,631,313,1141,642,735,646,586,158
975,631,308,1142,644,717,601,651,158
1042,631,281,1169,644,693,597,679,153
1042,631,208,1242,639,611,684,679,110
1119,632,204,1123,753,615,689,679,102
1123,635,114,1160,806,615,689,679,102
1123,635,18,1229,833,615,689,678,102
1103,655,11,1139,915,630,689,657,83
1105,646,20,1021,990,673,689,657,83
1114,622,44,1021,988,675,689,657,98
1245,627,44,1019,990,675,689,657,195
1385,629,40,962,1051,675,689,657,242
1423,629,38,867,1148,675,689,656,220
1423,629,38,823,1192,675,689,656,229
1423,629,38,815,1200,675,689,656,229
1450,608,59,814,1182,694,689,598,229
1519,607,60,785,1162,743,689,570,229
1475,650,61,785,1058,847,689,432,229
1211,895,80,772,1041,877,689,417,227
1097,809,281,763,1049,878,689,347,427
1069,800,322,622,1091,977,689,346,517
937,892,364,540,1168,982,689,96,516
841,856,496,468,1240,982,689,96,517
839,729,625,369,1339,953,718,96,587
786,782,625,348,1360,849,822,96,617
755,813,620,320,1391,645,1028,96,638
750,813,625,320,1391,644,849,276,653
747,815,626,320,1382,641,779,355,653
747,813,628,320,1315,571,899,372,653
744,815,629,320,1184,686,844,443,678
631,926,631,320,1135,714,750,558,710
630,927,631,313,1141,642,735,646,710
