Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,Accum_y-1
901,848,531,812,1787,468,852,972,1119
1010,850,518,825,1784,471,724,1100,1106
1092,849,385,959,1784,471,716,1106,1050
1091,832,406,959,1761,494,716,1096,1049
1086,820,423,959,1761,494,716,1008,974
1314,821,394,988,1719,536,716,947,919
1335,722,519,989,1658,597,716,947,886
1203,754,627,951,1696,597,716,947,802
1293,702,708,770,1877,597,462,940,798
1287,612,804,718,1921,605,462,919,706
1306,559,858,717,1922,605,319,1062,692
1325,410,1013,717,1922,522,340,1073,691
1365,388,1046,717,1882,433,378,1164,709
1364,306,1134,689,1565,777,344,1100,709
1415,302,1138,689,1565,777,315,1129,709
1384,332,1108,720,1453,885,319,1129,774
1369,347,1034,722,1379,1024,299,1151,845
1359,377,1034,634,1376,1110,304,1151,845
1255,480,1035,634,1261,1225,304,1151,840
1248,495,944,727,1249,1237,238,1151,833
1166,577,909,762,1249,1237,238,1151,815
1026,717,909,762,1249,1237,231,1158,645
919,809,924,762,1249,1199,267,1160,634
844,883,888,799,1247,1196,272,1160,602
868,884,888,730,1206,1302,276,1160,549
898,882,890,526,1386,1326,276,1160,549
896,883,891,525,1387,1326,276,1160,519
900,887,893,512,1212,1474,317,1088,535
928,889,893,511,858,1829,317,958,468
928,852,930,507,839,1722,447,953,417
928,851,915,523,763,1777,468,931,351
878,901,848,531,812,1787,468,852,357
770,1010,850,518,825,1784,471,724,441
708,1092,849,385,959,1784,471,716,604
705,1091,832,406,959,1761,494,716,607
705,1086,820,423,959,1761,494,716,644
476,1314,821,394,988,1719,536,716,644
428,1335,722,519,989,1658,597,716,641
428,1203,754,627,951,1696,597,716,641
309,1293,702,708,770,1877,597,462,628
311,1287,612,804,718,1921,605,462,621
309,1306,559,858,717,1922,605,319,622
347,1325,410,1013,717,1922,522,340,622
316,1365,388,1046,717,1882,433,378,601
321,1364,306,1134,689,1565,777,344,620
351,1415,302,1138,689,1565,777,315,627
359,1384,332,1108,720,1453,885,319,562
359,1369,347,1034,722,1379,1024,299,517
339,1359,377,1034,634,1376,1110,304,556
339,1255,480,1035,634,1261,1225,304,556
337,1248,495,944,727,1249,1237,238,556
337,1166,577,909,762,1249,1237,238,570
337,1026,717,909,762,1249,1237,231,574
337,919,809,924,762,1249,1199,267,708
367,844,883,888,799,1247,1196,272,708
342,868,884,888,730,1206,1302,276,749
391,898,882,890,526,1386,1326,276,778
399,896,883,891,525,1387,1326,276,804
388,900,887,893,512,1212,1474,317,982
358,928,889,893,511,858,1829,317,935
358,928,852,930,507,839,1722,447,931
358,928,851,915,523,763,1777,468,910
358,878,901,848,531,812,1787,468,901
355,770,1010,850,518,825,1784,471,816
378,708,1092,849,385,959,1784,471,692
378,705,1091,832,406,959,1761,494,689
378,705,1086,820,423,959,1761,494,652
378,476,1314,821,394,988,1719,536,652
378,428,1335,722,519,989,1658,597,652
370,428,1203,754,627,951,1696,597,652
370,309,1293,702,708,770,1877,597,652
388,311,1287,612,804,718,1921,605,652
375,309,1306,559,858,717,1922,605,651
312,347,1325,410,1013,717,1922,522,651
297,316,1365,388,1046,717,1882,433,651
296,321,1364,306,1134,689,1565,777,632
215,351,1415,302,1138,689,1565,777,625
219,359,1384,332,1108,720,1453,885,628
219,359,1369,347,1034,722,1379,1024,782
219,339,1359,377,1034,634,1376,1110,820
219,339,1255,480,1035,634,1261,1225,824
211,337,1248,495,944,727,1249,1237,824
211,337,1166,577,909,762,1249,1237,804
211,337,1026,717,909,762,1249,1237,797
211,337,919,809,924,762,1249,1199,790
181,367,844,883,888,799,1247,1196,807
181,342,868,884,888,730,1206,1302,784
102,391,898,882,890,526,1386,1326,816
94,399,896,883,891,525,1387,1326,821
124,388,900,887,893,512,1212,1474,645
154,358,928,889,893,511,858,1829,628
197,358,928,852,930,507,839,1722,688
259,358,928,851,915,523,763,1777,697
330,358,878,901,848,531,812,1787,736
330,355,770,1010,850,518,825,1784,739
297,378,708,1092,849,385,959,1784,700
297,378,705,1091,832,406,959,1761,700
297,378,705,1086,820,423,959,1761,725
297,378,476,1314,821,394,988,1719,725
297,378,428,1335,722,519,989,1658,725
297,370,428,1203,754,627,951,1696,725
317,370,309,1293,702,708,770,1877,731
297,388,311,1287,612,804,718,1921,735
292,375,309,1306,559,858,717,1922,735
292,312,347,1325,410,1013,717,1922,735
287,297,316,1365,388,1046,717,1882,735
295,296,321,1364,306,1134,689,1565,735
295,215,351,1415,302,1138,689,1565,735
283,219,359,1384,332,1108,720,1453,732
283,219,359,1369,347,1034,722,1379,552
283,219,339,1359,377,1034,634,1376,475
283,219,339,1255,480,1035,634,1261,471
288,211,337,1248,495,944,727,1249,471
314,211,337,1166,577,909,762,1249,471
314,211,337,1026,717,909,762,1249,500
314,211,337,919,809,924,762,1249,373
314,181,367,844,883,888,799,1247,311
352,181,342,868,884,888,730,1206,289
360,102,391,898,882,890,526,1386,228
390,94,399,896,883,891,525,1387,198
360,124,388,900,887,893,512,1212,190
330,154,358,928,889,893,511,858,275
287,197,358,928,852,930,507,839,276
225,259,358,928,851,915,523,763,267
154,330,358,878,901,848,531,812,228
154,330,355,770,1010,850,518,825,486
144,297,378,708,1092,849,385,959,507
144,297,378,705,1091,832,406,959,507
186,297,378,705,1086,820,423,959,533
186,297,378,476,1314,821,394,988,533
186,297,378,428,1335,722,519,989,632
186,297,370,428,1203,754,627,951,632
179,317,370,309,1293,702,708,770,626
187,297,388,311,1287,612,804,718,627
187,292,375,309,1306,559,858,717,627
187,292,312,347,1325,410,1013,717,627
218,287,297,316,1365,388,1046,717,693
255,295,296,321,1364,306,1134,689,693
364,295,215,351,1415,302,1138,689,693
425,283,219,359,1384,332,1108,720,693
425,283,219,359,1369,347,1034,722,693
433,283,219,339,1359,377,1034,634,693
433,283,219,339,1255,480,1035,634,693
428,288,211,337,1248,495,944,727,693
402,314,211,337,1166,577,909,762,765
402,314,211,337,1026,717,909,762,866
402,314,211,337,919,809,924,762,871
402,314,181,367,844,883,888,799,893
364,352,181,342,868,884,888,730,972
356,360,102,391,898,882,890,526,1100
435,390,94,399,896,883,891,525,1106
435,360,124,388,900,887,893,512,1096
435,330,154,358,928,889,893,511,1008
488,287,197,358,928,852,930,507,947
488,225,259,358,928,851,915,523,947
528,154,330,358,878,901,848,531,947
630,154,330,355,770,1010,850,518,940
633,144,297,378,708,1092,849,385,919
648,144,297,378,705,1091,832,406,1062
611,186,297,378,705,1086,820,423,1073
674,186,297,378,476,1314,821,394,1164
674,186,297,378,428,1335,722,519,1100
711,186,297,370,428,1203,754,627,1129
698,179,317,370,309,1293,702,708,1129
690,187,297,388,311,1287,612,804,1151
726,187,292,375,309,1306,559,858,1151
741,187,292,312,347,1325,410,1013,1151
760,218,287,297,316,1365,388,1046,1151
754,255,295,296,321,1364,306,1134,1151
864,364,295,215,351,1415,302,1138,1158
811,425,283,219,359,1384,332,1108,1160
1097,425,283,219,359,1369,347,1034,1160
1101,433,283,219,339,1359,377,1034,1160
1102,433,283,219,339,1255,480,1035,1160
1104,428,288,211,337,1248,495,944,1160
1104,402,314,211,337,1166,577,909,1088
1105,402,314,211,337,1026,717,909,958
1105,402,314,211,337,919,809,924,953
1164,402,314,181,367,844,883,888,931
1164,364,352,181,342,868,884,888,852
1164,356,360,102,391,898,882,890,724
1055,435,390,94,399,896,883,891,716
1055,435,360,124,388,900,887,893,716
1055,435,330,154,358,928,889,893,716
1002,488,287,197,358,928,852,930,716
1002,488,225,259,358,928,851,915,716
962,528,154,330,358,878,901,848,716
860,630,154,330,355,770,1010,850,462
857,633,144,297,378,708,1092,849,462
859,648,144,297,378,705,1091,832,319
854,611,186,297,378,705,1086,820,340
812,674,186,297,378,476,1314,821,378
833,674,186,297,378,428,1335,722,344
811,711,186,297,370,428,1203,754,315
811,698,179,317,370,309,1293,702,319
937,690,187,297,388,311,1287,612,299
1032,726,187,292,375,309,1306,559,304
1032,741,187,292,312,347,1325,410,304
