Accum_y-0,T-1,T-2,Accum_y-1
691,1438,671,84
709,1438,628,84
709,1437,629,88
709,1427,639,88
774,1424,642,88
845,1262,802,81
845,1107,955,263
840,1112,955,365
833,1119,955,356
815,1143,955,354
645,1316,955,381
634,1323,959,750
602,1214,1143,750
549,1217,1155,750
549,1180,1187,750
519,1209,1189,750
535,1049,1349,750
468,1079,1453,750
417,1040,1547,750
351,1127,1547,736
357,1119,1558,736
441,1106,1538,764
604,1050,1549,771
607,1049,1473,778
644,974,1367,775
644,919,1388,775
641,886,1416,786
641,802,1408,786
628,798,1425,888
621,706,1467,1042
622,692,1437,1063
622,691,1438,1083
601,709,1438,1086
620,709,1437,1077
627,709,1427,1080
562,774,1424,1148
517,845,1262,1139
556,845,1107,951
556,840,1112,848
556,833,1119,837
570,815,1143,837
574,645,1316,835
708,634,1323,485
708,602,1214,485
749,549,1217,485
778,549,1180,485
804,519,1209,489
982,535,1049,489
935,468,1079,508
931,417,1040,510
910,351,1127,510
901,357,1119,632
816,441,1106,672
692,604,1050,720
689,607,1049,713
652,644,974,765
652,644,919,780
652,641,886,837
652,641,802,838
652,628,798,743
652,621,706,592
651,622,692,571
651,622,691,551
651,601,709,548
632,620,709,548
625,627,709,545
628,562,774,477
782,517,845,466
820,556,845,466
824,556,840,462
824,556,833,534
804,570,815,547
797,574,645,571
790,708,634,600
807,708,602,622
784,749,549,648
816,778,549,654
821,804,519,650
645,982,535,650
628,935,468,631
688,931,417,629
697,910,351,629
736,901,357,507
739,816,441,439
700,692,604,384
700,689,607,388
725,652,644,340
725,652,644,326
725,652,641,258
725,652,641,257
731,652,628,250
735,652,621,247
735,651,622,247
735,651,622,247
735,651,601,290
735,632,620,492
735,625,627,578
732,628,562,578
552,782,517,578
475,820,556,578
471,824,556,578
471,824,556,505
471,804,570,492
500,797,574,448
373,790,708,471
311,807,708,451
289,784,749,479
228,816,778,473
198,821,804,473
190,645,982,473
275,628,935,473
276,688,931,473
267,697,910,473
228,736,901,475
486,739,816,475
507,700,692,475
507,700,689,476
533,725,652,540
533,725,652,683
632,725,652,721
